Sample	TotalReads	UniqueMapRatio	MultipleMapRatio	ChimeraMapRatio
RNA-seq_Leukemia_CreKI_rep1	37122432.0	80.24	11.35	0.06
RNA-seq_Leukemia_CreKI_rep2	36311083.0	80.43	10.1	0.06
RNA-seq_Leukemia_CreKI_rep3	37315348.0	80.16	9.83	0.04
RNA-seq_Leukemia_Rx1Tet2_G18	36136442.0	54.6	8.14	0.05
RNA-seq_Leukemia_Rx1Tet2_G34	37447291.0	77.0	10.73	0.05
RNA-seq_Leukemia_Rx1Tet2_rep1	38243918.0	83.09	9.46	0.25
RNA-seq_Leukemia_Rx1Tet2_rep2	39876251.0	80.79	9.13	0.15
RNA-seq_Leukemia_Rx1Tet2_rep3	40441937.0	83.61	8.7	0.11
RNA-seq_Preleukemia_Control_rep1	39159748.0	73.3	10.71	0.05
RNA-seq_Preleukemia_Control_rep2	47787614.0	81.62	10.46	0.05
RNA-seq_Preleukemia_Control_rep3	47796954.0	82.95	9.77	0.05
RNA-seq_Preleukemia_Rx1Tet2_rep1	36674452.0	79.93	9.22	0.05
RNA-seq_Preleukemia_Rx1Tet2_rep2	38167359.0	80.25	9.71	0.06
RNA-seq_Preleukemia_Rx1Tet2_rep3	37203768.0	84.07	9.44	0.06
RNA-seq_Preleukemia_Rx1_rep1	38681690.0	83.25	9.19	0.06
RNA-seq_Preleukemia_Rx1_rep2	38797504.0	83.92	9.21	0.08
RNA-seq_Preleukemia_Rx1_rep3	37473757.0	85.81	8.88	0.06
RNA-seq_Preleukemia_Tet2_rep1	37139203.0	82.62	8.66	0.05
RNA-seq_Preleukemia_Tet2_rep2	31417504.0	83.39	9.64	0.04
RNA-seq_Preleukemia_Tet2_rep3	34679172.0	80.48	9.96	0.05
