gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3
Tspan8	1.2671527173029342	0.9920012053226311	0.7461118317095452	-0.5016341644750131	-0.4884524680247237	-0.6255306837214065	0.35336842783025435	0.747875316041595	1.2402197660605694	-0.6637162084892586	-2.0835860994632287	-0.9838096400938967
Gzmb	0.9303992201967024	1.45787932984206	1.1635770115372799	-1.017883447788992	-1.0555697522054355	-0.743288499835554	0.4785202054846342	0.9097180621945893	0.9068952106212798	-1.0555697522054355	-0.9191078356356929	-1.0555697522054355
Prss50	0.9152539920543616	1.4102981799081777	0.6006830699773588	-0.5132829563622281	-0.4614056405596968	-0.5508347353537711	0.5046674173504959	0.8786603752362645	1.174792250959571	-1.4090126480028324	-1.7163842171130541	-0.8334350880946554
Prelid2	1.7926891783941665	0.9674050785730605	0.7868211277859132	-0.4309290677172828	-0.7778652367900047	-0.9159841069998403	0.5710041469714026	0.5521502922300827	0.7391095377086625	-0.4294782058452551	-1.7143082887457524	-1.1406144555651505
Bex4	1.525064082686419	0.5129011435067728	0.6021370112079778	-0.6103765697737404	-0.8321076662855427	-0.6897273922404689	0.5048838729262993	0.9863620925212226	1.2927850609644993	-0.3404605752644809	-1.7377139882346817	-1.2137470720142802
Csrp3	1.3964677468445084	1.3332646418303749	0.7174730152443433	-0.7791066992932413	-1.4119856649534548	-0.8742520917765363	0.04111457804326478	0.797774388614718	1.2347782609539135	-0.5158176150517823	-1.1727963231678866	-0.7669142372882197
Mpzl1	1.0268766618547394	1.5718542296936004	0.9822742959871233	-1.118080593675932	-0.742213417824351	-0.538374931856943	0.8234324326852684	0.10718721486149126	0.9859973215971525	-0.43516106861144593	-1.2315889654301035	-1.4322031792806005
Gypa	0.8645846579202033	1.3482193657113808	0.6615519165869753	-0.26564919311054574	-0.7711203738301311	-0.910014380156623	0.2356579199322006	0.892659052185274	1.360611289125157	-0.8835399371951659	-1.9035044722794445	-0.6294558448892726
Ckm	2.2925191363698927	0.9525771212243387	0.44692007830780384	-0.5441598712033355	-0.934020933210813	-0.577831575745075	-0.5143586704867849	-0.953455702410483	0.057910832263633874	-1.0370844331729145	1.2868072020549493	-0.4758231839912136
Bpifc	1.0325873783315795	1.039026242773109	0.7650875950261261	-0.8628018512715238	-0.8471106281742115	-1.07806804092961	1.033179379182005	0.6860969521746051	1.3569252167162655	-0.9798565055767068	-1.1192640671468994	-1.0258016711047384
Smoc1	-0.23152173740549645	0.8923648603758355	2.142980945811418	-0.5196379866896128	-0.31010018925862326	0.9557963537564882	0.5344145822715608	-1.8305233760688366	-0.16669078588467712	-1.094973508601219	0.22962719874701296	-0.6017363570538499
Gm11837	1.4642819304054033	0.7181664512158684	0.8022345628130065	-0.8096327292827207	-0.8883036969091107	-1.0019351938517593	0.8238273811875798	0.9678985847084951	1.109328093049471	-1.0122997530960103	-1.1733845732275687	-1.0001810570126581
Ephx2	1.7457128330264364	1.6160751526698136	0.9947978286819997	-0.6058951169227201	-0.6856419072043375	-0.48368895701178094	-0.1602001096099115	0.5216784710664021	0.4252441841011601	-1.0110024725276345	-1.1529235454310305	-1.2041563608383972
Gm9008	-0.6761692341407123	1.9480770914555834	1.2274212500115365	-0.737706305772279	-0.7075517693619605	-0.7036028563231826	-0.7359095484529999	-0.6453228981206249	-0.6110700144698131	-0.7356550344482072	1.2241259906365969	1.1533633289860608
Ms4a2	1.0775444125108027	1.6492156946861554	1.5663139804382582	-0.6307714576719061	-0.9409313650431559	-0.6150956116386767	0.6383040570367492	0.07863861571470701	-0.0021284069903508233	-0.5505993321599048	-0.5395377054441807	-1.730952881438509
Gjb3	1.7686578855202735	0.49821536320339976	1.4227423676209998	-0.922112678886494	-1.0683271219862993	0.19397917141784554	0.9241779575241045	0.5503820603894405	-0.2841789565897548	-0.7191632979458666	-1.0819759689983317	-1.282396781269313
