TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005488	binding	2.71590665634068e-26	-58.8680865768024	14372	218	0.816479400749064	267	28418	216858,18796,214855,20650,223753,18704,20112,20392,107747,57781,21452,54216,12361,16409,12266,171429,78771,74048,53322,83490,319625,276950,69288,213452,215114,18439,12796,12495,67795,80837,14268,56386,76905,231287,72027,80909,12722,26415,19332,219140,237310,226123,67847,11820,71409,27218,12489,224829,14581,100042150,12978,329003,110095,271221,12394,103213,74478,80752,228966,228788,20343,14263,13860,20568,224014,12890,12874,22436,71884,18003,320472,218203,230815,16403,18189,72844,19204,16194,20393,11307,18751,21898,11881,72393,219144,105445,13982,26406,214459,105651,50770,17076,13876,14130,14131,217692,15483,104086,68891,54447,21899,67581,66813,16554,378425,216864,11302,241576,15186,54483,18602,15234,64143,108800,213498,13371,69189,26888,18805,52118,57257,67784,236920,286940,319555,108058,22095,74185,69601,22351,209387,20202,93834,16414,17173,18405,76089,233186,226421,27029,50723,19273,320790,20969,21946,223697,212032,17951,110197,67800,378460,75019,668158,20201,12226,107607,16822,12340,226255,66725,12983,17356,21844,171171,268379,12986,18754,235406,14544,19224,270084,68703,14389,17064,56458,58809,227960,19277,17101,16480,228357,12393,11990,19201,108078,23972,13139,74137,14734,27052,12051,20661,16971,76041,27059,71740,18576,12614,17390,195046,17921,26874,58223,20181,74365,22329,18115,11658,19126,12569,268973,17948,14579,19279,26365,71302,107895,102103	Kctd11,Plcb2,Arid5a,Sntb2,Cerk,Pik3c2a,Rps6ka2,Sgce,Aldh1l1,Cd200r1,Tcn2,Pcdh7,Cask,Itgam,C3,Slc26a6,Mctp1,Vsir,Nucb2,Pik3ap1,Galm,Slfn8,Rhobtb1,Dstyk,Hip1,P2rx7,Camp,Entpd1,Rnls,Rhoj,Fn1,B4galt6,Lrg1,Atp10d,Slc39a4,Castor2,Clca3a1,Mapk13,Rab20,Spata13,Il22ra2,Morn4,Sncaip,App,Fmnl2,Slamf1,Cd33,Trerf1,Gfi1,Nrg2,Csf1r,Zfp516,Pygl,Rubcnl,Runx1,Traf3ip2,Snx29,Fam20c,Ppp1r3d,Ccm2l,Sell,Fmo5,Eps8,Slpi,Fgd4,Cplx2,Cpd,Xdh,Chit1,Nedd9,Ppm1e,Mylip,Man1c1,Itga6,Nrxn1,Kctd17,Ptafr,Il6ra,Sgk1,Abcg1,Prkcb,Tlr4,Arsb,Faim2,Arl11,Dock9,Esr1,Map3k3,Fnbp1l,Ppp1r3e,Atp11a,Ly75,Erg,Fcgr2b,Fcgr3,Sipa1l1,Hsd11b1,Cyp27a1,Cd177,Asah2,Tlr6,Tbc1d23,Bcl2l14,Kif13b,Nlrp12,Mgl2,Aatk,Ldlrad3,Hdc,Mefv,Padi4,Hgf,Ralb,Ston2,Arhgef11,Dio2,Mcemp1,Clec4a2,Pld1,Pvr,Vav3,Plxnd1,Stard8,Flnb,Nwd1,Camk2d,Tshr,Gbe1,Dab2ip,Vill,Trim30d,S100a9,Peli2,Itgb2,Ascl2,Orm1,Rapgef2,Siglecf,Rab7b,Sgsh,Icosl,Ptpru,Chd7,Sdc1,Pglyrp1,Sun2,Hk3,Naip5,Dgkg,Dgat2,Pram1,Rnase10,Ccdc85c,S100a8,Btg1,Nod1,Lcp2,Capza1,Atrnl1,Lrrk2,Csf2rb,Afdn,Tiam1,Ntng2,Abca13,Csf3r,Prkce,Snx33,Gda,Ptgs1,Lpcat2,Rere,Gab2,Cd93,Foxo1,Rnase4,Gca,Ptpro,Lyst,Jup,Lrp4,Runx2,Atrn,Pstpip2,Olr1,Papss2,Dgka,Nuak2,Gpc3,Aoah,Bcl3,Sort1,Lrp1,Ccdc125,Sh3d19,Nectin4,Pde3b,Celsr1,Mmp2,Nlrp1a,Myo7a,Abcd2,Mmp19,Rxra,Lonrf3,Vcam1,Nnt,Alcam,Prom1,Cdk5r1,Nlrc4,Naip2,Gem,Ptprr,Ceacam1,Arhgap26,Mgat5,Mtus1
GO:0005515	protein binding	3.21684702406673e-24	-54.0936405370881	9685	172	0.644194756554307	267	28418	19273,27029,50723,17173,76089,67800,223697,212032,17951,21946,320790,20969,107607,16822,12226,20201,668158,378460,17356,12983,12340,226255,66725,18805,52118,69189,13371,67784,57257,108058,286940,16414,93834,209387,22351,20202,69601,18576,76041,16971,71740,27059,20661,12051,14734,17921,26874,195046,12614,17390,14579,17948,19126,268973,12569,22329,11658,20181,102103,71302,19279,26365,235406,18754,12986,171171,21844,14544,227960,56458,17064,14389,68703,108078,19201,11990,228357,19277,16480,17101,12393,72027,76905,80909,80837,14268,12495,226123,67847,237310,219140,329003,12978,14581,100042150,224829,12489,27218,71409,11820,12394,110095,18704,20650,214855,216858,107747,20392,20112,171429,12266,16409,12361,21452,57781,54216,215114,18439,69288,53322,74048,319625,83490,217692,14130,14131,13876,16554,66813,378425,21899,67581,54447,15483,68891,104086,241576,15186,108800,64143,213498,15234,18602,54483,20568,12874,12890,224014,20343,13860,228966,228788,103213,80752,72844,19204,18189,16403,22436,218203,18003,72393,18751,21898,16194,11307,20393,105651,13982,105445,214459,26406	Ptpru,Sgsh,Icosl,Ascl2,Rapgef2,Dgat2,Sun2,Hk3,Naip5,Pglyrp1,Chd7,Sdc1,Nod1,Lcp2,Btg1,S100a8,Ccdc85c,Pram1,Afdn,Csf2rb,Capza1,Atrnl1,Lrrk2,Pld1,Pvr,Mcemp1,Dio2,Plxnd1,Vav3,Camk2d,Flnb,Itgb2,Peli2,Trim30d,Vill,S100a9,Dab2ip,Pde3b,Ccdc125,Lrp1,Nectin4,Sh3d19,Sort1,Bcl3,Gpc3,Myo7a,Abcd2,Nlrp1a,Celsr1,Mmp2,Gem,Naip2,Prom1,Nlrc4,Cdk5r1,Vcam1,Alcam,Rxra,Mtus1,Arhgap26,Ptprr,Ceacam1,Snx33,Prkce,Csf3r,Ntng2,Tiam1,Gda,Gca,Foxo1,Cd93,Gab2,Rere,Olr1,Pstpip2,Atrn,Lrp4,Ptpro,Jup,Lyst,Runx2,Slc39a4,Lrg1,Castor2,Rhoj,Fn1,Entpd1,Morn4,Sncaip,Il22ra2,Spata13,Zfp516,Csf1r,Gfi1,Nrg2,Trerf1,Cd33,Slamf1,Fmnl2,App,Runx1,Pygl,Pik3c2a,Sntb2,Arid5a,Kctd11,Aldh1l1,Sgce,Rps6ka2,Slc26a6,C3,Itgam,Cask,Tcn2,Cd200r1,Pcdh7,Hip1,P2rx7,Rhobtb1,Nucb2,Vsir,Galm,Pik3ap1,Sipa1l1,Fcgr2b,Fcgr3,Erg,Kif13b,Bcl2l14,Nlrp12,Tlr6,Tbc1d23,Asah2,Hsd11b1,Cd177,Cyp27a1,Ldlrad3,Hdc,Ston2,Ralb,Arhgef11,Hgf,Padi4,Mefv,Slpi,Cpd,Cplx2,Fgd4,Sell,Eps8,Ppp1r3d,Ccm2l,Traf3ip2,Fam20c,Kctd17,Ptafr,Nrxn1,Itga6,Xdh,Mylip,Nedd9,Faim2,Prkcb,Tlr4,Il6ra,Abcg1,Sgk1,Ppp1r3e,Esr1,Dock9,Fnbp1l,Map3k3
GO:0036094	small molecule binding	1.28812275767389e-16	-36.5881755560111	5656	112	0.419475655430712	267	28418	54483,18602,107895,64143,20181,18115,74365,268973,12569,19126,11302,216864,15186,14579,17948,104086,17390,15483,12614,54447,195046,26874,17921,378425,58223,74137,27052,16971,18576,219144,12393,228357,26406,13982,13139,23972,50770,68703,20393,11307,14389,18751,17064,11881,227960,218203,320472,14544,22436,16403,230815,19224,18189,270084,80752,18754,268379,14263,20343,12874,224014,66725,110095,12394,11820,12489,14581,20201,224829,329003,12978,107607,320790,19332,21946,212032,17951,110197,76089,233186,67795,18405,12495,14268,80837,12722,72027,231287,56386,226421,26415,53322,20202,22351,69288,276950,74185,213452,18439,16414,215114,21452,12361,78771,108058,319555,20112,57257,18796,18704,223753,26888	Mefv,Padi4,Mgat5,Ralb,Rxra,Nnt,Lonrf3,Nlrc4,Cdk5r1,Prom1,Aatk,Mgl2,Hdc,Gem,Naip2,Cyp27a1,Mmp2,Hsd11b1,Celsr1,Asah2,Nlrp1a,Abcd2,Myo7a,Nlrp12,Mmp19,Nuak2,Aoah,Lrp1,Pde3b,Arl11,Runx2,Lrp4,Map3k3,Esr1,Dgka,Papss2,Atp11a,Rere,Sgk1,Abcg1,Gab2,Prkcb,Cd93,Arsb,Gca,Mylip,Ppm1e,Gda,Xdh,Itga6,Man1c1,Ptgs1,Nrxn1,Lpcat2,Fam20c,Prkce,Abca13,Fmo5,Sell,Cpd,Fgd4,Lrrk2,Pygl,Runx1,App,Cd33,Gfi1,S100a8,Trerf1,Zfp516,Csf1r,Nod1,Chd7,Rab20,Pglyrp1,Hk3,Naip5,Dgkg,Rapgef2,Siglecf,Rnls,Orm1,Entpd1,Fn1,Rhoj,Clca3a1,Slc39a4,Atp10d,B4galt6,Rab7b,Mapk13,Nucb2,S100a9,Vill,Rhobtb1,Slfn8,Gbe1,Dstyk,P2rx7,Itgb2,Hip1,Tcn2,Cask,Mctp1,Camk2d,Nwd1,Rps6ka2,Vav3,Plcb2,Pik3c2a,Cerk,Clec4a2
GO:0043167	ion binding	1.63023950332892e-15	-34.0500494563282	5440	107	0.400749063670412	267	28418	104086,17390,12614,54447,195046,26874,17921,378425,58223,74137,27052,16971,18576,54483,18602,107895,64143,20181,74365,268973,12569,11302,14579,15186,17948,218203,320472,14544,22436,16403,230815,19224,18189,270084,80752,18754,14263,268379,20343,12874,224014,12393,219144,228357,26406,13982,13139,50770,23972,68703,11307,20393,14389,18751,17064,11881,227960,320790,19332,21946,212032,17951,110197,76089,233186,67795,12495,14268,80837,12722,72027,231287,56386,226421,26415,66725,110095,12394,11820,12489,20201,14581,224829,329003,12978,107607,20112,57257,18796,18704,223753,26888,53322,20202,22351,69288,276950,74185,213452,16414,18439,215114,21452,12361,78771,108058,319555	Cyp27a1,Mmp2,Celsr1,Asah2,Nlrp1a,Abcd2,Myo7a,Nlrp12,Mmp19,Nuak2,Aoah,Lrp1,Pde3b,Mefv,Padi4,Mgat5,Ralb,Rxra,Lonrf3,Nlrc4,Cdk5r1,Aatk,Gem,Hdc,Naip2,Mylip,Ppm1e,Gda,Xdh,Itga6,Man1c1,Ptgs1,Nrxn1,Lpcat2,Fam20c,Prkce,Fmo5,Abca13,Sell,Cpd,Fgd4,Runx2,Arl11,Lrp4,Map3k3,Esr1,Dgka,Atp11a,Papss2,Rere,Abcg1,Sgk1,Gab2,Prkcb,Cd93,Arsb,Gca,Chd7,Rab20,Pglyrp1,Hk3,Naip5,Dgkg,Rapgef2,Siglecf,Rnls,Entpd1,Fn1,Rhoj,Clca3a1,Slc39a4,Atp10d,B4galt6,Rab7b,Mapk13,Lrrk2,Pygl,Runx1,App,Cd33,S100a8,Gfi1,Trerf1,Zfp516,Csf1r,Nod1,Rps6ka2,Vav3,Plcb2,Pik3c2a,Cerk,Clec4a2,Nucb2,S100a9,Vill,Rhobtb1,Slfn8,Gbe1,Dstyk,Itgb2,P2rx7,Hip1,Tcn2,Cask,Mctp1,Camk2d,Nwd1
GO:0097367	carbohydrate derivative binding	2.13946183839108e-13	-29.1730518889019	2220	59	0.220973782771536	267	28418	12393,219144,276950,69288,213452,26406,23972,50770,18439,12796,13139,20393,11307,12361,18751,21898,16409,319555,108058,20112,71884,19204,80752,20343,268379,18754,223753,18704,66725,26365,110095,64143,12394,11820,12489,11302,268973,107607,12978,17948,14579,19332,320790,195046,21946,17921,26874,17951,212032,110197,378425,12495,74137,233186,80837,14268,226421,231287,26415	Runx2,Arl11,Slfn8,Rhobtb1,Dstyk,Map3k3,Papss2,Atp11a,P2rx7,Camp,Dgka,Sgk1,Abcg1,Cask,Prkcb,Tlr4,Itgam,Nwd1,Camk2d,Rps6ka2,Chit1,Ptafr,Fam20c,Sell,Abca13,Prkce,Cerk,Pik3c2a,Lrrk2,Ceacam1,Pygl,Ralb,Runx1,App,Cd33,Aatk,Nlrc4,Nod1,Csf1r,Naip2,Gem,Rab20,Chd7,Nlrp1a,Pglyrp1,Myo7a,Abcd2,Naip5,Hk3,Dgkg,Nlrp12,Entpd1,Nuak2,Siglecf,Rhoj,Fn1,Rab7b,Atp10d,Mapk13
GO:0019899	enzyme binding	4.64186382454305e-13	-28.3984902370149	2393	61	0.228464419475655	267	28418	71409,12489,378460,11820,20181,12978,17948,12226,268973,12569,19279,26365,66725,64143,17356,80837,20661,12051,14268,76089,217692,18576,16971,195046,68891,16554,66813,67847,212032,17951,14389,16194,20393,12361,108058,56458,18751,69601,69288,209387,74048,16480,17101,228357,12393,105651,16414,13982,105445,214459,21844,228966,13371,80752,20568,12874,20343,18754,13860,18003,19204	Fmnl2,Cd33,Pram1,App,Rxra,Csf1r,Naip2,Btg1,Nlrc4,Cdk5r1,Ptprr,Ceacam1,Lrrk2,Ralb,Afdn,Rhoj,Sort1,Bcl3,Fn1,Rapgef2,Sipa1l1,Pde3b,Lrp1,Nlrp1a,Cd177,Kif13b,Bcl2l14,Sncaip,Hk3,Naip5,Gab2,Il6ra,Sgk1,Cask,Camk2d,Foxo1,Prkcb,Dab2ip,Rhobtb1,Trim30d,Vsir,Jup,Lyst,Lrp4,Runx2,Ppp1r3e,Itgb2,Esr1,Dock9,Fnbp1l,Tiam1,Ppp1r3d,Dio2,Fam20c,Slpi,Cpd,Sell,Prkce,Eps8,Nedd9,Ptafr
GO:0043168	anion binding	4.51637323959016e-12	-26.1233118247857	2388	59	0.220973782771536	267	28418	64143,12394,66725,110095,268973,11302,17948,12978,14579,15186,107607,20181,12489,26874,17951,212032,17921,378425,110197,19332,320790,195046,226421,231287,26415,233186,76089,12495,74137,67795,80837,213452,26406,23972,50770,18439,13139,215114,219144,12393,69288,22351,276950,18751,319555,108058,20393,12361,11307,14389,22436,20112,18754,20343,14263,268379,223753,18704,80752	Ralb,Runx1,Lrrk2,Pygl,Nlrc4,Aatk,Naip2,Csf1r,Gem,Hdc,Nod1,Rxra,Cd33,Abcd2,Naip5,Hk3,Myo7a,Nlrp12,Dgkg,Rab20,Chd7,Nlrp1a,Rab7b,Atp10d,Mapk13,Siglecf,Rapgef2,Entpd1,Nuak2,Rnls,Rhoj,Dstyk,Map3k3,Papss2,Atp11a,P2rx7,Dgka,Hip1,Arl11,Runx2,Rhobtb1,Vill,Slfn8,Prkcb,Nwd1,Camk2d,Sgk1,Cask,Abcg1,Gab2,Xdh,Rps6ka2,Prkce,Sell,Fmo5,Abca13,Cerk,Pik3c2a,Fam20c
GO:0003824	catalytic activity	9.41155495305358e-12	-25.3890829312373	5670	101	0.378277153558052	267	28418	66725,74580,110095,75019,100042150,232714,12978,320790,19332,21946,212032,110197,67800,67795,12495,80837,27029,226421,56386,12722,26415,19273,319625,20452,276950,74185,209387,69288,213452,93834,12361,108058,20112,107747,74153,170768,18796,13371,216858,18704,223753,18805,67305,19279,54483,319804,18602,15234,107895,64143,77974,22329,18115,74365,11302,12569,15186,14579,15483,104086,17390,195046,54447,73988,26874,16554,58223,74137,226856,27052,18576,19277,219144,26406,233549,105651,13139,50770,23972,14420,11307,20393,58809,18751,11881,14544,22436,218203,320472,71884,230815,19224,235534,270084,103213,80752,228966,268379,14263,18754,12874	Lrrk2,Pyroxd2,Pygl,Rnase10,Nrg2,Mgam,Csf1r,Chd7,Rab20,Pglyrp1,Hk3,Dgkg,Dgat2,Rnls,Entpd1,Rhoj,Sgsh,Rab7b,B4galt6,Clca3a1,Mapk13,Ptpru,Galm,St8sia4,Slfn8,Gbe1,Trim30d,Rhobtb1,Dstyk,Peli2,Cask,Camk2d,Rps6ka2,Aldh1l1,Uba7,Pfkfb3,Plcb2,Dio2,Kctd11,Pik3c2a,Cerk,Pld1,Gpx7,Ptprr,Mefv,Glt1d1,Padi4,Hgf,Mgat5,Ralb,Rdh12,Vcam1,Nnt,Lonrf3,Aatk,Cdk5r1,Hdc,Gem,Hsd11b1,Cyp27a1,Mmp2,Nlrp1a,Asah2,4930438A08Rik,Abcd2,Kif13b,Mmp19,Nuak2,Lpgat1,Aoah,Pde3b,Ptpro,Arl11,Map3k3,Mogat2,Ppp1r3e,Dgka,Atp11a,Papss2,Galc,Abcg1,Sgk1,Rnase4,Prkcb,Arsb,Gda,Xdh,Mylip,Ppm1e,Chit1,Man1c1,Ptgs1,Pxylp1,Lpcat2,Traf3ip2,Fam20c,Ppp1r3d,Abca13,Fmo5,Prkce,Cpd
GO:0017076	purine nucleotide binding	1.58461930930452e-11	-24.868091827858	1930	51	0.191011235955056	267	28418	110095,66725,12394,64143,18115,14579,12978,17948,107607,268973,11302,195046,320790,15483,19332,378425,110197,212032,17951,26874,17921,80837,67795,12495,74137,26415,231287,226421,69288,276950,219144,12393,13139,23972,50770,18439,26406,213452,20393,11307,12361,108058,319555,18751,20112,80752,18704,223753,18754,14263,268379	Pygl,Lrrk2,Runx1,Ralb,Nnt,Gem,Csf1r,Naip2,Nod1,Nlrc4,Aatk,Nlrp1a,Chd7,Hsd11b1,Rab20,Nlrp12,Dgkg,Hk3,Naip5,Abcd2,Myo7a,Rhoj,Rnls,Entpd1,Nuak2,Mapk13,Atp10d,Rab7b,Rhobtb1,Slfn8,Arl11,Runx2,Dgka,Papss2,Atp11a,P2rx7,Map3k3,Dstyk,Sgk1,Abcg1,Cask,Camk2d,Nwd1,Prkcb,Rps6ka2,Fam20c,Pik3c2a,Cerk,Prkce,Fmo5,Abca13
GO:0035639	purine ribonucleoside triphosphate binding	6.30330708129626e-11	-23.4873615937273	1747	47	0.176029962546816	267	28418	231287,226421,26415,74137,12495,80837,17951,212032,26874,17921,378425,110197,320790,19332,195046,268973,11302,14579,17948,12978,107607,12394,64143,66725,110095,18754,268379,18704,223753,80752,20112,18751,108058,319555,12361,20393,11307,26406,213452,13139,18439,23972,50770,12393,219144,69288,276950	Atp10d,Rab7b,Mapk13,Nuak2,Entpd1,Rhoj,Naip5,Hk3,Abcd2,Myo7a,Nlrp12,Dgkg,Chd7,Rab20,Nlrp1a,Nlrc4,Aatk,Gem,Naip2,Csf1r,Nod1,Runx1,Ralb,Lrrk2,Pygl,Prkce,Abca13,Pik3c2a,Cerk,Fam20c,Rps6ka2,Prkcb,Camk2d,Nwd1,Cask,Sgk1,Abcg1,Map3k3,Dstyk,Dgka,P2rx7,Papss2,Atp11a,Runx2,Arl11,Rhobtb1,Slfn8
