TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50837	NACHT	7.123564224117e-06	-11.8521023645205	31	6	0.0285714285714286	210	13465	17948,378425,268973,17951,107607,195046	Naip2,Nlrp12,Nlrc4,Naip5,Nod1,Nlrp1a
PS00741	DH_1	2.93686448120888e-05	-10.4355829557288	24	5	0.0238095238095238	210	13465	213498,21844,219140,57257,71704	Arhgef11,Tiam1,Spata13,Vav3,Arhgef3
PS00022	EGF_1	0.00025032472006176	-8.2927516026702	164	10	0.0476190476190476	210	13465	228357,16971,226255,16414,12614,100042150,20343,171171,11990,14268	Lrp4,Lrp1,Atrnl1,Itgb2,Celsr1,Nrg2,Sell,Ntng2,Atrn,Fn1
PS50003	PH_DOMAIN	0.000346988586893337	-7.96621866935563	237	12	0.0571428571428571	210	13465	18805,105445,213498,224014,71704,69601,57257,219140,21844,71302,14389,20650	Pld1,Dock9,Arhgef11,Fgd4,Arhgef3,Dab2ip,Vav3,Spata13,Tiam1,Arhgap26,Gab2,Sntb2
PS50041	C_TYPE_LECTIN_2	0.000516513093580404	-7.56840991913461	118	8	0.0380952380952381	210	13465	17076,226255,216864,20343,11990,17064,108078,26888	Ly75,Atrnl1,Mgl2,Sell,Atrn,Cd93,Olr1,Clec4a2
PS50002	SH3	0.000628025064457491	-7.37293048073601	218	11	0.0523809523809524	210	13465	27059,378460,12361,17921,214459,18003,71302,235406,219140,13860,57257	Sh3d19,Pram1,Cask,Myo7a,Fnbp1l,Nedd9,Arhgap26,Snx33,Spata13,Eps8,Vav3
PS50010	DH_2	0.000655863824171542	-7.32955737567331	68	6	0.0285714285714286	210	13465	57257,71704,219140,21844,213498,224014	Vav3,Arhgef3,Spata13,Tiam1,Arhgef11,Fgd4
PS51062	RUNT	0.000718803226580081	-7.23792291422232	3	2	0.00952380952380952	210	13465	12394,12393	Runx1,Runx2
PS00023	FN2_1	0.000741520254696943	-7.20680808091722	12	3	0.0142857142857143	210	13465	14268,17076,17390	Fn1,Ly75,Mmp2
PS50853	FN3	0.000799286138019219	-7.13179155613348	190	10	0.0476190476190476	210	13465	72007,319448,60504,14268,237310,19273,19277,12986,12983,16194	Fndc3b,Fndc3a,Il21r,Fn1,Il22ra2,Ptpru,Ptpro,Csf3r,Csf2rb,Il6ra
PS50835	IG_LIKE	0.000824843796229609	-7.10031652745978	457	17	0.080952380952381	210	13465	100042150,16194,14131,80719,27218,71740,50723,11658,233186,22329,26365,52118,57781,12978,14130,74048,12489	Nrg2,Il6ra,Fcgr3,Igsf6,Slamf1,Nectin4,Icosl,Alcam,Siglecf,Vcam1,Ceacam1,Pvr,Cd200r1,Csf1r,Fcgr2b,Vsir,Cd33
PS50027	EGF_LAM_2	0.000877584055957823	-7.03833781694652	28	4	0.019047619047619	210	13465	11990,171171,226255,12614	Atrn,Ntng2,Atrnl1,Celsr1
PS51092	FN2_2	0.000952932102084043	-6.95596690334975	13	3	0.0142857142857143	210	13465	17390,14268,17076	Mmp2,Fn1,Ly75
PS01248	EGF_LAM_1	0.00100567571462166	-6.90209561054164	29	4	0.019047619047619	210	13465	12614,226255,11990,171171	Celsr1,Atrnl1,Atrn,Ntng2
PS50026	EGF_3	0.00118167897426638	-6.74081899226225	200	10	0.0476190476190476	210	13465	19224,18189,226255,16971,171171,11990,20343,17064,100042150,12614	Ptgs1,Nrxn1,Atrnl1,Lrp1,Ntng2,Atrn,Sell,Cd93,Nrg2,Celsr1
PS50146	DAGK	0.00148152755769217	-6.51468158991396	15	3	0.0142857142857143	210	13465	223753,110197,13139	Cerk,Dgkg,Dgka
PS01186	EGF_2	0.00189006437633858	-6.27114438893586	213	10	0.0476190476190476	210	13465	100042150,12614,20343,171171,11990,17064,228357,16971,16414,226255	Nrg2,Celsr1,Sell,Ntng2,Atrn,Cd93,Lrp4,Lrp1,Itgb2,Atrnl1
PS00479	ZF_DAG_PE_1	0.00222384377315642	-6.10851815094406	59	5	0.0238095238095238	210	13465	18754,13139,18751,110197,57257	Prkce,Dgka,Prkcb,Dgkg,Vav3
PS50200	RA	0.0030844434619296	-5.78138403921848	39	4	0.019047619047619	210	13465	17356,71323,76089,19731	Afdn,Rassf8,Rapgef2,Rgl1
PS50081	ZF_DAG_PE_2	0.00318110261235666	-5.75052740884271	64	5	0.0238095238095238	210	13465	110197,57257,18751,18754,13139	Dgkg,Vav3,Prkcb,Prkce,Dgka
PS51159	CBM21	0.0048281311220832	-5.33329581744058	7	2	0.00952380952380952	210	13465	228966,105651	Ppp1r3d,Ppp1r3e
PS50209	CARD	0.00594439133538651	-5.12530713669035	24	3	0.0142857142857143	210	13465	195046,107607,268973	Nlrp1a,Nod1,Nlrc4
PS50195	PX	0.00607224634193295	-5.10402666956469	47	4	0.019047619047619	210	13465	18805,18704,74478,235406	Pld1,Pik3c2a,Snx29,Snx33
PS01282	BIR_REPEAT_1	0.0081083372772206	-4.81486245317904	9	2	0.00952380952380952	210	13465	17951,17948	Naip5,Naip2
PS00149	SULFATASE_2	0.0081083372772206	-4.81486245317904	9	2	0.00952380952380952	210	13465	27029,11881	Sgsh,Arsb
