TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00325	RhoGEF	0.000984516536762067	-6.92335986290878	65	6	0.0342857142857143	175	9882	71704,57257,224014,219140,213498,21844	Arhgef3,Vav3,Fgd4,Spata13,Arhgef11,Tiam1
SM00409	IG	0.00108101092816097	-6.82985863106907	378	16	0.0914285714285714	175	9882	14131,26365,52118,16194,233186,14130,50723,57781,12489,22329,19273,71740,12978,11658,100042150,74048	Fcgr3,Ceacam1,Pvr,Il6ra,Siglecf,Fcgr2b,Icosl,Cd200r1,Cd33,Vcam1,Ptpru,Nectin4,Csf1r,Alcam,Nrg2,Vsir
SM00034	CLECT	0.00135552307464702	-6.60356786619219	121	8	0.0457142857142857	175	9882	216864,20343,17076,17064,11990,226255,108078,26888	Mgl2,Sell,Ly75,Cd93,Atrn,Atrnl1,Olr1,Clec4a2
SM00059	FN2	0.00137000538984935	-6.59294060495323	13	3	0.0171428571428571	175	9882	17390,17076,14268	Mmp2,Ly75,Fn1
SM00314	RA	0.00159683141859488	-6.43973397662689	29	4	0.0228571428571429	175	9882	71323,17356,19731,76089	Rassf8,Afdn,Rgl1,Rapgef2
SM00046	DAGKc	0.00172106019510358	-6.36481478554653	14	3	0.0171428571428571	175	9882	13139,110197,223753	Dgka,Dgkg,Cerk
SM00233	PH	0.00172558127031472	-6.36219131696149	252	12	0.0685714285714286	175	9882	71302,213498,21844,57257,71704,219140,20650,69601,14389,105445,224014,18805	Arhgap26,Arhgef11,Tiam1,Vav3,Arhgef3,Spata13,Sntb2,Dab2ip,Gab2,Dock9,Fgd4,Pld1
SM00326	SH3	0.00252092833035661	-5.98312806023378	196	10	0.0571428571428571	175	9882	214459,12361,13860,18003,71302,235406,17921,57257,27059,219140	Fnbp1l,Cask,Eps8,Nedd9,Arhgap26,Snx33,Myo7a,Vav3,Sh3d19,Spata13
SM00180	EGF_Lam	0.00324167005270643	-5.7316666336096	35	4	0.0228571428571429	175	9882	11990,171171,12614,226255	Atrn,Ntng2,Celsr1,Atrnl1
SM00423	PSI	0.00528350467442388	-5.24316563736249	40	4	0.0228571428571429	175	9882	67784,16414,11990,226255	Plxnd1,Itgb2,Atrn,Atrnl1
