TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0006952	defense response	6.67622633104439e-28	-62.5738296964148	1482	34	0.548387096774194	62	29090	100702,74481,381809,12655,55932,16145,667373,16161,13601,83382,16362,23962,14991,21897,74482,54396,229898,547253,20846,246727,14469,229900,76969,384059,17476,60440,12977,15018,58203,243958,631323,56221,15162,93719	Gbp6,Batf2,Clec4b2,Chil3,Gbp3,Igtp,Ifit1bl1,Il12rb1,Ecm1,Siglece,Irf1,Oasl2,H2-M3,Tlr1,Ifitm7,Irgm2,Gbp5,Parp14,Stat1,Oas3,Gbp2,Gbp7,Chst1,Tlr12,Mpeg1,Iigp1,Csf1,H2-Q7,Zbp1,Siglecg,Gm12250,Ccl24,Hck,Ear6
GO:0098542	defense response to other organism	9.67061884864765e-27	-59.900705206664	1072	30	0.483870967741935	62	29090	100702,55932,16145,381809,74481,16362,16161,667373,229898,547253,54396,74482,14991,23962,21897,14469,20846,246727,17476,384059,229900,15162,56221,243958,631323,58203,15018,12977,60440,93719	Gbp6,Gbp3,Igtp,Clec4b2,Batf2,Irf1,Il12rb1,Ifit1bl1,Gbp5,Parp14,Irgm2,Ifitm7,H2-M3,Oasl2,Tlr1,Gbp2,Stat1,Oas3,Mpeg1,Tlr12,Gbp7,Hck,Ccl24,Siglecg,Gm12250,Zbp1,H2-Q7,Csf1,Iigp1,Ear6
GO:0140546	defense response to symbiont	1.27457317382692e-25	-57.3220159679132	934	28	0.451612903225806	62	29090	16145,55932,381809,100702,54396,229898,547253,74482,23962,21897,16362,667373,16161,384059,17476,229900,14469,20846,246727,93719,56221,15162,631323,243958,58203,12977,60440,15018	Igtp,Gbp3,Clec4b2,Gbp6,Irgm2,Gbp5,Parp14,Ifitm7,Oasl2,Tlr1,Irf1,Ifit1bl1,Il12rb1,Tlr12,Mpeg1,Gbp7,Gbp2,Stat1,Oas3,Ear6,Ccl24,Hck,Gm12250,Siglecg,Zbp1,Csf1,Iigp1,H2-Q7
GO:0051707	response to other organism	1.1732765046201e-24	-55.1022419656506	1547	32	0.516129032258065	62	29090	20846,246727,14469,229900,17476,384059,238393,58203,15018,60440,12977,15162,56221,631323,243958,93719,100702,74481,110454,16145,55932,381809,16161,667373,16362,74482,23962,21897,14991,229898,547253,54396	Stat1,Oas3,Gbp2,Gbp7,Mpeg1,Tlr12,Serpina3f,Zbp1,H2-Q7,Iigp1,Csf1,Hck,Ccl24,Gm12250,Siglecg,Ear6,Gbp6,Batf2,Ly6a,Igtp,Gbp3,Clec4b2,Il12rb1,Ifit1bl1,Irf1,Ifitm7,Oasl2,Tlr1,H2-M3,Gbp5,Parp14,Irgm2
GO:0043207	response to external biotic stimulus	1.22073957014928e-24	-55.0625853517396	1549	32	0.516129032258065	62	29090	14469,246727,20846,384059,17476,229900,631323,243958,56221,15162,60440,12977,15018,58203,238393,93719,100702,381809,16145,55932,110454,74481,16362,667373,16161,54396,229898,547253,14991,23962,21897,74482	Gbp2,Oas3,Stat1,Tlr12,Mpeg1,Gbp7,Gm12250,Siglecg,Ccl24,Hck,Iigp1,Csf1,H2-Q7,Zbp1,Serpina3f,Ear6,Gbp6,Clec4b2,Igtp,Gbp3,Ly6a,Batf2,Irf1,Ifit1bl1,Il12rb1,Irgm2,Gbp5,Parp14,H2-M3,Oasl2,Tlr1,Ifitm7
GO:0009607	response to biotic stimulus	2.71988302327043e-24	-54.2614533586246	1590	32	0.516129032258065	62	29090	74481,110454,381809,55932,16145,100702,21897,23962,14991,74482,229898,547253,54396,16161,667373,16362,229900,17476,384059,246727,20846,14469,93719,15018,12977,60440,238393,58203,631323,243958,15162,56221	Batf2,Ly6a,Clec4b2,Gbp3,Igtp,Gbp6,Tlr1,Oasl2,H2-M3,Ifitm7,Gbp5,Parp14,Irgm2,Il12rb1,Ifit1bl1,Irf1,Gbp7,Mpeg1,Tlr12,Oas3,Stat1,Gbp2,Ear6,H2-Q7,Csf1,Iigp1,Serpina3f,Zbp1,Gm12250,Siglecg,Hck,Ccl24
GO:0006955	immune response	5.60489131463013e-24	-53.5384025663095	1628	32	0.516129032258065	62	29090	100702,381809,16145,55932,16362,16161,20715,54396,547253,229898,12984,23962,14991,21897,74482,12268,14469,246727,20846,384059,17476,15015,229900,243958,56221,110557,15162,60440,12977,15018,58203,93719	Gbp6,Clec4b2,Igtp,Gbp3,Irf1,Il12rb1,Serpina3g,Irgm2,Parp14,Gbp5,Csf2rb2,Oasl2,H2-M3,Tlr1,Ifitm7,C4b,Gbp2,Oas3,Stat1,Tlr12,Mpeg1,H2-Q4,Gbp7,Siglecg,Ccl24,H2-Q6,Hck,Iigp1,Csf1,H2-Q7,Zbp1,Ear6
GO:0006950	response to stress	8.15706061531499e-24	-53.1631583464868	3411	41	0.661290322580645	62	29090	14469,246727,20846,384059,17476,76969,229900,56221,15162,243958,631323,58203,18792,12977,60440,15018,15442,93719,100702,55932,16145,381809,14778,12655,74481,226101,83382,13601,16362,74145,667373,16161,12364,211323,54396,229898,547253,74482,14991,23962,21897	Gbp2,Oas3,Stat1,Tlr12,Mpeg1,Chst1,Gbp7,Ccl24,Hck,Siglecg,Gm12250,Zbp1,Plau,Csf1,Iigp1,H2-Q7,Hpse,Ear6,Gbp6,Gbp3,Igtp,Clec4b2,Gpx3,Chil3,Batf2,Myof,Siglece,Ecm1,Irf1,F13a1,Ifit1bl1,Il12rb1,Casp12,Nrg1,Irgm2,Gbp5,Parp14,Ifitm7,H2-M3,Oasl2,Tlr1
GO:0045087	innate immune response	8.28922632132836e-24	-53.1470855938047	752	25	0.403225806451613	62	29090	16145,55932,381809,100702,74482,23962,21897,547253,229898,54396,16161,16362,229900,17476,384059,246727,20846,14469,93719,58203,15018,60440,12977,15162,243958	Igtp,Gbp3,Clec4b2,Gbp6,Ifitm7,Oasl2,Tlr1,Parp14,Gbp5,Irgm2,Il12rb1,Irf1,Gbp7,Mpeg1,Tlr12,Oas3,Stat1,Gbp2,Ear6,Zbp1,H2-Q7,Iigp1,Csf1,Hck,Siglecg
GO:0044419	biological process involved in interspecies interaction between organisms	2.51339290482084e-23	-52.0378235436088	1710	32	0.516129032258065	62	29090	547253,229898,54396,74482,14991,23962,21897,16362,16161,667373,16145,55932,381809,74481,110454,100702,93719,15162,56221,631323,243958,238393,58203,15018,60440,12977,17476,384059,229900,14469,246727,20846	Parp14,Gbp5,Irgm2,Ifitm7,H2-M3,Oasl2,Tlr1,Irf1,Il12rb1,Ifit1bl1,Igtp,Gbp3,Clec4b2,Batf2,Ly6a,Gbp6,Ear6,Hck,Ccl24,Gm12250,Siglecg,Serpina3f,Zbp1,H2-Q7,Iigp1,Csf1,Mpeg1,Tlr12,Gbp7,Gbp2,Oas3,Stat1
GO:0009605	response to external stimulus	3.5679068877004e-23	-51.6874780209823	2070	34	0.548387096774194	62	29090	100702,16145,55932,381809,110454,74481,16362,667373,16161,211323,54396,18187,229898,547253,74482,23962,14991,21897,14469,20846,246727,384059,17476,229900,56221,15162,631323,243958,58203,238393,12977,60440,15018,93719	Gbp6,Igtp,Gbp3,Clec4b2,Ly6a,Batf2,Irf1,Ifit1bl1,Il12rb1,Nrg1,Irgm2,Nrp2,Gbp5,Parp14,Ifitm7,Oasl2,H2-M3,Tlr1,Gbp2,Stat1,Oas3,Tlr12,Mpeg1,Gbp7,Ccl24,Hck,Gm12250,Siglecg,Zbp1,Serpina3f,Csf1,Iigp1,H2-Q7,Ear6
