TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0030430	host cell cytoplasm	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	100702,60440,14469,55932,229900	Gbp6,Iigp1,Gbp2,Gbp3,Gbp7
GO:0033655	host cell cytoplasm part	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	60440,229900,14469,55932,100702	Iigp1,Gbp7,Gbp2,Gbp3,Gbp6
GO:0043656	host intracellular region	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	100702,229900,55932,14469,60440	Gbp6,Gbp7,Gbp3,Gbp2,Iigp1
GO:0033643	host cell part	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	229900,14469,55932,60440,100702	Gbp7,Gbp2,Gbp3,Iigp1,Gbp6
GO:0033646	host intracellular part	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	55932,14469,229900,60440,100702	Gbp3,Gbp2,Gbp7,Iigp1,Gbp6
GO:0020003	symbiont-containing vacuole	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	100702,60440,229900,14469,55932	Gbp6,Iigp1,Gbp7,Gbp2,Gbp3
GO:0018995	host cellular component	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	100702,60440,14469,55932,229900	Gbp6,Iigp1,Gbp2,Gbp3,Gbp7
GO:0020005	symbiont-containing vacuole membrane	8.20732833277957e-13	-27.8285787546442	7	5	0.0806451612903226	62	28799	100702,60440,229900,14469,55932	Gbp6,Iigp1,Gbp7,Gbp2,Gbp3
GO:0110165	cellular anatomical entity	3.02139796617578e-11	-24.2227163959469	19495	62	1	62	28799	54396,16145,14991,20715,55932,243958,67103,18792,667373,381809,631323,12364,15442,15162,74481,16362,12763,382062,71520,83382,15901,76969,238393,14469,229595,239849,16161,20846,23962,15015,60440,21897,17476,110557,380713,211323,14778,100702,107321,226101,12977,110454,18187,56221,246727,547253,22158,93719,14121,15018,13601,229900,12268,74145,74482,12984,58203,384059,12655,545156,229898,236312	Irgm2,Igtp,H2-M3,Serpina3g,Gbp3,Siglecg,Ptgr1,Plau,Ifit1bl1,Clec4b2,Gm12250,Casp12,Hpse,Hck,Batf2,Irf1,Cmah,AB124611,Grap,Siglece,Id1,Chst1,Serpina3f,Gbp2,Adamtsl4,Cd200r4,Il12rb1,Stat1,Oasl2,H2-Q4,Iigp1,Tlr1,Mpeg1,H2-Q6,Scarf1,Nrg1,Gpx3,Gbp6,Lpxn,Myof,Csf1,Ly6a,Nrp2,Ccl24,Oas3,Parp14,Tulp3,Ear6,Fbp1,H2-Q7,Ecm1,Gbp7,C4b,F13a1,Ifitm7,Csf2rb2,Zbp1,Tlr12,Chil3,Kalrn,Gbp5,Ifi209
GO:0005576	extracellular region	3.5052086755049e-11	-24.0741859676995	2593	25	0.403225806451613	62	28799	211323,110557,100702,14778,60440,14469,229595,12655,15015,238393,229900,13601,12268,74145,93719,22158,15018,14121,15442,56221,55932,18792,12977,20715,14991	Nrg1,H2-Q6,Gbp6,Gpx3,Iigp1,Gbp2,Adamtsl4,Chil3,H2-Q4,Serpina3f,Gbp7,Ecm1,C4b,F13a1,Ear6,Tulp3,H2-Q7,Fbp1,Hpse,Ccl24,Gbp3,Plau,Csf1,Serpina3g,H2-M3
GO:0106139	symbiont cell surface	1.35394901561729e-09	-20.4202403178054	8	4	0.0645161290322581	62	28799	631323,14469,229898,12268	Gm12250,Gbp2,Gbp5,C4b
GO:0044217	other organism part	2.43318169703735e-09	-19.8340660956879	9	4	0.0645161290322581	62	28799	229898,12268,631323,14469	Gbp5,C4b,Gm12250,Gbp2
GO:0009897	external side of plasma membrane	2.44122363258218e-08	-17.5281813415875	552	11	0.17741935483871	62	28799	15018,381809,110557,14991,83382,110454,12984,18792,15015,239849,16161	H2-Q7,Clec4b2,H2-Q6,H2-M3,Siglece,Ly6a,Csf2rb2,Plau,H2-Q4,Cd200r4,Il12rb1
GO:0098552	side of membrane	2.45900915738495e-07	-15.2183371637032	857	12	0.193548387096774	62	28799	16161,239849,15015,18792,110454,12984,83382,14991,110557,381809,15018,15162	Il12rb1,Cd200r4,H2-Q4,Plau,Ly6a,Csf2rb2,Siglece,H2-M3,H2-Q6,Clec4b2,H2-Q7,Hck
GO:0032398	MHC class Ib protein complex	2.80895417447827e-07	-15.0852834167898	26	4	0.0645161290322581	62	28799	110557,15018,15015,14991	H2-Q6,H2-Q7,H2-Q4,H2-M3
GO:0005615	extracellular space	4.17757879443405e-07	-14.6883638080248	1929	17	0.274193548387097	62	28799	93719,15018,15442,14121,211323,110557,13601,12268,14778,12977,238393,20715,14991,56221,15015,12655,18792	Ear6,H2-Q7,Hpse,Fbp1,Nrg1,H2-Q6,Ecm1,C4b,Gpx3,Csf1,Serpina3f,Serpina3g,H2-M3,Ccl24,H2-Q4,Chil3,Plau
