TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05168	Herpes simplex infection	4.44305950686844e-12	-26.1396778986662	213	13	0.351351351351351	37	8044	14960,15024,14961,54123,18636,23960,14999,14969,21354,15957,15039,246730,16149	H2-Aa,H2-T10,H2-Ab1,Irf7,Cfp,Oas1g,H2-DMb1,H2-Eb1,Tap1,Ifit1,H2-T22,Oas1a,Cd74
ko05168	Herpes simplex infection	4.44305950686844e-12	-26.1396778986662	213	13	0.351351351351351	37	8044	15957,15039,246730,16149,14999,23960,14969,21354,14960,15024,14961,54123,18636	Ifit1,H2-T22,Oas1a,Cd74,H2-DMb1,Oas1g,H2-Eb1,Tap1,H2-Aa,H2-T10,H2-Ab1,Irf7,Cfp
mmu04612	Antigen processing and presentation	4.4710704571672e-12	-26.1333932600965	89	10	0.27027027027027	37	8044	14969,15039,14999,15511,21354,16149,13040,14960,15024,14961	H2-Eb1,H2-T22,H2-DMb1,Hspa1b,Tap1,Cd74,Ctss,H2-Aa,H2-T10,H2-Ab1
ko04612	Antigen processing and presentation	4.4710704571672e-12	-26.1333932600965	89	10	0.27027027027027	37	8044	16149,13040,15511,21354,14969,14999,15039,14961,15024,14960	Cd74,Ctss,Hspa1b,Tap1,H2-Eb1,H2-DMb1,H2-T22,H2-Ab1,H2-T10,H2-Aa
ko04145	Phagosome	5.63399149662455e-09	-18.9944476767897	182	10	0.27027027027027	37	8044	225326,56644,14969,15039,14999,21354,13040,14960,14961,15024	Pik3c3,Clec7a,H2-Eb1,H2-T22,H2-DMb1,Tap1,Ctss,H2-Aa,H2-Ab1,H2-T10
mmu04145	Phagosome	5.63399149662455e-09	-18.9944476767897	182	10	0.27027027027027	37	8044	15024,14961,14960,13040,21354,14999,15039,14969,56644,225326	H2-T10,H2-Ab1,H2-Aa,Ctss,Tap1,H2-DMb1,H2-T22,H2-Eb1,Clec7a,Pik3c3
mmu05164	Influenza A	4.59560461003186e-08	-16.8955804168154	168	9	0.243243243243243	37	8044	14960,54123,14961,15945,14969,14999,23960,246730,15511	H2-Aa,Irf7,H2-Ab1,Cxcl10,H2-Eb1,H2-DMb1,Oas1g,Oas1a,Hspa1b
ko05164	Influenza A	4.59560461003186e-08	-16.8955804168154	168	9	0.243243243243243	37	8044	246730,15511,23960,14999,14969,15945,14961,54123,14960	Oas1a,Hspa1b,Oas1g,H2-DMb1,H2-Eb1,Cxcl10,H2-Ab1,Irf7,H2-Aa
ko05330	Allograft rejection	3.16061885613014e-07	-14.9673278019862	62	6	0.162162162162162	37	8044	14999,15039,14969,15024,14961,14960	H2-DMb1,H2-T22,H2-Eb1,H2-T10,H2-Ab1,H2-Aa
mmu05330	Allograft rejection	3.16061885613014e-07	-14.9673278019862	62	6	0.162162162162162	37	8044	14999,14961,15024,15039,14969,14960	H2-DMb1,H2-Ab1,H2-T10,H2-T22,H2-Eb1,H2-Aa
ko05332	Graft-versus-host disease	3.48174301912954e-07	-14.8705626149983	63	6	0.162162162162162	37	8044	14961,15024,14960,14969,15039,14999	H2-Ab1,H2-T10,H2-Aa,H2-Eb1,H2-T22,H2-DMb1
mmu05332	Graft-versus-host disease	3.48174301912954e-07	-14.8705626149983	63	6	0.162162162162162	37	8044	14969,14999,15039,14960,14961,15024	H2-Eb1,H2-DMb1,H2-T22,H2-Aa,H2-Ab1,H2-T10
mmu05145	Toxoplasmosis	4.77900623150431e-07	-14.5538630274284	108	7	0.189189189189189	37	8044	15511,15944,12703,14999,14969,14960,14961	Hspa1b,Irgm1,Socs1,H2-DMb1,H2-Eb1,H2-Aa,H2-Ab1
ko05145	Toxoplasmosis	4.77900623150431e-07	-14.5538630274284	108	7	0.189189189189189	37	8044	15511,15944,12703,14999,14969,14960,14961	Hspa1b,Irgm1,Socs1,H2-DMb1,H2-Eb1,H2-Aa,H2-Ab1
mmu04940	Type I diabetes mellitus	5.51643617007545e-07	-14.4103636205357	68	6	0.162162162162162	37	8044	14961,15024,14960,14969,15039,14999	H2-Ab1,H2-T10,H2-Aa,H2-Eb1,H2-T22,H2-DMb1
ko04940	Type I diabetes mellitus	5.51643617007545e-07	-14.4103636205357	68	6	0.162162162162162	37	8044	15039,14999,14969,15024,14961,14960	H2-T22,H2-DMb1,H2-Eb1,H2-T10,H2-Ab1,H2-Aa
ko05152	Tuberculosis	1.09609809244819e-06	-13.7237538730344	178	8	0.216216216216216	37	8044	14960,56644,225326,14999,14961,14969,13040,16149	H2-Aa,Clec7a,Pik3c3,H2-DMb1,H2-Ab1,H2-Eb1,Ctss,Cd74
mmu05152	Tuberculosis	1.09609809244819e-06	-13.7237538730344	178	8	0.216216216216216	37	8044	225326,56644,14969,14999,16149,13040,14960,14961	Pik3c3,Clec7a,H2-Eb1,H2-DMb1,Cd74,Ctss,H2-Aa,H2-Ab1
mmu05320	Autoimmune thyroid disease	1.15977860859534e-06	-13.6672814257203	77	6	0.162162162162162	37	8044	14969,15039,14999,14961,15024,14960	H2-Eb1,H2-T22,H2-DMb1,H2-Ab1,H2-T10,H2-Aa
ko05320	Autoimmune thyroid disease	1.15977860859534e-06	-13.6672814257203	77	6	0.162162162162162	37	8044	14960,15024,14961,14969,14999,15039	H2-Aa,H2-T10,H2-Ab1,H2-Eb1,H2-DMb1,H2-T22
mmu05416	Viral myocarditis	2.2321187915628e-06	-13.0125592928351	86	6	0.162162162162162	37	8044	14960,14961,15024,14969,14999,15039	H2-Aa,H2-Ab1,H2-T10,H2-Eb1,H2-DMb1,H2-T22
ko05150	Staphylococcus aureus infection	3.45705880912126e-06	-12.5750923855637	52	5	0.135135135135135	37	8044	20344,14999,14961,14969,14960	Selp,H2-DMb1,H2-Ab1,H2-Eb1,H2-Aa
mmu05150	Staphylococcus aureus infection	3.45705880912126e-06	-12.5750923855637	52	5	0.135135135135135	37	8044	14969,14961,14999,14960,20344	H2-Eb1,H2-Ab1,H2-DMb1,H2-Aa,Selp
mmu05310	Asthma	4.47292594811021e-06	-12.317467788958	25	4	0.108108108108108	37	8044	14960,14969,14961,14999	H2-Aa,H2-Eb1,H2-Ab1,H2-DMb1
ko05310	Asthma	4.47292594811021e-06	-12.317467788958	25	4	0.108108108108108	37	8044	14999,14961,14969,14960	H2-DMb1,H2-Ab1,H2-Eb1,H2-Aa
ko04514	Cell adhesion molecules (CAMs)	8.92908105844502e-06	-11.6261970733603	167	7	0.189189189189189	37	8044	20344,15039,14999,14969,14961,15024,14960	Selp,H2-T22,H2-DMb1,H2-Eb1,H2-Ab1,H2-T10,H2-Aa
mmu04514	Cell adhesion molecules (CAMs)	8.92908105844502e-06	-11.6261970733603	167	7	0.189189189189189	37	8044	14969,14999,15039,20344,14960,15024,14961	H2-Eb1,H2-DMb1,H2-T22,Selp,H2-Aa,H2-T10,H2-Ab1
ko04672	Intestinal immune network for IgA production	4.1130862677824e-05	-10.0987518015236	43	4	0.108108108108108	37	8044	14960,14999,14961,14969	H2-Aa,H2-DMb1,H2-Ab1,H2-Eb1
mmu04672	Intestinal immune network for IgA production	4.1130862677824e-05	-10.0987518015236	43	4	0.108108108108108	37	8044	14960,14961,14999,14969	H2-Aa,H2-Ab1,H2-DMb1,H2-Eb1
ko05321	Inflammatory bowel disease (IBD)	0.000143924406811815	-8.84622234891991	59	4	0.108108108108108	37	8044	14960,14961,14999,14969	H2-Aa,H2-Ab1,H2-DMb1,H2-Eb1
mmu05321	Inflammatory bowel disease (IBD)	0.000143924406811815	-8.84622234891991	59	4	0.108108108108108	37	8044	14960,14961,14999,14969	H2-Aa,H2-Ab1,H2-DMb1,H2-Eb1
ko05140	Leishmaniasis	0.000222737188866633	-8.4095180067729	66	4	0.108108108108108	37	8044	14960,14999,14961,14969	H2-Aa,H2-DMb1,H2-Ab1,H2-Eb1
mmu05140	Leishmaniasis	0.000222737188866633	-8.4095180067729	66	4	0.108108108108108	37	8044	14969,14999,14961,14960	H2-Eb1,H2-DMb1,H2-Ab1,H2-Aa
ko05166	HTLV-I infection	0.000246314768510829	-8.30890029316228	281	7	0.189189189189189	37	8044	14969,15039,14999,18186,15024,14961,14960	H2-Eb1,H2-T22,H2-DMb1,Nrp1,H2-T10,H2-Ab1,H2-Aa
mmu05166	HTLV-I infection	0.000246314768510829	-8.30890029316228	281	7	0.189189189189189	37	8044	14960,14961,15024,18186,14969,14999,15039	H2-Aa,H2-Ab1,H2-T10,Nrp1,H2-Eb1,H2-DMb1,H2-T22
ko05323	Rheumatoid arthritis	0.000537112911302099	-7.5293022224252	83	4	0.108108108108108	37	8044	14960,14961,14999,14969	H2-Aa,H2-Ab1,H2-DMb1,H2-Eb1
mmu05323	Rheumatoid arthritis	0.000537112911302099	-7.5293022224252	83	4	0.108108108108108	37	8044	14999,14961,14969,14960	H2-DMb1,H2-Ab1,H2-Eb1,H2-Aa
mmu04658	Th1 and Th2 cell differentiation	0.000642124611139299	-7.35072817476114	87	4	0.108108108108108	37	8044	14969,14999,14961,14960	H2-Eb1,H2-DMb1,H2-Ab1,H2-Aa
ko04658	Th1 and Th2 cell differentiation	0.000642124611139299	-7.35072817476114	87	4	0.108108108108108	37	8044	14969,14999,14961,14960	H2-Eb1,H2-DMb1,H2-Ab1,H2-Aa
mmu04640	Hematopoietic cell lineage	0.000825880496845531	-7.09906047185247	93	4	0.108108108108108	37	8044	14961,14999,14969,14960	H2-Ab1,H2-DMb1,H2-Eb1,H2-Aa
ko04640	Hematopoietic cell lineage	0.000825880496845531	-7.09906047185247	93	4	0.108108108108108	37	8044	14960,14969,14999,14961	H2-Aa,H2-Eb1,H2-DMb1,H2-Ab1
mmu04659	Th17 cell differentiation	0.00116711206714282	-6.7532229001745	102	4	0.108108108108108	37	8044	14961,14999,14969,14960	H2-Ab1,H2-DMb1,H2-Eb1,H2-Aa
ko04659	Th17 cell differentiation	0.00116711206714282	-6.7532229001745	102	4	0.108108108108108	37	8044	14960,14961,14999,14969	H2-Aa,H2-Ab1,H2-DMb1,H2-Eb1
M00337	Immunoproteasome	0.00300715821422576	-5.80675976105368	18	2	0.0540540540540541	37	8044	16912,19171	Psmb9,Psmb10
mmu_M00337	Immunoproteasome	0.00300715821422576	-5.80675976105368	18	2	0.0540540540540541	37	8044	16912,19171	Psmb9,Psmb10
mmu05160	Hepatitis C	0.00317591961362439	-5.75215804648923	134	4	0.108108108108108	37	8044	246730,15957,54123,23960	Oas1a,Ifit1,Irf7,Oas1g
ko05160	Hepatitis C	0.00317591961362439	-5.75215804648923	134	4	0.108108108108108	37	8044	23960,54123,15957,246730	Oas1g,Irf7,Ifit1,Oas1a
ko05162	Measles	0.00335009022761261	-5.69876799989216	136	4	0.108108108108108	37	8044	54123,23960,246730,15511	Irf7,Oas1g,Oas1a,Hspa1b
mmu05162	Measles	0.00335009022761261	-5.69876799989216	136	4	0.108108108108108	37	8044	54123,23960,246730,15511	Irf7,Oas1g,Oas1a,Hspa1b
ko04622	RIG-I-like receptor signaling pathway	0.00365568540339776	-5.61147167849156	68	3	0.0810810810810811	37	8044	54123,15945,100038882	Irf7,Cxcl10,Isg15
mmu04622	RIG-I-like receptor signaling pathway	0.00365568540339776	-5.61147167849156	68	3	0.0810810810810811	37	8044	100038882,15945,54123	Isg15,Cxcl10,Irf7
ko05322	Systemic lupus erythematosus	0.00391163403948258	-5.543800079375	142	4	0.108108108108108	37	8044	14960,14969,14961,14999	H2-Aa,H2-Eb1,H2-Ab1,H2-DMb1
