TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-168256	Immune System	4.96845485754528e-11	-23.7253271250175	1692	24	0.727272727272727	33	8672	15511,100038882,21354,13586,16149,14960,54123,12703,17105,66141,27007,18636,16912,14969,13040,56644,83433,15024,19171,225326,56615,14999,14961,15039	Hspa1b,Isg15,Tap1,Ear1,Cd74,H2-Aa,Irf7,Socs1,Lyz2,Ifitm3,Klrk1,Cfp,Psmb9,H2-Eb1,Ctss,Clec7a,Trem2,H2-T10,Psmb10,Pik3c3,Mgst1,H2-DMb1,H2-Ab1,H2-T22
R-MMU-1280218	Adaptive Immune System	1.29262017115707e-08	-18.1640094451237	604	14	0.424242424242424	33	8672	27007,19171,66141,15024,14999,16912,15039,14961,21354,14969,13040,83433,14960,16149	Klrk1,Psmb10,Ifitm3,H2-T10,H2-DMb1,Psmb9,H2-T22,H2-Ab1,Tap1,H2-Eb1,Ctss,Trem2,H2-Aa,Cd74
R-MMU-2132295	MHC class II antigen presentation	1.2080467686496e-06	-13.6265057434316	94	6	0.181818181818182	33	8672	13040,14969,14961,14960,16149,14999	Ctss,H2-Eb1,H2-Ab1,H2-Aa,Cd74,H2-DMb1
R-MMU-168249	Innate Immune System	8.78959583585983e-06	-11.6419418273175	1181	15	0.454545454545455	33	8672	17105,56644,83433,54123,13586,13040,15511,15039,16912,225326,18636,56615,15024,19171,27007	Lyz2,Clec7a,Trem2,Irf7,Ear1,Ctss,Hspa1b,H2-T22,Psmb9,Pik3c3,Cfp,Mgst1,H2-T10,Psmb10,Klrk1
R-MMU-202430	Translocation of ZAP-70 to Immunological synapse	1.07916076540814e-05	-11.4367417949753	12	3	0.0909090909090909	33	8672	14961,14969,14960	H2-Ab1,H2-Eb1,H2-Aa
R-MMU-202427	Phosphorylation of CD3 and TCR zeta chains	1.77627128846453e-05	-10.9384090795519	14	3	0.0909090909090909	33	8672	14969,14960,14961	H2-Eb1,H2-Aa,H2-Ab1
R-MMU-202424	Downstream TCR signaling	1.82058779922323e-05	-10.9137660494178	88	5	0.151515151515152	33	8672	16912,14960,19171,14969,14961	Psmb9,H2-Aa,Psmb10,H2-Eb1,H2-Ab1
R-MMU-389948	PD-1 signaling	2.71857149994857e-05	-10.5128189064621	16	3	0.0909090909090909	33	8672	14961,14960,14969	H2-Ab1,H2-Aa,H2-Eb1
R-MMU-1236975	Antigen processing-Cross presentation	2.92304779822246e-05	-10.440298626521	97	5	0.151515151515152	33	8672	15039,21354,19171,15024,16912	H2-T22,Tap1,Psmb10,H2-T10,Psmb9
R-MMU-202403	TCR signaling	4.90786496410582e-05	-9.92208645192594	108	5	0.151515151515152	33	8672	14961,19171,14969,16912,14960	H2-Ab1,Psmb10,H2-Eb1,Psmb9,H2-Aa
R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	6.0971931117913e-05	-9.70509694529842	113	5	0.151515151515152	33	8672	15039,27007,83433,66141,15024	H2-T22,Klrk1,Trem2,Ifitm3,H2-T10
R-MMU-202433	Generation of second messenger molecules	0.000122986050627314	-9.00343961855723	26	3	0.0909090909090909	33	8672	14961,14960,14969	H2-Ab1,H2-Aa,H2-Eb1
R-MMU-1236974	ER-Phagosome pathway	0.000485011925259558	-7.63133707916504	41	3	0.0909090909090909	33	8672	15039,15024,21354	H2-T22,H2-T10,Tap1
R-MMU-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	0.000726379253119067	-7.22743829231983	47	3	0.0909090909090909	33	8672	15039,15024,21354	H2-T22,H2-T10,Tap1
R-MMU-6798695	Neutrophil degranulation	0.000933526894772166	-6.97654078471496	559	8	0.242424242424242	33	8672	15024,15511,56615,13586,18636,13040,15039,17105	H2-T10,Hspa1b,Mgst1,Ear1,Cfp,Ctss,H2-T22,Lyz2
R-MMU-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	0.00103323587805522	-6.87505977216622	53	3	0.0909090909090909	33	8672	16912,15511,19171	Psmb9,Hspa1b,Psmb10
R-MMU-983169	Class I MHC mediated antigen processing & presentation	0.00115524312538314	-6.76344445899279	213	5	0.151515151515152	33	8672	15039,21354,19171,15024,16912	H2-T22,Tap1,Psmb10,H2-T10,Psmb9
R-MMU-388841	Costimulation by the CD28 family	0.00134345397119288	-6.61251139086565	58	3	0.0909090909090909	33	8672	14961,14960,14969	H2-Ab1,H2-Aa,H2-Eb1
R-MMU-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	0.00375021975209003	-5.58594084015942	83	3	0.0909090909090909	33	8672	16912,15511,19171	Psmb9,Hspa1b,Psmb10
R-MMU-5607764	CLEC7A (Dectin-1) signaling	0.00531809863679225	-5.23663943861006	94	3	0.0909090909090909	33	8672	19171,56644,16912	Psmb10,Clec7a,Psmb9
R-MMU-1236977	Endosomal/Vacuolar pathway	0.00648574875800016	-5.03814800789412	32	2	0.0606060606060606	33	8672	15039,15024	H2-T22,H2-T10
R-MMU-936964	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	0.00759665760342301	-4.88004691744869	2	1	0.0303030303030303	33	8672	54123	Irf7
R-MMU-5621481	C-type lectin receptors (CLRs)	0.00972698293689427	-4.63285150929661	117	3	0.0909090909090909	33	8672	19171,16912,56644	Psmb10,Psmb9,Clec7a
