TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PENTOSE-P-PWY	pentose phosphate pathway	0.00307156928631415	-5.78556667980448	11	5	0.0462962962962963	108	1039	110208,21881,19895,14381,21351	Pgd,Tkt,Rpia,G6pdx,Taldo1
META_PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	0.00556586722002442	-5.19110247171016	8	4	0.037037037037037	108	1039	20397,67103,81535,20698	Sgpl1,Ptgr1,Sgpp1,Sphk1
MOUSE_PWY-5920	heme biosynthesis II	0.00922279002595512	-4.68607768133759	9	4	0.037037037037037	108	1039	15288,12892,17025,11655	Hmbs,Cpox,Alad,Alas1
MOUSE_PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	0.00922279002595512	-4.68607768133759	9	4	0.037037037037037	108	1039	20397,81535,67103,20698	Sgpl1,Sgpp1,Ptgr1,Sphk1
MOUSE_PWY-5189	tetrapyrrole biosynthesis II	0.00935453141626589	-4.67189440963235	5	3	0.0277777777777778	108	1039	11655,17025,15288	Alas1,Alad,Hmbs
MOUSE_PWY-6608	guanosine nucleotides degradation III	0.0107150606129847	-4.53610499323781	2	2	0.0185185185185185	108	1039	22436,14544	Xdh,Gda
MOUSE_PWY3DJ-5523	sucrose degradation	0.0173005475140656	-4.05701712976731	6	3	0.0277777777777778	108	1039	212032,14751,15277	Hk3,Gpi1,Hk2
MOUSE_NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	0.0173005475140656	-4.05701712976731	6	3	0.0277777777777778	108	1039	21881,19895,21351	Tkt,Rpia,Taldo1
MOUSE_PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	0.0280080542015506	-3.5752631601149	7	3	0.0277777777777778	108	1039	23917,23918,22436	Impdh1,Impdh2,Xdh
MOUSE_PWY-6353	purine nucleotides degradation II (aerobic)	0.0283142212522959	-3.56439108280373	12	4	0.037037037037037	108	1039	22436,14544,23917,23918	Xdh,Gda,Impdh1,Impdh2
META_PWY-6241	thyroid hormone biosynthesis	0.0299546390713252	-3.50807107254821	3	2	0.0185185185185185	108	1039	13030,13039	Ctsb,Ctsl
MOUSE_PROPIONMET-PWY	methylmalonyl pathway	0.0558612143128909	-2.88488498019636	4	2	0.0185185185185185	108	1039	110821,73724	Pcca,Mcee
MOUSE_MANGDPMET-PWY	GDP-mannose metabolism	0.0575986545728367	-2.85425606966357	9	3	0.0277777777777778	108	1039	29858,212032,15277	Pmm1,Hk3,Hk2
MOUSE_PWY-3561	choline biosynthesis III	0.0575986545728367	-2.85425606966357	9	3	0.0277777777777778	108	1039	18805,104759,212862	Pld1,Pld4,Chpt1
MOUSE_URSIN-PWY	ureide biosynthesis	0.0575986545728367	-2.85425606966357	9	3	0.0277777777777778	108	1039	22436,23918,23917	Xdh,Impdh2,Impdh1
