TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.40.30.10	Glutaredoxin	6.76640042824272e-05	-9.60095621394455	131	17	0.0240793201133144	706	15921	11758,14872,77422,14866,13371,225884,72900,54683,14778,14873,69191,93692,18230,14862,18453,21672,52837	Prdx6,Gstt2,C330018D20Rik,Gstm5,Dio2,Gstp3,Ndufv2,Prdx5,Gpx3,Gsto1,Pdia2,Glrx,Nxn,Gstm1,P4hb,Prdx2,Tmx4
3.50.50.60	FAD/NAD(P)-binding domain	0.000955150128546191	-6.95364202717242	58	9	0.0127478753541076	706	15921	212503,218865,14782,240334,67442,74580,59010,17161,98256	Paox,Chdh,Gsr,Pcyox1l,Retsat,Pyroxd2,Sqor,Maoa,Kmo
1.20.1000.10	Guanylate-binding protein, C-terminal domain	0.000985406051630309	-6.92245676658008	11	4	0.0056657223796034	706	15921	14469,100702,55932,229898	Gbp2,Gbp6,Gbp3,Gbp5
6.10.250.1670	-	0.00196372383874274	-6.23291269057472	2	2	0.0028328611898017	706	15921	11820,11804	App,Aplp2
1.10.10.2100	-	0.00196372383874274	-6.23291269057472	2	2	0.0028328611898017	706	15921	17089,18148	Lyar,Npm1
3.30.1330.30	-	0.00268727888252982	-5.91922616518121	14	4	0.0056657223796034	706	15921	52530,17873,13197,20042	Nhp2,Gadd45b,Gadd45a,Rps12
2.30.30.100	-	0.00355812453680934	-5.63852168843724	24	5	0.00708215297450425	706	15921	67242,66373,69878,78651,68011	Gemin6,Lsm5,Snrpf,Lsm6,Snrpg
3.90.570.10	Amyloidogenic glycoprotein, heparin-binding domain	0.00571748452778595	-5.16422633818627	3	2	0.0028328611898017	706	15921	11820,11804	App,Aplp2
1.20.120.770	Amyloid precursor protein, E2 domain	0.00571748452778595	-5.16422633818627	3	2	0.0028328611898017	706	15921	11804,11820	Aplp2,App
3.30.1490.140	Amyloidogenic glycoprotein, copper-binding domain	0.00571748452778595	-5.16422633818627	3	2	0.0028328611898017	706	15921	11804,11820	Aplp2,App
2.60.120.340	Nucleoplasmin core domain	0.00571748452778595	-5.16422633818627	3	2	0.0028328611898017	706	15921	18148,18150	Npm1,Npm3
1.10.1450.10	Tetraspanin	0.00828316628838478	-4.79352998170313	29	5	0.00708215297450425	706	15921	216350,12508,232670,56496,70747	Tspan8,Cd53,Tspan33,Tspan6,Tspan2
3.40.50.1240	Phosphoglycerate mutase-like	0.00872429276446133	-4.74164387269353	19	4	0.0056657223796034	706	15921	319801,235534,17330,270198	Tigar,Pxylp1,Minpp1,Pfkfb4
3.40.50.620	HUPs	0.0100021528849748	-4.60495492066185	42	6	0.0084985835694051	706	15921	212679,23972,27053,11898,71941,110826	Mars2,Papss2,Asns,Ass1,Cars2,Etfb
3.40.50.720	NAD(P)-binding Rossmann-like Domain	0.0101532545789355	-4.58996097671999	173	15	0.0212464589235127	706	15921	71911,67103,16832,72479,15483,108156,14381,67824,15485,26922,226527,110208,233016,236539,68428	Bdh1,Ptgr1,Ldhb,Hsdl2,Hsd11b1,Mthfd1,G6pdx,Nmral1,Hsd17b1,Mecr,Cryzl2,Pgd,Blvrb,Phgdh,Steap3
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	0.0106712992154472	-4.54019745768392	415	29	0.0410764872521246	706	15921	11804,327826,319939,12704,210293,68743,20741,13196,70292,29809,14783,224014,54153,18805,56349,13860,56792,11820,69632,17772,54519,384783,16561,71302,26382,114713,66147,23921,219140	Aplp2,Frs2,Tns3,Cit,Dock10,Anln,Sptb,Asap1,Afap1,Rabgap1l,Grb10,Fgd4,Rasa4,Pld1,Net1,Eps8,Stap1,App,Arhgef12,Mtm1,Apbb1ip,Irs2,Kif1b,Arhgap26,Fgd2,Rasa2,Necap2,Sh2b2,Spata13
1.20.120.790	Heat shock protein 90, C-terminal domain	0.0110991011062128	-4.50089115536529	4	2	0.0028328611898017	706	15921	22027,15516	Hsp90b1,Hsp90ab1
1.25.40.320	Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal domain	0.0110991011062128	-4.50089115536529	4	2	0.0028328611898017	706	15921	215615,16993	Rnpep,Lta4h
3.30.230.80	-	0.0110991011062128	-4.50089115536529	4	2	0.0028328611898017	706	15921	22027,15516	Hsp90b1,Hsp90ab1
4.10.10.10	Metallothionein Isoform II	0.0110991011062128	-4.50089115536529	4	2	0.0028328611898017	706	15921	17750,17748	Mt2,Mt1
3.30.2010.30	-	0.0110991011062128	-4.50089115536529	4	2	0.0028328611898017	706	15921	16993,215615	Lta4h,Rnpep
3.40.50.11260	-	0.0110991011062128	-4.50089115536529	4	2	0.0028328611898017	706	15921	22027,15516	Hsp90b1,Hsp90ab1
3.40.630.10	Zn peptidases	0.0138921906230527	-4.27642842240834	45	6	0.0084985835694051	706	15921	226090,103425,12874,109652,71670,22042	Ermp1,Ncln,Cpd,Acy1,Acy3,Tfrc
1.10.220.10	Annexin	0.0141488090836825	-4.2581248221322	12	3	0.00424929178470255	706	15921	16952,12306,11745	Anxa1,Anxa2,Anxa3
3.10.129.10	Hotdog Thioesterase	0.0141488090836825	-4.2581248221322	12	3	0.00424929178470255	706	15921	70025,223626,56360	Acot7,Them6,Acot9
3.90.1150.10	Aspartate Aminotransferase, domain 1	0.0161903579917404	-4.12333939963216	34	5	0.00708215297450425	706	15921	20397,14719,14718,11655,229905	Sgpl1,Got2,Got1,Alas1,Kyat3
3.40.50.11660	Glycosyl transferase family 10, C-terminal domain	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	171167,14345	Fut10,Fut4
3.30.60.270	-	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	20661,20660	Sort1,Sorl1
6.10.140.620	-	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	12361,12323	Cask,Camk2b
1.10.238.150	Formin, FH3 diaphanous domain	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	54004,208846	Diaph2,Daam1
1.20.1060.20	-	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	70099,14211	Smc4,Smc2
1.20.91.20	Anaphylotoxins (complement system)	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	12268,12266	C4b,C3
3.40.367.20	-	0.0179572220260781	-4.01976290367971	5	2	0.0028328611898017	706	15921	212032,15277	Hk3,Hk2
