TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu01100	Metabolic pathways	4.31461498404237e-08	-16.9586726507346	1313	111	0.264285714285714	420	8044	212032,67800,15277,19139,73724,228061,16795,15288,20698,233016,381903,11655,66594,72900,107766,230815,23972,22117,18972,11898,16832,14751,72535,11758,14718,15442,11717,67834,232714,14544,17330,21881,14081,18805,67092,18103,108147,93747,12036,104759,212647,27053,110821,15926,74596,11702,23918,16993,110074,98256,14121,11966,229905,333182,26922,74442,237823,18597,13110,14933,15485,14645,19895,14630,268566,12892,108156,15483,433256,22436,68202,11639,11881,110208,104086,13063,20397,56386,67216,14345,26897,56375,212862,12850,233781,29858,27060,108105,394432,71911,56421,21351,17772,14381,246221,22272,75540,66566,269642,218865,235339,269941,23917,26358,236539,17025,109652,59048,114663,14719,17161	Hk3,Dgat2,Hk2,Prps1,Mcee,Agps,Large1,Hmbs,Sphk1,Blvrb,Alg8,Alas1,Uqcr11,Ndufv2,Haao,Man1c1,Papss2,Tst,Pold2,Ass1,Ldhb,Gpi1,Aldh1b1,Prdx6,Got1,Hpse,Ampd3,Idh3a,Mgam,Gda,Minpp1,Tkt,Acsl1,Pld1,Gatm,Nme2,Atic,Echs1,Bcat2,Pld4,Aldh4a1,Asns,Pcca,Idh1,Cds1,Amd1,Impdh2,Lta4h,Dut,Kmo,Fbp1,Atp6v1b2,Kyat3,Cox6b2,Mecr,Sgms2,Pfas,Pdha1,Cyp2j6,Gk,Hsd17b1,Glul,Rpia,Gclm,Gphn,Cpox,Mthfd1,Hsd11b1,Acsl5,Xdh,Ndufa5,Ak4,Arsb,Pgd,Cyp27a1,Cycs,Sgpl1,B4galt6,Mboat2,Fut4,Acot1,B4galt4,Chpt1,Coq7,Xylt1,Pmm1,Tcirg1,B3gnt5,Ugt1a7c,Bdh1,Pfkp,Taldo1,Mtm1,G6pdx,Mpst,Uqcrq,Fpgt,Ntpcr,Nat8l,Chdh,Dlat,Chsy1,Impdh1,Aldh1a7,Phgdh,Alad,Acy1,C1galt1c1,Impa2,Got2,Maoa
ko01200	Carbon metabolism	6.22781011307953e-07	-14.2890708866807	118	21	0.05	420	8044	18597,21351,93747,56421,67834,110208,14719,236539,14718,14121,14751,14381,21881,15926,110821,19895,212032,73724,19139,15277,235339	Pdha1,Taldo1,Echs1,Pfkp,Idh3a,Pgd,Got2,Phgdh,Got1,Fbp1,Gpi1,G6pdx,Tkt,Idh1,Pcca,Rpia,Hk3,Mcee,Prps1,Hk2,Dlat
mmu01200	Carbon metabolism	6.22781011307953e-07	-14.2890708866807	118	21	0.05	420	8044	14751,236539,14718,14121,212032,19895,235339,15277,19139,73724,110821,21881,15926,14381,93747,56421,18597,21351,110208,67834,14719	Gpi1,Phgdh,Got1,Fbp1,Hk3,Rpia,Dlat,Hk2,Prps1,Mcee,Pcca,Tkt,Idh1,G6pdx,Echs1,Pfkp,Pdha1,Taldo1,Pgd,Idh3a,Got2
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	1.38093311798084e-05	-11.1901660218528	12	6	0.0142857142857143	420	8044	21881,14381,21351,14751,19895,110208	Tkt,G6pdx,Taldo1,Gpi1,Rpia,Pgd
mmu_M00004	Pentose phosphate pathway (Pentose phosphate cycle)	1.38093311798084e-05	-11.1901660218528	12	6	0.0142857142857143	420	8044	19895,110208,21881,14381,14751,21351	Rpia,Pgd,Tkt,G6pdx,Gpi1,Taldo1
mmu00030	Pentose phosphate pathway	2.53362538229565e-05	-10.5832742305054	32	9	0.0214285714285714	420	8044	21351,14121,56421,14751,14381,21881,19139,110208,19895	Taldo1,Fbp1,Pfkp,Gpi1,G6pdx,Tkt,Prps1,Pgd,Rpia
ko00030	Pentose phosphate pathway	2.53362538229565e-05	-10.5832742305054	32	9	0.0214285714285714	420	8044	14751,56421,21351,14121,110208,19895,19139,14381,21881	Gpi1,Pfkp,Taldo1,Fbp1,Pgd,Rpia,Prps1,G6pdx,Tkt
ko00480	Glutathione metabolism	4.18408486248903e-05	-10.0816374557916	59	12	0.0285714285714286	420	8044	14630,56615,14862,211666,15926,14381,14782,14872,110208,14778,14873,14866	Gclm,Mgst1,Gstm1,Mgst2,Idh1,G6pdx,Gsr,Gstt2,Pgd,Gpx3,Gsto1,Gstm5
mmu00480	Glutathione metabolism	4.18408486248903e-05	-10.0816374557916	59	12	0.0285714285714286	420	8044	14782,56615,14630,211666,14862,14381,15926,14866,110208,14778,14872,14873	Gsr,Mgst1,Gclm,Mgst2,Gstm1,G6pdx,Idh1,Gstm5,Pgd,Gpx3,Gstt2,Gsto1
mmu01230	Biosynthesis of amino acids	4.27702026539434e-05	-10.0596688975103	78	14	0.0333333333333333	420	8044	11898,15926,21881,19139,19895,14645,109652,14718,236539,14719,67834,21351,12036,56421	Ass1,Idh1,Tkt,Prps1,Rpia,Glul,Acy1,Got1,Phgdh,Got2,Idh3a,Taldo1,Bcat2,Pfkp
