TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00050	COLDSHOCK	0.000576891794870081	-7.45785583959668	5	3	0.0119521912350598	251	6344	83557,56449,22608	Lin28a,Ybx3,Ybx1
PR00770	EMAJORBASICP	0.00155939394820123	-6.46345802794713	2	2	0.00796812749003984	251	6344	53856,19074	Prg3,Prg2
PR00259	TMFOUR	0.00367860243265006	-5.60522237267	27	5	0.0199203187250996	251	6344	232670,70747,12508,216350,56496	Tspan33,Tspan2,Cd53,Tspan8,Tspan6
PR00203	AMYLOIDA4	0.00455573179941985	-5.39136910268487	3	2	0.00796812749003984	251	6344	11820,11804	App,Aplp2
PR00799	TRANSAMINASE	0.00455573179941985	-5.39136910268487	3	2	0.00796812749003984	251	6344	14719,14718	Got2,Got1
PR00020	MAMDOMAIN	0.00597213702388189	-5.12065045518096	10	3	0.0119521912350598	251	6344	19273,18187,18186	Ptpru,Nrp2,Nrp1
PR00925	NONHISHMG17	0.00887374714173462	-4.72465812071417	4	2	0.00796812749003984	251	6344	50887,94353	Hmgn5,Hmgn3
PR00775	HEATSHOCK90	0.00887374714173462	-4.72465812071417	4	2	0.00796812749003984	251	6344	22027,15516	Hsp90b1,Hsp90ab1
PR00860	MTVERTEBRATE	0.00887374714173462	-4.72465812071417	4	2	0.00796812749003984	251	6344	17750,17748	Mt2,Mt1
PR00004	ANAPHYLATOXN	0.00887374714173462	-4.72465812071417	4	2	0.00796812749003984	251	6344	12268,12266	C4b,C3
PR00342	RHESUSRHD	0.00887374714173462	-4.72465812071417	4	2	0.00796812749003984	251	6344	19746,19743	Rhd,Rhag
PR00196	ANNEXIN	0.0103250722971471	-4.57318013801456	12	3	0.0119521912350598	251	6344	11745,16952,12306	Anxa3,Anxa1,Anxa2
PR01472	ICAMVCAM1	0.0210474419804324	-3.86097624735764	6	2	0.00796812749003984	251	6344	75870,22329	Tcam1,Vcam1
PR00475	HEXOKINASE	0.0210474419804324	-3.86097624735764	6	2	0.00796812749003984	251	6344	15277,212032	Hk2,Hk3
PR00103	CAMPKINASE	0.0210474419804324	-3.86097624735764	6	2	0.00796812749003984	251	6344	19087,223864	Prkar2a,Rapgef3
PR01267	GSTRNSFRASEM	0.0287052380796268	-3.5506756613845	7	2	0.00796812749003984	251	6344	14862,14866	Gstm1,Gstm5
PR02050	B14GALTRFASE	0.0287052380796268	-3.5506756613845	7	2	0.00796812749003984	251	6344	56386,56375	B4galt6,B4galt4
PR00759	BASICPTASE	0.0371073439599396	-3.29394037855566	19	3	0.0119521912350598	251	6344	21788,11804,11820	Tfpi,Aplp2,App
PR01984	NOTCH1	0.0395649432535492	-3.22981182418084	1	1	0.00398406374501992	251	6344	18128	Notch1
PR00199	ANNEXINIII	0.0395649432535492	-3.22981182418084	1	1	0.00398406374501992	251	6344	11745	Anxa3
PR01980	IGFBPFAMILY4	0.0395649432535492	-3.22981182418084	1	1	0.00398406374501992	251	6344	16010	Igfbp4
PR00317	EPENDYMIN	0.0395649432535492	-3.22981182418084	1	1	0.00398406374501992	251	6344	105298	Epdr1
PR00297	CHAPERONIN10	0.0395649432535492	-3.22981182418084	1	1	0.00398406374501992	251	6344	15528	Hspe1
