TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS51352	THIOREDOXIN_2	0.000721959880466024	-7.23354098783694	36	7	0.0121317157712305	577	13465	52837,54683,21672,18453,18230,69191,11758	Tmx4,Prdx5,Prdx2,P4hb,Nxn,Pdia2,Prdx6
PS50003	PH_DOMAIN	0.00132606957477727	-6.62553591892884	237	21	0.0363951473136915	577	13465	26382,16561,20741,70292,219140,18805,13196,71302,56349,12704,224014,114713,23921,54153,69632,210293,54519,56792,68743,14783,384783	Fgd2,Kif1b,Sptb,Afap1,Spata13,Pld1,Asap1,Arhgap26,Net1,Cit,Fgd4,Rasa2,Sh2b2,Rasa4,Arhgef12,Dock10,Apbb1ip,Stap1,Anln,Grb10,Irs2
PS01207	GLYPICAN	0.00142076022529383	-6.55656318070309	6	3	0.00519930675909879	577	13465	14733,14734,14735	Gpc1,Gpc3,Gpc4
PS00380	RHODANESE_1	0.0018332337154617	-6.30167381390902	2	2	0.00346620450606586	577	13465	22117,246221	Tst,Mpst
PS50209	CARD	0.00306441982306915	-5.78789701851694	24	5	0.00866551126516464	577	13465	12364,107607,637515,12362,332579	Casp12,Nod1,Nlrp1b,Casp1,Card9
PS51715	G_GB1_RHD3	0.0031215812398437	-5.76941559790215	15	4	0.00693240901213172	577	13465	229898,14469,100702,55932	Gbp5,Gbp2,Gbp6,Gbp3
PS51857	CSD_2	0.00372963085033302	-5.59144601796318	8	3	0.00519930675909879	577	13465	83557,22608,56449	Lin28a,Ybx1,Ybx3
PS51716	G_IRG	0.00508442297520455	-5.2815737317898	17	4	0.00693240901213172	577	13465	631323,225594,60440,16145	Gm12250,Gm4841,Iigp1,Igtp
PS52002	SM	0.00523594136552174	-5.25220862933146	27	5	0.00866551126516464	577	13465	67242,66373,78651,68011,69878	Gemin6,Lsm5,Lsm6,Snrpg,Snrpf
PS00298	HSP90	0.00534310761053307	-5.23194784573897	3	2	0.00346620450606586	577	13465	22027,15516	Hsp90b1,Hsp90ab1
