TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-1430728	Metabolism	1.53721790111731e-08	-17.9907065190362	1861	157	0.319755600814664	491	8672	110821,212862,14872,19087,19188,68202,104086,14719,114663,56615,15277,66594,14630,110074,228061,15516,17750,67469,394432,17118,211666,15926,223864,67834,14381,11639,68801,20969,16832,78830,81535,15483,67216,20698,11881,56375,23917,20250,15442,108156,235339,19743,67712,68493,13167,268566,12892,59010,104759,26897,72900,15288,71670,73724,14873,14733,20778,18010,14782,212032,20501,74442,240444,50799,22436,14544,242083,11702,12036,14121,22272,20397,98256,26358,56386,270198,14866,18597,93747,18805,71797,67824,233016,11717,233781,72361,445007,16993,21881,13063,269941,17330,70025,103468,14667,71911,11826,56360,232714,14081,14645,110826,93692,109652,13110,14735,237823,57875,19139,13371,21351,74596,212503,17748,11898,18103,107766,218865,67092,231583,12346,69912,212647,23918,56421,17772,20509,17161,17164,140483,23972,15485,76947,67895,54375,14718,14933,67041,14751,11605,329416,18453,14734,19895,236539,27053,72535,433256,110208,14701,72787,11655,67800,68041,108147,17025,233549	Pcca,Chpt1,Gstt2,Prkar2a,Psme2,Ndufa5,Cyp27a1,Got2,Impa2,Mgst1,Hk2,Uqcr11,Gclm,Dut,Agps,Hsp90ab1,Mt2,Abhd5,Ugt1a7c,Marcks,Mgst2,Idh1,Rapgef3,Idh3a,G6pdx,Ak4,Elovl5,Sdc1,Ldhb,Slc25a12,Sgpp1,Hsd11b1,Mboat2,Sphk1,Arsb,B4galt4,Impdh1,Scd2,Hpse,Mthfd1,Dlat,Rhag,Slc25a37,Ndufaf4,Dbi,Gphn,Cpox,Sqor,Pld4,Acot1,Ndufv2,Hmbs,Acy3,Mcee,Gsto1,Gpc1,Scarb1,Neu1,Gsr,Hk3,Slc16a1,Sgms2,Kcng2,Slc25a13,Xdh,Gda,Ppm1l,Amd1,Bcat2,Fbp1,Uqcrq,Sgpl1,Kmo,Aldh1a7,B4galt6,Pfkfb4,Gstm5,Pdha1,Echs1,Pld1,Chst13,Nmral1,Blvrb,Ampd3,Xylt1,Ces2g,Nup85,Lta4h,Tkt,Cycs,Chsy1,Minpp1,Acot7,Nup107,Gm2a,Bdh1,Aqp1,Acot9,Mgam,Acsl1,Glul,Etfb,Glrx,Acy1,Cyp2j6,Gpc4,Pfas,Angptl4,Prps1,Dio2,Taldo1,Cds1,Paox,Mt1,Ass1,Nme2,Haao,Chdh,Gatm,Slc26a1,Car1,Nup43,Aldh4a1,Impdh2,Pfkp,Mtm1,Slc19a1,Maoa,Mapkapk2,Hnmt,Papss2,Hsd17b1,Ndufaf6,Ppa1,Azin1,Got1,Gk,Oxct1,Gpi1,Gla,Nostrin,P4hb,Gpc3,Rpia,Phgdh,Asns,Aldh1b1,Acsl5,Pgd,Gng12,Ndc1,Alas1,Dgat2,Mid1ip1,Atic,Alad,Mogat2
R-MMU-68877	Mitotic Prometaphase	1.94783610696701e-07	-15.4513765832779	111	22	0.044806517311609	491	8672	70099,68549,103468,18817,54392,69912,16319,445007,66468,68014,12235,14211,20877,12615,67849,66977,72415,11799,12534,56430,102920,236930	Smc4,Sgo2a,Nup107,Plk1,Ncapg,Nup43,Incenp,Nup85,Ska1,Zwilch,Bub1,Smc2,Aurkb,Cenpa,Cdca5,Nuf2,Sgo1,Birc5,Cdk1,Clip1,Cenpi,Ercc6l
R-MMU-6798695	Neutrophil degranulation	3.77309935105144e-07	-14.7901988782127	559	61	0.124236252545825	491	8672	13058,56615,232714,18792,15516,93719,15926,75744,12514,16993,241633,12508,14667,12266,18103,11881,23917,232413,15442,13035,69550,227960,14131,13030,17319,14134,19074,53856,21946,11891,70495,19152,18010,212032,12306,23845,108078,18636,64138,14190,27060,170813,23918,15439,50701,73690,20568,18805,216197,21938,11717,69189,17025,52855,11758,20195,13830,20201,14751,231507,11605	Cybb,Mgst1,Mgam,Plau,Hsp90ab1,Ear6,Idh1,Svip,Cd68,Lta4h,Atp8b4,Cd53,Gm2a,C3,Nme2,Arsb,Impdh1,Clec12a,Hpse,Ctsg,Bst2,Gca,Fcgr3,Ctsb,Mif,Fcnb,Prg2,Prg3,Pglyrp1,Rab27a,Atp6ap2,Prtn3,Neu1,Hk3,Anxa2,Clec5a,Olr1,Cfp,Ctsz,Fgl2,Tcirg1,Ms4a3,Impdh2,Hp,Elane,Glipr1,Slpi,Pld1,Ckap4,Tnfrsf1b,Ampd3,Mcemp1,Alad,Lair1,Prdx6,S100a11,Stom,S100a8,Gpi1,Plac8,Gla
R-MMU-71387	Metabolism of carbohydrates	3.85150611556925e-06	-12.4670462873137	272	35	0.0712830957230143	491	8672	14719,15277,14733,232714,212032,23972,445007,69912,21881,56421,269941,103468,21351,11881,56375,71797,15442,110208,72787,233781,231583,50799,14381,14718,14735,78830,14121,14751,20969,19139,14734,56386,270198,26358,19895	Got2,Hk2,Gpc1,Mgam,Hk3,Papss2,Nup85,Nup43,Tkt,Pfkp,Chsy1,Nup107,Taldo1,Arsb,B4galt4,Chst13,Hpse,Pgd,Ndc1,Xylt1,Slc26a1,Slc25a13,G6pdx,Got1,Gpc4,Slc25a12,Fbp1,Gpi1,Sdc1,Prps1,Gpc3,B4galt6,Pfkfb4,Aldh1a7,Rpia
R-MMU-2500257	Resolution of Sister Chromatid Cohesion	4.11980086806682e-06	-12.3997057287644	103	19	0.0386965376782077	491	8672	66977,72415,11799,20877,12615,67849,102920,236930,12534,56430,68549,103468,18817,66468,68014,12235,69912,16319,445007	Nuf2,Sgo1,Birc5,Aurkb,Cenpa,Cdca5,Cenpi,Ercc6l,Cdk1,Clip1,Sgo2a,Nup107,Plk1,Ska1,Zwilch,Bub1,Nup43,Incenp,Nup85
R-MMU-168249	Innate Immune System	1.34159908075484e-05	-11.2190632186293	1181	100	0.203665987780041	491	8672	14667,114713,241633,16993,384783,12323,75744,18792,232714,13058,53856,383619,17319,13035,22027,54153,69550,18103,17084,12266,100042150,217304,23918,170813,20741,108078,12306,16188,23845,17164,11891,70495,19152,327826,14751,11605,20201,13830,12982,11758,20195,17025,21938,69189,11820,216197,21897,20568,54445,19188,19087,21898,12508,17295,12514,15926,26401,93719,15516,93834,56615,21946,19074,207521,14134,17969,13030,227960,56644,14131,244650,15442,232413,11881,23917,26415,11966,73690,15439,50701,332579,27060,12362,14190,18636,64138,20739,56489,212032,18010,637515,50909,231507,107607,52855,11717,17972,16803,18805,12268	Gm2a,Rasa2,Atp8b4,Lta4h,Irs2,Camk2b,Svip,Plau,Mgam,Cybb,Prg3,Aim2,Mif,Ctsg,Hsp90b1,Rasa4,Bst2,Nme2,Ly86,C3,Nrg2,Cd300lb,Impdh2,Ms4a3,Sptb,Olr1,Anxa2,Il3ra,Clec5a,Mapkapk2,Rab27a,Atp6ap2,Prtn3,Frs2,Gpi1,Gla,S100a8,Stom,Csf2ra,Prdx6,S100a11,Alad,Tnfrsf1b,Mcemp1,App,Ckap4,Tlr1,Slpi,Unc93b1,Psme2,Prkar2a,Tlr4,Cd53,Met,Cd68,Idh1,Map3k1,Ear6,Hsp90ab1,Peli2,Mgst1,Pglyrp1,Prg2,Dtx4,Fcnb,Ncf1,Ctsb,Gca,Clec7a,Fcgr3,Phlpp2,Hpse,Clec12a,Arsb,Impdh1,Mapk13,Atp6v1b2,Glipr1,Hp,Elane,Card9,Tcirg1,Casp1,Fgl2,Cfp,Ctsz,Spta1,Ikbke,Hk3,Neu1,Nlrp1b,C1ra,Plac8,Nod1,Lair1,Ampd3,Ncf4,Lbp,Pld1,C4b
R-MMU-3299685	Detoxification of Reactive Oxygen Species	1.56947980258058e-05	-11.0621812364498	35	10	0.0203665987780041	491	8672	14778,21672,13063,17972,18453,14782,13058,11758,54683,17969	Gpx3,Prdx2,Cycs,Ncf4,P4hb,Gsr,Cybb,Prdx6,Prdx5,Ncf1
R-MMU-5663220	RHO GTPases Activate Formins	1.66703389117817e-05	-11.0018795307675	113	19	0.0386965376782077	491	8672	18817,103468,68549,445007,208846,16319,69912,12235,68014,54004,66468,12615,20877,11799,72415,66977,56430,236930,102920	Plk1,Nup107,Sgo2a,Nup85,Daam1,Incenp,Nup43,Bub1,Zwilch,Diaph2,Ska1,Cenpa,Aurkb,Birc5,Sgo1,Nuf2,Clip1,Ercc6l,Cenpi
R-MMU-71336	Pentose phosphate pathway (hexose monophosphate shunt)	0.00011329287657162	-9.08553426417852	10	5	0.010183299389002	491	8672	19895,21881,110208,14381,21351	Rpia,Tkt,Pgd,G6pdx,Taldo1
R-MMU-168256	Immune System	0.000158921489454903	-8.74710025470525	1692	128	0.260692464358452	491	8672	327826,11605,14751,52685,20201,20195,11758,12982,13830,17025,11820,69189,21938,21897,216197,20568,100042150,217304,30838,170813,23918,12978,23845,12306,16188,108078,20741,17164,269529,70495,19152,11891,53856,383619,17319,54153,69550,13035,22027,69608,18103,12266,17084,14667,114713,20846,241633,12323,107527,384783,15979,16993,69583,75744,14255,12317,19395,14998,18792,232714,13058,231507,50909,22436,107607,230979,52855,13039,17972,11717,18805,12268,16803,15980,108012,11966,50701,15439,73690,16419,332579,12362,14190,16194,27060,64138,18636,212032,20739,56489,18010,637515,21946,16161,19074,14134,207521,13030,17969,244650,14131,227960,56644,15442,232413,71865,209737,23917,11881,26415,54445,16195,19087,12490,237310,19188,22329,12508,21898,12514,17295,26401,223864,15926,15516,93719,56615,93834	Frs2,Gla,Gpi1,Cd300lg,S100a8,S100a11,Prdx6,Csf2ra,Stom,Alad,App,Mcemp1,Tnfrsf1b,Tlr1,Ckap4,Slpi,Nrg2,Cd300lb,Fbxw4,Ms4a3,Impdh2,Csf1r,Clec5a,Anxa2,Il3ra,Olr1,Sptb,Mapkapk2,Fbxo10,Atp6ap2,Prtn3,Rab27a,Prg3,Aim2,Mif,Rasa4,Bst2,Ctsg,Hsp90b1,Sec24d,Nme2,C3,Ly86,Gm2a,Rasa2,Stat1,Atp8b4,Camk2b,Il1rl2,Irs2,Ifngr1,Lta4h,Tnfsf13,Svip,Flt3,Calr,Rasgrp2,H2-DMa,Plau,Mgam,Cybb,Plac8,C1ra,Xdh,Nod1,Tnfrsf14,Lair1,Ctsl,Ncf4,Ampd3,Pld1,C4b,Lbp,Ifngr2,Ap1s2,Atp6v1b2,Elane,Hp,Glipr1,Itgb5,Card9,Casp1,Fgl2,Il6ra,Tcirg1,Ctsz,Cfp,Hk3,Spta1,Ikbke,Neu1,Nlrp1b,Pglyrp1,Il12rb1,Prg2,Fcnb,Dtx4,Ctsb,Ncf1,Phlpp2,Fcgr3,Gca,Clec7a,Hpse,Clec12a,Fbxo30,Kif15,Impdh1,Arsb,Mapk13,Unc93b1,Il6st,Prkar2a,Cd34,Il22ra2,Psme2,Vcam1,Cd53,Tlr4,Cd68,Met,Map3k1,Rapgef3,Idh1,Hsp90ab1,Ear6,Mgst1,Peli2
