TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM01074	Cdc6_C	0.00180226050044016	-6.31871356840156	2	2	0.00476190476190476	420	9882	18392,23834	Orc1,Cdc6
SM00233	PH	0.00245615369619557	-6.00915869077109	252	21	0.05	420	9882	56792,54519,56349,12704,14783,26382,210293,224014,23921,18805,69632,68743,114713,384783,20741,16561,70292,13196,71302,54153,219140	Stap1,Apbb1ip,Net1,Cit,Grb10,Fgd2,Dock10,Fgd4,Sh2b2,Pld1,Arhgef12,Anln,Rasa2,Irs2,Sptb,Kif1b,Afap1,Asap1,Arhgap26,Rasa4,Spata13
SM00357	CSP	0.00363805297263499	-5.61630663807001	8	3	0.00714285714285714	420	9882	22608,83557,56449	Ybx1,Lin28a,Ybx3
SM00006	A4_EXTRA	0.00525428253591919	-5.2487118137708	3	2	0.00476190476190476	420	9882	11820,11804	App,Aplp2
SM00314	RA	0.00691248047717372	-4.97442673641634	29	5	0.0119047619047619	420	9882	71323,14783,54519,213391,192678	Rassf8,Grb10,Apbb1ip,Rassf4,Rassf3
SM00651	Sm	0.00749962006325225	-4.89290291795608	19	4	0.00952380952380952	420	9882	66373,69878,78651,68011	Lsm5,Snrpf,Lsm6,Snrpg
SM01263	Leuk-A4-hydro_C	0.0102132227847403	-4.58407204678484	4	2	0.00476190476190476	420	9882	16993,215615	Lta4h,Rnpep
SM01240	IMPDH	0.0102132227847403	-4.58407204678484	4	2	0.00476190476190476	420	9882	23917,23918	Impdh1,Impdh2
SM00737	ML	0.0102132227847403	-4.58407204678484	4	2	0.00476190476190476	420	9882	17084,14667	Ly86,Gm2a
SM00527	HMG17	0.0102132227847403	-4.58407204678484	4	2	0.00476190476190476	420	9882	50887,94353	Hmgn5,Hmgn3
SM00335	ANX	0.0125895651482226	-4.37488697098048	12	3	0.00714285714285714	420	9882	12306,16952,11745	Anxa2,Anxa1,Anxa3
SM00523	DWA	0.0125895651482226	-4.37488697098048	12	3	0.00714285714285714	420	9882	18027,18029,17131	Nfia,Nfic,Smad7
SM00116	CBS	0.0125895651482226	-4.37488697098048	12	3	0.00714285714285714	420	9882	12725,23917,23918	Clcn3,Impdh1,Impdh2
SM00645	Pept_C1	0.0149887655439646	-4.20045432222908	23	4	0.00952380952380952	420	9882	13039,13030,94242,64138	Ctsl,Ctsb,Tinagl1,Ctsz
SM00602	VPS10	0.016545351387059	-4.10165009957123	5	2	0.00476190476190476	420	9882	20660,20661	Sorl1,Sort1
SM00042	CUB	0.0185884233126302	-3.98521629458262	50	6	0.0142857142857143	420	9882	74513,18186,50909,19143,18187,226255	Neto2,Nrp1,C1ra,St14,Nrp2,Atrnl1
SM00829	PKS_ER	0.019558339186531	-3.93435352664447	14	3	0.00714285714285714	420	9882	26922,67103,226527	Mecr,Ptgr1,Cryzl2
SM01329	Iso_dh	0.0241255382425707	-3.72448432143309	6	2	0.00476190476190476	420	9882	15926,67834	Idh1,Idh3a
SM00968	SMC_hinge	0.0241255382425707	-3.72448432143309	6	2	0.00476190476190476	420	9882	70099,14211	Smc4,Smc2
SM00155	PLDc	0.0241255382425707	-3.72448432143309	6	2	0.00476190476190476	420	9882	104759,18805	Pld4,Pld1
SM00312	PX	0.0316309258024588	-3.45361997233451	42	5	0.0119047619047619	420	9882	17972,17969,102141,170755,18805	Ncf4,Ncf1,Snx25,Sgk3,Pld1
SM00104	ANATO	0.0328367663440647	-3.41620646623561	7	2	0.00476190476190476	420	9882	12266,12268	C3,C4b
SM00004	NL	0.0328367663440647	-3.41620646623561	7	2	0.00476190476190476	420	9882	432486,18128	Gnptab,Notch1
SM01332	Cyclin_C	0.0332617250012412	-3.40334794242391	17	3	0.00714285714285714	420	9882	218630,12444,12428	Ccno,Ccnd2,Ccna2
SM00137	MAM	0.0332617250012412	-3.40334794242391	17	3	0.00714285714285714	420	9882	18187,19273,18186	Nrp2,Ptpru,Nrp1
SM00326	SH3	0.0397955114923694	-3.22400114962513	196	14	0.0333333333333333	420	9882	17972,17969,12361,207777,12488,13860,13196,329416,219140,53885,13043,71302,231147,20739	Ncf4,Ncf1,Cask,Tspoap1,Cd2ap,Eps8,Asap1,Nostrin,Spata13,Nphp1,Cttn,Arhgap26,Sh3tc1,Spta1
