TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP63	Pentose Phosphate Pathway	9.50651437702759e-06	-11.5635332704613	7	5	0.018450184501845	271	4906	110208,21351,14381,19895,21881	Pgd,Taldo1,G6pdx,Rpia,Tkt
WP157	Glycolysis and Gluconeogenesis	9.46911490980982e-05	-9.26489002467342	52	11	0.040590405904059	271	4906	16832,18597,14718,14719,14751,14121,15277,55951,235339,56421,212032	Ldhb,Pdha1,Got1,Got2,Gpi1,Fbp1,Hk2,Mpc1,Dlat,Pfkp,Hk3
WP164	Glutathione metabolism	0.000539576443934727	-7.52472608926347	20	6	0.022140221402214	271	4906	14782,14381,15926,14778,14630,14872	Gsr,G6pdx,Idh1,Gpx3,Gclm,Gstt2
WP662	Amino Acid metabolism	0.000701533401878889	-7.26224204461748	96	14	0.0516605166051661	271	4906	246221,27053,14645,14630,242083,17161,14718,14719,140483,14782,11898,15926,212679,18597	Mpst,Asns,Glul,Gclm,Ppm1l,Maoa,Got1,Got2,Hnmt,Gsr,Ass1,Idh1,Mars2,Pdha1
WP18	Heme Biosynthesis	0.000920057042340537	-6.99107488729921	9	4	0.014760147601476	271	4906	11655,15288,17025,12892	Alas1,Hmbs,Alad,Cpox
WP1253	Type II interferon signaling (IFNG)	0.00215308809173493	-6.1408521456288	34	7	0.025830258302583	271	4906	17329,15980,20846,15979,13058,15945,15958	Cxcl9,Ifngr2,Stat1,Ifngr1,Cybb,Cxcl10,Ifit2
WP412	Oxidative Stress	0.00361018985593655	-5.62399491634807	28	6	0.022140221402214	271	4906	56615,14872,17161,17748,14778,14782	Mgst1,Gstt2,Maoa,Mt1,Gpx3,Gsr
WP3673	Hfe effect on hepcidin production	0.00494106885824215	-5.31017360312129	7	3	0.011070110701107	271	4906	17131,15216,15901	Smad7,Hfe,Id1
WP730	Glutathione and one carbon metabolism	0.00613871737426713	-5.09313945534421	31	6	0.022140221402214	271	4906	14778,14381,14782,15926,14630,218865	Gpx3,G6pdx,Gsr,Idh1,Gclm,Chdh
WP1496	Oxidative Damage	0.00646495470732853	-5.04135927260984	41	7	0.025830258302583	271	4906	13063,13197,12268,26415,26401,21938,50909	Cycs,Gadd45a,C4b,Mapk13,Map3k1,Tnfrsf1b,C1ra
