TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	4.30817925811319e-12	-26.1705057469817	415	73	0.0612930310663308	1191	15921	237542,236915,269608,234779,240057,67220,78514,18806,218203,232288,106877,232970,207798,26557,140580,64291,22323,69710,235627,212285,78255,102595,217866,67457,13449,106952,269587,338368,224093,16453,101497,232201,75974,101540,17909,17207,75415,231999,50780,14388,79196,30938,16800,13821,228788,320129,18803,20648,102693,70381,106766,27280,58996,21961,223752,72318,216190,56193,67826,26377,12229,11787,241308,216439,69601,74018,21894,110279,70729,14389,98432,108101,218397	Osbpl8,Arhgef9,Plekhg5,Plcg2,Syngap1,Plekho1,Arhgap10,Pld2,Mylip,Frmd4b,Afap1l1,Phldb3,Gramd1c,Homer2,Elmo1,Osbpl1a,Vasp,Arap1,Nbeal2,Arap2,Ralgps2,Plekho2,Cdc42bpb,Frmd8,Dok2,Arap3,Epb41,Pheta2,Fam43a,Jak3,Plekhg2,Arhgap25,Dock11,Prkd2,Myo10,Mcf2l,Arhgap12,Plekha8,Rgs3,Gab1,Osbpl5,Fgd3,Arhgef2,Epb41l1,Ccm2l,Grk3,Plcg1,Snta1,Phldb1,Tecpr1,Stap2,Phlda3,Arhgap23,Tns1,Gramd4,Cyth4,Appl2,Plek,Snap47,Dapp1,Btk,Apbb2,Ralgps1,Agap2,Dab2ip,Als2,Tln1,Bcr,Nos1ap,Gab2,Phlpp1,Fermt3,Rasa1
2.30.30.40	SH3 Domains	1.30572192742504e-10	-22.7590948410331	220	46	0.0386230058774139	1191	15921	17444,72828,207304,20410,259302,17096,214459,66610,18810,11350,15468,140580,234779,20491,236915,74131,78514,53310,71520,13385,16818,14191,13383,218397,71602,12929,21873,80708,12229,235406,106628,319262,77799,59009,23969,18803,14360,67742,58234,12143,233071,53618,17207,75415,15163,30948	Grap2,Ubash3b,Hectd1,Sorbs3,Srgap3,Lyn,Fnbp1l,Abi3,Plec,Abl1,Prmt2,Elmo1,Plcg2,Sla,Arhgef9,Sash3,Arhgap10,Dlg3,Grap,Dlg4,Lck,Fgr,Dlg1,Rasa1,Myo1e,Crkl,Tjp2,Pacsin3,Btk,Snx33,Trip10,Fchsd1,Sla2,Sh3rf1,Pacsin1,Plcg1,Fyn,Samsn1,Shank3,Blk,Arhgap33,Fut8,Mcf2l,Arhgap12,Hcls1,Bin1
3.30.505.10	SH2 domain	1.32596704327812e-09	-20.4411237997313	110	29	0.0243492863140218	1191	15921	218397,14191,17444,16453,216233,17060,16818,20963,56468,71520,11350,77799,26377,12229,17096,20848,12929,21961,106766,12702,12143,27278,18803,14360,12700,16822,12703,20491,234779	Rasa1,Fgr,Grap2,Jak3,Socs2,Blnk,Lck,Syk,Socs5,Grap,Abl1,Sla2,Dapp1,Btk,Lyn,Stat3,Crkl,Tns1,Stap2,Socs3,Blk,Clnk,Plcg1,Fyn,Cish,Lcp2,Socs1,Sla,Plcg2
1.10.510.10	Transferase(Phosphotransferase) domain 1	3.95711915535664e-08	-17.0451644694534	497	72	0.0604534005037783	1191	15921	27373,18099,12143,77976,665113,18715,26362,217410,320129,14182,14360,59041,17347,107589,29869,20868,18712,21846,101540,110651,17346,11479,13844,14191,13549,22241,55984,16542,328329,12795,18761,16818,21813,13848,98267,29857,12229,228775,72113,16706,140780,13867,13836,104175,232533,18160,237459,52163,232944,69635,263803,106522,73086,18596,12322,18557,20393,16453,20963,217718,18750,19094,53608,211770,12168,18755,217866,11350,226419,21687,17096,214230	Csnk1e,Nlk,Blk,Nuak1,Tnik,Pim2,Axl,Trib2,Grk3,Fgfr1,Fyn,Stk25,Mknk2,Mylk,Ulk2,Stk10,Pim1,Tie1,Prkd2,Rps6ka3,Mknk1,Acvr1b,Ephb2,Fgr,Dyrk1b,Ulk1,Camkk1,Kdr,Mast4,Plk3,Prkcq,Lck,Tgfbr2,Ephb6,Stk17b,Mapk12,Btk,Trib3,Adck1,Ksr1,Bmp2k,Erbb3,Epha2,Sbk1,Stk38l,Npr1,Cdk17,Camk1,Mark4,Dapk1,Pkn3,Pkdcc,Rps6ka5,Pdgfrb,Camk2a,Cdk18,Sgk1,Jak3,Syk,Nek9,Prkca,Mapk11,Map3k6,Trib1,Bmpr2,Prkch,Cdc42bpb,Abl1,Dyrk3,Tek,Lyn,Pak6
1.10.555.10	Rho GTPase activation protein	2.03533400641335e-07	-15.4074357146161	66	19	0.0159529806884971	1191	15921	214137,69710,58996,75415,218581,78514,11856,259302,16330,236920,212285,228359,73910,106952,11855,110279,232201,233071,214804	Arhgap29,Arap1,Arhgap23,Arhgap12,Depdc1b,Arhgap10,Arhgap6,Srgap3,Inpp5b,Stard8,Arap2,Arhgap1,Arhgap18,Arap3,Arhgap5,Bcr,Arhgap25,Arhgap33,Syde2
2.60.40.10	Immunoglobulins	8.44825547577837e-07	-13.9841356834741	741	92	0.0772460117548279	1191	15921	16185,19079,54135,12481,20361,320974,84544,329693,77739,69524,16768,233186,18034,19698,15000,54394,15894,14728,13844,75345,171285,16456,20266,94090,70693,20353,98365,16174,57781,54446,18596,17480,27218,12500,84004,74603,18733,14125,60533,225825,17082,54712,71326,16177,243864,19649,12506,21838,14182,26362,328833,74762,108097,15040,15002,20354,21846,20732,12504,107589,140571,19268,16542,18106,231668,98733,13848,217303,13836,140497,16330,239849,12523,18019,16192,16178,50931,385658,83964,21817,16186,107250,237313,12518,14130,12984,21687,140570,21816,15001,20431,74144	Il2rb,Prkab1,Lsr,Cd2,Sema7a,Lrrn4,Cd96,Fcrl5,Adamtsl1,Esam,Lag3,Siglecf,Nfkb2,Relb,H2-DMb2,Crlf3,Icam1,Lilrb4a,Ephb2,Slamf7,Havcr2,F11r,Scn1b,Trim9,Adgra3,Sema4c,Slamf9,Il18rap,Cd200r1,Nfat5,Pdgfrb,Mpl,Slamf1,Cd3d,Mcam,Cd200r3,Pirb,Fcer1a,Cd274,Cd226,Il1rl1,Plxnc1,Treml1,Il1r1,Mill2,Robo3,Cd48,Thy1,Fgfr1,Axl,Treml2,Mdga1,Prkab2,H2-T23,H2-Ob,Sema4d,Tie1,Spint1,Cd4,Mylk,Plxnb3,Ptprf,Kdr,Cd244a,Vsig10,Obsl1,Ephb6,Cd300a,Epha2,Cd300c2,Inpp5b,Cd200r4,Cd84,Nfatc2,Il5ra,Il1r2,Il27ra,Nxpe3,Jam3,Tgm2,Il2rg,Kazald1,Il20ra,Cd79a,Fcgr2b,Csf2rb2,Tek,Plxnb2,Tgm1,H2-Oa,Pmel,Robo4
1.10.1450.10	Tetraspanin	3.85220268846935e-06	-12.4668654463916	29	11	0.00923593618807725	1191	15921	241556,27027,64540,12476,12493,12527,12520,52588,109246,74257,12512	Tspan18,Tspan32,Tspan4,Cd151,Cd37,Cd9,Cd81,Tspan14,Tspan9,Tspan17,Cd63
1.10.150.50	Transcription Factor, Ets-1	2.80798225236634e-05	-10.480459299209	113	22	0.0184718723761545	1191	15921	13848,229011,106952,77480,13876,19024,58234,67742,13844,217125,208449,23872,67533,13836,74131,23871,69710,72615,209086,16822,16706,212285	Ephb6,Samd10,Arap3,Kidins220,Erg,Ppfibp2,Shank3,Samsn1,Ephb2,Samd14,Sgms1,Ets2,Ppfibp1,Epha2,Sash3,Ets1,Arap1,Anks3,Samd9l,Lcp2,Ksr1,Arap2
2.60.40.150	C2 domain	0.00016950972428612	-8.6826002623698	153	25	0.0209907640638119	1191	15921	214804,78771,218397,110279,83814,18750,74769,18755,18761,69601,234515,52635,12337,207781,18803,80976,70450,18798,50780,18783,75974,30955,18796,234779,240057	Syde2,Mctp1,Rasa1,Bcr,Nedd4l,Prkca,Pik3cb,Prkch,Prkcq,Dab2ip,Inpp4b,Esyt2,Capn5,C2cd2,Plcg1,Syt13,Unc13d,Plcb4,Rgs3,Pla2g4a,Dock11,Pik3cg,Plcb2,Plcg2,Syngap1
1.20.1270.60	Arfaptin homology (AH) domain/BAR domain	0.000323390192794092	-8.03665093659311	74	15	0.0125944584382872	1191	15921	668218,19201,23969,72183,216190,235406,319262,106628,30948,214137,259302,218503,78514,214459,80708	Bin2,Pstpip2,Pacsin1,Snx6,Appl2,Snx33,Fchsd1,Trip10,Bin1,Arhgap29,Srgap3,Fcho2,Arhgap10,Fnbp1l,Pacsin3
