TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011993	PH-like_dom_sf	8.87516691992382e-13	-27.7503490658592	415	73	0.050449205252246	1447	20062	228788,98432,216439,338368,12229,269587,101540,56193,67220,232288,16453,67457,14388,75974,106877,69601,236915,30938,217866,18806,26377,237542,140580,240057,78255,106766,64291,50780,320129,14389,79196,218203,235627,21894,18803,212285,74018,234779,269608,231999,241308,16800,69710,26557,13449,106952,224093,232201,110279,218397,207798,216190,27280,13821,102693,58996,17207,67826,17909,78514,232970,22323,108101,70381,72318,70729,102595,101497,21961,11787,75415,20648,223752	Ccm2l,Phlpp1,Agap2,Pheta2,Btk,Epb41,Prkd2,Plek,Plekho1,Frmd4b,Jak3,Frmd8,Gab1,Dock11,Afap1l1,Dab2ip,Arhgef9,Fgd3,Cdc42bpb,Pld2,Dapp1,Osbpl8,Elmo1,Syngap1,Ralgps2,Stap2,Osbpl1a,Rgs3,Grk3,Gab2,Osbpl5,Mylip,Nbeal2,Tln1,Plcg1,Arap2,Als2,Plcg2,Plekhg5,Plekha8,Ralgps1,Arhgef2,Arap1,Homer2,Dok2,Arap3,Fam43a,Arhgap25,Bcr,Rasa1,Gramd1c,Appl2,Phlda3,Epb41l1,Phldb1,Arhgap23,Mcf2l,Snap47,Myo10,Arhgap10,Phldb3,Vasp,Fermt3,Tecpr1,Cyth4,Nos1ap,Plekho2,Plekhg2,Tns1,Apbb2,Arhgap12,Snta1,Gramd4
IPR001849	PH_domain	9.70872448149877e-13	-27.6605812965767	259	54	0.0373185901865929	1447	20062	14389,320129,79196,106766,64291,20166,78255,140580,240057,237542,18806,26377,30938,217866,14388,75974,106877,69601,236915,21664,67220,56193,98432,338368,216439,12229,101540,75415,20648,72318,101497,102595,232970,108101,78514,17909,58996,17207,232201,218397,110279,102693,27280,216190,106952,13449,16800,69710,241308,234779,269608,231999,212285,18803	Gab2,Grk3,Osbpl5,Stap2,Osbpl1a,Rtkn,Ralgps2,Elmo1,Syngap1,Osbpl8,Pld2,Dapp1,Fgd3,Cdc42bpb,Gab1,Dock11,Afap1l1,Dab2ip,Arhgef9,Phlda1,Plekho1,Plek,Phlpp1,Pheta2,Agap2,Btk,Prkd2,Arhgap12,Snta1,Cyth4,Plekhg2,Plekho2,Phldb3,Fermt3,Arhgap10,Myo10,Arhgap23,Mcf2l,Arhgap25,Rasa1,Bcr,Phldb1,Phlda3,Appl2,Arap3,Dok2,Arhgef2,Arap1,Ralgps1,Plcg2,Plekhg5,Plekha8,Arap2,Plcg1
IPR008936	Rho_GTPase_activation_prot	7.08206029662633e-11	-23.3708711552135	89	27	0.0186592950932965	1447	20062	214137,140571,320484,11856,212285,73910,236920,218581,110279,218397,232201,16330,106952,69710,240057,78514,259302,54712,140570,11855,69601,58996,75415,233071,544963,228359,214804	Arhgap29,Plxnb3,Rasal3,Arhgap6,Arap2,Arhgap18,Stard8,Depdc1b,Bcr,Rasa1,Arhgap25,Inpp5b,Arap3,Arap1,Syngap1,Arhgap10,Srgap3,Plxnc1,Plxnb2,Arhgap5,Dab2ip,Arhgap23,Arhgap12,Arhgap33,Iqgap2,Arhgap1,Syde2
IPR036028	SH3-like_dom_sf	1.03630659709998e-10	-22.990187886739	210	44	0.0304077401520387	1447	20062	71602,17444,59009,77799,14360,12929,21873,218397,30948,23969,14191,67742,15468,12143,18803,74131,12229,66610,53310,234779,11350,71520,53618,20491,319262,233071,21981,75415,17207,20410,214459,236915,13383,15163,235406,106628,13385,17096,78514,259302,58234,72828,80708,16818	Myo1e,Grap2,Sh3rf1,Sla2,Fyn,Crkl,Tjp2,Rasa1,Bin1,Pacsin1,Fgr,Samsn1,Prmt2,Blk,Plcg1,Sash3,Btk,Abi3,Dlg3,Plcg2,Abl1,Grap,Fut8,Sla,Fchsd1,Arhgap33,Ppp1r13b,Arhgap12,Mcf2l,Sorbs3,Fnbp1l,Arhgef9,Dlg1,Hcls1,Snx33,Trip10,Dlg4,Lyn,Arhgap10,Srgap3,Shank3,Ubash3b,Pacsin3,Lck
IPR001452	SH3_domain	1.0723184258002e-10	-22.9560278724065	218	45	0.0310988251554941	1447	20062	18803,12143,15468,14191,234779,53310,74131,71602,77799,12929,18810,23969,30948,218397,17207,214459,20410,235406,15163,259302,78514,80708,53618,71520,75415,67742,66610,12229,11350,17444,59009,14360,21873,236915,13383,72828,58234,13385,106628,17096,16818,319262,20491,21981,233071	Plcg1,Blk,Prmt2,Fgr,Plcg2,Dlg3,Sash3,Myo1e,Sla2,Crkl,Plec,Pacsin1,Bin1,Rasa1,Mcf2l,Fnbp1l,Sorbs3,Snx33,Hcls1,Srgap3,Arhgap10,Pacsin3,Fut8,Grap,Arhgap12,Samsn1,Abi3,Btk,Abl1,Grap2,Sh3rf1,Fyn,Tjp2,Arhgef9,Dlg1,Ubash3b,Shank3,Dlg4,Trip10,Lyn,Lck,Fchsd1,Sla,Ppp1r13b,Arhgap33
IPR000980	SH2	2.26804966545029e-10	-22.206930645968	106	29	0.0200414651002073	1447	20062	12229,234779,11350,14191,12703,12143,18803,20848,56468,16453,14360,27278,12929,218397,20963,216233,17444,16822,77799,12700,26377,17096,16818,106766,17060,71520,12702,20491,21961	Btk,Plcg2,Abl1,Fgr,Socs1,Blk,Plcg1,Stat3,Socs5,Jak3,Fyn,Clnk,Crkl,Rasa1,Syk,Socs2,Grap2,Lcp2,Sla2,Cish,Dapp1,Lyn,Lck,Stap2,Blnk,Grap,Socs3,Sla,Tns1
IPR036860	SH2_dom_sf	9.4128988638084e-10	-20.7837699617433	112	29	0.0200414651002073	1447	20062	12929,27278,16453,14360,218397,17444,16822,216233,20963,77799,12700,234779,12229,11350,20848,18803,12143,12703,14191,56468,17060,106766,12702,71520,21961,20491,17096,26377,16818	Crkl,Clnk,Jak3,Fyn,Rasa1,Grap2,Lcp2,Socs2,Syk,Sla2,Cish,Plcg2,Btk,Abl1,Stat3,Plcg1,Blk,Socs1,Fgr,Socs5,Blnk,Stap2,Socs3,Grap,Tns1,Sla,Lyn,Dapp1,Lck
IPR011009	Kinase-like_dom_sf	2.7344806551401e-09	-19.717324307535	530	77	0.0532135452660677	1447	20062	13631,12322,22241,140780,18761,320129,21687,18099,237459,55984,29857,19094,18596,665113,16706,214230,17096,16818,21846,106522,18712,75320,13836,217866,16453,14360,17346,13549,20393,77976,18755,328329,12229,73086,101540,18750,11350,27373,217718,232944,67426,13844,53608,110651,104175,52163,72113,18557,226419,30955,13867,211770,20868,74769,16542,59041,263803,18160,69635,11479,18715,232533,14182,17347,20963,98267,13848,12795,12168,29869,26362,14191,21813,12143,228775,217410,107589	Eef2k,Camk2a,Ulk1,Bmp2k,Prkcq,Grk3,Tek,Nlk,Cdk17,Camkk1,Mapk12,Mapk11,Pdgfrb,Tnik,Ksr1,Pak6,Lyn,Lck,Tie1,Pkdcc,Pim1,Etnk1,Epha2,Cdc42bpb,Jak3,Fyn,Mknk1,Dyrk1b,Sgk1,Nuak1,Prkch,Mast4,Btk,Rps6ka5,Prkd2,Prkca,Abl1,Csnk1e,Nek9,Mark4,Coq8a,Ephb2,Map3k6,Rps6ka3,Sbk1,Camk1,Adck1,Cdk18,Dyrk3,Pik3cg,Erbb3,Trib1,Stk10,Pik3cb,Kdr,Stk25,Pkn3,Npr1,Dapk1,Acvr1b,Pim2,Stk38l,Fgfr1,Mknk2,Syk,Stk17b,Ephb6,Plk3,Bmpr2,Ulk2,Axl,Fgr,Tgfbr2,Blk,Trib3,Trib2,Mylk
IPR000719	Prot_kinase_dom	5.54718164402681e-09	-19.0099758500553	490	72	0.0497581202487906	1447	20062	98267,13848,20963,18715,17347,14182,232533,69635,11479,217410,107589,21813,14191,228775,12143,29869,26362,12795,12168,13867,211770,226419,18557,52163,72113,53608,13844,104175,110651,18160,59041,263803,16542,20868,18755,77976,20393,13549,17346,14360,16453,27373,217718,232944,11350,18750,73086,12229,328329,101540,18596,665113,16706,55984,19094,29857,21687,18761,320129,237459,18099,22241,140780,12322,13836,217866,21846,106522,18712,16818,214230,17096	Stk17b,Ephb6,Syk,Pim2,Mknk2,Fgfr1,Stk38l,Dapk1,Acvr1b,Trib2,Mylk,Tgfbr2,Fgr,Trib3,Blk,Ulk2,Axl,Plk3,Bmpr2,Erbb3,Trib1,Dyrk3,Cdk18,Camk1,Adck1,Map3k6,Ephb2,Sbk1,Rps6ka3,Npr1,Stk25,Pkn3,Kdr,Stk10,Prkch,Nuak1,Sgk1,Dyrk1b,Mknk1,Fyn,Jak3,Csnk1e,Nek9,Mark4,Abl1,Prkca,Rps6ka5,Btk,Mast4,Prkd2,Pdgfrb,Tnik,Ksr1,Camkk1,Mapk11,Mapk12,Tek,Prkcq,Grk3,Cdk17,Nlk,Ulk1,Bmp2k,Camk2a,Epha2,Cdc42bpb,Tie1,Pkdcc,Pim1,Lck,Pak6,Lyn
IPR017441	Protein_kinase_ATP_BS	1.6414182973776e-08	-17.9251200603796	379	59	0.0407740152038701	1447	20062	18596,665113,19094,29857,55984,237459,18099,21687,320129,18761,22241,12322,217866,13836,18712,21846,16818,17096,214230,18755,77976,20393,13549,17346,16453,14360,232944,27373,11350,18750,101540,73086,12229,18557,226419,52163,110651,53608,13844,59041,263803,16542,20868,98267,20963,17347,14182,232533,18715,69635,11479,107589,12143,21813,14191,26362,29869,12168,12795	Pdgfrb,Tnik,Mapk11,Mapk12,Camkk1,Cdk17,Nlk,Tek,Grk3,Prkcq,Ulk1,Camk2a,Cdc42bpb,Epha2,Pim1,Tie1,Lck,Lyn,Pak6,Prkch,Nuak1,Sgk1,Dyrk1b,Mknk1,Jak3,Fyn,Mark4,Csnk1e,Abl1,Prkca,Prkd2,Rps6ka5,Btk,Cdk18,Dyrk3,Camk1,Rps6ka3,Map3k6,Ephb2,Stk25,Pkn3,Kdr,Stk10,Stk17b,Syk,Mknk2,Fgfr1,Stk38l,Pim2,Dapk1,Acvr1b,Mylk,Blk,Tgfbr2,Fgr,Axl,Ulk2,Bmpr2,Plk3
IPR000198	RhoGAP_dom	8.94385568768871e-08	-16.2297139627672	65	19	0.0131306150656531	1447	20062	73910,212285,236920,11856,11855,58996,214137,259302,78514,228359,214804,69710,218581,232201,16330,110279,75415,106952,233071	Arhgap18,Arap2,Stard8,Arhgap6,Arhgap5,Arhgap23,Arhgap29,Srgap3,Arhgap10,Arhgap1,Syde2,Arap1,Depdc1b,Arhgap25,Inpp5b,Bcr,Arhgap12,Arap3,Arhgap33
IPR000301	Tetraspanin_animals	1.18810345227848e-07	-15.9457373527667	27	12	0.0082930200414651	1447	20062	52588,12520,12493,74257,64540,66109,12512,241556,12476,109246,12527,27027	Tspan14,Cd81,Cd37,Tspan17,Tspan4,Tspan13,Cd63,Tspan18,Cd151,Tspan9,Cd9,Tspan32
IPR013783	Ig-like_fold	1.9608277917406e-07	-15.4447289241527	741	92	0.0635798203178991	1447	20062	70693,98365,14728,26362,231668,107589,15894,20354,75345,13848,16768,16186,17082,385658,21838,17480,20266,77739,140570,16177,19268,233186,74144,329693,12504,15000,16174,320974,27218,15040,16330,15001,239849,94090,20353,12481,12506,12518,13836,69524,21846,21687,217303,54394,225825,20361,60533,140571,14182,12500,16542,21817,54712,14130,74762,71326,15002,14125,98733,19649,13844,237313,140497,18019,18106,20732,16456,54446,84004,20431,171285,74603,83964,328833,243864,84544,19079,107250,108097,12984,21816,54135,16192,16178,12523,57781,19698,18733,50931,18596,16185,18034	Adgra3,Slamf9,Lilrb4a,Axl,Vsig10,Mylk,Icam1,Sema4d,Slamf7,Ephb6,Lag3,Il2rg,Il1rl1,Nxpe3,Thy1,Mpl,Scn1b,Adamtsl1,Plxnb2,Il1r1,Ptprf,Siglecf,Robo4,Fcrl5,Cd4,H2-DMb2,Il18rap,Lrrn4,Slamf1,H2-T23,Inpp5b,H2-Oa,Cd200r4,Trim9,Sema4c,Cd2,Cd48,Cd79a,Epha2,Esam,Tie1,Tek,Cd300a,Crlf3,Cd226,Sema7a,Cd274,Plxnb3,Fgfr1,Cd3d,Kdr,Tgm2,Plxnc1,Fcgr2b,Mdga1,Treml1,H2-Ob,Fcer1a,Obsl1,Robo3,Ephb2,Il20ra,Cd300c2,Nfatc2,Cd244a,Spint1,F11r,Nfat5,Mcam,Pmel,Havcr2,Cd200r3,Jam3,Treml2,Mill2,Cd96,Prkab1,Kazald1,Prkab2,Csf2rb2,Tgm1,Lsr,Il5ra,Il1r2,Cd84,Cd200r1,Relb,Pirb,Il27ra,Pdgfrb,Il2rb,Nfkb2
IPR018503	Tetraspanin_CS	3.49265173165272e-07	-14.8674343947558	20	10	0.00691085003455425	1447	20062	74257,64540,52588,12520,12493,109246,12527,12512,241556,12476	Tspan17,Tspan4,Tspan14,Cd81,Cd37,Tspan9,Cd9,Cd63,Tspan18,Cd151
IPR008952	Tetraspanin_EC2_sf	4.82209348387491e-07	-14.5448874844368	30	12	0.0082930200414651	1447	20062	12527,109246,27027,66109,74257,12493,12512,12476,241556,64540,52588,12520	Cd9,Tspan9,Tspan32,Tspan13,Tspan17,Cd37,Cd63,Cd151,Tspan18,Tspan4,Tspan14,Cd81
IPR018499	Tetraspanin/Peripherin	7.35166958291373e-07	-14.1231682093912	31	12	0.0082930200414651	1447	20062	74257,12493,27027,12527,109246,66109,64540,12520,52588,12476,241556,12512	Tspan17,Cd37,Tspan32,Cd9,Tspan9,Tspan13,Tspan4,Cd81,Tspan14,Cd151,Tspan18,Cd63
IPR001806	Small_GTPase	7.38628174766799e-06	-11.8158860960838	132	25	0.0172771250863856	1447	20062	215449,80718,73296,69834,14579,19325,11853,68939,53869,104215,270192,80837,19416,11858,217378,74734,58222,72433,216439,20130,75985,19329,56437,11852,68328	Rap1b,Rab27b,Rhobtb3,Rab43,Gem,Rab10,Rhoc,Rasl11b,Rab11a,Rhoq,Rab6b,Rhoj,Rasd1,Rnd2,Dnajc27,Rhoh,Rab37,Rab38,Agap2,Rras,Rab30,Rab17,Rrad,Rhob,Rab13
IPR006703	G_AIG1	9.68190998639874e-06	-11.5452513634949	9	6	0.00414651002073255	1447	20062	243374,107526,317757,16205,231931,317758	Gimap8,Gimap4,Gimap5,Gimap1,Gimap6,Gimap9
IPR045058	GIMA/IAN/Toc	9.68190998639874e-06	-11.5452513634949	9	6	0.00414651002073255	1447	20062	16205,317758,231931,317757,107526,243374	Gimap1,Gimap9,Gimap6,Gimap5,Gimap4,Gimap8
IPR013761	SAM/pointed_sf	1.03387588918858e-05	-11.4796107258864	118	23	0.0158949550794748	1447	20062	16706,23872,13844,53608,13836,209086,58234,217125,13848,208449,19024,16822,69710,72615,229011,106952,77480,212285,67742,23871,13876,74131,67533	Ksr1,Ets2,Ephb2,Map3k6,Epha2,Samd9l,Shank3,Samd14,Ephb6,Sgms1,Ppfibp2,Lcp2,Arap1,Anks3,Samd10,Arap3,Kidins220,Arap2,Samsn1,Ets1,Erg,Sash3,Ppfibp1
IPR036179	Ig-like_dom_sf	1.10823772288686e-05	-11.4101543483161	501	63	0.0435383552176918	1447	20062	84004,12504,27218,15040,16174,15000,239849,243864,83964,328833,15001,171285,20353,84544,54135,16178,12506,12518,12481,107250,18733,21846,57781,69524,12523,217303,21687,225825,20361,18596,26362,60533,70693,98365,14728,107589,231668,75345,20354,15894,14182,21838,17082,16768,12500,77739,20266,16542,16177,15002,71326,14125,74762,14130,140497,19649,98733,19268,329693,16456,74144,18106,233186	Mcam,Cd4,Slamf1,H2-T23,Il18rap,H2-DMb2,Cd200r4,Mill2,Jam3,Treml2,H2-Oa,Havcr2,Sema4c,Cd96,Lsr,Il1r2,Cd48,Cd79a,Cd2,Kazald1,Pirb,Tie1,Cd200r1,Esam,Cd84,Cd300a,Tek,Cd226,Sema7a,Pdgfrb,Axl,Cd274,Adgra3,Slamf9,Lilrb4a,Mylk,Vsig10,Slamf7,Sema4d,Icam1,Fgfr1,Thy1,Il1rl1,Lag3,Cd3d,Adamtsl1,Scn1b,Kdr,Il1r1,H2-Ob,Treml1,Fcer1a,Mdga1,Fcgr2b,Cd300c2,Robo3,Obsl1,Ptprf,Fcrl5,F11r,Robo4,Cd244a,Siglecf
