TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04611	Platelet activation	1.56556711273422e-14	-31.7879431712114	124	38	0.0629139072847682	604	8044	16416,60596,14360,108101,18798,234779,21390,19094,54195,19224,18436,20963,18783,18796,14062,16398,17096,30955,14729,21894,19222,107589,29857,54368,14065,16439,20619,215449,16822,14723,74769,16399,21391,14127,12229,14724,22323,11515	Itgb3,Gucy1a1,Fyn,Fermt3,Plcb4,Plcg2,Tbxa2r,Mapk11,Gucy1b1,Ptgs1,P2rx1,Syk,Pla2g4a,Plcb2,F2r,Itga2,Lyn,Pik3cg,Gp5,Tln1,Ptgir,Mylk,Mapk12,Gp9,F2rl3,Itpr2,Snap23,Rap1b,Lcp2,Gp1ba,Pik3cb,Itga2b,Tbxas1,Fcer1g,Btk,Gp1bb,Vasp,Adcy9
mmu04659	Th17 cell differentiation	5.60984028340884e-12	-25.9064988667798	102	31	0.0513245033112583	604	8044	18035,15001,16818,21813,12500,14281,29857,16797,18037,16189,19401,16186,16453,19057,11622,15251,19094,15002,15000,16177,18761,21803,50931,20181,16185,18803,12504,18019,12394,20848,16476	Nfkbia,H2-Oa,Lck,Tgfbr2,Cd3d,Fos,Mapk12,Lat,Nfkbie,Il4,Rara,Il2rg,Jak3,Ppp3cc,Ahr,Hif1a,Mapk11,H2-Ob,H2-DMb2,Il1r1,Prkcq,Tgfb1,Il27ra,Rxra,Il2rb,Plcg1,Cd4,Nfatc2,Runx1,Stat3,Jun
ko04659	Th17 cell differentiation	5.60984028340884e-12	-25.9064988667798	102	31	0.0513245033112583	604	8044	19401,16186,16453,19057,15251,11622,15000,15002,19094,16177,18761,21803,50931,16185,20181,18803,12504,18019,12394,20848,16476,18035,15001,16818,21813,12500,14281,29857,16797,18037,16189	Rara,Il2rg,Jak3,Ppp3cc,Hif1a,Ahr,H2-DMb2,H2-Ob,Mapk11,Il1r1,Prkcq,Tgfb1,Il27ra,Il2rb,Rxra,Plcg1,Cd4,Nfatc2,Runx1,Stat3,Jun,Nfkbia,H2-Oa,Lck,Tgfbr2,Cd3d,Fos,Mapk12,Lat,Nfkbie,Il4
ko04380	Osteoclast differentiation	1.09223251061027e-09	-20.6350420604841	130	32	0.0529801324503311	604	8044	19016,22177,29857,16478,14728,14389,16822,74769,14281,12702,18035,17060,12229,21813,16818,18019,14130,16416,12703,14360,16476,18034,21803,234779,16477,19698,18733,19094,16177,20963,19057,14282	Pparg,Tyrobp,Mapk12,Jund,Lilrb4a,Gab2,Lcp2,Pik3cb,Fos,Socs3,Nfkbia,Blnk,Btk,Tgfbr2,Lck,Nfatc2,Fcgr2b,Itgb3,Socs1,Fyn,Jun,Nfkb2,Tgfb1,Plcg2,Junb,Relb,Pirb,Mapk11,Il1r1,Syk,Ppp3cc,Fosb
mmu04380	Osteoclast differentiation	1.09223251061027e-09	-20.6350420604841	130	32	0.0529801324503311	604	8044	18035,17060,21813,16818,12229,14728,16822,14389,14281,12702,74769,29857,16478,22177,19016,14282,19057,19094,20963,16177,18034,21803,16477,234779,18733,19698,16416,14130,18019,16476,12703,14360	Nfkbia,Blnk,Tgfbr2,Lck,Btk,Lilrb4a,Lcp2,Gab2,Fos,Socs3,Pik3cb,Mapk12,Jund,Tyrobp,Pparg,Fosb,Ppp3cc,Mapk11,Syk,Il1r1,Nfkb2,Tgfb1,Junb,Plcg2,Pirb,Relb,Itgb3,Fcgr2b,Nfatc2,Jun,Socs1,Fyn
ko04658	Th1 and Th2 cell differentiation	1.24044103329826e-08	-18.205213755557	87	24	0.0397350993377483	604	8044	18761,15000,15002,19094,433586,19057,16186,16453,12399,16476,18019,12504,18803,16185,270118,14281,12500,16818,15001,18035,16189,18037,16797,29857	Prkcq,H2-DMb2,H2-Ob,Mapk11,Maml3,Ppp3cc,Il2rg,Jak3,Runx3,Jun,Nfatc2,Cd4,Plcg1,Il2rb,Maml2,Fos,Cd3d,Lck,H2-Oa,Nfkbia,Il4,Nfkbie,Lat,Mapk12
mmu04658	Th1 and Th2 cell differentiation	1.24044103329826e-08	-18.205213755557	87	24	0.0397350993377483	604	8044	19057,433586,16453,16186,12399,18761,15002,15000,19094,12504,18803,16185,16476,18019,16818,15001,18035,14281,270118,12500,16797,29857,16189,18037	Ppp3cc,Maml3,Jak3,Il2rg,Runx3,Prkcq,H2-Ob,H2-DMb2,Mapk11,Cd4,Plcg1,Il2rb,Jun,Nfatc2,Lck,H2-Oa,Nfkbia,Fos,Maml2,Cd3d,Lat,Mapk12,Il4,Nfkbie
mmu04640	Hematopoietic cell lineage	2.26499610790444e-07	-15.3005226103893	93	23	0.0380794701986755	604	8044	12504,16416,12481,16403,16177,12509,16192,12493,15000,15002,13136,12527,54368,16189,14729,16398,16790,14724,15001,12500,16399,14723,16178	Cd4,Itgb3,Cd2,Itga6,Il1r1,Cd59a,Il5ra,Cd37,H2-DMb2,H2-Ob,Cd55,Cd9,Gp9,Il4,Gp5,Itga2,Anpep,Gp1bb,H2-Oa,Cd3d,Itga2b,Gp1ba,Il1r2
ko04640	Hematopoietic cell lineage	2.26499610790444e-07	-15.3005226103893	93	23	0.0380794701986755	604	8044	54368,12527,13136,14729,16189,16398,14724,16790,15001,14723,12500,16399,16178,12504,16416,12481,16403,12509,16177,15000,15002,12493,16192	Gp9,Cd9,Cd55,Gp5,Il4,Itga2,Gp1bb,Anpep,H2-Oa,Gp1ba,Cd3d,Itga2b,Il1r2,Cd4,Itgb3,Cd2,Itga6,Cd59a,Il1r1,H2-DMb2,H2-Ob,Cd37,Il5ra
mmu04664	Fc epsilon RI signaling pathway	3.32828675914144e-07	-14.915637966104	68	19	0.0314569536423841	604	8044	14125,16189,14360,17096,29857,234779,11689,18803,16797,16822,14389,19094,74769,20963,14126,18750,18783,14127,12229	Fcer1a,Il4,Fyn,Lyn,Mapk12,Plcg2,Alox5,Plcg1,Lat,Lcp2,Gab2,Mapk11,Pik3cb,Syk,Ms4a2,Prkca,Pla2g4a,Fcer1g,Btk
ko04664	Fc epsilon RI signaling pathway	3.32828675914144e-07	-14.915637966104	68	19	0.0314569536423841	604	8044	234779,29857,18803,16797,11689,14125,17096,16189,14360,14127,18750,18783,12229,19094,16822,14389,20963,14126,74769	Plcg2,Mapk12,Plcg1,Lat,Alox5,Fcer1a,Lyn,Il4,Fyn,Fcer1g,Prkca,Pla2g4a,Btk,Mapk11,Lcp2,Gab2,Syk,Ms4a2,Pik3cb
