TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
TLR4	TLR4 (Toll-like receptor 4) signaling pathway	0.0095687224098387	-4.64925558192351	67	15	0.288461538461538	52	416	19698,16476,18037,54123,29857,20304,18035,19094,21929,18034,15894,20750,14281,20303,17874	Relb,Jun,Nfkbie,Irf7,Mapk12,Ccl5,Nfkbia,Mapk11,Tnfaip3,Nfkb2,Icam1,Spp1,Fos,Ccl4,Myd88
FAOmega3And6Unsaturated	Omega-3 and omega-6 unsaturated fatty acids biosynthesis pathway	0.0284512461282991	-3.55956331872582	15	5	0.0961538461538462	52	416	171210,18783,76267,11430,56473	Acot2,Pla2g4a,Fads1,Acox1,Fads2
FAEicosanoidsCOX	Arachidonic acid metabolism via COX (Cyclooxygenase) pathway	0.0743320022197423	-2.59921370370819	19	5	0.0961538461538462	52	416	18783,11430,72054,19224,21391	Pla2g4a,Acox1,Cyp4f18,Ptgs1,Tbxas1
FAEicosanoids	Arachidonic acid metabolism pathway	0.0897323555984511	-2.41092386594441	9	3	0.0576923076923077	52	416	11689,18783,19224	Alox5,Pla2g4a,Ptgs1
Apoptosis	Apoptosis signaling pathway	0.189337042442176	-1.66422655875738	74	12	0.230769230769231	52	416	74769,30955,19698,22035,18037,18035,19088,12368,16177,18034,12048,17874	Pik3cb,Pik3cg,Relb,Tnfsf10,Nfkbie,Nfkbia,Prkar2b,Casp6,Il1r1,Nfkb2,Bcl2l1,Myd88
FAEicosanoidsLOX	Arachidonic acid metabolism via LOX (Lipooxygenase) pathway	0.231152259915303	-1.46467865176116	20	4	0.0769230769230769	52	416	72054,11430,11689,319446	Cyp4f18,Acox1,Alox5,Dpep2
PI3K	PI3K/Akt/mTOR signaling pathway	0.233787986002356	-1.45334061705421	92	14	0.269230769230769	52	416	18035,18019,29869,13682,54446,18034,18037,22241,74769,30955,19698,17246,15251,12575	Nfkbia,Nfatc2,Ulk2,Eif4a2,Nfat5,Nfkb2,Nfkbie,Ulk1,Pik3cb,Pik3cg,Relb,Mdm2,Hif1a,Cdkn1a
FAOmega9AndOthersUnsaturated	Omega-9 and other unsaturated fatty acids biosynthesis pathway	0.249142148746281	-1.38973166690745	14	3	0.0576923076923077	52	416	76267,171210,56473	Fads1,Acot2,Fads2
PPAR	PPAR (Peroxisome proliferator-activated receptor) signaling pathway	0.691725503857462	-0.368566072785322	45	5	0.0961538461538462	52	416	20181,11430,19016,56473,12894	Rxra,Acox1,Pparg,Fads2,Cpt1a
ST	Sterols biosynthesis pathway	0.703090710759603	-0.352269361698173	9	1	0.0192307692307692	52	416	223920	Soat2
SP	Sphingolipids metabolism pathway	0.828738393753081	-0.187850742101298	24	2	0.0384615384615385	52	416	208449,20773	Sgms1,Sptlc2
FAEicosanoidsCYP	Arachidonic acid metabolism via CYP (Cytochromoe P450) pathway	0.869965078535923	-0.139302207753005	15	1	0.0192307692307692	52	416	72054	Cyp4f18
GP	Glycerolipids/Glycerophospholipids metabolism pathway	0.92555939186131	-0.0773569762978963	19	1	0.0192307692307692	52	416	75320	Etnk1
CellCycle	Cell cycle signaling pathway	0.976289507410225	-0.0239961101090682	95	7	0.134615384615385	52	416	12575,21803,12581,12577,17246,11350,12578	Cdkn1a,Tgfb1,Cdkn2d,Cdkn1c,Mdm2,Abl1,Cdkn2a
