TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00401	SH2DOMAIN	1.82381866911009e-08	-17.8197482711072	71	20	0.0472813238770686	423	6344	12929,216233,11350,14360,71520,17096,26377,12700,12143,16818,17444,20491,77799,218397,20963,14191,27278,234779,12229,18803	Crkl,Socs2,Abl1,Fyn,Grap,Lyn,Dapp1,Cish,Blk,Lck,Grap2,Sla,Sla2,Rasa1,Syk,Fgr,Clnk,Plcg2,Btk,Plcg1
PR00452	SH3DOMAIN	1.52717193550905e-07	-15.6946780341324	87	21	0.049645390070922	423	6344	259302,71602,14191,80708,30948,12229,18803,12143,17444,16818,66610,14360,15468,71520,20410,17096,21981,12929,15163,59009,23969	Srgap3,Myo1e,Fgr,Pacsin3,Bin1,Btk,Plcg1,Blk,Grap2,Lck,Abi3,Fyn,Prmt2,Grap,Sorbs3,Lyn,Ppp1r13b,Crkl,Hcls1,Sh3rf1,Pacsin1
PR00259	TMFOUR	5.00699725557706e-07	-14.5072592657279	27	11	0.0260047281323877	423	6344	12512,12476,66109,12527,64540,12493,241556,109246,12520,52588,74257	Cd63,Cd151,Tspan13,Cd9,Tspan4,Cd37,Tspan18,Tspan9,Cd81,Tspan14,Tspan17
PR00449	RASTRNSFRMNG	4.3924157409715e-06	-12.3356311995458	131	24	0.0567375886524823	423	6344	72433,75985,69834,68939,11858,56437,104215,270192,68328,74734,11853,14579,19329,11855,217378,215449,80837,80718,53869,19416,19325,11852,58222,20130	Rab38,Rab30,Rab43,Rasl11b,Rnd2,Rrad,Rhoq,Rab6b,Rab13,Rhoh,Rhoc,Gem,Rab17,Arhgap5,Dnajc27,Rap1b,Rhoj,Rab27b,Rab11a,Rasd1,Rab10,Rhob,Rab37,Rras
PR00109	TYRKINASE	0.000194467028866235	-8.54524792667272	97	17	0.0401891252955083	423	6344	14360,26362,13848,17096,21846,16453,13836,14182,11350,21687,14191,13867,20963,12229,12143,16818,13844	Fyn,Axl,Ephb6,Lyn,Tie1,Jak3,Epha2,Fgfr1,Abl1,Tek,Fgr,Erbb3,Syk,Btk,Blk,Lck,Ephb2
PR01536	INTRLKN1R12F	0.000262485554252754	-8.24531450886496	6	4	0.00945626477541371	423	6344	16178,16174,17082,16177	Il1r2,Il18rap,Il1rl1,Il1r1
PR00043	LEUZIPPRJUN	0.000294476600428725	-8.13031101327988	3	3	0.00709219858156028	423	6344	16476,16477,16478	Jun,Junb,Jund
PR01185	INTEGRINA	0.000789882817129245	-7.14362595625339	18	6	0.0141843971631206	423	6344	16403,16399,16408,16398,104099,16411	Itga6,Itga2b,Itgal,Itga2,Itga9,Itgax
PR01163	BETATUBULIN	0.00109951142483493	-6.81288935708672	8	4	0.00945626477541371	423	6344	67951,22151,545486,73710	Tubb6,Tubb2a,Tubb1,Tubb2b
PR01428	PROTEASEAR	0.00111939189035855	-6.7949696961656	4	3	0.00709219858156028	423	6344	14062,14065,14064	F2r,F2rl3,F2rl2
