TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	4.53165126141906e-10	-21.5147645399961	237	48	0.0461538461538462	1040	13465	108101,110279,78255,232201,217866,231999,216439,241308,20648,72318,320129,79196,98432,212285,75415,216190,30938,18803,17207,240057,101497,17909,64291,56193,234779,338368,26377,13449,232970,106952,269608,101540,14389,58996,69601,237542,102693,75974,69710,236915,12229,78514,218397,106877,67220,16800,102595,14388	Fermt3,Bcr,Ralgps2,Arhgap25,Cdc42bpb,Plekha8,Agap2,Ralgps1,Snta1,Cyth4,Grk3,Osbpl5,Phlpp1,Arap2,Arhgap12,Appl2,Fgd3,Plcg1,Mcf2l,Syngap1,Plekhg2,Myo10,Osbpl1a,Plek,Plcg2,Pheta2,Dapp1,Dok2,Phldb3,Arap3,Plekhg5,Prkd2,Gab2,Arhgap23,Dab2ip,Osbpl8,Phldb1,Dock11,Arap1,Arhgef9,Btk,Arhgap10,Rasa1,Afap1l1,Plekho1,Arhgef2,Plekho2,Gab1
PS50002	SH3	8.40621358860726e-10	-20.8968797846145	218	45	0.0432692307692308	1040	13465	14191,218397,78514,18810,80708,74131,236915,17096,12929,30948,15468,71602,12229,11350,20491,16818,13385,319262,21873,77799,15163,234779,67742,53618,53310,106628,71520,59009,259302,233071,18803,13383,214459,12143,21981,17207,235406,58234,17444,23969,75415,72828,20410,14360,66610	Fgr,Rasa1,Arhgap10,Plec,Pacsin3,Sash3,Arhgef9,Lyn,Crkl,Bin1,Prmt2,Myo1e,Btk,Abl1,Sla,Lck,Dlg4,Fchsd1,Tjp2,Sla2,Hcls1,Plcg2,Samsn1,Fut8,Dlg3,Trip10,Grap,Sh3rf1,Srgap3,Arhgap33,Plcg1,Dlg1,Fnbp1l,Blk,Ppp1r13b,Mcf2l,Snx33,Shank3,Grap2,Pacsin1,Arhgap12,Ubash3b,Sorbs3,Fyn,Abi3
PS50001	SH2	2.99832240943936e-09	-19.6252129015407	104	28	0.0269230769230769	1040	13465	12702,17060,14191,234779,12700,218397,26377,71520,27278,18803,17096,12229,12929,12143,16822,20848,12703,56468,21961,20963,20491,11350,17444,16818,216233,14360,106766,77799	Socs3,Blnk,Fgr,Plcg2,Cish,Rasa1,Dapp1,Grap,Clnk,Plcg1,Lyn,Btk,Crkl,Blk,Lcp2,Stat3,Socs1,Socs5,Tns1,Syk,Sla,Abl1,Grap2,Lck,Socs2,Fyn,Stap2,Sla2
PS50011	PROTEIN_KINASE_DOM	7.17600320003518e-08	-16.4499381732602	490	72	0.0692307692307692	1040	13465	18596,19094,18712,20963,18557,320129,107589,22241,214230,20393,217866,14360,98267,14182,73086,328329,13549,228775,16706,18755,217410,263803,17346,104175,13844,29857,12143,52163,665113,12795,55984,12322,16453,21687,18099,18715,226419,12168,11350,77976,69635,59041,101540,13836,72113,232944,20868,237459,29869,211770,13867,232533,53608,16818,106522,18160,17347,27373,18750,13848,18761,14191,217718,11479,26362,21846,12229,17096,16542,140780,21813,110651	Pdgfrb,Mapk11,Pim1,Syk,Cdk18,Grk3,Mylk,Ulk1,Pak6,Sgk1,Cdc42bpb,Fyn,Stk17b,Fgfr1,Rps6ka5,Mast4,Dyrk1b,Trib3,Ksr1,Prkch,Trib2,Pkn3,Mknk1,Sbk1,Ephb2,Mapk12,Blk,Camk1,Tnik,Plk3,Camkk1,Camk2a,Jak3,Tek,Nlk,Pim2,Dyrk3,Bmpr2,Abl1,Nuak1,Dapk1,Stk25,Prkd2,Epha2,Adck1,Mark4,Stk10,Cdk17,Ulk2,Trib1,Erbb3,Stk38l,Map3k6,Lck,Pkdcc,Npr1,Mknk2,Csnk1e,Prkca,Ephb6,Prkcq,Fgr,Nek9,Acvr1b,Axl,Tie1,Btk,Lyn,Kdr,Bmp2k,Tgfbr2,Rps6ka3
PS00107	PROTEIN_KINASE_ATP	1.52661389971316e-07	-15.6950435056043	379	59	0.0567307692307692	1040	13465	14182,14360,98267,217866,20393,22241,214230,107589,320129,18557,18712,20963,19094,18596,12322,55984,12795,665113,12143,52163,29857,13844,17346,263803,18755,13549,73086,16818,53608,232533,237459,29869,20868,232944,13836,59041,101540,69635,77976,11350,12168,226419,18715,18099,21687,16453,21813,110651,16542,17096,12229,21846,26362,11479,14191,18761,18750,27373,17347	Fgfr1,Fyn,Stk17b,Cdc42bpb,Sgk1,Ulk1,Pak6,Mylk,Grk3,Cdk18,Pim1,Syk,Mapk11,Pdgfrb,Camk2a,Camkk1,Plk3,Tnik,Blk,Camk1,Mapk12,Ephb2,Mknk1,Pkn3,Prkch,Dyrk1b,Rps6ka5,Lck,Map3k6,Stk38l,Cdk17,Ulk2,Stk10,Mark4,Epha2,Stk25,Prkd2,Dapk1,Nuak1,Abl1,Bmpr2,Dyrk3,Pim2,Nlk,Tek,Jak3,Tgfbr2,Rps6ka3,Kdr,Lyn,Btk,Tie1,Axl,Acvr1b,Fgr,Prkcq,Prkca,Csnk1e,Mknk2
PS50238	RHOGAP	2.52608505432858e-07	-15.1914249560496	65	19	0.0182692307692308	1040	13465	69710,106952,233071,110279,11856,236920,73910,214137,232201,11855,16330,58996,78514,214804,218581,212285,228359,259302,75415	Arap1,Arap3,Arhgap33,Bcr,Arhgap6,Stard8,Arhgap18,Arhgap29,Arhgap25,Arhgap5,Inpp5b,Arhgap23,Arhgap10,Syde2,Depdc1b,Arap2,Arhgap1,Srgap3,Arhgap12
PS00421	TM4_1	6.53195058660779e-07	-14.2413900406969	20	10	0.00961538461538462	1040	13465	241556,12520,74257,12493,12527,12476,64540,52588,109246,12512	Tspan18,Cd81,Tspan17,Cd37,Cd9,Cd151,Tspan4,Tspan14,Tspan9,Cd63
PS51420	RHO	1.15309789018287e-05	-11.3704733268683	75	18	0.0173076923076923	1040	13465	19416,58222,80718,80837,11858,69834,74734,11852,270192,11853,19325,75985,72433,53869,20130,19329,215449,104215	Rasd1,Rab37,Rab27b,Rhoj,Rnd2,Rab43,Rhoh,Rhob,Rab6b,Rhoc,Rab10,Rab30,Rab38,Rab11a,Rras,Rab17,Rap1b,Rhoq
PS51720	G_AIG1	1.4349224628047e-05	-11.1518146501072	9	6	0.00576923076923077	1040	13465	243374,231931,16205,317757,317758,107526	Gimap8,Gimap6,Gimap1,Gimap5,Gimap9,Gimap4
PS51741	F_BAR	2.86099648011265e-05	-10.4617554812027	23	9	0.00865384615384615	1040	13465	80708,19201,214137,106628,259302,23969,218503,214459,319262	Pacsin3,Pstpip2,Arhgap29,Trip10,Srgap3,Pacsin1,Fcho2,Fnbp1l,Fchsd1
