TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-109582	Hemostasis	2.91741879939798e-16	-35.7706622353678	518	99	0.138655462184874	714	8672	16439,12759,21390,234779,20963,21687,18591,69524,20344,21803,16411,19222,56744,17096,14729,14460,83964,259300,53313,14062,13139,66082,13601,16453,16570,12527,56193,16416,242202,12506,109711,68891,16399,14191,30955,12984,14064,11852,12331,22330,100163,19088,74769,11600,18436,70945,18750,54368,15234,18106,14389,18438,20363,100503605,18755,21894,54123,14360,16822,16456,14723,56760,54216,16192,14461,16403,12512,227612,11350,16408,215449,19128,16563,80718,14675,108101,12523,50934,17133,628900,75974,18761,80884,13041,16818,101488143,16186,13449,57349,18783,16185,14724,16149,14127,17254,16594,14065,20970,16797	Itpr2,Clu,Tbxa2r,Plcg2,Syk,Tek,Pdgfb,Esam,Selp,Tgfb1,Itgax,Ptgir,Pf4,Lyn,Gp5,Gata1,Jam3,Ehd2,Atp2a3,F2r,Dgka,Abhd6,Ecm1,Jak3,Kif3c,Cd9,Plek,Itgb3,Pde5a,Cd48,Actn1,Cd177,Itga2b,Fgr,Pik3cg,Csf2rb2,F2rl2,Rhob,Cap1,Vcl,Pafah2,Prkar2b,Pik3cb,Angpt1,P2rx1,Mmrn1,Prkca,Gp9,Hgf,Cd244a,Gab2,P2rx4,Selenop,Hbb-bs,Prkch,Tln1,Irf7,Fyn,Lcp2,F11r,Gp1ba,Clec1b,Pcdh7,Il5ra,Gata2,Itga6,Cd63,Tor4a,Abl1,Itgal,Rap1b,Pros1,Kif2a,Rab27b,Gna14,Fermt3,Cd84,Slc7a8,Maff,Serpina3i,Dock11,Prkcq,Maged2,Ctsw,Lck,Hbb-bt,Il2rg,Dok2,Ppbp,Pla2g4a,Il2rb,Gp1bb,Cd74,Fcer1g,Slc3a2,Klc2,F2rl3,Sdc3,Lat
R-MMU-76002	Platelet activation, signaling and aggregation	5.53340187442791e-15	-32.8279736013482	260	62	0.0868347338935574	714	8672	13601,628900,16453,12527,56193,16416,18761,80884,13041,16818,16186,57349,109711,16399,30955,12984,14064,11852,16185,12331,22330,18783,14724,74769,14127,70945,14065,18750,54368,15234,16797,14389,16439,12759,234779,21390,20963,18591,20344,20363,21803,18755,56744,21894,14360,17096,16822,14723,56760,54216,16192,14729,12512,227612,19128,215449,14062,80718,13139,14675,66082,108101	Ecm1,Serpina3i,Jak3,Cd9,Plek,Itgb3,Prkcq,Maged2,Ctsw,Lck,Il2rg,Ppbp,Actn1,Itga2b,Pik3cg,Csf2rb2,F2rl2,Rhob,Il2rb,Cap1,Vcl,Pla2g4a,Gp1bb,Pik3cb,Fcer1g,Mmrn1,F2rl3,Prkca,Gp9,Hgf,Lat,Gab2,Itpr2,Clu,Plcg2,Tbxa2r,Syk,Pdgfb,Selp,Selenop,Tgfb1,Prkch,Pf4,Tln1,Fyn,Lyn,Lcp2,Gp1ba,Clec1b,Pcdh7,Il5ra,Gp5,Cd63,Tor4a,Pros1,Rap1b,F2r,Rab27b,Dgka,Gna14,Abhd6,Fermt3
R-MMU-168256	Immune System	3.1366053217018e-14	-31.0930501945533	1692	220	0.30812324929972	714	8672	12518,218203,328833,20848,17395,11350,235627,22177,50930,215449,17246,16408,19094,12143,21950,21871,237313,18611,18413,14389,11689,217303,18733,29857,239849,15894,67474,17079,12322,26898,56468,320484,93871,21858,15001,16185,16177,16594,16149,98432,18034,69601,12504,16797,72194,224794,243864,75345,240057,227288,56464,140580,16818,101488143,18803,16186,57349,16480,227753,81018,20334,17096,57781,11768,75612,50931,18600,12509,234779,240672,71326,20963,14130,17002,52588,14388,17444,12984,15000,74769,50762,19698,68724,18436,19141,11600,15040,18750,12575,102595,380797,12702,13867,15234,16768,216233,16453,67731,14182,15002,16570,16819,16790,60533,12700,13136,56743,16706,16476,68713,68891,13033,14360,16822,24110,16192,13682,17909,21936,12512,170743,171285,16563,22164,57757,14728,16189,16168,11676,78416,18718,72349,12500,380711,83814,11980,13367,21929,74603,100503605,20469,54123,12929,12260,11515,544963,14127,17060,56338,20527,14590,20619,12229,66612,230903,12520,667865,628900,15370,107767,231130,12262,20708,18761,15937,20972,218397,19325,228775,16174,18037,16071,16994,17394,26377,64291,73086,72049,80860,18806,16439,22323,12759,17874,21687,110078,18019,140497,18591,15511,16411,16019,20868,12259,14191,17059,19088,71693,17474,22330,12331,12765,12703,110651,18035,71884,11977,16178,70450,12048,14174,225825,108995,14281,18596,58222,13385,780794,17082,14588	Cd79a,Mylip,Treml2,Stat3,Mmp9,Abl1,Nbeal2,Tyrobp,Tnfsf14,Rap1b,Mdm2,Itgal,Mapk11,Blk,Tnfsf9,Atp6v0a2,Il20ra,Pea15a,Osm,Gab2,Alox5,Cd300a,Pirb,Mapk12,Cd200r4,Icam1,Snap29,Cd180,Camk2a,Ctsj,Socs5,Rasal3,Brwd1,Timp2,H2-Oa,Il2rb,Il1r1,Klc2,Cd74,Phlpp1,Nfkb2,Dab2ip,Cd4,Lat,Fbxl20,Enpp4,Mill2,Slamf7,Syngap1,Cxcr1,Ctsf,Elmo1,Lck,Hbb-bt,Plcg1,Il2rg,Ppbp,Jup,Gsn,Rnf114,Sec23a,Lyn,Cd200r1,Ap1m2,Gns,Il27ra,Padi2,Cd59a,Plcg2,Dusp5,Treml1,Syk,Fcgr2b,Ltf,Tspan14,Gab1,Grap2,Csf2rb2,H2-DMb2,Pik3cb,Fbxo6,Relb,Arl8a,P2rx1,Lgmn,Angpt1,H2-T23,Prkca,Cdkn1a,Plekho2,Ighd,Socs3,Erbb3,Hgf,Lag3,Socs2,Jak3,Fbxo32,Fgfr1,H2-Ob,Kif3c,Lcn2,Anpep,Cd274,Cish,Cd55,Lat2,Ksr1,Jun,Ifitm1,Cd177,Ctsd,Fyn,Lcp2,Usp18,Il5ra,Eif4a2,Myo10,Tnfrsf18,Cd63,Tlr7,Havcr2,Kif2a,Tnfsf4,Pglyrp2,Lilrb4a,Il4,Il15,Aldoc,Rnase6,Pip4k2a,Dusp3,Cd3d,Rap1gap2,Nedd4l,Atp8a1,Diaph1,Tnfaip3,Cd200r3,Hbb-bs,Sipa1,Irf7,Crkl,C1qb,Adcy9,Iqgap2,Fcer1g,Blnk,Txnip,Slc2a3,Ggh,Snap23,Btk,Ormdl3,Fbxo44,Cd81,Igkv6-17,Serpina3i,Nr4a1,Scamp1,Tnip2,C1qc,Serpinb6b,Prkcq,Ier3,Syngr1,Rasa1,Rab10,Trib3,Il18rap,Nfkbie,Igkc,Ltb,Mmp8,Dapp1,Osbpl1a,Rps6ka5,Tnfrsf13c,Ghdc,Pld2,Itpr2,Vasp,Clu,Myd88,Tek,Pygb,Nfatc2,Cd300c2,Pdgfb,Hspa1b,Itgax,Ighm,Stk10,C1qa,Fgr,Klrb1c,Prkar2b,Colec11,Clec4d,Vcl,Cap1,Cxcr2,Socs1,Rps6ka3,Nfkbia,Chit1,Atp7a,Il1r2,Unc13d,Bcl2l1,Fgf3,Cd226,Tbc1d10c,Fos,Pdgfrb,Rab37,Dlg4,Ighv5-17,Il1rl1,Gfra4
R-MMU-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	9.39993569366589e-09	-18.4825629887932	37	16	0.0224089635854342	714	8672	20963,17060,14360,17096,16439,667865,12518,234779,380797,16019,780794,26377,18803,16071,12229,12143	Syk,Blnk,Fyn,Lyn,Itpr2,Igkv6-17,Cd79a,Plcg2,Ighd,Ighm,Ighv5-17,Dapp1,Plcg1,Igkc,Btk,Blk
R-MMU-114604	GPVI-mediated activation cascade	1.68951031482685e-08	-17.8962420115447	48	18	0.0252100840336134	714	8672	14360,16822,17096,14389,12984,56760,30955,234779,16453,16192,11852,16185,20963,74769,14127,16818,16186,16797	Fyn,Lcp2,Lyn,Gab2,Csf2rb2,Clec1b,Pik3cg,Plcg2,Jak3,Il5ra,Rhob,Il2rb,Syk,Pik3cb,Fcer1g,Lck,Il2rg,Lat
R-MMU-194840	Rho GTPase cycle	2.30704059665034e-08	-17.5847151677546	127	31	0.0434173669467787	714	8672	11852,30938,11855,110279,233071,104215,101497,236915,214804,236920,11853,58996,16800,228359,80837,16330,106628,212285,218581,73910,259302,106952,17207,78514,11856,74734,232201,214137,269608,75415,69710	Rhob,Fgd3,Arhgap5,Bcr,Arhgap33,Rhoq,Plekhg2,Arhgef9,Syde2,Stard8,Rhoc,Arhgap23,Arhgef2,Arhgap1,Rhoj,Inpp5b,Trip10,Arap2,Depdc1b,Arhgap18,Srgap3,Arap3,Mcf2l,Arhgap10,Arhgap6,Rhoh,Arhgap25,Arhgap29,Plekhg5,Arhgap12,Arap1
R-MMU-168249	Innate Immune System	8.88626714427174e-08	-16.2361736763893	1181	146	0.204481792717087	714	8672	16818,101488143,15937,140580,227753,218397,16480,20972,57349,16186,18803,240057,107767,15370,224794,628900,18761,12262,20708,227288,231130,12229,20619,14590,69601,20527,16797,66612,21858,12260,320484,18034,56338,98432,14127,16185,544963,11515,26898,12322,13367,17079,11980,67474,54123,100503605,21929,11689,14389,72349,29857,18733,217303,57757,19094,215449,17246,16408,22177,18718,78416,11676,18611,14728,21871,17909,16192,16822,14360,170743,12512,235627,11350,17395,16706,56743,13385,13136,58222,18596,14588,13033,68891,16476,14182,16453,12048,14174,16790,14281,108995,16819,71884,15040,18750,18035,11600,19141,18436,15234,70450,13867,12575,11977,102595,12984,14191,12259,17444,20868,110651,68724,19698,12765,22330,12331,71693,17474,74769,19088,52588,16411,17002,15511,14388,12759,240672,234779,18591,14130,20963,140497,18019,110078,21687,17874,17394,18806,80860,12509,18600,73086,17096,75612,228775,19325	Lck,Hbb-bt,Ier3,Elmo1,Gsn,Rasa1,Jup,Syngr1,Ppbp,Il2rg,Plcg1,Syngap1,Scamp1,Nr4a1,Enpp4,Serpina3i,Prkcq,C1qc,Serpinb6b,Cxcr1,Tnip2,Btk,Snap23,Ggh,Dab2ip,Slc2a3,Lat,Ormdl3,Timp2,C1qb,Rasal3,Nfkb2,Txnip,Phlpp1,Fcer1g,Il2rb,Iqgap2,Adcy9,Ctsj,Camk2a,Diaph1,Cd180,Atp8a1,Snap29,Irf7,Hbb-bs,Tnfaip3,Alox5,Gab2,Dusp3,Mapk12,Pirb,Cd300a,Pglyrp2,Mapk11,Rap1b,Mdm2,Itgal,Tyrobp,Pip4k2a,Rnase6,Aldoc,Pea15a,Lilrb4a,Atp6v0a2,Myo10,Il5ra,Lcp2,Fyn,Tlr7,Cd63,Nbeal2,Abl1,Mmp9,Ksr1,Lat2,Dlg4,Cd55,Rab37,Pdgfrb,Gfra4,Ctsd,Cd177,Jun,Fgfr1,Jak3,Bcl2l1,Fgf3,Anpep,Fos,Tbc1d10c,Lcn2,Chit1,H2-T23,Prkca,Nfkbia,Angpt1,Lgmn,P2rx1,Hgf,Unc13d,Erbb3,Cdkn1a,Atp7a,Plekho2,Csf2rb2,Fgr,C1qa,Grap2,Stk10,Rps6ka3,Arl8a,Relb,Cxcr2,Vcl,Cap1,Colec11,Clec4d,Pik3cb,Prkar2b,Tspan14,Itgax,Ltf,Hspa1b,Gab1,Clu,Dusp5,Plcg2,Pdgfb,Fcgr2b,Syk,Cd300c2,Nfatc2,Pygb,Tek,Myd88,Mmp8,Pld2,Ghdc,Cd59a,Padi2,Rps6ka5,Lyn,Gns,Trib3,Rab10
R-MMU-1280218	Adaptive Immune System	7.44297860810895e-07	-14.1108245316799	604	84	0.117647058823529	714	8672	12575,230903,12520,380797,13867,15234,16768,16797,19141,18035,15040,20619,12504,12229,15000,17059,74769,15001,50762,16594,16149,17060,98432,17444,780794,18803,68713,13033,18596,60533,15937,16818,16570,18761,56464,72194,667865,14174,243864,15370,75345,225825,67731,14182,15002,26377,64291,18718,16071,16408,17246,215449,12143,16563,228775,328833,18037,81018,12518,20334,14360,17096,57781,218203,16822,11768,74603,16019,20469,14388,83814,26898,217303,20963,140497,239849,15894,380711,18591,16439,22323,234779,71326,12500	Cdkn1a,Fbxo44,Cd81,Ighd,Erbb3,Hgf,Lag3,Lat,Lgmn,Nfkbia,H2-T23,Snap23,Cd4,Btk,H2-DMb2,Klrb1c,Pik3cb,H2-Oa,Fbxo6,Klc2,Cd74,Blnk,Phlpp1,Grap2,Ighv5-17,Plcg1,Ifitm1,Ctsd,Pdgfrb,Cd274,Ier3,Lck,Kif3c,Prkcq,Ctsf,Fbxl20,Igkv6-17,Fgf3,Mill2,Nr4a1,Slamf7,Cd226,Fbxo32,Fgfr1,H2-Ob,Dapp1,Osbpl1a,Pip4k2a,Igkc,Itgal,Mdm2,Rap1b,Blk,Kif2a,Trib3,Treml2,Nfkbie,Rnf114,Cd79a,Sec23a,Fyn,Lyn,Cd200r1,Mylip,Lcp2,Ap1m2,Cd200r3,Ighm,Sipa1,Gab1,Nedd4l,Ctsj,Cd300a,Syk,Cd300c2,Cd200r4,Icam1,Rap1gap2,Pdgfb,Itpr2,Vasp,Plcg2,Treml1,Cd3d
R-MMU-75892	Platelet Adhesion to exposed collagen	7.74988931652954e-07	-14.0704170894332	9	7	0.00980392156862745	714	8672	14729,17096,14360,14723,14127,54368,14724	Gp5,Lyn,Fyn,Gp1ba,Fcer1g,Gp9,Gp1bb
R-MMU-202733	Cell surface interactions at the vascular wall	1.81930325567667e-06	-13.2170569567236	102	24	0.0336134453781513	714	8672	16456,14360,17096,14127,17254,16149,74769,16403,20970,83964,11600,16408,19128,18106,50934,12523,69524,21687,16411,21803,20344,56744,13449,12506	F11r,Fyn,Lyn,Fcer1g,Slc3a2,Cd74,Pik3cb,Itga6,Sdc3,Jam3,Angpt1,Itgal,Pros1,Cd244a,Slc7a8,Cd84,Esam,Tek,Itgax,Tgfb1,Selp,Pf4,Dok2,Cd48
