TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	8.77110152439115e-09	-18.5518034370366	252	52	0.0582959641255605	892	9882	75974,216190,269608,67220,12229,236915,69710,18803,20166,212285,75415,27280,232201,72318,106766,18806,64291,232970,26377,108101,78255,56193,58996,79196,14388,13449,16800,101540,218397,102693,14389,21664,17909,320129,237542,338368,101497,110279,240057,216439,69601,234779,78514,102595,106952,241308,106877,20648,231999,17207,30938,217866	Dock11,Appl2,Plekhg5,Plekho1,Btk,Arhgef9,Arap1,Plcg1,Rtkn,Arap2,Arhgap12,Phlda3,Arhgap25,Cyth4,Stap2,Pld2,Osbpl1a,Phldb3,Dapp1,Fermt3,Ralgps2,Plek,Arhgap23,Osbpl5,Gab1,Dok2,Arhgef2,Prkd2,Rasa1,Phldb1,Gab2,Phlda1,Myo10,Grk3,Osbpl8,Pheta2,Plekhg2,Bcr,Syngap1,Agap2,Dab2ip,Plcg2,Arhgap10,Plekho2,Arap3,Ralgps1,Afap1l1,Snta1,Plekha8,Mcf2l,Fgd3,Cdc42bpb
SM00326	SH3	2.69676752204594e-08	-17.4286269022324	196	43	0.0482062780269058	892	9882	11350,72828,17207,12929,15468,214459,74131,233071,53618,319262,17444,12143,78514,234779,58234,20491,14360,13385,80708,16818,106628,71520,53310,75415,13383,67742,18803,71602,235406,218397,77799,59009,23969,17096,30948,14191,236915,66610,12229,21981,20410,15163,259302	Abl1,Ubash3b,Mcf2l,Crkl,Prmt2,Fnbp1l,Sash3,Arhgap33,Fut8,Fchsd1,Grap2,Blk,Arhgap10,Plcg2,Shank3,Sla,Fyn,Dlg4,Pacsin3,Lck,Trip10,Grap,Dlg3,Arhgap12,Dlg1,Samsn1,Plcg1,Myo1e,Snx33,Rasa1,Sla2,Sh3rf1,Pacsin1,Lyn,Bin1,Fgr,Arhgef9,Abi3,Btk,Ppp1r13b,Sorbs3,Hcls1,Srgap3
SM00252	SH2	5.30999555840958e-08	-16.7510897451566	102	28	0.031390134529148	892	9882	16822,17444,12143,234779,11350,17060,12929,21961,12702,14360,16818,106766,20491,26377,18803,71520,16453,12229,20963,218397,56468,77799,27278,17096,12700,12703,14191,216233	Lcp2,Grap2,Blk,Plcg2,Abl1,Blnk,Crkl,Tns1,Socs3,Fyn,Lck,Stap2,Sla,Dapp1,Plcg1,Grap,Jak3,Btk,Syk,Rasa1,Socs5,Sla2,Clnk,Lyn,Cish,Socs1,Fgr,Socs2
SM00324	RhoGAP	8.79288242980388e-06	-11.6415679785423	64	18	0.0201793721973094	892	9882	212285,75415,232201,214137,11855,16330,78514,106952,214804,228359,233071,236920,11856,58996,110279,69710,259302,73910	Arap2,Arhgap12,Arhgap25,Arhgap29,Arhgap5,Inpp5b,Arhgap10,Arap3,Syde2,Arhgap1,Arhgap33,Stard8,Arhgap6,Arhgap23,Bcr,Arap1,Srgap3,Arhgap18
SM00423	PSI	0.000140273751251658	-8.87191467851152	40	12	0.0134529147982063	892	9882	54712,67448,20354,20353,16420,140571,16416,140570,269878,20361,20352,108705	Plxnc1,Plxdc2,Sema4d,Sema4c,Itgb6,Plxnb3,Itgb3,Plxnb2,Megf8,Sema7a,Sema4b,Pttg1ip
SM00055	FCH	0.000200632356807362	-8.51403639530751	20	8	0.00896860986547085	892	9882	259302,106628,19201,319262,218503,80708,214459,23969	Srgap3,Trip10,Pstpip2,Fchsd1,Fcho2,Pacsin3,Fnbp1l,Pacsin1
SM00219	TyrKc	0.000256109832402027	-8.26990417267256	81	18	0.0201793721973094	892	9882	16453,21846,11350,16542,26362,21687,13836,18596,13844,12143,17096,14182,14191,14360,12229,16818,20963,13867	Jak3,Tie1,Abl1,Kdr,Axl,Tek,Epha2,Pdgfrb,Ephb2,Blk,Lyn,Fgfr1,Fgr,Fyn,Btk,Lck,Syk,Erbb3
SM00175	RAB	0.000298292796033261	-8.11743501680806	148	27	0.0302690582959641	892	9882	56437,68939,74734,11853,217378,80837,68724,270192,19416,53869,72433,14579,20130,19329,216439,11852,19325,11841,69834,75985,11858,68328,80718,215449,58222,104215,80981	Rrad,Rasl11b,Rhoh,Rhoc,Dnajc27,Rhoj,Arl8a,Rab6b,Rasd1,Rab11a,Rab38,Gem,Rras,Rab17,Agap2,Rhob,Rab10,Arf2,Rab43,Rab30,Rnd2,Rab13,Rab27b,Rap1b,Rab37,Rhoq,Arl4d
SM00173	RAS	0.000594342590527134	-7.4280546531298	131	24	0.0269058295964126	892	9882	215449,58222,104215,216439,19325,11852,75985,11858,69834,80718,68328,80837,270192,53869,19416,20130,19329,72433,14579,56437,68939,11853,217378,74734	Rap1b,Rab37,Rhoq,Agap2,Rab10,Rhob,Rab30,Rnd2,Rab43,Rab27b,Rab13,Rhoj,Rab6b,Rab11a,Rasd1,Rras,Rab17,Rab38,Gem,Rrad,Rasl11b,Rhoc,Dnajc27,Rhoh
SM00498	FH2	0.00130421468560324	-6.64215419282992	15	6	0.00672645739910314	892	9882	229474,71409,13367,57778,234686,70435	Fhdc1,Fmnl2,Diaph1,Fmnl1,Fhod1,Inf2
SM00174	RHO	0.0013711691851925	-6.59209148324923	123	22	0.0246636771300448	892	9882	68328,74734,80718,11853,217378,69834,68939,75985,11858,19325,11852,14579,72433,104215,20130,19329,215449,19416,58222,53869,270192,80837	Rab13,Rhoh,Rab27b,Rhoc,Dnajc27,Rab43,Rasl11b,Rab30,Rnd2,Rab10,Rhob,Gem,Rab38,Rhoq,Rras,Rab17,Rap1b,Rasd1,Rab37,Rab11a,Rab6b,Rhoj
SM01277	MAGUK_N_PEST	0.00273490718854474	-5.90165777840255	4	3	0.00336322869955157	892	9882	53310,13383,13385	Dlg3,Dlg1,Dlg4
SM00220	S_TKc	0.00352940321385278	-5.6466264835609	359	48	0.0538116591928251	892	9882	20393,77976,211770,18750,21687,228775,13549,22241,140780,237459,17346,29869,665113,18761,110651,53608,226419,104175,18715,18755,17347,29857,320129,263803,107589,18099,19094,232533,27373,18557,232944,101540,20868,69635,12795,12322,217866,217718,98267,18712,52163,21813,55984,16706,59041,328329,73086,11479	Sgk1,Nuak1,Trib1,Prkca,Tek,Trib3,Dyrk1b,Ulk1,Bmp2k,Cdk17,Mknk1,Ulk2,Tnik,Prkcq,Rps6ka3,Map3k6,Dyrk3,Sbk1,Pim2,Prkch,Mknk2,Mapk12,Grk3,Pkn3,Mylk,Nlk,Mapk11,Stk38l,Csnk1e,Cdk18,Mark4,Prkd2,Stk10,Dapk1,Plk3,Camk2a,Cdc42bpb,Nek9,Stk17b,Pim1,Camk1,Tgfbr2,Camkk1,Ksr1,Stk25,Mast4,Rps6ka5,Acvr1b
