TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	6.36866405558923e-08	-16.5692910207608	838	122	0.264642082429501	461	4906	80976,73086,15251,27278,118449,20750,13805,17096,72433,18810,21813,67393,228775,13836,20181,12929,17258,12162,15902,75687,13449,19401,83814,20893,22330,12048,12575,16542,22695,231830,12452,110829,16822,13367,170770,20166,18750,19268,22793,12168,23882,22323,12822,233071,12125,18596,13848,12577,21894,16563,16594,21416,12143,17207,16475,74769,241308,13844,11350,12476,218397,71602,16398,317757,30955,19248,14388,16411,226519,18803,216190,20648,13386,14389,20963,28019,17060,17913,14281,21803,93840,20410,18109,21390,15163,22288,83964,66734,12124,27205,16403,58804,237459,14360,16456,58220,23959,12322,76281,16480,70435,235041,21846,224796,17125,18160,13544,14201,12445,17246,11600,16416,27218,20715,21687,56320,12578,16818,14042,268903,268977,234779	Syt13,Rps6ka5,Hif1a,Clnk,Synpo2,Spp1,Eng,Lyn,Rab38,Plec,Tgfbr2,Cxxc5,Trib3,Epha2,Rxra,Crkl,Mef2a,Bmp7,Id2,Ripor1,Dok2,Rara,Nedd4l,Bhlhe40,Vcl,Bcl2l1,Cdkn1a,Kdr,Zfp36,Micall2,Ccng2,Lims1,Lcp2,Diaph1,Bbc3,Rtkn,Prkca,Ptprf,Zyx,Bmpr2,Gadd45g,Vasp,Col18a1,Arhgap33,Bcl2l11,Pdgfrb,Ephb6,Cdkn1c,Tln1,Kif2a,Klc2,Tcf7l2,Blk,Mcf2l,Ajuba,Pik3cb,Ralgps1,Ephb2,Abl1,Cd151,Rasa1,Myo1e,Itga2,Gimap5,Pik3cg,Ptpn12,Gab1,Itgax,Lamc1,Plcg1,Appl2,Snta1,Dlk1,Gab2,Syk,Ing4,Blnk,Myo1c,Fos,Tgfb1,Vangl2,Sorbs3,Mycn,Tbxa2r,Hcls1,Utrn,Jam3,Map1lc3a,Bik,Podxl,Itga6,Cdc42ep5,Cdk17,Fyn,F11r,Pard6b,Nt5e,Camk2a,Tax1bp3,Jup,Inf2,Kank2,Tie1,Clic5,Smad1,Npr1,Dvl3,Fhl3,Ccnd3,Mdm2,Angpt1,Itgb3,Slamf1,Serpina3g,Tek,Dbn1,Cdkn2a,Lck,Ext1,Nrip1,Ltbp1,Plcg2
WP85	Focal Adhesion	2.05947694358021e-06	-13.093058518287	185	38	0.0824295010845987	461	4906	11855,18591,21826,11852,22323,20750,16408,21827,16399,18596,21894,16476,104099,12929,109711,29857,22330,12143,12445,14191,74769,16420,16403,16416,214230,16398,12827,20363,15234,30955,107589,14360,13367,12826,22793,16411,226519,215449	Arhgap5,Pdgfb,Thbs2,Rhob,Vasp,Spp1,Itgal,Thbs3,Itga2b,Pdgfrb,Tln1,Jun,Itga9,Crkl,Actn1,Mapk12,Vcl,Blk,Ccnd3,Fgr,Pik3cb,Itgb6,Itga6,Itgb3,Pak6,Itga2,Col4a2,Selenop,Hgf,Pik3cg,Mylk,Fyn,Diaph1,Col4a1,Zyx,Itgax,Lamc1,Rap1b
WP151	IL-5 Signaling Pathway	9.02864627034121e-06	-11.6151081164646	68	19	0.0412147505422994	461	4906	22248,18783,20963,17096,18712,12445,16185,16192,16476,15894,20677,12929,12229,20848,12703,15163,30955,11689,18035	Unc119,Pla2g4a,Syk,Lyn,Pim1,Ccnd3,Il2rb,Il5ra,Jun,Icam1,Sox4,Crkl,Btk,Stat3,Socs1,Hcls1,Pik3cg,Alox5,Nfkbia
WP3625	TYROBP Causal Network	1.33814971289781e-05	-11.2216376164761	58	17	0.0368763557483731	461	4906	22177,50778,12399,67742,668218,56193,76448,224109,12262,12493,20750,17095,15163,12504,16411,12523,78416	Tyrobp,Rgs1,Runx3,Samsn1,Bin2,Plek,Ppp1r18,Nrros,C1qc,Cd37,Spp1,Lyl1,Hcls1,Cd4,Itgax,Cd84,Rnase6
WP373	IL-3 Signaling Pathway	3.54098934790633e-05	-10.2485193000612	100	23	0.0498915401301518	461	4906	216233,17096,12125,12702,20963,14460,14461,20344,12700,12048,14389,19401,22330,20525,18750,20181,16818,12929,17395,14360,14388,15507,20848	Socs2,Lyn,Bcl2l11,Socs3,Syk,Gata1,Gata2,Selp,Cish,Bcl2l1,Gab2,Rara,Vcl,Slc2a1,Prkca,Rxra,Lck,Crkl,Mmp9,Fyn,Gab1,Hspb1,Stat3
WP450	IL-2 Signaling Pathway	5.0429360543542e-05	-9.8949370020365	76	19	0.0412147505422994	461	4906	14389,74769,12700,16186,23872,17096,23871,20963,12702,17346,30955,12703,20848,12929,16453,15894,14360,16818,16185	Gab2,Pik3cb,Cish,Il2rg,Ets2,Lyn,Ets1,Syk,Socs3,Mknk1,Pik3cg,Socs1,Stat3,Crkl,Jak3,Icam1,Fyn,Lck,Il2rb
WP2432	Spinal Cord Injury	7.74013616721435e-05	-9.46650618485999	98	22	0.0477223427331887	461	4906	15894,17395,18733,12826,11853,15370,16189,20296,18750,13653,14130,14281,21803,65079,16177,12227,22695,16994,20564,11852,259277,20344	Icam1,Mmp9,Pirb,Col4a1,Rhoc,Nr4a1,Il4,Ccl2,Prkca,Egr1,Fcgr2b,Fos,Tgfb1,Rtn4r,Il1r1,Btg2,Zfp36,Ltb,Slit3,Rhob,Klk8,Selp
WP6	Integrin-mediated Cell Adhesion	0.000262275806512025	-8.24611391128892	99	21	0.0455531453362256	461	4906	16420,16408,16398,16416,16403,214230,29857,22330,12337,22323,104099,14360,215449,22793,21961,16411,12334,16399,20363,12335,21894	Itgb6,Itgal,Itga2,Itgb3,Itga6,Pak6,Mapk12,Vcl,Capn5,Vasp,Itga9,Fyn,Rap1b,Zyx,Tns1,Itgax,Capn2,Itga2b,Selenop,Capn3,Tln1
WP65	Insulin Signaling	0.000316911442160609	-8.05688818538527	159	29	0.0629067245119306	461	4906	20393,53608,29857,74769,56437,80837,12702,19094,18761,259300,13653,110651,14251,30955,14388,20619,18750,19268,104215,73086,233071,17913,14281,228775,18755,12703,16476,20525,12331	Sgk1,Map3k6,Mapk12,Pik3cb,Rrad,Rhoj,Socs3,Mapk11,Prkcq,Ehd2,Egr1,Rps6ka3,Flot1,Pik3cg,Gab1,Snap23,Prkca,Ptprf,Rhoq,Rps6ka5,Arhgap33,Myo1c,Fos,Trib3,Prkch,Socs1,Jun,Slc2a1,Cap1
WP113	TGF Beta Signaling Pathway	0.000776550884581241	-7.16064838683199	52	13	0.0281995661605206	461	4906	13805,16420,20750,20481,12399,268977,16476,17125,17129,14281,20848,21803,21813	Eng,Itgb6,Spp1,Ski,Runx3,Ltbp1,Jun,Smad1,Smad5,Fos,Stat3,Tgfb1,Tgfbr2
WP3626	Microglia Pathogen Phagocytosis Pathway	0.00104094828326953	-6.86762317043975	41	11	0.0238611713665944	461	4906	234779,12259,14127,16797,30955,17096,20963,12262,74769,12260,22177	Plcg2,C1qa,Fcer1g,Lat,Pik3cg,Lyn,Syk,C1qc,Pik3cb,C1qb,Tyrobp
WP407	Kit Receptor Signaling Pathway	0.0010917967255802	-6.81993056772333	67	15	0.0325379609544469	461	4906	17096,56468,11350,218397,12700,14191,71520,18803,18750,12229,14360,12929,12703,30955,20848	Lyn,Socs5,Abl1,Rasa1,Cish,Fgr,Grap,Plcg1,Prkca,Btk,Fyn,Crkl,Socs1,Pik3cg,Stat3
WP3632	Lung fibrosis	0.00366545748422087	-5.60880212627095	61	13	0.0281995661605206	461	4906	18591,20304,20750,15234,21803,108689,20303,70086,16189,17395,12162,15368,20296	Pdgfb,Ccl5,Spp1,Hgf,Tgfb1,Stn1,Ccl4,Cysltr2,Il4,Mmp9,Bmp7,Hmox1,Ccl2
WP2841	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	0.00437681293057016	-5.43143446087563	325	45	0.0976138828633406	461	4906	14710,15251,20750,13836,16399,20525,12575,16542,16186,53417,16403,14182,16420,12827,18413,15234,14062,12826,14174,21826,66066,18591,21827,26427,16408,18596,98432,22241,104099,16185,74769,20527,11600,16416,16398,19325,14696,17246,30955,74747,226519,16411,216505,16453,21687	Gngt2,Hif1a,Spp1,Epha2,Itga2b,Slc2a1,Cdkn1a,Kdr,Il2rg,Hif3a,Itga6,Fgfr1,Itgb6,Col4a2,Osm,Hgf,F2r,Col4a1,Fgf3,Thbs2,Gng11,Pdgfb,Thbs3,Creb3l1,Itgal,Pdgfrb,Phlpp1,Ulk1,Itga9,Il2rb,Pik3cb,Slc2a3,Angpt1,Itgb3,Itga2,Rab10,Gnb4,Mdm2,Pik3cg,Ddit4,Lamc1,Itgax,Pik3ip1,Jak3,Tek
WP2573	Primary Focal Segmental Glomerulosclerosis FSGS	0.00480486257897334	-5.33812683655817	70	14	0.0303687635574837	461	4906	71602,16416,70435,27205,12476,22288,14360,110829,12577,12575,21894,21803,18803,22330	Myo1e,Itgb3,Inf2,Podxl,Cd151,Utrn,Fyn,Lims1,Cdkn1c,Cdkn1a,Tln1,Tgfb1,Plcg1,Vcl
WP2310	PodNet: protein-protein interactions in the podocyte	0.00685454090984355	-4.98284393978699	315	43	0.0932754880694143	461	4906	14360,16456,18750,110829,27205,16403,19401,22330,66734,12575,16542,20181,75687,12162,22288,21813,21803,67393,93840,21390,20750,18803,15251,12578,56320,14042,226519,12476,16398,71602,11600,16416,74769,241308,235041,12577,224796,21894,16480,70435,22323,12822,12322	Fyn,F11r,Prkca,Lims1,Podxl,Itga6,Rara,Vcl,Map1lc3a,Cdkn1a,Kdr,Rxra,Ripor1,Bmp7,Utrn,Tgfbr2,Tgfb1,Cxxc5,Vangl2,Tbxa2r,Spp1,Plcg1,Hif1a,Cdkn2a,Dbn1,Ext1,Lamc1,Cd151,Itga2,Myo1e,Angpt1,Itgb3,Pik3cb,Ralgps1,Kank2,Cdkn1c,Clic5,Tln1,Jup,Inf2,Vasp,Col18a1,Camk2a
WP2902	p53 signaling	0.00841941905981131	-4.77721444838	67	13	0.0281995661605206	461	4906	66940,75747,64058,23882,230784,12575,12445,17246,22401,58801,12452,12578,170770	Shisa5,Sesn3,Perp,Gadd45g,Sesn2,Cdkn1a,Ccnd3,Mdm2,Zmat3,Pmaip1,Ccng2,Cdkn2a,Bbc3
WP1270	Endochondral Ossification	0.0113748202578759	-4.47635311577539	62	12	0.0260303687635575	461	4906	20679,208715,20750,14182,12399,20259,20378,17395,12162,21803,12577,20678	Sox6,Hmgcs1,Spp1,Fgfr1,Runx3,Scin,Frzb,Mmp9,Bmp7,Tgfb1,Cdkn1c,Sox5
WP193	Signaling of Hepatocyte Growth Factor Receptor	0.0115826572338198	-4.45824636564626	34	8	0.017353579175705	461	4906	15234,14281,20848,215449,16476,218397,12929,14388	Hgf,Fos,Stat3,Rap1b,Jun,Rasa1,Crkl,Gab1
WP493	MAPK signaling pathway	0.0126020821291365	-4.37389323033254	159	24	0.052060737527115	461	4906	110651,19057,11479,193740,16478,215449,15370,240672,18099,53608,29857,16177,218397,18755,14281,18596,21813,15507,21803,12929,16476,16178,18591,12368	Rps6ka3,Ppp3cc,Acvr1b,Hspa1a,Jund,Rap1b,Nr4a1,Dusp5,Nlk,Map3k6,Mapk12,Il1r1,Rasa1,Prkch,Fos,Pdgfrb,Tgfbr2,Hspb1,Tgfb1,Crkl,Jun,Il1r2,Pdgfb,Casp6
WP447	Adipogenesis genes	0.0126685856057518	-4.36862992420717	134	21	0.0455531453362256	461	4906	17259,15903,20378,15251,13386,19401,19016,14461,14245,12702,12153,11622,12703,228775,23849,20848,21803,18413,268903,17258,20181	Mef2b,Id3,Frzb,Hif1a,Dlk1,Rara,Pparg,Gata2,Lpin1,Socs3,Bmp1,Ahr,Socs1,Trib3,Klf6,Stat3,Tgfb1,Osm,Nrip1,Mef2a,Rxra
WP572	EGFR1 Signaling Pathway	0.0155212351936788	-4.16554618017239	179	26	0.0563991323210412	461	4906	19730,216190,18806,18803,14389,73086,12322,12929,16476,13449,14281,20848,18810,12703,218397,12702,74769,14388,22038,19248,16478,234779,18750,110651,194655,30955	Ralgds,Appl2,Pld2,Plcg1,Gab2,Rps6ka5,Camk2a,Crkl,Jun,Dok2,Fos,Stat3,Plec,Socs1,Rasa1,Socs3,Pik3cb,Gab1,Plscr1,Ptpn12,Jund,Plcg2,Prkca,Rps6ka3,Klf11,Pik3cg
WP1272	Selenium Micronutrient Network	0.016820743114321	-4.08514244501367	23	6	0.0130151843817787	461	4906	76267,17769,56473,20363,21391,11689	Fads1,Mthfr,Fads2,Selenop,Tbxas1,Alox5
WP488	Alpha6-Beta4 Integrin Signaling Pathway	0.0183977897276473	-3.99552474508003	66	12	0.0260303687635575	461	4906	30955,18810,226519,20166,18750,14360,12575,74769,59079,16403,12476,11350	Pik3cg,Plec,Lamc1,Rtkn,Prkca,Fyn,Cdkn1a,Pik3cb,Erbin,Itga6,Cd151,Abl1
WP458	Inflammatory Response Pathway	0.0186335521546737	-3.98279144401573	30	7	0.0151843817787419	461	4906	226519,21827,16189,16185,16818,16192,16186	Lamc1,Thbs3,Il4,Il2rb,Lck,Il5ra,Il2rg
WP385	Myometrial Relaxation and Contraction Pathways	0.0201066058790693	-3.90670686721096	157	23	0.0498915401301518	461	4906	50778,18803,66066,23872,12322,11515,14281,18578,64214,18755,53313,16439,16476,17133,18769,14696,60596,18761,50780,51791,19088,234779,18750	Rgs1,Plcg1,Gng11,Ets2,Camk2a,Adcy9,Fos,Pde4b,Rgs18,Prkch,Atp2a3,Itpr2,Jun,Maff,Pkig,Gnb4,Gucy1a1,Prkcq,Rgs3,Rgs14,Prkar2b,Plcg2,Prkca
WP2292	Chemokine signaling pathway	0.0201863796367919	-3.90274717740722	183	26	0.0563991323210412	461	4906	18796,14696,12765,140580,20304,14191,74769,20296,215449,16453,30955,18035,20303,17096,57349,18798,14710,20295,66066,12929,12145,56744,11515,12766,20848,227288	Plcb2,Gnb4,Cxcr2,Elmo1,Ccl5,Fgr,Pik3cb,Ccl2,Rap1b,Jak3,Pik3cg,Nfkbia,Ccl4,Lyn,Ppbp,Plcb4,Gngt2,Ccl17,Gng11,Crkl,Cxcr5,Pf4,Adcy9,Cxcr3,Stat3,Cxcr1
WP2328	Allograft Rejection	0.0206685629631343	-3.87914143053381	12	4	0.00867678958785249	461	4906	12262,13136,12259,12260	C1qc,Cd55,C1qa,C1qb
WP353	Small Ligand GPCRs	0.0218937111608047	-3.82155584500556	18	5	0.0108459869848156	461	4906	19222,21390,13609,19218,12802	Ptgir,Tbxa2r,S1pr1,Ptger3,Cnr2
WP578	Leptin Insulin Overlap	0.0218937111608047	-3.82155584500556	18	5	0.0108459869848156	461	4906	30955,216233,12703,20848,12702	Pik3cg,Socs2,Socs1,Stat3,Socs3
WP374	Prostaglandin Synthesis and Regulation	0.0221837669981473	-3.80839447387261	31	7	0.0151843817787419	461	4906	18783,19218,19224,13070,19222,11746,21391	Pla2g4a,Ptger3,Ptgs1,Cyp11a1,Ptgir,Anxa4,Tbxas1
WP1261	ErbB signaling pathway	0.025005051489343	-3.6886774149515	46	9	0.0195227765726681	461	4906	12322,12575,18803,18750,18183,11350,14388,13867,16476	Camk2a,Cdkn1a,Plcg1,Prkca,Nrg3,Abl1,Gab1,Erbb3,Jun
WP387	IL-6 signaling Pathway	0.0418717224506738	-3.17314456173481	99	15	0.0325379609544469	461	4906	12229,13867,14388,14360,16476,14281,20848,15507,17096,12702,14389,14191,18099,18803,20393	Btk,Erbb3,Gab1,Fyn,Jun,Fos,Stat3,Hspb1,Lyn,Socs3,Gab2,Fgr,Nlk,Plcg1,Sgk1
WP1254	Apoptosis	0.0444019098024852	-3.11447279689953	83	13	0.0281995661605206	461	4906	170770,12368,12125,17246,16476,12578,18037,54123,12048,18035,22035,58801,22029	Bbc3,Casp6,Bcl2l11,Mdm2,Jun,Cdkn2a,Nfkbie,Irf7,Bcl2l1,Nfkbia,Tnfsf10,Pmaip1,Traf1
