TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:1903047	mitotic cell cycle process	8.47103064549735e-13	-27.7969540257844	498	49	0.0549943883277217	891	29090	70235,66977,23834,77579,381293,57785,66131,51944,12444,24064,68743,20877,54392,18817,211651,218630,50927,12235,66214,12615,11820,70099,68612,18392,17869,12704,16319,102124,66468,11799,72080,12323,13852,14211,22137,18027,12428,12021,20878,68014,59014,67849,18669,14841,13860,102920,12534,63955,68053	Poc1a,Nuf2,Cdc6,Myh10,Kif14,Rangrf,Tipin,Knstrn,Ccnd2,Spry2,Anln,Aurkb,Ncapg,Plk1,Fancd2,Ccno,Nasp,Bub1,Rgcc,Cenpa,App,Smc4,Ube2c,Orc1,Myc,Cit,Incenp,Enkd1,Ska1,Birc5,Sapcd2,Camk2b,Stx2,Smc2,Ttk,Nfia,Ccna2,Bard1,Aurka,Zwilch,Rrs1,Cdca5,Abcb1b,Haspin,Eps8,Cenpi,Cdk1,Cables1,Ubxn2b
GO:0043603	amide metabolic process	9.25469310569361e-13	-27.7084754232855	365	41	0.0460157126823793	891	29090	70025,14782,70495,14081,22027,18010,20397,15926,74442,11605,55951,18453,18597,26897,67111,225884,56615,14275,14381,14866,56360,14873,22436,12606,57319,14667,14544,73724,67800,14862,11898,211666,23821,433256,56375,14630,14872,50887,18551,56386,235339	Acot7,Gsr,Atp6ap2,Acsl1,Hsp90b1,Neu1,Sgpl1,Idh1,Sgms2,Gla,Mpc1,P4hb,Pdha1,Acot1,Naaa,Gstp3,Mgst1,Folr1,G6pdx,Gstm5,Acot9,Gsto1,Xdh,Cebpa,Smpdl3a,Gm2a,Gda,Mcee,Dgat2,Gstm1,Ass1,Mgst2,Bace1,Acsl5,B4galt4,Gclm,Gstt2,Hmgn5,Pcsk4,B4galt6,Dlat
GO:0090068	positive regulation of cell cycle process	1.64764107776965e-12	-27.131676500777	278	35	0.0392817059483726	891	29090	14211,17295,20877,20878,54392,67849,16952,330216,12534,27214,12235,66214,227937,68053,11820,20873,70099,70235,68612,23834,18392,381293,12704,54375,16319,108961,20698,12978,18148,11799,68549,73139,12323,12444,65964	Smc2,Met,Aurkb,Aurka,Ncapg,Cdca5,Anxa1,Mblac1,Cdk1,Dbf4,Bub1,Rgcc,Pkp4,Ubxn2b,App,Plk4,Smc4,Poc1a,Ube2c,Cdc6,Orc1,Kif14,Cit,Azin1,Incenp,E2f8,Sphk1,Csf1r,Npm1,Birc5,Sgo2a,Cenpv,Camk2b,Ccnd2,Map3k20
GO:0006790	sulfur compound metabolic process	1.76741717517113e-12	-27.0615018581128	309	37	0.0415263748597082	891	29090	56375,14630,23972,50887,235339,233781,14872,59010,14866,56360,14873,11702,108156,236539,56615,14381,67800,14862,15442,211666,433256,73724,55951,15926,140483,269941,14733,18597,26897,225884,11881,70025,71797,22021,14782,246221,14081	B4galt4,Gclm,Papss2,Hmgn5,Dlat,Xylt1,Gstt2,Sqor,Gstm5,Acot9,Gsto1,Amd1,Mthfd1,Phgdh,Mgst1,G6pdx,Dgat2,Gstm1,Hpse,Mgst2,Acsl5,Mcee,Mpc1,Idh1,Hnmt,Chsy1,Gpc1,Pdha1,Acot1,Gstp3,Arsb,Acot7,Chst13,Tpst1,Gsr,Mpst,Acsl1
GO:0006163	purine nucleotide metabolic process	6.6447269341823994e-12	-25.737197518034	456	45	0.0505050505050505	891	29090	212032,235339,22436,11717,56360,21881,73724,17969,433256,67800,23918,15926,11639,18103,55951,72900,19895,110208,18597,16832,26897,15254,54683,15277,70025,12457,68202,107766,14751,56421,23972,67834,108147,14381,237823,23917,319801,108156,98256,14544,50799,11966,21351,19139,14081	Hk3,Dlat,Xdh,Ampd3,Acot9,Tkt,Mcee,Ncf1,Acsl5,Dgat2,Impdh2,Idh1,Ak4,Nme2,Mpc1,Ndufv2,Rpia,Pgd,Pdha1,Ldhb,Acot1,Hint1,Prdx5,Hk2,Acot7,Noct,Ndufa5,Haao,Gpi1,Pfkp,Papss2,Idh3a,Atic,G6pdx,Pfas,Impdh1,Tigar,Mthfd1,Kmo,Gda,Slc25a13,Atp6v1b2,Taldo1,Prps1,Acsl1
GO:0045787	positive regulation of cell cycle	1.2138046695654899e-11	-25.1346762414589	362	39	0.0437710437710438	891	29090	12444,65964,12323,11799,68549,73139,18148,12978,20698,108961,16319,54375,12704,381293,17869,18392,23834,27053,70235,68612,70099,20873,11820,68053,227937,12235,27214,66214,12534,330216,67849,16952,54392,20878,12021,20877,17295,14211,12317	Ccnd2,Map3k20,Camk2b,Birc5,Sgo2a,Cenpv,Npm1,Csf1r,Sphk1,E2f8,Incenp,Azin1,Cit,Kif14,Myc,Orc1,Cdc6,Asns,Poc1a,Ube2c,Smc4,Plk4,App,Ubxn2b,Pkp4,Bub1,Dbf4,Rgcc,Cdk1,Mblac1,Cdca5,Anxa1,Ncapg,Aurka,Bard1,Aurkb,Met,Smc2,Calr
GO:0072521	purine-containing compound metabolic process	2.15509545684367e-11	-24.5606010048407	490	46	0.0516273849607183	891	29090	56421,23972,107227,67834,108147,23917,319801,237823,14381,108156,50799,14544,98256,21351,11966,19139,14081,212032,235339,56360,22436,11717,17969,21881,73724,67800,23918,433256,15926,18103,11639,55951,19895,72900,15254,54683,18597,110208,16832,26897,15277,70025,68202,107766,12457,14751	Pfkp,Papss2,Macrod1,Idh3a,Atic,Impdh1,Tigar,Pfas,G6pdx,Mthfd1,Slc25a13,Gda,Kmo,Taldo1,Atp6v1b2,Prps1,Acsl1,Hk3,Dlat,Acot9,Xdh,Ampd3,Ncf1,Tkt,Mcee,Dgat2,Impdh2,Acsl5,Idh1,Nme2,Ak4,Mpc1,Rpia,Ndufv2,Hint1,Prdx5,Pdha1,Pgd,Ldhb,Acot1,Hk2,Acot7,Ndufa5,Haao,Noct,Gpi1
GO:0006575	cellular modified amino acid metabolic process	4.5116462112230297e-11	-23.8217739224462	192	27	0.0303030303030303	891	29090	26433,112405,14782,13030,15926,13039,18453,225884,14873,108156,14866,56615,14381,14275,14862,11898,211666,218865,14630,67092,13371,30805,240334,50887,67216,14872,108147	Plod3,Egln1,Gsr,Ctsb,Idh1,Ctsl,P4hb,Gstp3,Gsto1,Mthfd1,Gstm5,Mgst1,G6pdx,Folr1,Gstm1,Ass1,Mgst2,Chdh,Gclm,Gatm,Dio2,Slc22a4,Pcyox1l,Hmgn5,Mboat2,Gstt2,Atic
GO:0005975	carbohydrate metabolic process	1.66529460560271e-10	-22.5158488818582	430	41	0.0460157126823793	891	29090	11605,171167,15926,18010,232714,18597,110208,14933,19895,270198,16195,17869,29858,15277,14751,14718,432486,232370,75540,26358,56375,56421,212032,235339,56386,23960,28146,233549,14873,14345,230815,319801,14381,14121,67389,67800,21351,50799,69064,14667,232975	Gla,Fut10,Idh1,Neu1,Mgam,Pdha1,Pgd,Gk,Rpia,Pfkfb4,Il6st,Myc,Pmm1,Hk2,Gpi1,Got1,Gnptab,Clstn3,Fpgt,Aldh1a7,B4galt4,Pfkp,Hk3,Dlat,B4galt6,Oas1g,Serp1,Mogat2,Gsto1,Fut4,Man1c1,Tigar,G6pdx,Fbp1,C1qtnf12,Dgat2,Taldo1,Slc25a13,Fuom,Gm2a,Atp1a3
GO:0005996	monosaccharide metabolic process	4.24855441376125e-10	-21.5792721428027	197	26	0.0291806958473625	891	29090	235339,23960,28146,26358,56421,212032,69064,50799,232975,14873,230815,319801,14381,14121,67389,110208,18597,19895,14751,14718,232370,75540,270198,17869,15277,29858	Dlat,Oas1g,Serp1,Aldh1a7,Pfkp,Hk3,Fuom,Slc25a13,Atp1a3,Gsto1,Man1c1,Tigar,G6pdx,Fbp1,C1qtnf12,Pgd,Pdha1,Rpia,Gpi1,Got1,Clstn3,Fpgt,Pfkfb4,Myc,Hk2,Pmm1
GO:0031349	positive regulation of defense response	4.70123520681624e-10	-21.478025645792	445	41	0.0460157126823793	891	29090	12362,54445,631323,12364,56644,332579,383619,12266,97165,637515,12606,66271,229898,23960,16145,52065,212937,56792,20201,20617,98999,17164,11820,15951,107607,12484,58218,21897,236312,56489,21898,14131,16803,55932,12978,14469,15510,67917,211550,16852,70572	Casp1,Unc93b1,Gm12250,Casp12,Clec7a,Card9,Aim2,C3,Hmgb2,Nlrp1b,Cebpa,Tmem126a,Gbp5,Oas1g,Igtp,Mfhas1,Tifab,Stap1,S100a8,Snca,Znfx1,Mapkapk2,App,Ifi204,Nod1,Cd24a,Trem3,Tlr1,Ifi209,Ikbke,Tlr4,Fcgr3,Lbp,Gbp3,Csf1r,Gbp2,Hspd1,Zcchc3,Tifa,Lgals1,Ipo5
GO:0051276	chromosome organization	6.567957297999601e-10	-21.1436480593341	450	41	0.0460157126823793	891	29090	14841,16952,67849,338359,102920,107435,50927,12534,211651,12235,66311,12615,14211,381760,76915,20877,54392,59014,18817,72960,72415,73139,68549,66468,11799,71846,51944,70099,72787,66977,56739,103468,245474,22427,17869,381293,12704,21973,52530,57785,16319	Haspin,Anxa1,Cdca5,Supv3l1,Cenpi,Hat1,Nasp,Cdk1,Fancd2,Bub1,Cenpw,Cenpa,Smc2,Ssbp1,Mnd1,Aurkb,Ncapg,Rrs1,Plk1,Top1mt,Sgo1,Cenpv,Sgo2a,Ska1,Birc5,Syce2,Knstrn,Smc4,Ndc1,Nuf2,Rec8,Nup107,Dkc1,Wrn,Myc,Kif14,Cit,Top2a,Nhp2,Rangrf,Incenp
GO:0007059	chromosome segregation	8.90198708461129e-10	-20.8395764101891	331	34	0.0381593714927048	891	29090	66311,12235,108912,211651,102920,67849,14841,18817,59014,12316,54392,20878,20877,76915,69912,14211,22137,110958,51944,68549,66468,11799,71846,72415,16319,57785,21973,12704,381293,406217,66977,56739,72787,70099	Cenpw,Bub1,Cdca2,Fancd2,Cenpi,Cdca5,Haspin,Plk1,Rrs1,Aspm,Ncapg,Aurka,Aurkb,Mnd1,Nup43,Smc2,Ttk,M1ap,Knstrn,Sgo2a,Ska1,Birc5,Syce2,Sgo1,Incenp,Rangrf,Top2a,Cit,Kif14,Bex4,Nuf2,Rec8,Ndc1,Smc4
GO:0098813	nuclear chromosome segregation	8.99093300828256e-10	-20.8296343039407	234	28	0.0314253647586981	891	29090	67849,14841,102920,211651,14211,22137,20877,76915,20878,54392,18817,59014,12316,72415,66468,71846,11799,51944,110958,70099,72787,66977,56739,381293,21973,12704,16319,57785	Cdca5,Haspin,Cenpi,Fancd2,Smc2,Ttk,Aurkb,Mnd1,Aurka,Ncapg,Plk1,Rrs1,Aspm,Sgo1,Ska1,Syce2,Birc5,Knstrn,M1ap,Smc4,Ndc1,Nuf2,Rec8,Kif14,Top2a,Cit,Incenp,Rangrf
GO:0048285	organelle fission	1.20346678302163e-09	-20.5380594594007	352	35	0.0392817059483726	891	29090	110958,51944,66468,71846,11799,68549,72415,67900,16319,57785,21973,12704,381293,72787,56739,66977,68612,70099,71804,211651,102920,13860,67849,14841,59014,12316,18817,54392,20878,20877,76915,14211,18027,22137,68166	M1ap,Knstrn,Ska1,Syce2,Birc5,Sgo2a,Sgo1,Mtfp1,Incenp,Rangrf,Top2a,Cit,Kif14,Ndc1,Rec8,Nuf2,Ube2c,Smc4,Mtfr2,Fancd2,Cenpi,Eps8,Cdca5,Haspin,Rrs1,Aspm,Plk1,Ncapg,Aurka,Aurkb,Mnd1,Smc2,Nfia,Ttk,Spire1
GO:0030099	myeloid cell differentiation	1.316622192636e-09	-20.4481963250168	336	34	0.0381593714927048	891	29090	233016,12606,14381,17089,208638,110794,16596,70747,11820,212937,22042,56792,52065,80752,11733,27060,14734,16795,237339,21898,23845,19152,19824,19743,74481,70026,72147,29809,19746,11655,13829,22339,12978,230721	Blvrb,Cebpa,G6pdx,Lyar,Slc25a38,Cebpe,Klf1,Tspan2,App,Tifab,Tfrc,Stap1,Mfhas1,Fam20c,Ank1,Tcirg1,Gpc3,Large1,L3mbtl3,Tlr4,Clec5a,Prtn3,Trim10,Rhag,Batf2,Tspo2,Zbtb46,Rabgap1l,Rhd,Alas1,Dmtn,Vegfa,Csf1r,Pabpc4
GO:0002218	activation of innate immune response	1.4377727544696402e-09	-20.3601706190161	179	24	0.0269360269360269	891	29090	383619,637515,66271,54445,12362,56644,17164,98999,15951,23960,229898,16145,212937,21898,16803,236312,107607,21897,70572,14469,55932,211550,67917,15510	Aim2,Nlrp1b,Tmem126a,Unc93b1,Casp1,Clec7a,Mapkapk2,Znfx1,Ifi204,Oas1g,Gbp5,Igtp,Tifab,Tlr4,Lbp,Ifi209,Nod1,Tlr1,Ipo5,Gbp2,Gbp3,Tifa,Zcchc3,Hspd1
