gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	
Ccl9	0.988172023	1.039036271	0.866903575	-0.466649178	-1.094674938	-1.332787754	-5.788223739
Hk3	0.852445802	1.022290972	0.85717002	-0.192015822	-0.930001574	-1.609889398	-5.463813589
S100a8	0.808383577	0.579172348	0.732830343	0.430483675	-0.555973316	-1.994896627	-4.240772534
App	0.955035456	0.983375038	1.006723605	-0.641187741	-1.006745315	-1.297201043	-5.890268198
Wfdc21	0.873123088	0.855620091	0.790293569	0.180958487	-1.031192584	-1.668802651	-5.038073497
Slpi	0.743042298	0.894450342	0.729932931	0.090299334	-0.491744816	-1.965980089	-4.734851142
Dmkn	1.036869785	1.051728865	0.838143722	-0.559145889	-1.162799828	-1.204796655	-5.853484744
Fbp1	0.918584968	1.127797109	0.94668183	-0.988062664	-1.032383966	-0.972617277	-5.986127815
Igsf6	0.919041385	0.956308989	0.931562291	-0.268290908	-1.070882649	-1.467739108	-5.61382533
C3	0.866541326	0.943574748	1.055237842	-0.395169746	-1.096922122	-1.373262048	-5.730707832
Mgst1	0.811889715	1.119709569	0.860691463	-0.616015144	-0.540993685	-1.635281919	-5.584581494
Gfi1	0.803773163	1.108014224	1.003695072	-0.58353108	-0.993722617	-1.338228763	-5.83096492
Gm5960	0.803243205	1.293007401	0.864422771	-0.905663258	-0.983085151	-1.071924968	-5.921346754
B4galt6	1.023175655	0.943802102	1.021076349	-0.842227512	-1.009198332	-1.136628262	-5.976108212
Mpeg1	0.736992269	0.899779624	0.891866147	0.14062071	-0.967499642	-1.701759107	-5.057276079
Abcd2	0.969426125	1.045991826	0.982633699	-0.946561576	-1.014331832	-1.037158242	-5.9961033
Gbp3	1.008110788	1.058409659	0.92131271	-0.935346295	-0.896936292	-1.15555057	-5.975666314
Mt2	1.271106848	0.484376055	1.081198831	-0.946420067	-1.33140844	-0.558853227	-5.673363468
Clec4a2	0.747300617	1.094801215	0.828320668	-0.047336526	-1.072475844	-1.55061013	-5.340845
Mtus1	0.980873977	1.000972778	0.989724253	-0.716182023	-1.121401126	-1.133987859	-5.943142017
Vcam1	0.785636534	0.798460466	0.972643685	0.175407684	-1.23169567	-1.5004527	-5.113481371
Mgam	0.893997053	0.903327038	1.168844811	-0.754889447	-1.061851322	-1.149428132	-5.932337804
Iigp1	0.904322807	1.00879748	1.034113764	-0.695269961	-1.321001504	-0.930962586	-5.894468102
Tifab	0.711898016	1.209658785	0.979973096	-1.384739226	-0.728815993	-0.787974678	-5.803059795
S100a9	0.585670454	0.367885243	0.716284606	0.859473836	-0.532818067	-1.996496071	-3.339680605
Kctd17	0.955643709	1.139597725	0.880713726	-0.791481643	-1.092236758	-1.092236758	-5.951910318
Ifi209	0.802784819	1.023297106	0.912885556	-0.246196918	-0.854292138	-1.638478425	-5.477934962
Nucb2	1.171537115	0.964025887	0.839338096	-1.040594765	-0.825628468	-1.108677864	-5.949802195
Mcpt8	1.097657432	0.985133092	0.898157932	-0.800508111	-1.090220172	-1.090220172	-5.961896911
0610040J01Rik	0.79340803	1.203498125	0.973593601	-0.84201832	-1.064240718	-1.064240718	-5.940999511
Pglyrp1	0.786594627	0.986801946	0.763911457	0.163617786	-1.076912923	-1.624012893	-5.07461606
Mgl2	1.183922203	0.84406953	0.779217609	-0.633997168	-0.579005466	-1.594206707	-5.614418683
Ifitm7	0.916764816	1.190161826	0.877992289	-0.956671588	-1.020143389	-1.008103953	-5.969837861
Hpse	0.788345509	1.081996612	1.085729777	-1.231360989	-0.975098073	-0.749612836	-5.912143796
Ptgr1	1.075008811	1.101962937	0.772014332	-1.279301592	-0.876626824	-0.793057665	-5.897972162
Arsb	0.812039909	0.941420936	0.989852364	-0.112022079	-1.323217116	-1.308074013	-5.486626416
