gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	cluster
Nup37	0.9408465554121748	0.508618355318549	0.60016763690394	0.9882209922351975	0.6899336466461129	0.2991796209196689	-1.9362070842373524	-1.1435642301306623	-0.9471954930676332	0
Dna2	-0.2683272433150772	1.2239224248855562	1.1712882198513843	0.4479268706939413	-0.0864913557372158	0.5912400640114992	-1.594811998573005	-1.7053771602150058	0.220630178397918	0
Slc26a1	0.8679909464023513	1.6578581072634369	1.208587622489883	-0.0419949114316784	-0.5630699661798613	0.1936326104718292	-1.1097634014405426	-1.0940399893504655	-1.1192010182249508	0
Atp5d	1.8475500715105264	0.6167164105596774	0.142616462306038	0.236965429088951	0.7337234791577365	-0.0442829317512227	-1.588697826889359	-0.6767127634673707	-1.2678783305149597	0
Cd3eap	1.4965197669422383	0.4618464255670083	0.3382436406463446	0.954043555864506	0.2934753940593202	0.0953118733060486	-1.727002675657052	-1.511222901392571	-0.4012150793358393	0
B4galt4	0.8141204567903293	0.1415492564131336	0.9450966097033124	0.562522796063801	1.1365060669129825	0.3509942139048127	-1.7923808009514437	-1.3537006002766436	-0.8047079985602885	0
Zcchc3	1.0569559456141135	0.6980796856356178	0.675476561362619	0.665772828527469	0.187037962691514	0.3931596294612083	-0.1298276363719208	-1.7630035883149058	-1.7836513886057157	0
Slc44a1	0.5401129994503309	1.320031893645988	0.9933320824106974	0.1004113673554758	-0.9618792521065128	0.4587354002431191	0.2837142582749222	-0.6551104555710785	-2.079348293702945	0
Rpl39l	1.557313333698257	0.1809764938302401	1.9230330843085768	-0.1091349955507767	-0.8586891835453561	-0.2190810586714555	-0.7789415384993497	-0.8840890720164427	-0.8113870635536914	0
Rbm44	-0.0293555902169077	1.646729394969344	1.0445702509079329	-0.1122512768474528	1.1196932146355745	-0.2731193961356115	-1.065526194897576	-1.1214122232838073	-1.2093281791314971	0
Bckdhb	1.5141724934609992	0.4278793130690665	-0.0645525055300349	0.273912505772074	0.7047744261089014	0.3359293998206163	-0.8469885845138707	-0.0843883968793949	-2.2607386513083387	0
Mrpl23-ps1	1.7409293580378002	0.0994414298320204	0.402779052820149	0.6834474353173858	0.5256843590432266	0.1328241112675817	-1.7417680214580618	-0.5322745277732656	-1.311063197086835	0
Nkrf	0.6587771751630245	1.1727426756551425	0.7286431190937732	0.598785953691106	0.1168073575333359	0.7504801727433204	-1.7076410181093604	-1.4046313114563622	-0.9139641243139776	0
Snhg1	1.3785537357944508	0.2176827144578618	0.0750900073496356	0.9897998895281924	0.5056780859084722	0.4082800324671977	-1.682583354834196	-1.6613000705612953	-0.2312010401103181	0
Snrpf	1.5292536490979969	0.4035643662644748	0.5002021296620502	0.5476672837168168	0.5726933681125672	0.1163849060778745	-1.7210597980637043	-0.363582891673844	-1.585123013194225	0
Srsf2	1.0702409420795609	0.8641976803960109	0.7481232924925554	0.6136906044870073	0.3358643713689855	0.1935711600516837	-1.699081513239603	-1.7240080950224093	-0.4025984426138063	0
Amd1	1.101435891309261	0.7102464074170931	0.6808796760167121	0.8744696099409047	0.2018132285197411	0.4382153995252955	-1.2633142193832418	-0.8916128506681228	-1.8521331426776428	0
Hsp90ab1	1.3139295956616897	0.1791515314462015	0.2586393040215334	1.0879610642388151	0.6324350425541211	0.4453616033332825	-1.6488862207790038	-1.358504254984079	-0.9100876654925348	0
Rsl24d1	1.4036673766311984	0.2861639863044166	0.4962633111219867	0.9466395709126298	0.6369133585291985	0.0195841571901365	-1.145834935074468	-0.7773313193947655	-1.8660655062203315	0
Gm10177	1.577799929905649	0.4760701214055797	0.5342972182031304	0.3992683193837342	0.5961271099074896	0.1481059788257694	-1.7541423190796472	-0.5254099256175977	-1.4521164329341096	0
Dapk2	1.286892420182809	1.1244460316277032	0.9123552746723234	0.4132323686271414	-0.4000601040336776	0.3819329736509261	-0.9440249116912846	-1.2657596378808489	-1.509014415155092	0
Snrpc	1.935548846704986	0.4633749566667609	0.2203917591462923	0.5204470775180581	0.4768650891302712	-0.2255977128274632	-1.6041831888592175	-0.5250570971224225	-1.2617897303572547	0
Bex1	1.8901196285672832	0.7159249239125309	0.8254012436671192	0.4016282498280902	-0.0680079002412318	-0.3145183908525787	-1.1501825849604042	-1.1501825849604042	-1.1501825849604042	0
Gm13015	1.6374920195805067	1.273401322480748	0.5542880135233098	-0.4439524973388758	-0.2938728006677995	-0.9660316964276894	-1.2934471202601008	0.5999383084927571	-1.0678155493828514	0
Nup43	1.1539377138927214	0.6700544849783927	0.8037161172155968	0.9299440972634384	0.2954872189865256	0.2221271148783129	-1.3243879678259112	-1.5065413500002365	-1.2443374293888363	0
Ryk	1.63545173988696	1.2263665180711387	1.1041098147375232	-0.2295791919149793	-0.7338950625397743	-0.2883893421200141	-0.646920924553372	-0.6018662094497224	-1.465277342117759	0
Chtf18	0.4277582826997173	1.025066975899577	0.761557595045635	0.399524380436106	0.5341165559703633	0.5383896209728766	-1.665264513165152	-1.9149802299727383	-0.1061686678863841	0
Kif14	-0.2733940409536803	0.8619615314460952	0.8290474780452722	0.5164212300436207	0.1427338901683373	1.1423380312153	-1.4864720050093287	-1.9133006965222656	0.1806645815666502	0
Gm4535	1.3753132501831815	0.7434759324351096	0.8009077779506214	0.4951348401690972	0.4072173714741461	0.1624483669251726	-1.363920904585386	-1.6127272208064651	-1.0078494137454803	0
Eprs	0.7220500273763985	0.6109798678120364	0.709905120510809	1.0359856576649895	0.1441145695525128	0.5934067048913079	-1.8395877999456784	-1.6276280731648072	-0.349226074697564	0
Tfrc	0.7065785932256508	0.6597160984181747	1.027273804418205	0.6312147140132935	0.2328132159341135	0.6213894706826355	-1.7150370217476991	-1.748600890672129	-0.4153479842722412	0
Slc35g1	0.5880676287500386	1.1432156318952262	1.0152105831221443	0.453917534663866	0.3277688375659374	0.5082526144805798	-0.994690682903532	-1.2666266099117336	-1.7751155376625276	0
Wdr18	1.2911985093206664	1.0131319827405585	0.9804362374959888	0.3072244885630061	0.1798228871027037	0.1440405934277595	-1.5263893429750646	-1.2753774553884196	-1.1140879002871906	0
Tmem107	1.4392324201168174	0.8459445843151416	0.6598443296845481	0.4449449343757567	0.4138458286245601	0.1544458513330253	-1.6478075389997842	-1.1634454053500347	-1.1470050041000297	0
Gm16510	0.2232404185377843	1.4493306164786712	1.43408537937598	-0.995813327178282	-0.995813327178282	-0.995813327178282	-0.995813327178282	-0.0319226797676231	0.9085195740883154	0
Gfer	2.2970612954344856	0.4822205903002683	0.1710392693170312	0.3345242477136387	-0.0236088728187006	-0.3437669237032048	-1.4740456226406558	-0.6307949120081847	-0.8126290715946587	0
C1galt1	0.7515297987123626	1.185733734876403	1.3236609331564917	0.3487859941309903	-0.5107638483839619	0.5727887573516348	-1.2634650140631147	-1.3916384732808038	-1.0166318825000011	0
Gnl3	1.1292451414688658	0.9335152643633674	0.7054309857235121	0.9105340283117582	-0.0603932352553339	0.3639707882265998	-1.4063900888240923	-1.505822016193717	-1.0700908678209629	0
Alg8	1.168585499916002	0.7178662550512149	0.6168622876971175	0.6048115744193051	0.5147133918276264	0.5207256269076105	-1.576263363518332	-1.1154978932092636	-1.4518033790912863	0
Spta1	0.1435666021845469	1.7276097389652316	1.1290420393409697	0.1881099668522958	-0.7863075824365794	0.7927314453373658	-0.927991349440038	-1.0714981589268104	-1.1952627018769828	0
Prss34	1.7822221801282867	0.7595221384516522	1.5363930831600825	-0.7098091470870088	-0.7075028003330022	-0.7617807103815363	-0.3754833231754008	-0.7617807103815363	-0.7617807103815363	0
Rpl36a-ps1	2.158045233434548	-0.2840090543519111	-0.7246900199841337	1.1411704880459426	0.3027128139870993	-0.2415497560138684	-0.5671414589381493	-0.4616795407858408	-1.3228587053936918	0
Fgfr1op	0.703096310307436	0.4685318490632286	0.7397538102453409	1.0313725547599513	0.389761907674665	0.7079163019108721	-1.579368005685054	-1.7301749901274088	-0.7308897381490395	0
Ptpn3	0.8030788520689506	1.8551867167256688	1.4012278706051366	-0.4454896058711806	-0.701205665808241	-0.4150384931385518	-0.7600459652367527	-0.8704993376387061	-0.8672143717063224	0
Net1	1.6179604101945129	0.7633810854499936	0.5261352705388126	0.6988903483731785	-0.0641446169123688	0.2780791605749067	-1.4930057863137138	-1.25175446346732	-1.0755414084379984	0
Nt5dc2	1.2785331909603632	0.9515635990809648	1.0572650271858093	0.0804433833906828	0.1197831884865211	-0.0880648631522607	-1.8746883344188463	-1.3265444239861297	-0.1982907675471021	0
Ccdc34	1.9073774791533964	0.0852363853691978	0.0174982866527384	0.7762408107873084	0.6521742444251034	-0.1997708612325171	-0.9343309983379534	-1.7679998842976423	-0.5364254625196314	0
Gpc4	0.877068190901456	1.756979918095371	1.0461636270556858	0.0167055483088667	-0.8663499685524241	0.1495926348500501	-0.5514247806612408	-1.3207836783972051	-1.1079514916005602	0
Ccne1	1.1587854345119666	1.2101916311283731	1.1562311004308	0.1379605533494403	-0.6943249352768176	0.3216388108475821	-1.1928998106435216	-1.609270514713598	-0.4883122696342325	0
Nxpe2	0.7376156356635485	1.390103349656898	1.08416789168733	0.2360164045106172	-0.3532454500537959	0.6317175207849087	-1.263400238045327	-0.9676132038621612	-1.4953619103420197	0
Kif15	0.2155475594636783	0.320073982882728	0.4704691923583934	0.7732202403033518	0.3877485544506649	0.8149700941568487	-1.6489171973740289	-2.010028133924032	0.6769157076823945	0
Pfn4	1.7039123577845965	1.6502022279049966	0.6131144089649068	-0.7783628398018089	-0.8514849954014078	-0.7732799236496065	-0.2025045654483782	-0.9052843169687133	-0.4563123533845828	0
M1ap	1.5570731979386048	0.8529986535293511	0.4987694413327654	0.4831033141395858	0.3668518500282119	0.1090237585496107	-1.6472724801533618	-0.9682045546455792	-1.2523431807191878	0
Gm4540	2.035800454641542	0.2100414560332043	0.5383979397273523	0.8639802330339935	-0.0799303592158491	-0.299651189237573	-1.3032893156830514	-0.826112487407032	-1.1392367318925924	0
