TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.30.100	-	1.32791706832747e-07	-15.8344840504027	24	9	0.0147299509001637	611	15921	107686,66094,69878,20641,67242,68011,66373,78651,50783	Snrpd2,Lsm7,Snrpf,Snrpd1,Gemin6,Snrpg,Lsm5,Lsm6,Lsm4
3.40.50.10860	Leucine Dehydrogenase, chain A, domain 1	0.000530808697744527	-7.54110886953549	5	3	0.00490998363338789	611	15921	17768,108156,270685	Mthfd2,Mthfd1,Mthfd1l
3.30.1560.10	Mago nashi	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	66441,17149	Magohb,Magoh
2.40.10.230	Probable tRNA pseudouridine synthase domain	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	68147,234344	Gar1,Naf1
3.90.80.10	Inorganic pyrophosphatase	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	74776,67895	Ppa2,Ppa1
1.10.10.2100	-	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	18148,17089	Npm1,Lyar
1.25.40.1010	-	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	66897,74838	Naa16,Naa15
1.10.8.770	-	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	108156,270685	Mthfd1,Mthfd1l
3.10.410.10	Formyltetrahydrofolate synthetase, domain 3	0.00147047498028581	-6.52216981454148	2	2	0.00327332242225859	611	15921	108156,270685	Mthfd1,Mthfd1l
3.30.1330.30	-	0.00158066107585579	-6.44991211700878	14	4	0.00654664484451719	611	15921	20826,13197,20042,52530	Snu13,Gadd45a,Rps12,Nhp2
1.10.287.810	Mitochondrial import inner membrane translocase subunit tim13 like domains	0.00175341129596406	-6.34619207651044	7	3	0.00490998363338789	611	15921	30059,30058,30055	Timm10,Timm8a1,Timm13
3.20.20.60	Phosphoenolpyruvate-binding domains	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	69634,18770	Clybl,Pklr
2.60.120.340	Nucleoplasmin core domain	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	18150,18148	Npm3,Npm1
1.10.760.10	Cytochrome c-like domain	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	66445,13063	Cyc1,Cycs
1.10.1370.10	Neurolysin, domain 3	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	70478,50492	Mipep,Thop1
3.30.170.10	Cyclin-dependent kinase, regulatory subunit	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	54124,66197	Cks1b,Cks2
3.40.50.1380	Methylglyoxal synthase-like domain	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	69719,108147	Cad,Atic
1.10.10.140	Cytochrome c oxidase, subunit VIb	0.00429891545377548	-5.44939250814766	3	2	0.00327332242225859	611	15921	333182,110323	Cox6b2,Cox6b1
4.10.10.10	Metallothionein Isoform II	0.00837925801042646	-4.78199591131684	4	2	0.00327332242225859	611	15921	17748,17750	Mt1,Mt2
1.25.40.1040	-	0.00837925801042646	-4.78199591131684	4	2	0.00327332242225859	611	15921	66897,74838	Naa16,Naa15
