TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04145	Phagosome	6.40871700411216e-07	-14.2604365554242	182	19	0.0848214285714286	224	8044	225326,12317,21898,66212,14998,108078,27060,226421,17972,16419,50909,22145,13058,12266,56644,17969,11966,20778,14131	Pik3c3,Calr,Tlr4,Sec61b,H2-DMa,Olr1,Tcirg1,Rab7b,Ncf4,Itgb5,C1ra,Tuba4a,Cybb,C3,Clec7a,Ncf1,Atp6v1b2,Scarb1,Fcgr3
mmu04145	Phagosome	6.40871700411216e-07	-14.2604365554242	182	19	0.0848214285714286	224	8044	14998,66212,108078,21898,12317,225326,17972,226421,27060,13058,12266,50909,16419,22145,14131,11966,20778,17969,56644	H2-DMa,Sec61b,Olr1,Tlr4,Calr,Pik3c3,Ncf4,Rab7b,Tcirg1,Cybb,C3,C1ra,Itgb5,Tuba4a,Fcgr3,Atp6v1b2,Scarb1,Ncf1,Clec7a
ko04142	Lysosome	8.09705017339149e-06	-11.7240107387386	124	14	0.0625	224	8044	11605,12514,13030,108012,14667,432486,27060,11777,13035,13036,11881,20661,64138,18010	Gla,Cd68,Ctsb,Ap1s2,Gm2a,Gnptab,Tcirg1,Ap3s1,Ctsg,Ctsh,Arsb,Sort1,Ctsz,Neu1
mmu04142	Lysosome	8.09705017339149e-06	-11.7240107387386	124	14	0.0625	224	8044	11777,14667,432486,27060,13030,12514,108012,11605,64138,18010,20661,13035,13036,11881	Ap3s1,Gm2a,Gnptab,Tcirg1,Ctsb,Cd68,Ap1s2,Gla,Ctsz,Neu1,Sort1,Ctsg,Ctsh,Arsb
mmu01100	Metabolic pathways	1.93372041446904e-05	-10.8534796417456	1313	61	0.272321428571429	224	8044	15442,67800,109652,98256,230815,229905,11898,246221,104086,16993,212032,18597,104759,212647,107766,16832,233781,16795,225326,14933,11966,20397,59048,21881,232714,23917,14645,114663,212862,93747,394432,21351,74596,26897,14121,23972,74442,269642,14544,14718,22436,12036,14345,236539,27060,56386,14751,17772,15277,13110,67092,15485,72535,14381,11655,11881,22117,75540,73724,228061,15926	Hpse,Dgat2,Acy1,Kmo,Man1c1,Kyat3,Ass1,Mpst,Cyp27a1,Lta4h,Hk3,Pdha1,Pld4,Aldh4a1,Haao,Ldhb,Xylt1,Large1,Pik3c3,Gk,Atp6v1b2,Sgpl1,C1galt1c1,Tkt,Mgam,Impdh1,Glul,Impa2,Chpt1,Echs1,Ugt1a7c,Taldo1,Cds1,Acot1,Fbp1,Papss2,Sgms2,Nat8l,Gda,Got1,Xdh,Bcat2,Fut4,Phgdh,Tcirg1,B4galt6,Gpi1,Mtm1,Hk2,Cyp2j6,Gatm,Hsd17b1,Aldh1b1,G6pdx,Alas1,Arsb,Tst,Fpgt,Mcee,Agps,Idh1
mmu01200	Carbon metabolism	2.23862204140664e-05	-10.7070649484782	118	13	0.0580357142857143	224	8044	14751,236539,21351,93747,15277,14121,212032,14381,73724,18597,21881,15926,14718	Gpi1,Phgdh,Taldo1,Echs1,Hk2,Fbp1,Hk3,G6pdx,Mcee,Pdha1,Tkt,Idh1,Got1
ko01200	Carbon metabolism	2.23862204140664e-05	-10.7070649484782	118	13	0.0580357142857143	224	8044	236539,14751,15277,93747,21351,14381,212032,14121,14718,21881,15926,73724,18597	Phgdh,Gpi1,Hk2,Echs1,Taldo1,G6pdx,Hk3,Fbp1,Got1,Tkt,Idh1,Mcee,Pdha1
mmu00480	Glutathione metabolism	3.20701962222005e-05	-10.3475834257185	59	9	0.0401785714285714	224	8044	211666,14381,56615,14862,14778,14782,67305,15926,14873	Mgst2,G6pdx,Mgst1,Gstm1,Gpx3,Gsr,Gpx7,Idh1,Gsto1
ko00480	Glutathione metabolism	3.20701962222005e-05	-10.3475834257185	59	9	0.0401785714285714	224	8044	211666,14381,14862,56615,14778,14782,67305,15926,14873	Mgst2,G6pdx,Gstm1,Mgst1,Gpx3,Gsr,Gpx7,Idh1,Gsto1
mmu05140	Leishmaniasis	7.9769268259748e-05	-9.4363722372092	66	9	0.0401785714285714	224	8044	15980,14998,21898,26415,12266,15979,17969,14131,17972	Ifngr2,H2-DMa,Tlr4,Mapk13,C3,Ifngr1,Ncf1,Fcgr3,Ncf4
