TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00380	RHODANESE_1	0.000514802687103026	-7.57172686255308	2	2	0.0065359477124183	306	13465	22117,246221	Tst,Mpst
PS01180	CUB	0.000999336689559779	-6.90841880951006	51	6	0.0196078431372549	306	13465	18186,50909,74513,18187,19143,226255	Nrp1,C1ra,Neto2,Nrp2,St14,Atrnl1
PS50041	C_TYPE_LECTIN_2	0.00147327358209307	-6.52026842752348	118	9	0.0294117647058824	306	13465	108078,381809,226255,19074,26888,216864,23845,53856,56644	Olr1,Clec4b2,Atrnl1,Prg2,Clec4a2,Mgl2,Clec5a,Prg3,Clec7a
PS00683	RHODANESE_2	0.00152115915437779	-6.48828263319244	3	2	0.0065359477124183	306	13465	246221,22117	Mpst,Tst
PS00223	ANNEXIN_1	0.0021955583048991	-6.12131891176805	12	3	0.00980392156862745	306	13465	12306,16952,11745	Anxa2,Anxa1,Anxa3
PS51897	ANNEXIN_2	0.0021955583048991	-6.12131891176805	12	3	0.00980392156862745	306	13465	12306,11745,16952	Anxa2,Anxa3,Anxa1
PS00640	THIOL_PROTEASE_ASN	0.004317175822987	-5.44515383518928	15	3	0.00980392156862745	306	13465	64138,13030,13036	Ctsz,Ctsb,Ctsh
PS00378	HEXOKINASE_1	0.00491943893526863	-5.31456079252772	5	2	0.0065359477124183	306	13465	15277,212032	Hk2,Hk3
PS51770	HOTDOG_ACOT	0.00491943893526863	-5.31456079252772	5	2	0.0065359477124183	306	13465	56360,70025	Acot9,Acot7
PS51748	HEXOKINASE_2	0.00491943893526863	-5.31456079252772	5	2	0.0065359477124183	306	13465	15277,212032	Hk2,Hk3
PS01356	HEMATOPO_REC_S_F2	0.00491943893526863	-5.31456079252772	5	2	0.0065359477124183	306	13465	16188,12982	Il3ra,Csf2ra
PS50258	LNR	0.00491943893526863	-5.31456079252772	5	2	0.0065359477124183	306	13465	432486,18128	Gnptab,Notch1
PS00303	S100_CABP	0.00623902812376717	-5.07693085812728	17	3	0.00980392156862745	306	13465	20195,20202,20201	S100a11,S100a9,S100a8
PS50060	MAM_2	0.00736242421144204	-4.91136602391928	18	3	0.00980392156862745	306	13465	18187,18186,19273	Nrp2,Nrp1,Ptpru
PS51352	THIOREDOXIN_2	0.00869045171399806	-4.74553036015844	36	4	0.0130718954248366	306	13465	18230,52837,54683,18453	Nxn,Tmx4,Prdx5,P4hb
PS50222	EF_HAND_2	0.00955000391509734	-4.65121371453175	213	11	0.0359477124183007	306	13465	227960,50799,18826,19395,20202,20195,20201,53322,56461,78830,432486	Gca,Slc25a13,Lcp1,Rasgrp2,S100a9,S100a11,S100a8,Nucb2,Kcnip3,Slc25a12,Gnptab
PS00154	ATPASE_E1_E2	0.00957315709523648	-4.64879223291163	37	4	0.0130718954248366	306	13465	232975,67972,241633,224088	Atp1a3,Atp2b1,Atp8b4,Atp13a3
PS50050	TNFR_NGFR_2	0.00994733178898779	-4.61045092568424	20	3	0.00980392156862745	306	13465	244237,230979,21938	Tnfrsf26,Tnfrsf14,Tnfrsf1b
PS00989	CLAT_ADAPTOR_S	0.0100241284787946	-4.60276024435213	7	2	0.0065359477124183	306	13465	108012,11777	Ap1s2,Ap3s1
PS00460	GLUTATHIONE_PEROXID_1	0.0100241284787946	-4.60276024435213	7	2	0.0065359477124183	306	13465	14778,67305	Gpx3,Gpx7
PS00652	TNFR_NGFR_1	0.0114130544505371	-4.47299745149968	21	3	0.00980392156862745	306	13465	21938,230979,244237	Tnfrsf1b,Tnfrsf14,Tnfrsf26
PS50200	RA	0.0115086860530589	-4.46465321975355	39	4	0.0130718954248366	306	13465	213391,54519,71323,192678	Rassf4,Apbb1ip,Rassf8,Rassf3
PS50853	FN3	0.0116388620890389	-4.45340560013117	190	10	0.0326797385620915	306	13465	72007,207777,16194,19273,19277,20660,15980,237310,16195,12982	Fndc3b,Tspoap1,Il6ra,Ptpru,Ptpro,Sorl1,Ifngr2,Il22ra2,Il6st,Csf2ra
PS51113	ZF_BTK	0.013166184401111	-4.33010352417771	8	2	0.0065359477124183	306	13465	114713,54153	Rasa2,Rasa4
PS00175	PG_MUTASE	0.013166184401111	-4.33010352417771	8	2	0.0065359477124183	306	13465	319801,270198	Tigar,Pfkfb4
PS51355	GLUTATHIONE_PEROXID_3	0.013166184401111	-4.33010352417771	8	2	0.0065359477124183	306	13465	14778,67305	Gpx3,Gpx7
PS01009	CRISP_1	0.013166184401111	-4.33010352417771	8	2	0.0065359477124183	306	13465	73690,74116	Glipr1,Pi16
PS00763	GLUTATHIONE_PEROXID_2	0.013166184401111	-4.33010352417771	8	2	0.0065359477124183	306	13465	67305,14778	Gpx7,Gpx3
PS01209	LDLRA_1	0.0136791931211143	-4.29187935090194	41	4	0.0130718954248366	306	13465	241576,74513,19143,20660	Ldlrad3,Neto2,St14,Sorl1
PS50068	LDLRA_2	0.0160935241318403	-4.12933831574304	43	4	0.0130718954248366	306	13465	241576,74513,20660,19143	Ldlrad3,Neto2,Sorl1,St14
PS50209	CARD	0.0165218431525805	-4.10307194613343	24	3	0.00980392156862745	306	13465	332579,12364,107607	Card9,Casp12,Nod1
PS50951	SARAH	0.0166759848485061	-4.09378562754483	9	2	0.0065359477124183	306	13465	213391,192678	Rassf4,Rassf3
PS50835	IG_LIKE	0.0169058350102088	-4.08009644976774	457	18	0.0588235294117647	306	13465	380732,211323,243958,80719,15216,100042150,22329,13723,83382,140559,11658,16194,52685,14998,75870,17085,14131,107527	Milr1,Nrg1,Siglecg,Igsf6,Hfe,Nrg2,Vcam1,Emb,Siglece,Igsf8,Alcam,Il6ra,Cd300lg,H2-DMa,Tcam1,Ly9,Fcgr3,Il1rl2
