TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00401	SH2DOMAIN	1.30398646801965e-05	-11.2474993788052	71	12	0.0493827160493827	243	6344	14360,14191,15170,22637,16818,27278,11350,20963,27371,14158,218397,17444	Fyn,Fgr,Ptpn6,Zap70,Lck,Clnk,Abl1,Syk,Sh2d2a,Fer,Rasa1,Grap2
PR00043	LEUZIPPRJUN	5.55334377273978e-05	-9.79852523705631	3	3	0.0123456790123457	243	6344	16477,16476,16478	Junb,Jun,Jund
PR00452	SH3DOMAIN	0.000104812461556692	-9.16333788516262	87	12	0.0493827160493827	243	6344	23969,71602,14360,16818,80708,21981,20403,14191,66610,20410,20740,17444	Pacsin1,Myo1e,Fyn,Lck,Pacsin3,Ppp1r13b,Itsn2,Fgr,Abi3,Sorbs3,Sptan1,Grap2
PR00109	TYRKINASE	0.00029996815412889	-8.11183424184639	97	12	0.0493827160493827	243	6344	22637,14360,16818,26362,13836,14191,16453,14158,20963,11350,13848,14182	Zap70,Fyn,Lck,Axl,Epha2,Fgr,Jak3,Fer,Syk,Abl1,Ephb6,Fgfr1
PR01536	INTRLKN1R12F	0.00101890683486734	-6.88902495692199	6	3	0.0123456790123457	243	6344	16177,17082,16178	Il1r1,Il1rl1,Il1r2
PR00935	BAND41	0.00184939190714021	-6.29289839276834	24	5	0.0205761316872428	243	6344	232288,269587,13821,13822,54357	Frmd4b,Epb41,Epb41l1,Epb41l2,Epb41l4b
PR00042	LEUZIPPRFOS	0.00269428080735564	-5.91662397206978	8	3	0.0123456790123457	243	6344	53314,14281,14282	Batf,Fos,Fosb
PR00259	TMFOUR	0.0031984238112816	-5.74509714949798	27	5	0.0205761316872428	243	6344	241556,12520,66109,12512,109246	Tspan18,Cd81,Tspan13,Cd63,Tspan9
PR00661	ERMFAMILY	0.00336948292616761	-5.69299598076175	17	4	0.0164609053497942	243	6344	269587,13821,54357,13822	Epb41,Epb41l1,Epb41l4b,Epb41l2
PR00449	RASTRNSFRMNG	0.00422863086850755	-5.46587701006458	131	12	0.0493827160493827	243	6344	11852,19416,217378,19325,19331,72433,58222,11855,68939,80837,66922,53869	Rhob,Rasd1,Dnajc27,Rab10,Rab19,Rab38,Rab37,Arhgap5,Rasl11b,Rhoj,Rras2,Rab11a
PR01284	NUCLEARECPTR	0.004273079125326	-5.45542060498035	3	2	0.00823045267489712	243	6344	15370,18227	Nr4a1,Nr4a2
PR00805	ALPHACATENIN	0.00833033014180052	-4.78785219071954	4	2	0.00823045267489712	243	6344	54366,12385	Ctnnal1,Ctnna1
PR00194	TROPOMYOSIN	0.00833033014180052	-4.78785219071954	4	2	0.00823045267489712	243	6344	326618,22003	Tpm4,Tpm1
PR00295	STEFINA	0.00944637928181078	-4.66212375567713	12	3	0.0123456790123457	243	6344	100038854,20863,20862	Cstdc6,Stfa3,Stfa2
PR00008	DAGPEDOMAIN	0.0104696651653185	-4.5592732350009	23	4	0.0164609053497942	243	6344	18761,18755,18750,217866	Prkcq,Prkch,Prkca,Cdc42bpb
PR00018	KRINGLE	0.0119375864667606	-4.42806332991267	13	3	0.0123456790123457	243	6344	84035,15234,54426	Kremen1,Hgf,Hgfac
PR00193	MYOSINHEAVY	0.0141370075367835	-4.25895927197271	38	5	0.0205761316872428	243	6344	17909,17886,71602,17920,17913	Myo10,Myh9,Myo1e,Myo6,Myo1c
PR01908	ADSPHPHTASE	0.0179494728126572	-4.02019453424755	15	3	0.0123456790123457	243	6344	13537,75219,72349	Dusp2,Dusp18,Dusp3
PR00314	CLATHRINADPT	0.0197920903596294	-3.92247289788015	6	2	0.00823045267489712	243	6344	11768,11773	Ap1m2,Ap2m1
PR01185	INTEGRINA	0.029590565438304	-3.52029970365141	18	3	0.0123456790123457	243	6344	16411,16398,16399	Itgax,Itga2,Itga2b
PR00047	STROIDFINGER	0.0327744666077666	-3.41810552382738	47	5	0.0205761316872428	243	6344	18227,19016,15370,13864,19401	Nr4a2,Pparg,Nr4a1,Nr2f6,Rara
PR00398	STRDHORMONER	0.0327744666077666	-3.41810552382738	47	5	0.0205761316872428	243	6344	19401,13864,15370,19016,18227	Rara,Nr2f6,Nr4a1,Pparg,Nr4a2
PR01161	TUBULIN	0.0341700277699822	-3.37640640015459	19	3	0.0123456790123457	243	6344	22151,73710,53857	Tubb2a,Tubb2b,Tuba8
PR01788	PROSTANOIDR	0.0351230084650125	-3.34889885144063	8	2	0.00823045267489712	243	6344	19222,21390	Ptgir,Tbxa2r
PR01163	BETATUBULIN	0.0351230084650125	-3.34889885144063	8	2	0.00823045267489712	243	6344	22151,73710	Tubb2a,Tubb2b
PR00619	GATAZNFINGER	0.0351230084650125	-3.34889885144063	8	2	0.00823045267489712	243	6344	14460,14461	Gata1,Gata2
PR00597	GELSOLIN	0.0351230084650125	-3.34889885144063	8	2	0.00823045267489712	243	6344	20259,227753	Scin,Gsn
PR00553	ADENOSINA2AR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	11540	Adora2a
PR01870	CD2ANTIGEN	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	12481	Cd2
PR01532	CXCCHMKINER3	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	12766	Cxcr3
PR01287	NURRNUCRCPTR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	18227	Nr4a2
PR01204	GLY1TRNSPORT	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	14664	Slc6a9
PR01192	GLUCTRSPORT3	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	20527	Slc2a3
PR01285	HMRNUCRECPTR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	15370	Nr4a1
PR00856	PRSTNOIDIPR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	19222	Ptgir
PR01990	CD74ANTIGEN	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	16149	Cd74
PR01903	CYSLT2RECPTR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	70086	Cysltr2
PR01763	DISHEVELLED3	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	13544	Dvl3
PR01458	PMYELIN22	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	18858	Pmp22
PR00588	SOMATOSTTN2R	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	20606	Sstr2
PR01599	ZONOCCLUDNS2	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	21873	Tjp2
PR01155	VIP2RECEPTOR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	22355	Vipr2
PR01649	PSYCHOSINER	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	14744	Gpr65
PR01291	PROXISOMPAGR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	19016	Pparg
PR01199	CRTTRANSPORT	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	102857	Slc6a8
PR00071	HMGCOARDTASE	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	15357	Hmgcr
PR01424	TGFBETA1	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	21803	Tgfb1
PR00429	THROMBOXANER	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	21390	Tbxa2r
PR01478	LTB2RECEPTOR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	57260	Ltb4r2
PR01294	INTRLEUKIN10	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	16153	Il10
PR00573	INTRLEUKN8BR	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	12765	Cxcr2
PR02100	GENEIEX1	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	15937	Ier3
PR01968	TNFACTORR18	0.0383039092056281	-3.26220331997206	1	1	0.00411522633744856	243	6344	21936	Tnfrsf18
