TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00252	SH2	1.09585680108753e-05	-11.4213889409227	102	17	0.0343434343434343	495	9882	16818,14360,12702,16453,56468,14191,27387,20963,15170,17444,218397,11350,27371,14158,21961,22637,27278	Lck,Fyn,Socs3,Jak3,Socs5,Fgr,Sh2d3c,Syk,Ptpn6,Grap2,Rasa1,Abl1,Sh2d2a,Fer,Tns1,Zap70,Clnk
SM00326	SH3	4.33587313092388e-05	-10.0460024607342	196	24	0.0484848484848485	495	9882	236915,14360,67742,21981,78514,11350,58234,71602,218397,17207,214459,53618,14191,53310,16818,17444,80708,20740,20410,66610,233071,23969,13383,20403	Arhgef9,Fyn,Samsn1,Ppp1r13b,Arhgap10,Abl1,Shank3,Myo1e,Rasa1,Mcf2l,Fnbp1l,Fut8,Fgr,Dlg3,Lck,Grap2,Pacsin3,Sptan1,Sorbs3,Abi3,Arhgap33,Pacsin1,Dlg1,Itsn2
SM00150	SPEC	4.78241569464537e-05	-9.9479796706772	28	8	0.0161616161616162	495	9882	11426,20742,22288,109711,17207,18810,20740,212073	Macf1,Sptbn1,Utrn,Actn1,Mcf2l,Plec,Sptan1,Syne3
SM00233	PH	0.000151471093018628	-8.79511575637804	252	27	0.0545454545454545	495	9882	20403,16800,75547,240057,241308,110279,269608,237542,232970,64291,212285,20742,106952,217866,231999,102693,17909,17207,58996,218397,27261,27280,78514,18806,110253,108101,236915	Itsn2,Arhgef2,Akap13,Syngap1,Ralgps1,Bcr,Plekhg5,Osbpl8,Phldb3,Osbpl1a,Arap2,Sptbn1,Arap3,Cdc42bpb,Plekha8,Phldb1,Myo10,Mcf2l,Arhgap23,Rasa1,Dok3,Phlda3,Arhgap10,Pld2,Triobp,Fermt3,Arhgef9
SM00295	B41	0.000457268772240407	-7.69023921688231	47	9	0.0181818181818182	495	9882	13822,232288,16453,269587,17909,21894,108101,54357,13821	Epb41l2,Frmd4b,Jak3,Epb41,Myo10,Tln1,Fermt3,Epb41l4b,Epb41l1
SM00219	TyrKc	0.000656570283308414	-7.3284808123608	81	12	0.0242424242424242	495	9882	11350,26362,14158,22637,16818,14360,16453,14191,14182,18596,20963,13836	Abl1,Axl,Fer,Zap70,Lck,Fyn,Jak3,Fgr,Fgfr1,Pdgfrb,Syk,Epha2
SM00228	PDZ	0.00115126549001304	-6.76689351553366	148	17	0.0343434343434343	495	9882	53310,118449,13544,20469,24071,58220,67399,59079,58234,227929,21873,58996,13383,245469,19153,217692,66395	Dlg3,Synpo2,Dvl3,Sipa1,Synj2bp,Pard6b,Pdlim7,Erbin,Shank3,Cytip,Tjp2,Arhgap23,Dlg1,Pdzd4,Prx,Sipa1l1,Ahnak
SM00147	RasGEF	0.0022472844841752	-6.09803268757334	28	6	0.0121212121212121	495	9882	19730,241308,19732,19731,320292,27387	Ralgds,Ralgps1,Rgl2,Rgl1,Rasgef1b,Sh2d3c
SM00558	JmjC	0.00271571869239516	-5.90869864887845	29	6	0.0121212121212121	495	9882	216850,193796,16468,75605,104263,18676	Kdm6b,Kdm4b,Jarid2,Kdm5b,Kdm3a,Phf2
SM01195	FA	0.00309612698812172	-5.77760330726064	13	4	0.00808080808080808	495	9882	13822,269587,54357,13821	Epb41l2,Epb41,Epb41l4b,Epb41l1
SM00338	BRLZ	0.00355833267981143	-5.63846319219513	51	8	0.0161616161616162	495	9882	14281,16477,16478,53314,16476,17133,14282,26427	Fos,Junb,Jund,Batf,Jun,Maff,Fosb,Creb3l1
SM00033	CH	0.00435035318483771	-5.43749824526071	64	9	0.0181818181818182	495	9882	109711,18810,544963,102502,231830,11426,20742,22288,276829	Actn1,Plec,Iqgap2,Pls1,Micall2,Macf1,Sptbn1,Utrn,Smtnl2
SM00324	RhoGAP	0.00435035318483771	-5.43749824526071	64	9	0.0181818181818182	495	9882	214804,78514,110279,106952,214137,233071,212285,58996,11855	Syde2,Arhgap10,Bcr,Arap3,Arhgap29,Arhgap33,Arap2,Arhgap23,Arhgap5
SM00133	S_TK_X	0.00657369875152992	-5.02467862901734	45	7	0.0141414141414141	495	9882	20393,18750,263803,217866,18761,18755,110651	Sgk1,Prkca,Pkn3,Cdc42bpb,Prkcq,Prkch,Rps6ka3
SM01196	FERM_C	0.00713471251318234	-4.9427833213413	25	5	0.0101010101010101	495	9882	269587,13822,232288,13821,54357	Epb41,Epb41l2,Frmd4b,Epb41l1,Epb41l4b
SM00545	JmjN	0.00836569589401787	-4.78361575684779	9	3	0.00606060606060606	495	9882	193796,16468,75605	Kdm4b,Jarid2,Kdm5b
SM01277	MAGUK_N_PEST	0.0140447794761135	-4.26550451978711	4	2	0.00404040404040404	495	9882	13383,53310	Dlg1,Dlg3
SM00109	C1	0.014055662251167	-4.26472995718747	64	8	0.0161616161616162	495	9882	16800,18755,217866,214137,16706,18761,18750,75547	Arhgef2,Prkch,Cdc42bpb,Arhgap29,Ksr1,Prkcq,Prkca,Akap13
SM00055	FCH	0.0158878874236535	-4.14219825732543	20	4	0.00808080808080808	495	9882	214459,80708,23969,14158	Fnbp1l,Pacsin3,Pacsin1,Fer
SM00239	C2	0.0179437574638734	-4.02051299813548	121	12	0.0242424242424242	495	9882	18750,18755,70450,18798,18797,240057,52635,218397,110279,18783,20403,16396	Prkca,Prkch,Unc13d,Plcb4,Plcb3,Syngap1,Esyt2,Rasa1,Bcr,Pla2g4a,Itsn2,Itch
SM00401	ZnF_GATA	0.0195866194039847	-3.93290862935031	12	3	0.00606060606060606	495	9882	14460,116871,14461	Gata1,Mta3,Gata2
SM00454	SAM	0.0225846668140402	-3.79048406251748	83	9	0.0181818181818182	495	9882	106952,67533,268297,58234,217125,13836,13848,212285,67742	Arap3,Ppfibp1,Scml4,Shank3,Samd14,Epha2,Ephb6,Arap2,Samsn1
SM00673	CARP	0.0226358855873941	-3.78821877416798	5	2	0.00404040404040404	495	9882	12331,67252	Cap1,Cap2
SM00323	RasGAP	0.0245337671280168	-3.70770486022323	13	3	0.00606060606060606	495	9882	544963,218397,240057	Iqgap2,Rasa1,Syngap1
SM00199	SCY	0.0289706793831692	-3.54147101621009	35	5	0.0101010101010101	495	9882	20303,57349,20304,20296,56744	Ccl4,Ppbp,Ccl5,Ccl2,Pf4
SM00091	PAS	0.0297774221368568	-3.51400481904408	24	4	0.00808080808080808	495	9882	53417,17977,18626,15251	Hif3a,Ncoa1,Per1,Hif1a
SM00404	PTPc_motif	0.0319623799194916	-3.44319569529042	61	7	0.0141414141414141	495	9882	13537,19248,21961,218232,320139,15170,19268	Dusp2,Ptpn12,Tns1,Ptpdc1,Ptpn7,Ptpn6,Ptprf
SM01184	efhand_Ca_insen	0.0328387482678353	-3.41614611120732	6	2	0.00404040404040404	495	9882	109711,20740	Actn1,Sptan1
SM00775	LNS2	0.0328387482678353	-3.41614611120732	6	2	0.00404040404040404	495	9882	14245,18739	Lpin1,Pitpnm1
SM00501	BRIGHT	0.0362468086233285	-3.31740393953417	15	3	0.00606060606060606	495	9882	56380,75605,16468	Arid3b,Kdm5b,Jarid2
SM01014	ARID	0.0362468086233285	-3.31740393953417	15	3	0.00606060606060606	495	9882	75605,56380,16468	Kdm5b,Arid3b,Jarid2
SM00130	KR	0.0362468086233285	-3.31740393953417	15	3	0.00606060606060606	495	9882	54426,84035,15234	Hgfac,Kremen1,Hgf
