TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	4.94592288818811e-06	-12.216946979729	838	75	0.276752767527675	271	4906	20893,12578,17246,210789,56320,13848,12445,22288,19248,22330,27218,22695,16594,15902,118449,224796,17207,20963,20410,16398,268977,23882,17258,12124,21803,72433,237459,18596,18750,15251,21894,14281,75687,71602,112407,18008,218397,268903,20742,70435,241308,14360,235041,16563,12575,233071,13386,16411,14042,20740,13544,18109,17886,16456,58220,17913,21390,15170,12385,17977,228775,11789,19268,226519,11350,231830,16818,27278,18810,83408,13836,216869,19401,72145,12822	Bhlhe40,Cdkn2a,Mdm2,Tbc1d4,Dbn1,Ephb6,Ccnd3,Utrn,Ptpn12,Vcl,Slamf1,Zfp36,Klc2,Id2,Synpo2,Clic5,Mcf2l,Syk,Sorbs3,Itga2,Ltbp1,Gadd45g,Mef2a,Bik,Tgfb1,Rab38,Cdk17,Pdgfrb,Prkca,Hif1a,Tln1,Fos,Ripor1,Myo1e,Egln3,Nes,Rasa1,Nrip1,Sptbn1,Inf2,Ralgps1,Fyn,Kank2,Kif2a,Cdkn1a,Arhgap33,Dlk1,Itgax,Ext1,Sptan1,Dvl3,Mycn,Myh9,F11r,Pard6b,Myo1c,Tbxa2r,Ptpn6,Ctnna1,Ncoa1,Trib3,Apc,Ptprf,Lamc1,Abl1,Micall2,Lck,Clnk,Plec,Gimap3,Epha2,Arrb2,Rara,Wdfy3,Col18a1
WP3632	Lung fibrosis	0.000420303457459207	-7.77453358981714	61	11	0.040590405904059	271	4906	15234,20296,108689,20304,17395,70086,20303,18591,21803,15368,17228	Hgf,Ccl2,Stn1,Ccl5,Mmp9,Cysltr2,Ccl4,Pdgfb,Tgfb1,Hmox1,Cma1
WP493	MAPK signaling pathway	0.00107842251305141	-6.83225594167825	159	19	0.0701107011070111	271	4906	218397,110651,53608,16177,216869,18596,320139,16478,68652,14281,18591,21803,15507,18755,15370,18033,193740,16178,16476	Rasa1,Rps6ka3,Map3k6,Il1r1,Arrb2,Pdgfrb,Ptpn7,Jund,Tab2,Fos,Pdgfb,Tgfb1,Hspb1,Prkch,Nr4a1,Nfkb1,Hspa1a,Il1r2,Jun
WP2310	PodNet: protein-protein interactions in the podocyte	0.00205650076204641	-6.18674939973884	315	30	0.11070110701107	271	4906	21803,12385,21390,16398,12822,19401,216869,14360,241308,70435,20742,18008,112407,71602,75687,21894,226519,15251,18750,22330,22288,56320,12575,12578,235041,16456,17886,20740,224796,14042	Tgfb1,Ctnna1,Tbxa2r,Itga2,Col18a1,Rara,Arrb2,Fyn,Ralgps1,Inf2,Sptbn1,Nes,Egln3,Myo1e,Ripor1,Tln1,Lamc1,Hif1a,Prkca,Vcl,Utrn,Dbn1,Cdkn1a,Cdkn2a,Kank2,F11r,Myh9,Sptan1,Clic5,Ext1
WP2432	Spinal Cord Injury	0.00261110230674341	-5.94798280705943	98	13	0.0479704797047971	271	4906	20564,15370,21803,16177,20296,58250,13653,17395,12227,22695,11852,18750,14281	Slit3,Nr4a1,Tgfb1,Il1r1,Ccl2,Chst11,Egr1,Mmp9,Btg2,Zfp36,Rhob,Prkca,Fos
WP65	Insulin Signaling	0.0026802428431401	-5.92184787545251	159	18	0.0664206642066421	271	4906	18761,19268,14281,18750,53608,12702,13653,110651,210789,12331,16476,259300,80837,20393,17913,228775,18755,233071	Prkcq,Ptprf,Fos,Prkca,Map3k6,Socs3,Egr1,Rps6ka3,Tbc1d4,Cap1,Jun,Ehd2,Rhoj,Sgk1,Myo1c,Trib3,Prkch,Arhgap33
WP373	IL-3 Signaling Pathway	0.00312960928438406	-5.76684711149216	100	13	0.0479704797047971	271	4906	20963,17395,16818,19401,12702,14360,18750,22330,14461,15507,18033,14460,15170	Syk,Mmp9,Lck,Rara,Socs3,Fyn,Prkca,Vcl,Gata2,Hspb1,Nfkb1,Gata1,Ptpn6
WP151	IL-5 Signaling Pathway	0.00377547141705661	-5.57923002538735	68	10	0.03690036900369	271	4906	16185,18783,18033,20963,12445,16476,16192,15170,20677,11689	Il2rb,Pla2g4a,Nfkb1,Syk,Ccnd3,Jun,Il5ra,Ptpn6,Sox4,Alox5
WP3625	TYROBP Causal Network	0.00409768112935048	-5.49733404347876	58	9	0.033210332103321	271	4906	12504,16154,67742,668218,16411,108735,22177,12399,12193	Cd4,Il10ra,Samsn1,Bin2,Itgax,Sft2d2,Tyrobp,Runx3,Zfp36l2
WP458	Inflammatory Response Pathway	0.00518542686545639	-5.26190311369677	30	6	0.022140221402214	271	4906	16818,226519,16192,22637,16185,21827	Lck,Lamc1,Il5ra,Zap70,Il2rb,Thbs3
WP85	Focal Adhesion	0.00612280784087464	-5.09573449014477	185	19	0.0701107011070111	271	4906	16476,14191,16398,22330,11855,12445,21827,109711,21894,18591,226519,214230,16411,11852,18596,15234,14360,16399,21826	Jun,Fgr,Itga2,Vcl,Arhgap5,Ccnd3,Thbs3,Actn1,Tln1,Pdgfb,Lamc1,Pak6,Itgax,Rhob,Pdgfrb,Hgf,Fyn,Itga2b,Thbs2
WP450	IL-2 Signaling Pathway	0.00840565159496606	-4.77885099044279	76	10	0.03690036900369	271	4906	20963,17346,16818,18033,12702,16185,23872,14360,16453,15170	Syk,Mknk1,Lck,Nfkb1,Socs3,Il2rb,Ets2,Fyn,Jak3,Ptpn6
WP2902	p53 signaling	0.0106696711964895	-4.54035002984249	67	9	0.033210332103321	271	4906	12445,58801,230784,22401,64058,23882,12578,12575,17246	Ccnd3,Pmaip1,Sesn2,Zmat3,Perp,Gadd45g,Cdkn2a,Cdkn1a,Mdm2
WP1763	PluriNetWork	0.0110791097650132	-4.50269394700886	295	26	0.0959409594095941	271	4906	216850,17480,18033,56380,21803,17977,17246,12575,16468,319757,13436,20393,12578,16598,64058,104383,14182,13864,21886,18109,104263,14472,11789,14281,13435,15251	Kdm6b,Mpl,Nfkb1,Arid3b,Tgfb1,Ncoa1,Mdm2,Cdkn1a,Jarid2,Smo,Dnmt3b,Sgk1,Cdkn2a,Klf2,Perp,Rcor2,Fgfr1,Nr2f6,Tle2,Mycn,Kdm3a,Gbx2,Apc,Fos,Dnmt3a,Hif1a
WP2573	Primary Focal Segmental Glomerulosclerosis FSGS	0.0140547703551423	-4.26479341377226	70	9	0.033210332103321	271	4906	21894,71602,12575,70435,17886,22330,22288,21803,14360	Tln1,Myo1e,Cdkn1a,Inf2,Myh9,Vcl,Utrn,Tgfb1,Fyn
WP447	Adipogenesis genes	0.0152419839211182	-4.18370155864507	134	14	0.0516605166051661	271	4906	19401,12702,19016,268903,14245,15251,20249,228775,13386,17977,12153,21803,14461,17258	Rara,Socs3,Pparg,Nrip1,Lpin1,Hif1a,Scd1,Trib3,Dlk1,Ncoa1,Bmp1,Tgfb1,Gata2,Mef2a
WP403	Wnt Signaling Pathway	0.0163861092671107	-4.11132129896358	60	8	0.029520295202952	271	4906	13544,12445,18755,18761,16476,11789,14368,18750	Dvl3,Ccnd3,Prkch,Prkcq,Jun,Apc,Fzd6,Prkca
WP1270	Endochondral Ossification	0.0196990564181881	-3.92718454193922	62	8	0.029520295202952	271	4906	14182,17395,58250,12399,21803,20259,208715,20679	Fgfr1,Mmp9,Chst11,Runx3,Tgfb1,Scin,Hmgcs1,Sox6
WP2328	Allograft Rejection	0.0252824371988434	-3.67764530616836	12	3	0.011070110701107	271	4906	13136,12260,12259	Cd55,C1qb,C1qa
WP2872	White fat cell differentiation	0.0292860314822496	-3.53064461785649	32	5	0.018450184501845	271	4906	16598,19401,12385,14461,19016	Klf2,Rara,Ctnna1,Gata2,Pparg
