TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-168256	Immune System	5.06454588603004e-16	-35.2190970114733	1692	153	0.357476635514019	428	8672	140580,105855,328833,16822,18413,218203,237313,16480,12143,100038882,12518,380797,72194,12984,231130,52588,29857,15975,26377,18803,18707,15894,22323,12229,11676,100503605,74769,13367,12478,18436,12759,57916,16159,15985,20619,17096,20847,81018,16174,215280,11977,16168,19246,12700,17874,56338,19414,16190,16790,15040,71326,21871,16189,68713,66612,20866,16797,15001,266632,18733,16994,23900,16408,78416,18035,18754,110078,106052,14389,19698,20848,50930,21687,16186,60533,54123,12703,234779,17474,12091,68724,72042,50762,56743,18034,69601,70719,102595,239849,12048,73086,24110,12983,19271,69537,56464,320484,19164,380711,16439,107767,74153,16193,216233,14588,667865,243864,105722,19229,217303,19141,170743,19094,18037,18019,14130,17060,209200,18412,83814,104009,12986,21929,57781,12322,17079,14127,71728,215449,235627,20868,13867,11600,12929,11796,16071,18611,14590,14728,72049,15002,21899,13385,17159,75612,12262,16414,16391,67731,13682,18718,108995,15000	Elmo1,Nckap1l,Treml2,Lcp2,Osm,Mylip,Il20ra,Jup,Blk,Isg15,Cd79a,Ighd,Fbxl20,Csf2rb2,Tnip2,Tspan14,Mapk12,Ifnar1,Dapp1,Plcg1,Pik3cd,Icam1,Vasp,Btk,Aldoc,Hbb-bs,Pik3cb,Diaph1,Cd19,P2rx1,Clu,Tnfrsf13b,Il12a,Cd79b,Snap23,Lyn,Stat2,Rnf114,Il18rap,Wipf1,Atp7a,Il15,Ptpn1,Cish,Myd88,Txnip,Rasa3,Il4ra,Anpep,H2-T23,Treml1,Atp6v0a2,Il4,Ifitm1,Ormdl3,Stim1,Lat,H2-Oa,Irak4,Pirb,Ltb,Hcst,Itgal,Rnase6,Nfkbia,Prkce,Pygb,Fbxo4,Gab2,Relb,Stat3,Tnfsf14,Tek,Il2rg,Cd274,Irf7,Socs1,Plcg2,Clec4d,Glb1,Arl8a,Cotl1,Fbxo6,Lat2,Nfkb2,Dab2ip,Arhgap45,Plekho2,Cd200r4,Bcl2l1,Rps6ka5,Usp18,Csf2rb,Ptprj,Dnase1l1,Ctsf,Rasal3,Psen1,Rap1gap2,Itpr2,Scamp1,Uba7,Il6,Socs2,Gfra4,Igkv6-17,Mill2,Ano6,Ptk2b,Cd300a,Lgmn,Tlr7,Mapk11,Nfkbie,Nfatc2,Fcgr2b,Blnk,Dtx3l,Sqstm1,Nedd4l,Qsox1,Csf3r,Tnfaip3,Cd200r1,Camk2a,Cd180,Fcer1g,Stk11ip,Rap1b,Nbeal2,Stk10,Erbb3,Angpt1,Crkl,Birc3,Igkc,Pea15a,Ggh,Lilrb4a,Tnfrsf13c,H2-Ob,Tlr6,Dlg4,Man2b1,Gns,C1qc,Itgb2,Irf9,Fbxo32,Eif4a2,Pip4k2a,Tbc1d10c,H2-DMb2
R-MMU-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	4.65562702521775e-12	-26.0929445149758	37	16	0.0373831775700935	428	8672	15985,667865,12143,380797,12518,12478,18707,16439,17060,18803,12229,234779,20866,17096,26377,16071	Cd79b,Igkv6-17,Blk,Ighd,Cd79a,Cd19,Pik3cd,Itpr2,Blnk,Plcg1,Btk,Plcg2,Stim1,Lyn,Dapp1,Igkc
R-MMU-76002	Platelet activation, signaling and aggregation	4.30164921173043e-09	-19.2642673501669	260	37	0.0864485981308411	428	8672	18754,74769,12759,20911,56193,14389,54216,56760,30955,13139,14065,16797,16416,104418,13601,20363,16439,18707,14127,12527,12983,19246,215449,12984,227333,17096,16186,104009,14675,234779,20344,227612,80718,14062,80884,14723,16822	Prkce,Pik3cb,Clu,Stxbp2,Plek,Gab2,Pcdh7,Clec1b,Pik3cg,Dgka,F2rl3,Lat,Itgb3,Dgkz,Ecm1,Selenop,Itpr2,Pik3cd,Fcer1g,Cd9,Csf2rb,Ptpn1,Rap1b,Csf2rb2,Dgkd,Lyn,Il2rg,Qsox1,Gna14,Plcg2,Selp,Tor4a,Rab27b,F2r,Maged2,Gp1ba,Lcp2
R-MMU-109582	Hemostasis	1.51887526640522e-08	-18.0027106393093	518	56	0.130841121495327	428	8672	16403,12983,100163,227333,12984,83964,18438,54123,21687,16186,227612,234779,12523,14675,16822,14723,14062,12759,74769,18436,100503605,20911,53313,56193,54216,14065,13601,16416,18707,16439,12527,14127,215449,19246,17254,17096,20344,104009,18022,80884,80718,12506,18754,16408,14683,16414,14389,30955,13139,56760,75974,11600,13449,104418,16797,20363	Itga6,Csf2rb,Pafah2,Dgkd,Csf2rb2,Jam3,P2rx4,Irf7,Tek,Il2rg,Tor4a,Plcg2,Cd84,Gna14,Lcp2,Gp1ba,F2r,Clu,Pik3cb,P2rx1,Hbb-bs,Stxbp2,Atp2a3,Plek,Pcdh7,F2rl3,Ecm1,Itgb3,Pik3cd,Itpr2,Cd9,Fcer1g,Rap1b,Ptpn1,Slc3a2,Lyn,Selp,Qsox1,Nfe2,Maged2,Rab27b,Cd48,Prkce,Itgal,Gnas,Itgb2,Gab2,Pik3cg,Dgka,Clec1b,Dock11,Angpt1,Dok2,Dgkz,Lat,Selenop
R-MMU-1280215	Cytokine Signaling in Immune system	1.52987705402071e-07	-15.692908275632	511	53	0.123831775700935	428	8672	12983,24110,12984,69601,18034,231130,100038882,12703,237313,18413,21687,16186,19229,57916,14588,16159,74769,74153,16193,216233,18803,18707,320484,15975,12700,17874,16168,19246,12322,12986,18412,16174,20847,17096,13682,20848,50930,16391,19698,14389,266632,16994,13385,16797,18611,72049,16189,11796,13867,11600,12929,19414,16190	Csf2rb,Usp18,Csf2rb2,Dab2ip,Nfkb2,Tnip2,Isg15,Socs1,Il20ra,Osm,Tek,Il2rg,Ptk2b,Tnfrsf13b,Gfra4,Il12a,Pik3cb,Uba7,Il6,Socs2,Plcg1,Pik3cd,Rasal3,Ifnar1,Cish,Myd88,Il15,Ptpn1,Camk2a,Csf3r,Sqstm1,Il18rap,Stat2,Lyn,Eif4a2,Stat3,Tnfsf14,Irf9,Relb,Gab2,Irak4,Ltb,Dlg4,Lat,Pea15a,Tnfrsf13c,Il4,Birc3,Erbb3,Angpt1,Crkl,Rasa3,Il4ra
R-MMU-114604	GPVI-mediated activation cascade	3.40712897284032e-07	-14.8922256577449	48	13	0.0303738317757009	428	8672	12984,14389,12983,74769,14127,16822,18707,16797,234779,17096,16186,56760,30955	Csf2rb2,Gab2,Csf2rb,Pik3cb,Fcer1g,Lcp2,Pik3cd,Lat,Plcg2,Lyn,Il2rg,Clec1b,Pik3cg
R-MMU-194840	Rho GTPase cycle	8.91755681757038e-07	-13.9300736412592	127	21	0.0490654205607477	428	8672	106628,30938,11856,73910,14567,228359,259302,218581,101497,236920,69710,74734,226652,76117,69993,11853,16330,70719,75415,171207,232201	Trip10,Fgd3,Arhgap6,Arhgap18,Gdi1,Arhgap1,Srgap3,Depdc1b,Plekhg2,Stard8,Arap1,Rhoh,Arhgap30,Arhgap15,Chn2,Rhoc,Inpp5b,Arhgap45,Arhgap12,Arhgap4,Arhgap25
R-MMU-1280218	Adaptive Immune System	5.59179095801739e-06	-12.0942109360603	604	55	0.128504672897196	428	8672	328833,60533,234779,218203,16822,380797,72194,50762,12518,12143,19271,239849,26377,56464,12229,22323,15894,16439,18707,380711,18803,12478,74769,74153,243864,20619,667865,15985,81018,18037,17096,217303,19141,83814,17060,209200,57781,215449,15040,71326,16071,13867,15001,16797,20866,15002,68713,18035,23900,16408,15000,18718,67731,16414,106052	Treml2,Cd274,Plcg2,Mylip,Lcp2,Ighd,Fbxl20,Fbxo6,Cd79a,Blk,Ptprj,Cd200r4,Dapp1,Ctsf,Btk,Vasp,Icam1,Itpr2,Pik3cd,Rap1gap2,Plcg1,Cd19,Pik3cb,Uba7,Mill2,Snap23,Igkv6-17,Cd79b,Rnf114,Nfkbie,Lyn,Cd300a,Lgmn,Nedd4l,Blnk,Dtx3l,Cd200r1,Rap1b,H2-T23,Treml1,Igkc,Erbb3,H2-Oa,Lat,Stim1,H2-Ob,Ifitm1,Nfkbia,Hcst,Itgal,H2-DMb2,Pip4k2a,Fbxo32,Itgb2,Fbxo4
R-MMU-168249	Innate Immune System	1.00267083519163e-05	-11.5102581901209	1181	90	0.210280373831776	428	8672	107767,19164,320484,69537,105722,14588,234779,54123,16186,21687,19271,12983,73086,12048,18034,102595,69601,70719,56743,72042,68724,12091,17474,13385,21899,14728,14590,18611,11600,13867,108995,18718,16414,12262,75612,17159,104009,14130,18019,19094,170743,19141,217303,20868,235627,71728,215449,14127,12322,17079,21929,12229,11676,18707,18803,29857,52588,20619,12759,13367,12478,18436,74769,100503605,16822,105855,140580,231130,12984,16480,16797,66612,21871,15040,16790,19414,56338,19698,14389,110078,18754,18035,78416,16408,266632,18733,215280,17096,17874,11977	Scamp1,Psen1,Rasal3,Dnase1l1,Ano6,Gfra4,Plcg2,Irf7,Il2rg,Tek,Ptprj,Csf2rb,Rps6ka5,Bcl2l1,Nfkb2,Plekho2,Dab2ip,Arhgap45,Lat2,Cotl1,Arl8a,Glb1,Clec4d,Dlg4,Tlr6,Lilrb4a,Ggh,Pea15a,Angpt1,Erbb3,Tbc1d10c,Pip4k2a,Itgb2,C1qc,Gns,Man2b1,Qsox1,Fcgr2b,Nfatc2,Mapk11,Tlr7,Lgmn,Cd300a,Stk10,Nbeal2,Stk11ip,Rap1b,Fcer1g,Camk2a,Cd180,Tnfaip3,Btk,Aldoc,Pik3cd,Plcg1,Mapk12,Tspan14,Snap23,Clu,Diaph1,Cd19,P2rx1,Pik3cb,Hbb-bs,Lcp2,Nckap1l,Elmo1,Tnip2,Csf2rb2,Jup,Lat,Ormdl3,Atp6v0a2,H2-T23,Anpep,Rasa3,Txnip,Relb,Gab2,Pygb,Prkce,Nfkbia,Rnase6,Itgal,Irak4,Pirb,Wipf1,Lyn,Myd88,Atp7a
R-MMU-397795	G-protein beta:gamma signalling	0.000121598347976326	-9.0147871742455	32	8	0.0186915887850467	428	8672	12984,14389,18707,12983,16186,18796,74769,30955	Csf2rb2,Gab2,Pik3cd,Csf2rb,Il2rg,Plcb2,Pik3cb,Pik3cg
