TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0035456	response to interferon-beta	2.08599162019745e-25	-56.8293829854439	72	17	0.136	125	29090	66141,15951,100039796,15953,54396,100702,14469,229900,60440,327959,225594,15950,16145,15944,100040462,16362,20846	Ifitm3,Ifi204,Tgtp2,Ifi47,Irgm2,Gbp6,Gbp2,Gbp7,Iigp1,Xaf1,Gm4841,Ifi203,Igtp,Irgm1,Mndal,Irf1,Stat1
GO:0031349	positive regulation of defense response	1.04110399900269e-24	-55.2217605442337	445	28	0.224	125	29090	229900,384059,14469,14991,83490,58203,22259,234311,15950,434341,56221,18569,229898,52118,12362,54396,15951,83433,27007,637515,100040462,16362,15944,14824,12978,631323,16145,13040	Gbp7,Tlr12,Gbp2,H2-M3,Pik3ap1,Zbp1,Nr1h3,Ddx60,Ifi203,Nlrc5,Ccl24,Pdcd4,Gbp5,Pvr,Casp1,Irgm2,Ifi204,Trem2,Klrk1,Nlrp1b,Mndal,Irf1,Irgm1,Grn,Csf1r,Gm12250,Igtp,Ctss
GO:0019882	antigen processing and presentation	1.4627860095558301e-24	-54.8816993887635	122	19	0.152	125	29090	19156,15018,213233,12010,14961,13040,15024,16913,15039,14972,14999,16912,14969,14960,15015,110557,21354,14991,14964	Psap,H2-Q7,Tapbpl,B2m,H2-Ab1,Ctss,H2-T10,Psmb8,H2-T22,H2-K1,H2-DMb1,Psmb9,H2-Eb1,H2-Aa,H2-Q4,H2-Q6,Tap1,H2-M3,H2-D1
GO:0045088	regulation of innate immune response	3.2710842925114e-24	-54.0769207139871	464	28	0.224	125	29090	15950,434341,234311,22259,58203,83490,14469,14991,229900,384059,21354,16145,631323,14824,100040462,16362,15944,27007,637515,231712,56045,15951,83433,54396,547253,52118,12362,229898	Ifi203,Nlrc5,Ddx60,Nr1h3,Zbp1,Pik3ap1,Gbp2,H2-M3,Gbp7,Tlr12,Tap1,Igtp,Gm12250,Grn,Mndal,Irf1,Irgm1,Klrk1,Nlrp1b,Trafd1,Samhd1,Ifi204,Trem2,Irgm2,Parp14,Pvr,Casp1,Gbp5
GO:0035458	cellular response to interferon-beta	1.35518013266785e-22	-50.3529376611347	63	15	0.12	125	29090	16362,100040462,15944,20846,15950,16145,225594,14469,100702,54396,229900,60440,100039796,15953,15951	Irf1,Mndal,Irgm1,Stat1,Ifi203,Igtp,Gm4841,Gbp2,Gbp6,Irgm2,Gbp7,Iigp1,Tgtp2,Ifi47,Ifi204
GO:0048002	antigen processing and presentation of peptide antigen	1.64547519687352e-22	-50.1588428298882	82	16	0.128	125	29090	14960,14969,110557,15015,21354,14991,14964,15018,15024,13040,14961,213233,12010,14999,14972,15039	H2-Aa,H2-Eb1,H2-Q6,H2-Q4,Tap1,H2-M3,H2-D1,H2-Q7,H2-T10,Ctss,H2-Ab1,Tapbpl,B2m,H2-DMb1,H2-K1,H2-T22
GO:0002833	positive regulation of response to biotic stimulus	2.57375032742799e-21	-47.4089228462968	332	23	0.184	125	29090	15950,434341,234311,22259,83490,58203,14991,14469,384059,229900,16145,631323,14824,16362,100040462,15944,27007,637515,15951,54396,52118,12362,229898	Ifi203,Nlrc5,Ddx60,Nr1h3,Pik3ap1,Zbp1,H2-M3,Gbp2,Tlr12,Gbp7,Igtp,Gm12250,Grn,Irf1,Mndal,Irgm1,Klrk1,Nlrp1b,Ifi204,Irgm2,Pvr,Casp1,Gbp5
GO:0045089	positive regulation of innate immune response	7.89094866738236e-21	-46.2885705885679	304	22	0.176	125	29090	637515,27007,15944,16362,100040462,631323,16145,229898,52118,12362,54396,15951,22259,234311,434341,15950,229900,384059,14469,14991,58203,83490	Nlrp1b,Klrk1,Irgm1,Irf1,Mndal,Gm12250,Igtp,Gbp5,Pvr,Casp1,Irgm2,Ifi204,Nr1h3,Ddx60,Nlrc5,Ifi203,Gbp7,Tlr12,Gbp2,H2-M3,Zbp1,Pik3ap1
GO:0034341	response to type II interferon	4.28546599253624e-18	-39.9913023780392	120	15	0.12	125	29090	229898,12362,229900,14469,100702,14960,14969,66141,20846,16362,15944,15018,16161,16145,14961	Gbp5,Casp1,Gbp7,Gbp2,Gbp6,H2-Aa,H2-Eb1,Ifitm3,Stat1,Irf1,Irgm1,H2-Q7,Il12rb1,Igtp,H2-Ab1
GO:0002699	positive regulation of immune effector process	7.79644850281666e-18	-39.3928633640387	317	20	0.16	125	29090	19204,15018,15024,12010,234311,14972,27007,14999,15284,15039,16362,83433,110557,214855,15015,12362,52118,18439,14991,14964	Ptafr,H2-Q7,H2-T10,B2m,Ddx60,H2-K1,Klrk1,H2-DMb1,Hlx,H2-T22,Irf1,Trem2,H2-Q6,Arid5a,H2-Q4,Casp1,Pvr,P2rx7,H2-M3,H2-D1
