TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.40.50.10860	Leucine Dehydrogenase, chain A, domain 1	0.000380949004006972	-7.87284503954671	5	3	0.00549450549450549	546	15921	270685,17768,108156	Mthfd1l,Mthfd2,Mthfd1
3.90.1480.20	Glycosyl transferase family 29	0.00047068196874083	-7.66132791761867	20	5	0.00915750915750916	546	15921	20454,20440,241230,54613,50935	St3gal5,St6gal1,St8sia6,St3gal6,St6galnac6
2.60.40.10	Immunoglobulins	0.000533749443492485	-7.53558403605901	741	43	0.0787545787545788	546	15921	20354,16456,13844,192194,17967,18106,78908,98733,18596,68481,12480,19649,50931,18566,12518,18019,237313,20351,105653,237754,16768,13828,14182,78252,16136,12478,69524,20732,13836,17480,16177,78369,116701,12481,20361,12504,13857,98365,21838,27028,171285,19268,16185	Sema4d,F11r,Ephb2,Btnl10,Ncam1,Cd244a,Igsf3,Obsl1,Pdgfrb,Mpzl1,Cd1d2,Robo3,Il27ra,Pdcd1,Cd79a,Nfatc2,Il20ra,Sema4a,Phyhip,Btnl9,Lag3,Epb42,Fgfr1,Nxpe2,Igll1,Cd19,Esam,Spint1,Epha2,Mpl,Il1r1,Icam4,Fgfrl1,Cd2,Sema7a,Cd4,Epor,Slamf9,Thy1,Ermap,Havcr2,Ptprf,Il2rb
3.10.410.10	Formyltetrahydrofolate synthetase, domain 3	0.00117402065918234	-6.74732096047182	2	2	0.00366300366300366	546	15921	270685,108156	Mthfd1l,Mthfd1
1.10.8.770	-	0.00117402065918234	-6.74732096047182	2	2	0.00366300366300366	546	15921	270685,108156	Mthfd1l,Mthfd1
3.90.550.50	-	0.00139994315644255	-6.57132364572627	25	5	0.00915750915750916	546	15921	74241,108105,227327,94192,16848	Chpf,B3gnt5,B3gnt7,C1galt1,Lfng
2.60.120.40	-	0.00149159640848607	-6.50790831748896	50	7	0.0128205128205128	546	15921	12260,70945,67389,22164,12262,16994,12259	C1qb,Mmrn1,C1qtnf12,Tnfsf4,C1qc,Ltb,C1qa
1.10.1450.10	Tetraspanin	0.00279519340400736	-5.87985397834422	29	5	0.00915750915750916	546	15921	12476,232670,216350,12520,12521	Cd151,Tspan33,Tspan8,Cd81,Cd82
1.10.1370.10	Neurolysin, domain 3	0.003441822359536	-5.67175419218876	3	2	0.00366300366300366	546	15921	70478,50492	Mipep,Thop1
3.90.1420.10	Rubisco LSMT, substrate-binding domain	0.003441822359536	-5.67175419218876	3	2	0.00366300366300366	546	15921	224440,66083	Setd4,Setd6
3.90.1410.10	set domain protein methyltransferase, domain 1	0.003441822359536	-5.67175419218876	3	2	0.00366300366300366	546	15921	224440,66083	Setd4,Setd6
2.30.30.40	SH3 Domains	0.00387335244096117	-5.55363488311614	220	16	0.0293040293040293	546	15921	53310,58234,71602,18709,15468,20739,67742,13043,16818,236915,12143,225608,21873,14360,53885,50997	Dlg3,Shank3,Myo1e,Pik3r2,Prmt2,Spta1,Samsn1,Cttn,Lck,Arhgef9,Blk,Sh3tc2,Tjp2,Fyn,Nphp1,Mpp2
2.10.110.10	Cysteine Rich Protein	0.00408051428290332	-5.50153224877846	75	8	0.0146520146520147	546	15921	13009,194401,14199,68337,54132,22051,14200,30937	Csrp3,Mical3,Fhl1,Crip2,Pdlim1,Trip6,Fhl2,Lmcd1
3.30.450.260	Haem NO binding associated domain	0.00672727122340611	-5.0015856821241	4	2	0.00366300366300366	546	15921	60596,54195	Gucy1a1,Gucy1b1
3.90.1520.10	H-NOX domain	0.00672727122340611	-5.0015856821241	4	2	0.00366300366300366	546	15921	60596,54195	Gucy1a1,Gucy1b1
1.20.1080.10	Glycerol uptake facilitator protein	0.00700145453465814	-4.96163736084686	12	3	0.00549450549450549	546	15921	64008,11826,66333	Aqp9,Aqp1,Aqp11
3.50.30.30	-	0.00721042091594716	-4.93222794992367	23	4	0.00732600732600733	546	15921	66889,73218,22042,50765	Rnf128,Sppl2b,Tfrc,Tfr2
1.20.120.720	Myosin VI head, motor domain, U50 subdomain	0.00917939542141366	-4.69079393475229	38	5	0.00915750915750916	546	15921	71602,77579,338367,17909,17920	Myo1e,Myh10,Myo1d,Myo10,Myo6
1.10.10.820	-	0.00917939542141366	-4.69079393475229	38	5	0.00915750915750916	546	15921	338367,17909,17920,77579,71602	Myo1d,Myo10,Myo6,Myh10,Myo1e
1.20.58.530	-	0.00917939542141366	-4.69079393475229	38	5	0.00915750915750916	546	15921	77579,71602,338367,17920,17909	Myh10,Myo1e,Myo1d,Myo6,Myo10
2.60.120.740	-	0.010958152703271	-4.51367156063987	5	2	0.00366300366300366	546	15921	99633,330814	Adgrl2,Adgrl1
1.10.268.20	-	0.010958152703271	-4.51367156063987	5	2	0.00366300366300366	546	15921	259300,13660	Ehd2,Ehd1
1.10.150.20	5' to 3' exonuclease, C-terminal subdomain	0.0112277618979449	-4.48936582680417	26	4	0.00732600732600733	546	15921	21673,26909,101831,14156	Dntt,Exo1,Faap24,Fen1
1.10.472.10	Cyclin-like	0.0113806498252479	-4.47584074951987	40	5	0.00915750915750916	546	15921	12445,12449,380694,12428,12447	Ccnd3,Ccnf,Ccnjl,Ccna2,Ccne1
3.30.505.10	SH2 domain	0.0133342544664899	-4.31741903093582	110	9	0.0164835164835165	546	15921	14360,14783,16818,12143,22637,27371,209488,17060,18709	Fyn,Grb10,Lck,Blk,Zap70,Sh2d2a,Hsh2d,Blnk,Pik3r2
3.40.50.1000	HAD superfamily/HAD-like	0.0152731011503142	-4.18166209259678	76	7	0.0128205128205128	546	15921	11944,70021,79560,29858,11979,54670,13850	Atp4a,Nt5dc2,Ublcp1,Pmm1,Atp7b,Atp8b1,Ephx2
2.30.42.10	-	0.0156974390220384	-4.15425769954871	152	11	0.0201465201465201	546	15921	53310,64704,58234,54132,17776,50780,21873,19153,118449,50997,545622	Dlg3,Htra2,Shank3,Pdlim1,Mast2,Rgs3,Tjp2,Prx,Synpo2,Mpp2,Ptpn3
6.10.140.340	-	0.0160659930921792	-4.1310504711958	6	2	0.00366300366300366	546	15921	192657,218518	Ell2,Marveld2
4.10.530.10	Gamma-fibrinogen Carboxyl Terminal Fragment, domain 2	0.0160659930921792	-4.1310504711958	6	2	0.00366300366300366	546	15921	11600,57875	Angpt1,Angptl4
1.10.3430.10	Ammonium transporter AmtB like domains	0.0160659930921792	-4.1310504711958	6	2	0.00366300366300366	546	15921	19746,19743	Rhd,Rhag
1.20.930.40	Transferrin receptor-like, dimerisation domain	0.0160659930921792	-4.1310504711958	6	2	0.00366300366300366	546	15921	50765,22042	Tfr2,Tfrc
6.10.250.780	-	0.0160659930921792	-4.1310504711958	6	2	0.00366300366300366	546	15921	60596,54195	Gucy1a1,Gucy1b1
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	0.0165950998651961	-4.09864781604005	415	23	0.0421245421245421	546	15921	26557,102693,64291,19250,17909,207798,11804,71720,52666,54519,66147,22113,66696,27280,545622,224860,236915,19159,106952,20741,54357,50780,14783	Homer2,Phldb1,Osbpl1a,Ptpn14,Myo10,Gramd1c,Aplp2,Osbpl3,Arhgef25,Apbb1ip,Necap2,Phlda2,Snx31,Phlda3,Ptpn3,Plcl2,Arhgef9,Cyth3,Arap3,Sptb,Epb41l4b,Rgs3,Grb10
2.10.50.10	Tumor Necrosis Factor Receptor, subunit A, domain 2	0.0183897006152071	-3.99596452025878	45	5	0.00915750915750916	546	15921	320100,268935,13844,21936,13836	Relt,Scube3,Ephb2,Tnfrsf18,Epha2
1.20.5.4820	-	0.0190588098915389	-3.96022582281369	17	3	0.00549450549450549	546	15921	71602,77579,338367	Myo1e,Myh10,Myo1d
