TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0110165	cellular anatomical entity	5.55476002696861e-25	-55.8499721021583	19495	213	0.955156950672646	223	28799	14190,12226,12655,17948,17295,14281,11490,12266,20181,228966,17002,226421,223697,66107,12983,23972,244864,171429,71740,236920,77974,15186,20530,68303,12268,107607,15162,100042150,16971,72027,219134,68703,235587,13601,668158,21452,224829,16190,102103,216001,57257,58809,18754,19279,74482,245860,19201,67800,15483,20091,13733,50723,110095,13860,434484,11820,229595,209387,14130,104086,16161,16170,207777,72844,80909,20452,27029,14581,382062,235534,19074,78255,66813,246727,14420,60504,214855,228357,320790,19332,21898,16414,20201,22259,319625,231430,270151,14121,19204,19224,103213,12051,14778,57781,67103,107895,380713,18602,74145,18751,237339,71520,74116,22158,107747,14734,60599,230815,223753,12508,18576,12393,105651,26874,27052,56458,241576,16822,76969,215114,72042,80752,54216,52118,18707,12978,269642,26415,15442,235406,76041,83382,74127,547253,11745,19217,17064,14544,212032,78885,76905,12569,270084,20343,14270,12986,18439,211666,17356,64143,21899,14134,12984,319804,16408,12763,74039,20202,216864,13139,26888,80719,18054,93719,50770,117591,73712,381809,17173,64933,243958,72393,74596,20128,209200,22329,14733,74048,12827,20969,12394,19277,54445,102294,16480,16194,22351,18792,83490,232714,27059,11302,69288,260301,56386,17951,235712,67847,233549,13371,19222,18187,17476,319468,19024,69189,236312,22436,239849,80837,27218,13586,230787	Fgl2,Btg1,Chil3,Naip2,Met,Fos,Adam15,C3,Rxra,Ppp1r3d,Ltf,Rab7b,Sun2,Wfdc21,Csf2rb,Papss2,Layn,Slc26a6,Nectin4,Stard8,Rdh12,Hdc,Slc31a2,Fam114a1,C4b,Nod1,Hck,Nrg2,Lrp1,Slc39a4,Shisa2,Rere,Parp3,Ecm1,Ccdc85c,Tcn2,Trerf1,Il4ra,Mtus1,Micu1,Vav3,Rnase4,Prkce,Ptprr,Ifitm7,Atg9a,Pstpip2,Dgat2,Hsd11b1,Rps3a1,Adgre1,Icosl,Pygl,Eps8,Sp140,App,Adamtsl4,Trim30d,Fcgr2b,Cyp27a1,Il12rb1,Il16,Tspoap1,Kctd17,Castor2,St8sia4,Sgsh,Gfi1,AB124611,Pxylp1,Prg2,Ralgps2,Bcl2l14,Oas3,Galc,Il21r,Arid5a,Lrp4,Chd7,Rab20,Tlr4,Itgb2,S100a8,Nr1h3,Galm,Cox18,Nlrx1,Fbp1,Ptafr,Ptgs1,Traf3ip2,Bcl3,Gpx3,Cd200r1,Ptgr1,Mgat5,Scarf1,Padi4,F13a1,Prkcb,L3mbtl3,Grap,Pi16,Tulp3,Aldh1l1,Gpc3,Trp53inp1,Man1c1,Cerk,Cd53,Pde3b,Runx2,Ppp1r3e,Abcd2,Aoah,Foxo1,Ldlrad3,Lcp2,Chst1,Hip1,Cotl1,Fam20c,Pcdh7,Pvr,Pik3cd,Csf1r,Nat8l,Mapk13,Hpse,Snx33,Ccdc125,Siglece,Krt80,Parp14,Anxa3,Ptger2,Cd93,Gda,Hk3,Coro7,Lrg1,Cdk5r1,Lpcat2,Sell,Srgap2,Csf3r,P2rx7,Mgst2,Afdn,Ralb,Tlr6,Fcnb,Csf2rb2,Glt1d1,Itgal,Cmah,Nfam1,S100a9,Mgl2,Dgka,Clec4a2,Igsf6,Ngp,Ear6,Atp11a,Slc2a9,Dmkn,Clec4b2,Ascl2,Ap3m2,Siglecg,Faim2,Cds1,Trim30a,Dtx3l,Vcam1,Gpc1,Vsir,Col4a2,Sdc1,Runx1,Ptpro,Unc93b1,Cyp4v3,Jup,Il6ra,Vill,Plau,Pik3ap1,Mgam,Sh3d19,Aatk,Rhobtb1,Otos,B4galt6,Naip5,Mrgpra2b,Sncaip,Mogat2,Dio2,Ptgir,Nrp2,Mpeg1,Ppm1h,Ppfibp2,Mcemp1,Ifi209,Xdh,Cd200r4,Rhoj,Slamf1,Ear1,Themis2
GO:0071944	cell periphery	4.18301669615141e-17	-37.7129138970167	6578	108	0.484304932735426	223	28799	20969,12827,19074,12394,22329,74048,14733,16480,16194,60504,83490,18792,19277,78255,246727,117591,381809,14130,11820,229595,50770,243958,72393,16161,16170,380713,74145,18751,57781,80837,27218,223753,12508,71520,22158,14734,239849,21898,20201,16414,27059,228357,232714,69288,18187,12051,235712,270151,19222,19204,83382,547253,11745,17002,235406,20530,12983,19217,17064,171429,71740,17295,241576,16822,215114,14190,12978,15442,54216,72042,18707,52118,16408,12984,64143,14134,21899,74482,19201,245860,13139,216864,26888,13860,74039,50723,13733,20202,12569,14270,13601,20343,270084,21452,15162,107607,16971,72027,76905,17356,102103,57257,18754,19279,16190,18439,12986,211666	Sdc1,Col4a2,Prg2,Runx1,Vcam1,Vsir,Gpc1,Jup,Il6ra,Il21r,Pik3ap1,Plau,Ptpro,Ralgps2,Oas3,Slc2a9,Clec4b2,Fcgr2b,App,Adamtsl4,Atp11a,Siglecg,Faim2,Il12rb1,Il16,Scarf1,F13a1,Prkcb,Cd200r1,Rhoj,Slamf1,Cerk,Cd53,Grap,Tulp3,Gpc3,Cd200r4,Tlr4,S100a8,Itgb2,Sh3d19,Lrp4,Mgam,Rhobtb1,Nrp2,Bcl3,Mrgpra2b,Nlrx1,Ptgir,Ptafr,Siglece,Parp14,Anxa3,Ltf,Snx33,Slc31a2,Csf2rb,Ptger2,Cd93,Slc26a6,Nectin4,Met,Ldlrad3,Lcp2,Hip1,Fgl2,Csf1r,Hpse,Pcdh7,Cotl1,Pik3cd,Pvr,Itgal,Csf2rb2,Ralb,Fcnb,Tlr6,Ifitm7,Pstpip2,Atg9a,Dgka,Mgl2,Clec4a2,Eps8,Nfam1,Icosl,Adgre1,S100a9,Cdk5r1,Srgap2,Ecm1,Sell,Lpcat2,Tcn2,Hck,Nod1,Lrp1,Slc39a4,Lrg1,Afdn,Mtus1,Vav3,Prkce,Ptprr,Il4ra,P2rx7,Csf3r,Mgst2
GO:0016020	membrane	8.68614568319069e-17	-36.9822172747427	9743	136	0.609865470852018	223	28799	14734,239849,71520,22158,80837,230815,223753,27218,18576,12508,69189,57781,18751,107895,380713,233549,270151,19222,13371,19204,235712,231430,18187,19224,12051,17476,19332,69288,27059,228357,232714,11302,56386,21898,20201,16414,78255,246727,54445,19277,60504,18792,83490,16480,102294,16194,74048,20452,14733,22329,235534,382062,20969,72393,16170,16161,64933,243958,209200,74596,50770,11820,14130,104086,117591,381809,20202,50723,74039,13733,80719,13139,216864,26888,13860,74482,245860,19201,12984,64143,21899,14134,15483,16408,12763,67800,18439,16190,12986,211666,18754,19279,216001,102103,17356,57257,16971,76905,72027,15162,107607,21452,219134,12569,20343,14270,270084,17064,244864,171429,71740,12983,19217,20530,78885,235406,17002,83382,223697,11745,547253,226421,52118,18707,54216,80752,15442,12978,269642,26874,76969,16822,215114,17295,241576,11490	Gpc3,Cd200r4,Grap,Tulp3,Rhoj,Man1c1,Cerk,Slamf1,Pde3b,Cd53,Mcemp1,Cd200r1,Prkcb,Mgat5,Scarf1,Mogat2,Nlrx1,Ptgir,Dio2,Ptafr,Mrgpra2b,Cox18,Nrp2,Ptgs1,Bcl3,Mpeg1,Rab20,Rhobtb1,Sh3d19,Lrp4,Mgam,Aatk,B4galt6,Tlr4,S100a8,Itgb2,Ralgps2,Oas3,Unc93b1,Ptpro,Il21r,Plau,Pik3ap1,Jup,Cyp4v3,Il6ra,Vsir,St8sia4,Gpc1,Vcam1,Pxylp1,AB124611,Sdc1,Faim2,Il16,Il12rb1,Ap3m2,Siglecg,Dtx3l,Cds1,Atp11a,App,Fcgr2b,Cyp27a1,Slc2a9,Clec4b2,S100a9,Icosl,Nfam1,Adgre1,Igsf6,Dgka,Mgl2,Clec4a2,Eps8,Ifitm7,Atg9a,Pstpip2,Csf2rb2,Ralb,Tlr6,Fcnb,Hsd11b1,Itgal,Cmah,Dgat2,P2rx7,Il4ra,Csf3r,Mgst2,Prkce,Ptprr,Micu1,Mtus1,Afdn,Vav3,Lrp1,Lrg1,Slc39a4,Hck,Nod1,Tcn2,Shisa2,Cdk5r1,Sell,Srgap2,Lpcat2,Cd93,Layn,Slc26a6,Nectin4,Csf2rb,Ptger2,Slc31a2,Coro7,Snx33,Ltf,Siglece,Sun2,Anxa3,Parp14,Rab7b,Pvr,Pik3cd,Pcdh7,Fam20c,Hpse,Csf1r,Nat8l,Abcd2,Chst1,Lcp2,Hip1,Met,Ldlrad3,Adam15
GO:0009986	cell surface	3.54878280935555e-16	-35.574756813815	1106	40	0.179372197309417	223	28799	83382,20969,16408,14733,57781,74048,22329,12984,17002,18792,60504,216864,27218,12508,16194,26888,239849,14734,17064,13733,50723,12983,74039,21452,14130,21898,16414,11490,381809,20343,16971,11820,228357,12978,12986,52118,18439,16190,16161,12266	Siglece,Sdc1,Itgal,Gpc1,Cd200r1,Vsir,Vcam1,Csf2rb2,Ltf,Plau,Il21r,Mgl2,Slamf1,Cd53,Il6ra,Clec4a2,Cd200r4,Gpc3,Cd93,Adgre1,Icosl,Csf2rb,Nfam1,Tcn2,Fcgr2b,Tlr4,Itgb2,Adam15,Clec4b2,Sell,Lrp1,App,Lrp4,Csf1r,Csf3r,Pvr,P2rx7,Il4ra,Il12rb1,C3
GO:0005886	plasma membrane	1.46462695163914e-15	-34.1571758253874	6079	100	0.448430493273543	223	28799	16161,16170,72393,243958,50770,11820,14130,381809,117591,246727,78255,19277,60504,83490,18792,16194,16480,74048,14733,22329,20969,19222,19204,270151,235712,12051,18187,69288,27059,228357,232714,20201,16414,21898,239849,14734,22158,71520,12508,80837,27218,223753,57781,18751,380713,52118,18707,54216,15442,12978,215114,16822,241576,17295,71740,17064,171429,19217,12983,20530,235406,17002,547253,11745,83382,211666,18439,16190,12986,19279,18754,57257,17356,102103,72027,76905,16971,15162,107607,21452,14270,20343,270084,12569,20202,74039,50723,13733,26888,13860,13139,216864,19201,245860,74482,12984,21899,64143,14134,16408	Il12rb1,Il16,Faim2,Siglecg,Atp11a,App,Fcgr2b,Clec4b2,Slc2a9,Oas3,Ralgps2,Ptpro,Il21r,Pik3ap1,Plau,Il6ra,Jup,Vsir,Gpc1,Vcam1,Sdc1,Ptgir,Ptafr,Nlrx1,Mrgpra2b,Bcl3,Nrp2,Rhobtb1,Sh3d19,Lrp4,Mgam,S100a8,Itgb2,Tlr4,Cd200r4,Gpc3,Tulp3,Grap,Cd53,Rhoj,Slamf1,Cerk,Cd200r1,Prkcb,Scarf1,Pvr,Pik3cd,Pcdh7,Hpse,Csf1r,Hip1,Lcp2,Ldlrad3,Met,Nectin4,Cd93,Slc26a6,Ptger2,Csf2rb,Slc31a2,Snx33,Ltf,Parp14,Anxa3,Siglece,Mgst2,P2rx7,Il4ra,Csf3r,Ptprr,Prkce,Vav3,Afdn,Mtus1,Slc39a4,Lrg1,Lrp1,Hck,Nod1,Tcn2,Srgap2,Sell,Lpcat2,Cdk5r1,S100a9,Nfam1,Icosl,Adgre1,Clec4a2,Eps8,Dgka,Mgl2,Pstpip2,Atg9a,Ifitm7,Csf2rb2,Tlr6,Ralb,Fcnb,Itgal
GO:0009897	external side of plasma membrane	4.08254953766154e-15	-33.1320547149733	552	28	0.125560538116592	223	28799	16190,18439,12986,16161,16971,14130,21452,21898,381809,20343,16414,239849,50723,12983,13733,60504,18792,27218,216864,26888,16194,74048,57781,22329,12984,83382,16408,20969	Il4ra,P2rx7,Csf3r,Il12rb1,Lrp1,Fcgr2b,Tcn2,Tlr4,Clec4b2,Sell,Itgb2,Cd200r4,Icosl,Csf2rb,Adgre1,Il21r,Plau,Slamf1,Mgl2,Clec4a2,Il6ra,Vsir,Cd200r1,Vcam1,Csf2rb2,Siglece,Itgal,Sdc1
GO:0098552	side of membrane	1.89875209652864e-13	-29.2924093298328	857	32	0.143497757847534	223	28799	16161,12986,18439,16190,16971,15162,21452,14130,16414,381809,20343,21898,14734,239849,13733,12983,50723,18792,60504,16194,26888,27218,216864,16480,57781,14733,74048,22329,12984,83382,20969,16408	Il12rb1,Csf3r,P2rx7,Il4ra,Lrp1,Hck,Tcn2,Fcgr2b,Itgb2,Clec4b2,Sell,Tlr4,Gpc3,Cd200r4,Adgre1,Csf2rb,Icosl,Plau,Il21r,Il6ra,Clec4a2,Slamf1,Mgl2,Jup,Cd200r1,Gpc1,Vsir,Vcam1,Csf2rb2,Siglece,Sdc1,Itgal
GO:0005737	cytoplasm	5.97463734939099e-11	-23.5409126216215	11867	140	0.62780269058296	223	28799	64933,16170,72393,20128,207777,72844,74596,209200,11820,50770,209387,104086,14130,17173,54445,246727,66813,78255,22351,14420,16480,102294,83490,80909,22329,27029,20452,14733,20969,235534,231430,319625,67847,22259,19222,233549,14121,270151,17476,12051,103213,19224,11302,27059,19332,20201,21898,56386,17951,22158,22436,107747,71520,236312,60599,14734,18576,230787,27218,13586,230815,223753,105651,12393,319468,67103,18602,74145,107895,18751,72042,80752,18707,269642,20181,228966,15442,26415,27052,56458,26874,17948,12226,12655,11490,14281,215114,76969,16822,23972,14544,17064,171429,15186,212032,78885,20530,17002,76041,235406,226421,547253,11745,74127,223697,211666,18439,12986,57257,216001,17356,102103,19279,18754,15162,107607,68303,72027,16971,14270,235587,270084,12569,219134,224829,20091,20202,13860,13139,110095,18054,434484,21899,245860,19201,74482,12763,67800,319804,15483	Ap3m2,Il16,Faim2,Trim30a,Tspoap1,Kctd17,Cds1,Dtx3l,App,Atp11a,Trim30d,Cyp27a1,Fcgr2b,Ascl2,Unc93b1,Oas3,Bcl2l14,Ralgps2,Vill,Galc,Jup,Cyp4v3,Pik3ap1,Castor2,Vcam1,Sgsh,St8sia4,Gpc1,Sdc1,Pxylp1,Cox18,Galm,Sncaip,Nr1h3,Ptgir,Mogat2,Fbp1,Nlrx1,Mpeg1,Bcl3,Traf3ip2,Ptgs1,Aatk,Sh3d19,Rab20,S100a8,Tlr4,B4galt6,Naip5,Tulp3,Xdh,Aldh1l1,Grap,Ifi209,Trp53inp1,Gpc3,Pde3b,Themis2,Slamf1,Ear1,Man1c1,Cerk,Ppp1r3e,Runx2,Ppm1h,Ptgr1,Padi4,F13a1,Mgat5,Prkcb,Cotl1,Fam20c,Pik3cd,Nat8l,Rxra,Ppp1r3d,Hpse,Mapk13,Aoah,Foxo1,Abcd2,Naip2,Btg1,Chil3,Adam15,Fos,Hip1,Chst1,Lcp2,Papss2,Gda,Cd93,Slc26a6,Hdc,Hk3,Coro7,Slc31a2,Ltf,Ccdc125,Snx33,Rab7b,Parp14,Anxa3,Krt80,Sun2,Mgst2,P2rx7,Csf3r,Vav3,Micu1,Afdn,Mtus1,Ptprr,Prkce,Hck,Nod1,Fam114a1,Slc39a4,Lrp1,Srgap2,Parp3,Lpcat2,Cdk5r1,Shisa2,Trerf1,Rps3a1,S100a9,Eps8,Dgka,Pygl,Ngp,Sp140,Tlr6,Atg9a,Pstpip2,Ifitm7,Cmah,Dgat2,Glt1d1,Hsd11b1
GO:0043235	receptor complex	3.46313529591056e-08	-17.1785064103058	419	17	0.0762331838565022	223	28799	17295,21898,16414,16408,57781,16971,21899,11820,12984,12978,20181,13860,16194,16190,16161,22259,12983	Met,Tlr4,Itgb2,Itgal,Cd200r1,Lrp1,Tlr6,App,Csf2rb2,Csf1r,Rxra,Eps8,Il6ra,Il4ra,Il12rb1,Nr1h3,Csf2rb
GO:0005576	extracellular region	2.13234754471789e-07	-15.36087214447	2593	45	0.201793721973094	223	28799	66107,18792,16194,14733,17002,22329,19074,12827,20969,16170,80752,12266,15442,229595,12655,11820,14190,93719,27052,14130,17295,73712,11490,20202,74116,22436,22158,18054,13586,14134,107895,319804,74145,14121,16190,58809,14778,100042150,76905,12268,260301,21452,13601,20201,20343	Wfdc21,Plau,Il6ra,Gpc1,Ltf,Vcam1,Prg2,Col4a2,Sdc1,Il16,Fam20c,C3,Hpse,Adamtsl4,Chil3,App,Fgl2,Ear6,Aoah,Fcgr2b,Met,Dmkn,Adam15,S100a9,Pi16,Xdh,Tulp3,Ngp,Ear1,Fcnb,Mgat5,Glt1d1,F13a1,Fbp1,Il4ra,Rnase4,Gpx3,Nrg2,Lrg1,C4b,Otos,Tcn2,Ecm1,S100a8,Sell
