TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05144	Malaria	5.63035143072773e-06	-12.0873386966724	49	7	0.0603448275862069	116	8044	16408,16414,22329,20969,17295,21898,16971	Itgal,Itgb2,Vcam1,Sdc1,Met,Tlr4,Lrp1
ko05144	Malaria	5.63035143072773e-06	-12.0873386966724	49	7	0.0603448275862069	116	8044	20969,21898,17295,16971,16408,16414,22329	Sdc1,Tlr4,Met,Lrp1,Itgal,Itgb2,Vcam1
mmu05150	Staphylococcus aureus infection	9.36429592776954e-05	-9.27602131313166	52	6	0.0517241379310345	116	8044	14130,16414,12268,19204,16408,12266	Fcgr2b,Itgb2,C4b,Ptafr,Itgal,C3
ko05150	Staphylococcus aureus infection	9.36429592776954e-05	-9.27602131313166	52	6	0.0517241379310345	116	8044	14130,12266,16408,19204,16414,12268	Fcgr2b,C3,Itgal,Ptafr,Itgb2,C4b
ko05133	Pertussis	9.55340279857529e-05	-9.2560280599554	75	7	0.0603448275862069	116	8044	21898,107607,26415,16414,12268,12266,14281	Tlr4,Nod1,Mapk13,Itgb2,C4b,C3,Fos
mmu05133	Pertussis	9.55340279857529e-05	-9.2560280599554	75	7	0.0603448275862069	116	8044	16414,12268,26415,12266,14281,107607,21898	Itgb2,C4b,Mapk13,C3,Fos,Nod1,Tlr4
mmu04659	Th17 cell differentiation	0.000104185739294429	-9.16933529698966	102	8	0.0689655172413793	116	8044	16194,12394,16161,60504,16190,20181,14281,26415	Il6ra,Runx1,Il12rb1,Il21r,Il4ra,Rxra,Fos,Mapk13
ko04659	Th17 cell differentiation	0.000104185739294429	-9.16933529698966	102	8	0.0689655172413793	116	8044	26415,14281,20181,16190,16161,60504,12394,16194	Mapk13,Fos,Rxra,Il4ra,Il12rb1,Il21r,Runx1,Il6ra
mmu04931	Insulin resistance	0.000166008349786452	-8.70347247095434	109	8	0.0689655172413793	116	8044	228966,105651,22259,18751,56458,110095,18707,18754	Ppp1r3d,Ppp1r3e,Nr1h3,Prkcb,Foxo1,Pygl,Pik3cd,Prkce
ko04670	Leukocyte transendothelial migration	0.000270829101461922	-8.21402255792193	117	8	0.0689655172413793	116	8044	57257,22329,17356,26415,16408,16414,18707,18751	Vav3,Vcam1,Afdn,Mapk13,Itgal,Itgb2,Pik3cd,Prkcb
mmu04670	Leukocyte transendothelial migration	0.000270829101461922	-8.21402255792193	117	8	0.0689655172413793	116	8044	16414,16408,26415,18707,18751,57257,17356,22329	Itgb2,Itgal,Mapk13,Pik3cd,Prkcb,Vav3,Afdn,Vcam1
ko05140	Leishmaniasis	0.000354770599240656	-7.94403917668772	66	6	0.0517241379310345	116	8044	21898,16414,26415,14281,12266,18751	Tlr4,Itgb2,Mapk13,Fos,C3,Prkcb
mmu05140	Leishmaniasis	0.000354770599240656	-7.94403917668772	66	6	0.0517241379310345	116	8044	21898,18751,14281,12266,16414,26415	Tlr4,Prkcb,Fos,C3,Itgb2,Mapk13
mmu04662	B cell receptor signaling pathway	0.00056876546013759	-7.47204240540906	72	6	0.0517241379310345	116	8044	18751,83490,14130,57257,18707,14281	Prkcb,Pik3ap1,Fcgr2b,Vav3,Pik3cd,Fos
ko04662	B cell receptor signaling pathway	0.00056876546013759	-7.47204240540906	72	6	0.0517241379310345	116	8044	18751,83490,14130,57257,18707,14281	Prkcb,Pik3ap1,Fcgr2b,Vav3,Pik3cd,Fos
mmu04933	AGE-RAGE signaling pathway in diabetic complications	0.000573056037987982	-7.46452704849566	100	7	0.0603448275862069	116	8044	22329,12827,18751,56458,26415,18707,18754	Vcam1,Col4a2,Prkcb,Foxo1,Mapk13,Pik3cd,Prkce
ko04933	AGE-RAGE signaling pathway in diabetic complications	0.000573056037987982	-7.46452704849566	100	7	0.0603448275862069	116	8044	56458,12827,18751,18707,18754,26415,22329	Foxo1,Col4a2,Prkcb,Pik3cd,Prkce,Mapk13,Vcam1
mmu05205	Proteoglycans in cancer	0.000749315687440083	-7.196350184686	206	10	0.0862068965517241	116	8044	15442,21898,17295,14734,18792,18707,26415,20969,14733,18751	Hpse,Tlr4,Met,Gpc3,Plau,Pik3cd,Mapk13,Sdc1,Gpc1,Prkcb
ko05205	Proteoglycans in cancer	0.000749315687440083	-7.196350184686	206	10	0.0862068965517241	116	8044	15442,21898,17295,14734,18792,18707,26415,20969,18751,14733	Hpse,Tlr4,Met,Gpc3,Plau,Pik3cd,Mapk13,Sdc1,Prkcb,Gpc1
mmu04910	Insulin signaling pathway	0.000944214607835172	-6.96515707884788	141	8	0.0689655172413793	116	8044	56458,212032,110095,18707,18576,228966,14121,105651	Foxo1,Hk3,Pygl,Pik3cd,Pde3b,Ppp1r3d,Fbp1,Ppp1r3e
ko04910	Insulin signaling pathway	0.000944214607835172	-6.96515707884788	141	8	0.0689655172413793	116	8044	18576,228966,14121,105651,212032,56458,18707,110095	Pde3b,Ppp1r3d,Fbp1,Ppp1r3e,Hk3,Foxo1,Pik3cd,Pygl
mmu04015	Rap1 signaling pathway	0.000969188091063974	-6.93905185648496	213	10	0.0862068965517241	116	8044	17356,12978,17295,16822,64143,18707,16414,26415,16408,18751	Afdn,Csf1r,Met,Lcp2,Ralb,Pik3cd,Itgb2,Mapk13,Itgal,Prkcb
ko04015	Rap1 signaling pathway	0.000969188091063974	-6.93905185648496	213	10	0.0862068965517241	116	8044	16414,16408,26415,18707,18751,17356,16822,64143,17295,12978	Itgb2,Itgal,Mapk13,Pik3cd,Prkcb,Afdn,Lcp2,Ralb,Met,Csf1r
ko05134	Legionellosis	0.00142530377523773	-6.55337031237479	58	5	0.0431034482758621	116	8044	17951,21898,16414,17948,12266	Naip5,Tlr4,Itgb2,Naip2,C3
mmu05134	Legionellosis	0.00142530377523773	-6.55337031237479	58	5	0.0431034482758621	116	8044	21898,17951,12266,17948,16414	Tlr4,Naip5,C3,Naip2,Itgb2
ko04666	Fc gamma R-mediated phagocytosis	0.00154340545668948	-6.47376396844781	87	6	0.0517241379310345	116	8044	18751,15162,18707,18754,14130,57257	Prkcb,Hck,Pik3cd,Prkce,Fcgr2b,Vav3
mmu04666	Fc gamma R-mediated phagocytosis	0.00154340545668948	-6.47376396844781	87	6	0.0517241379310345	116	8044	14130,15162,18751,18754,18707,57257	Fcgr2b,Hck,Prkcb,Prkce,Pik3cd,Vav3
ko04630	Jak-STAT signaling pathway	0.00188321851980095	-6.27477298728776	157	8	0.0689655172413793	116	8044	60504,16161,16190,12984,18707,12983,12986,16194	Il21r,Il12rb1,Il4ra,Csf2rb2,Pik3cd,Csf2rb,Csf3r,Il6ra
mmu04630	Jak-STAT signaling pathway	0.00188321851980095	-6.27477298728776	157	8	0.0689655172413793	116	8044	12986,12983,16194,18707,16161,60504,16190,12984	Csf3r,Csf2rb,Il6ra,Pik3cd,Il12rb1,Il21r,Il4ra,Csf2rb2
ko04621	NOD-like receptor signaling pathway	0.0029821544523009	-5.81510926911138	169	8	0.0689655172413793	116	8044	26415,246727,18439,17948,17951,270151,21898,107607	Mapk13,Oas3,P2rx7,Naip2,Naip5,Nlrx1,Tlr4,Nod1
mmu04621	NOD-like receptor signaling pathway	0.0029821544523009	-5.81510926911138	169	8	0.0689655172413793	116	8044	17951,270151,21898,107607,246727,26415,18439,17948	Naip5,Nlrx1,Tlr4,Nod1,Oas3,Mapk13,P2rx7,Naip2
ko04973	Carbohydrate digestion and absorption	0.00328472853591136	-5.71847126793013	43	4	0.0344827586206897	116	8044	18707,232714,212032,18751	Pik3cd,Mgam,Hk3,Prkcb
mmu04973	Carbohydrate digestion and absorption	0.00328472853591136	-5.71847126793013	43	4	0.0344827586206897	116	8044	18707,232714,212032,18751	Pik3cd,Mgam,Hk3,Prkcb
mmu05142	Chagas disease (American trypanosomiasis)	0.00329175453775797	-5.71633456220429	101	6	0.0517241379310345	116	8044	21898,26415,12266,18707,14281,21899	Tlr4,Mapk13,C3,Pik3cd,Fos,Tlr6
ko05142	Chagas disease (American trypanosomiasis)	0.00329175453775797	-5.71633456220429	101	6	0.0517241379310345	116	8044	21899,21898,26415,18707,12266,14281	Tlr6,Tlr4,Mapk13,Pik3cd,C3,Fos
ko05202	Transcriptional misregulation in cancer	0.00395661519521439	-5.53236636790493	177	8	0.0689655172413793	116	8044	12394,17295,12978,18792,20181,12393,56458,16480	Runx1,Met,Csf1r,Plau,Rxra,Runx2,Foxo1,Jup
mmu05202	Transcriptional misregulation in cancer	0.00395661519521439	-5.53236636790493	177	8	0.0689655172413793	116	8044	12394,17295,12978,18792,20181,12393,56458,16480	Runx1,Met,Csf1r,Plau,Rxra,Runx2,Foxo1,Jup
ko05146	Amoebiasis	0.00418119351460392	-5.4771585433918	106	6	0.0517241379310345	116	8044	18707,16414,226421,21898,12827,18751	Pik3cd,Itgb2,Rab7b,Tlr4,Col4a2,Prkcb
