TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00034	CLECT	0.00137517029657222	-6.58917770348011	121	7	0.0514705882352941	136	9882	19074,216864,20343,26888,17064,381809,244864	Prg2,Mgl2,Sell,Clec4a2,Cd93,Clec4b2,Layn
SM00326	SH3	0.00151410925255406	-6.49292796504195	196	9	0.0661764705882353	136	9882	14270,207777,27059,235406,15162,57257,231147,71520,13860	Srgap2,Tspoap1,Sh3d19,Snx33,Hck,Vav3,Sh3tc1,Grap,Eps8
SM00409	IG	0.00208891799842216	-6.17110905116468	378	13	0.0955882352941176	136	9882	57781,12978,22329,239849,14130,74048,71740,16194,83382,243958,52118,100042150,50723	Cd200r1,Csf1r,Vcam1,Cd200r4,Fcgr2b,Vsir,Nectin4,Il6ra,Siglece,Siglecg,Pvr,Nrg2,Icosl
SM00092	RNAse_Pc	0.00369111942616085	-5.60182549941306	23	3	0.0220588235294118	136	9882	58809,13586,93719	Rnase4,Ear1,Ear6
SM00104	ANATO	0.00377368044838183	-5.57970450748555	7	2	0.0147058823529412	136	9882	12268,12266	C4b,C3
SM01419	Thiol-ester_cl	0.00498632263769987	-5.30105658724989	8	2	0.0147058823529412	136	9882	12266,12268	C3,C4b
SM01359	A2M_N_2	0.00635339169896146	-5.05876648285126	9	2	0.0147058823529412	136	9882	12268,12266	C4b,C3
SM01361	A2M_recep	0.00635339169896146	-5.05876648285126	9	2	0.0147058823529412	136	9882	12268,12266	C4b,C3
SM01360	A2M	0.00635339169896146	-5.05876648285126	9	2	0.0147058823529412	136	9882	12266,12268	C3,C4b
SM00238	BIR	0.00953323360943936	-4.65297131042747	11	2	0.0147058823529412	136	9882	17948,17951	Naip2,Naip5
SM00109	C1	0.0115323773990572	-4.46259677349649	64	4	0.0294117647058824	136	9882	18754,18751,13139,57257	Prkce,Prkcb,Dgka,Vav3
SM01189	ELM2	0.0132789505124348	-4.3215751657348	13	2	0.0147058823529412	136	9882	68703,224829	Rere,Trerf1
SM01397	Ribosomal_S3Ae	0.0137623962760336	-4.28581531367138	1	1	0.00735294117647059	136	9882	20091	Rps3a1
SM00135	LY	0.0153536916101829	-4.17639933808602	14	2	0.0147058823529412	136	9882	16971,228357	Lrp1,Lrp4
SM00046	DAGKc	0.0153536916101829	-4.17639933808602	14	2	0.0147058823529412	136	9882	13139,223753	Dgka,Cerk
SM00060	FN3	0.0168324163139574	-4.0844487092514	149	6	0.0441176470588235	136	9882	12984,12986,16161,19277,207777,12983	Csf2rb2,Csf3r,Il12rb1,Ptpro,Tspoap1,Csf2rb
SM00643	C345C	0.0198870422059969	-3.91768690476624	16	2	0.0147058823529412	136	9882	12266,12268	C3,C4b
SM00192	LDLa	0.0223950016117219	-3.79891748735494	44	3	0.0220588235294118	136	9882	241576,228357,16971	Ldlrad3,Lrp4,Lrp1
SM00174	RHO	0.0272654266366605	-3.60213580294878	123	5	0.0367647058823529	136	9882	69288,226421,64143,19332,80837	Rhobtb1,Rab7b,Ralb,Rab20,Rhoj
SM01282	DBB	0.0273367626462959	-3.59952286558642	2	1	0.00735294117647059	136	9882	83490	Pik3ap1
SM00055	FCH	0.0303829412441843	-3.49387397135319	20	2	0.0147058823529412	136	9882	14270,19201	Srgap2,Pstpip2
SM00173	RAS	0.0344664500061075	-3.3677688916854	131	5	0.0367647058823529	136	9882	64143,226421,69288,19332,80837	Ralb,Rab7b,Rhobtb1,Rab20,Rhoj
SM00186	FBG	0.0362875858823093	-3.31627958291537	22	2	0.0147058823529412	136	9882	14190,14134	Fgl2,Fcnb
SM00408	IGc2	0.0379196379824101	-3.27228614851826	228	7	0.0514705882352941	136	9882	100042150,16194,71740,12978,83382,243958,22329	Nrg2,Il6ra,Nectin4,Csf1r,Siglece,Siglecg,Vcam1
SM00255	TIR	0.0393920112595578	-3.23419224314652	23	2	0.0147058823529412	136	9882	21899,21898	Tlr6,Tlr4
SM00773	WGR	0.0407256493142718	-3.20089718074705	3	1	0.00735294117647059	136	9882	235587	Parp3
SM00143	PI3K_p85B	0.0407256493142718	-3.20089718074705	3	1	0.00735294117647059	136	9882	18707	Pik3cd
SM00006	A4_EXTRA	0.0407256493142718	-3.20089718074705	3	1	0.00735294117647059	136	9882	11820	App
SM01394	S_100	0.0425934347221835	-3.15605515208641	24	2	0.0147058823529412	136	9882	20202,20201	S100a9,S100a8
SM00054	EFh	0.0473029461088292	-3.05118269982499	143	5	0.0367647058823529	136	9882	270084,20201,13139,20202,216001	Lpcat2,S100a8,Dgka,S100a9,Micu1
SM00252	SH2	0.0519622425877758	-2.95723792822319	102	4	0.0294117647058824	136	9882	71520,15162,57257,16822	Grap,Hck,Vav3,Lcp2
SM00175	RAB	0.0533876200549111	-2.93017639407138	148	5	0.0367647058823529	136	9882	80837,19332,64143,69288,226421	Rhoj,Rab20,Ralb,Rhobtb1,Rab7b
SM00307	ILWEQ	0.0539315721496159	-2.92003921838692	4	1	0.00735294117647059	136	9882	215114	Hip1
SM00094	TR_FER	0.0539315721496159	-2.92003921838692	4	1	0.00735294117647059	136	9882	17002	Ltf
SM00314	RA	0.0599453918816319	-2.81432126649078	29	2	0.0147058823529412	136	9882	71323,17356	Rassf8,Afdn
SM01092	CO_deh_flav_C	0.0669570131476742	-2.70370446031203	5	1	0.00735294117647059	136	9882	22436	Xdh
SM00741	SapB	0.0669570131476742	-2.70370446031203	5	1	0.00735294117647059	136	9882	27052	Aoah
SM01008	Ald_Xan_dh_C	0.0669570131476742	-2.70370446031203	5	1	0.00735294117647059	136	9882	22436	Xdh
SM01241	Integrin_b_cyt	0.0798044208862761	-2.52817637648348	6	1	0.00735294117647059	136	9882	16414	Itgb2
SM00464	LON	0.0798044208862761	-2.52817637648348	6	1	0.00735294117647059	136	9882	74365	Lonrf3
SM00592	BRK	0.0798044208862761	-2.52817637648348	6	1	0.00735294117647059	136	9882	320790	Chd7
SM00111	C4	0.0798044208862761	-2.52817637648348	6	1	0.00735294117647059	136	9882	12827	Col4a2
SM01132	DIL	0.0798044208862761	-2.52817637648348	6	1	0.00735294117647059	136	9882	17356	Afdn
SM00144	PI3K_rbd	0.0798044208862761	-2.52817637648348	6	1	0.00735294117647059	136	9882	18707	Pik3cd
SM00082	LRRCT	0.0843270764391377	-2.47305227409641	75	3	0.0220588235294118	136	9882	21899,21898,76905	Tlr6,Tlr4,Lrg1
SM00179	EGF_CA	0.0875060769309077	-2.43604703739121	122	4	0.0294117647058824	136	9882	17064,16971,13733,228357	Cd93,Lrp1,Adgre1,Lrp4
SM00194	PTPc	0.0916664603815775	-2.389598720369	37	2	0.0147058823529412	136	9882	19279,19277	Ptprr,Ptpro
SM01167	DUF1900	0.0924762109598931	-2.38080384635187	7	1	0.00735294117647059	136	9882	78885	Coro7
SM01166	DUF1899	0.0924762109598931	-2.38080384635187	7	1	0.00735294117647059	136	9882	78885	Coro7
SM00018	PD	0.0924762109598931	-2.38080384635187	7	1	0.00735294117647059	136	9882	232714	Mgam
SM00258	SAND	0.0924762109598931	-2.38080384635187	7	1	0.00735294117647059	136	9882	434484	Sp140
SM00181	EGF	0.0972051162817406	-2.33093193225758	177	5	0.0367647058823529	136	9882	380713,13733,228357,17064,16971	Scarf1,Adgre1,Lrp4,Cd93,Lrp1
SM00219	TyrKc	0.100560427661426	-2.2969964619106	81	3	0.0220588235294118	136	9882	15162,17295,12978	Hck,Met,Csf1r
SM00423	PSI	0.104585223278306	-2.25775300618055	40	2	0.0147058823529412	136	9882	16414,17295	Itgb2,Met
SM00142	PI3K_C2	0.104974766433477	-2.25403527738719	8	1	0.00735294117647059	136	9882	18707	Pik3cd
SM01242	Integrin_B_tail	0.104974766433477	-2.25403527738719	8	1	0.00735294117647059	136	9882	16414	Itgb2
SM00506	A1pp	0.104974766433477	-2.25403527738719	8	1	0.00735294117647059	136	9882	547253	Parp14
SM00262	GEL	0.104974766433477	-2.25403527738719	8	1	0.00735294117647059	136	9882	22351	Vill
SM00099	btg1	0.104974766433477	-2.25403527738719	8	1	0.00735294117647059	136	9882	12226	Btg1
SM00153	VHP	0.104974766433477	-2.25403527738719	8	1	0.00735294117647059	136	9882	22351	Vill
SM00454	SAM	0.106231343040653	-2.2421360815077	83	3	0.0220588235294118	136	9882	16822,237339,19024	Lcp2,L3mbtl3,Ppfibp2
SM00368	LRR_RI	0.108996323641946	-2.21644112537734	41	2	0.0147058823529412	136	9882	107607,270151	Nod1,Nlrx1
SM00273	ENTH	0.117302438273189	-2.14299973689605	9	1	0.00735294117647059	136	9882	215114	Hip1
SM00561	MBT	0.117302438273189	-2.14299973689605	9	1	0.00735294117647059	136	9882	237339	L3mbtl3
SM00145	PI3Ka	0.117302438273189	-2.14299973689605	9	1	0.00735294117647059	136	9882	18707	Pik3cd
SM00187	INB	0.117302438273189	-2.14299973689605	9	1	0.00735294117647059	136	9882	16414	Itgb2
SM00717	SANT	0.1179625100808	-2.13738841617702	43	2	0.0147058823529412	136	9882	68703,224829	Rere,Trerf1
