TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00107	PROTEIN_KINASE_ATP	1.78293404980496e-05	-10.9346651151048	379	23	0.0754098360655738	305	13465	22241,53608,237459,26921,14255,21846,13549,18761,69635,12168,214230,12235,665113,29869,21813,77976,110651,18715,11350,20877,217866,12704,17346	Ulk1,Map3k6,Cdk17,Map4k4,Flt3,Tie1,Dyrk1b,Prkcq,Dapk1,Bmpr2,Pak6,Bub1,Tnik,Ulk2,Tgfbr2,Nuak1,Rps6ka3,Pim2,Abl1,Aurkb,Cdc42bpb,Cit,Mknk1
PS50011	PROTEIN_KINASE_DOM	1.89353456030092e-05	-10.8744802447037	490	27	0.0885245901639344	305	13465	22137,69635,211770,21846,53608,22241,72113,217718,20877,217866,77976,21813,12235,665113,12168,13549,18761,26921,14255,237459,12704,17346,11350,18715,110651,214230,29869	Ttk,Dapk1,Trib1,Tie1,Map3k6,Ulk1,Adck1,Nek9,Aurkb,Cdc42bpb,Nuak1,Tgfbr2,Bub1,Tnik,Bmpr2,Dyrk1b,Prkcq,Map4k4,Flt3,Cdk17,Cit,Mknk1,Abl1,Pim2,Rps6ka3,Pak6,Ulk2
PS00108	PROTEIN_KINASE_ST	3.6725222915632e-05	-10.2120467660621	317	20	0.0655737704918033	305	13465	18715,110651,77976,21813,12235,665113,29869,217718,17346,12704,217866,20877,26921,237459,22241,53608,22137,69635,18761,13549	Pim2,Rps6ka3,Nuak1,Tgfbr2,Bub1,Tnik,Ulk2,Nek9,Mknk1,Cit,Cdc42bpb,Aurkb,Map4k4,Cdk17,Ulk1,Map3k6,Ttk,Dapk1,Prkcq,Dyrk1b
PS51184	JMJC	5.87152597860907e-05	-9.74281090263022	31	6	0.019672131147541	305	13465	216850,16468,104263,193796,18676,75605	Kdm6b,Jarid2,Kdm3a,Kdm4b,Phf2,Kdm5b
PS50021	CH	7.89424138164487e-05	-9.44679191033478	80	9	0.0295081967213115	305	13465	67886,71994,109711,18810,12316,231830,11426,14453,544963	Camsap2,Cnn3,Actn1,Plec,Aspm,Micall2,Macf1,Gas2,Iqgap2
PS50003	PH_DOMAIN	0.000101035028950941	-9.20004327995517	237	16	0.0524590163934426	305	13465	68743,79196,26377,13196,98432,20403,56193,70292,18803,102595,218397,237542,212285,12704,217866,241308	Anln,Osbpl5,Dapp1,Asap1,Phlpp1,Itsn2,Plek,Afap1,Plcg1,Plekho2,Rasa1,Osbpl8,Arap2,Cit,Cdc42bpb,Ralgps1
PS50219	CNH	0.000289200476165246	-8.14839042118985	15	4	0.0131147540983607	305	13465	665113,217866,12704,26921	Tnik,Cdc42bpb,Cit,Map4k4
PS50097	BTB	0.000378209045925449	-7.88006348366147	165	12	0.039344262295082	305	13465	73296,52864,52323,12013,58206,243574,382639,229055,108837,66689,75580,238386	Rhobtb3,Slx4,Klhl7,Bach1,Zbtb32,Kbtbd8,Zbtb42,Zbtb10,Ibtk,Klhl28,Zbtb4,Btbd7
PS50112	PAS	0.000438367534415445	-7.73245287978195	29	5	0.0163934426229508	305	13465	11622,18626,17978,53417,15251	Ahr,Per1,Ncoa2,Hif3a,Hif1a
PS50238	RHOGAP	0.000645580972878721	-7.34535991343987	65	7	0.0229508196721311	305	13465	71085,11855,212285,11856,228359,259302,16330	Arhgap19,Arhgap5,Arap2,Arhgap6,Arhgap1,Srgap3,Inpp5b
