TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01638	MHCCLASSI	1.42536482573236e-06	-13.4610827589529	37	9	0.0452261306532663	199	6344	14972,14964,15024,15039,110557,15018,14991,15015,15040	H2-K1,H2-D1,H2-T10,H2-T22,H2-Q6,H2-Q7,H2-M3,H2-Q4,H2-T23
PR01773	P38MAPKINASE	0.000118843055349624	-9.03770679792567	4	3	0.0150753768844221	199	6344	19094,29857,26415	Mapk11,Mapk12,Mapk13
PR00141	PROTEASOME	0.000969421581437097	-6.93881097212586	7	3	0.0150753768844221	199	6344	19171,16913,16912	Psmb10,Psmb8,Psmb9
PR01307	P2XRECEPTOR	0.000969421581437097	-6.93881097212586	7	3	0.0150753768844221	199	6344	18439,18438,18436	P2rx7,P2rx4,P2rx1
PR00770	EMAJORBASICP	0.000979175144972639	-6.92880002952199	2	2	0.0100502512562814	199	6344	53856,19074	Prg3,Prg2
PR00740	GLHYDRLASE27	0.000979175144972639	-6.92880002952199	2	2	0.0100502512562814	199	6344	17939,11605	Naga,Gla
PR00401	SH2DOMAIN	0.00158975760734462	-6.44417372258234	71	8	0.0402010050251256	199	6344	14158,12700,216233,71520,27278,15162,12229,15170	Fer,Cish,Socs2,Grap,Clnk,Hck,Btk,Ptpn6
PR00081	GDHRDH	0.00169312158330354	-6.38118136310935	56	7	0.0351758793969849	199	6344	72479,15483,66375,26378,105014,15485,20148	Hsdl2,Hsd11b1,Dhrs7,Decr2,Rdh14,Hsd17b1,Dhrs3
PR00343	SELECTIN	0.00287669367723793	-5.85111367306089	3	2	0.0100502512562814	199	6344	20344,20343	Selp,Sell
PR00020	MAMDOMAIN	0.00309951976211777	-5.77650809493755	10	3	0.0150753768844221	199	6344	71738,18186,18187	Mamdc2,Nrp1,Nrp2
PR00376	IL1BCENZYME	0.00309951976211777	-5.77650809493755	10	3	0.0150753768844221	199	6344	12364,12363,12362	Casp12,Casp4,Casp1
PR01292	RETNOICACIDR	0.00563454429922768	-5.1788390044628	4	2	0.0100502512562814	199	6344	19401,19411	Rara,Rarg
PR01267	GSTRNSFRASEM	0.0185298844609691	-3.98837047394613	7	2	0.0100502512562814	199	6344	14862,14863	Gstm1,Gstm2
PR00449	RASTRNSFRMNG	0.0215165606964969	-3.83893237539698	131	9	0.0452261306532663	199	6344	19332,215449,64143,68328,20130,17532,19331,19416,19329	Rab20,Rap1b,Ralb,Rab13,Rras,Mras,Rab19,Rasd1,Rab17
PR01011	GLUTPROXDASE	0.0242014031648747	-3.72134466548077	8	2	0.0100502512562814	199	6344	14778,67305	Gpx3,Gpx7
PR00597	GELSOLIN	0.0242014031648747	-3.72134466548077	8	2	0.0100502512562814	199	6344	22351,12332	Vill,Capg
PR00003	4DISULPHCORE	0.0242014031648747	-3.72134466548077	8	2	0.0100502512562814	199	6344	100034251,20568	Wfdc17,Slpi
PR00267	INTFRNREGFCT	0.030481607588896	-3.49063180713667	9	2	0.0100502512562814	199	6344	16362,54123	Irf1,Irf7
PR01930	INTRLEUKIN15	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16168	Il15
PR01311	P2X4RECEPTOR	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	18438	P2rx4
PR01834	VEGFRECEPTR2	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16542	Kdr
PR01291	PROXISOMPAGR	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	19016	Pparg
PR01990	CD74ANTIGEN	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16149	Cd74
PR01253	AMPHIPHYSIN2	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	30948	Bin1
PR01308	P2X1RECEPTOR	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	18436	P2rx1
PR01947	INTLKN15MAML	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16168	Il15
PR01963	TNFACTORR13B	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	57916	Tnfrsf13b
PR01424	TGFBETA1	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	21803	Tgfb1
PR00585	PRSTNOIDE33R	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	19218	Ptger3
PR01700	CD34ANTIGEN	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	12490	Cd34
PR01881	LBHPROTEIN	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	77889	Lbh
PR01965	TNFACTORR14	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	230979	Tnfrsf14
PR01458	PMYELIN22	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	18858	Pmp22
PR01680	TNFACTORR6	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	14102	Fas
PR01294	INTRLEUKIN10	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16153	Il10
PR00582	PRSTNOIDEP3R	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	19218	Ptger3
PR01190	GLUCTRSPORT1	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	20525	Slc2a1
PR02077	PROTEINGAPT	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	238875	Gapt
PR01864	APOPREGBCLX	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	12048	Bcl2l1
PR01314	P2X7RECEPTOR	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	18439	P2rx7
PR00573	INTRLEUKN8BR	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	12765	Cxcr2
PR00199	ANNEXINIII	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	11745	Anxa3
PR00197	ANNEXINI	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16952	Anxa1
PR00431	INTERLEUKIN4	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	16189	Il4
PR01649	PSYCHOSINER	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	14744	Gpr65
PR01089	NEUREGULIN	0.0313682219420596	-3.46195993858805	1	1	0.0050251256281407	199	6344	211323	Nrg1
PR00437	SMALLCYTKCXC	0.0446966991075121	-3.10785562555885	11	2	0.0100502512562814	199	6344	17329,15945	Cxcl9,Cxcl10
PR00328	SAR1GTPBP	0.0465318088673458	-3.06761913858901	26	3	0.0150753768844221	199	6344	68724,219144,11841	Arl8a,Arl11,Arf2
PR00080	SDRFAMILY	0.0480528861825739	-3.03545307913511	44	4	0.0201005025125628	199	6344	66375,15485,20148,105014	Dhrs7,Hsd17b1,Dhrs3,Rdh14
PR00259	TMFOUR	0.0511782292038393	-2.97244104822696	27	3	0.0150753768844221	199	6344	12493,12508,74257	Cd37,Cd53,Tspan17
PR01537	INTRLKN1R1F	0.052551056714237	-2.94597007312231	12	2	0.0100502512562814	199	6344	24058,21897	Sigirr,Tlr1
PR00321	GPROTEING	0.052551056714237	-2.94597007312231	12	2	0.0100502512562814	199	6344	14701,66066	Gng12,Gng11
PR00196	ANNEXIN	0.052551056714237	-2.94597007312231	12	2	0.0100502512562814	199	6344	11745,16952	Anxa3,Anxa1
PR00452	SH3DOMAIN	0.0548453176809119	-2.90323846179517	87	6	0.0301507537688442	199	6344	71520,30948,15162,15163,12229,54353	Grap,Bin1,Hck,Hcls1,Btk,Skap2
PR00398	STRDHORMONER	0.0587819826954646	-2.83391988777656	47	4	0.0201005025125628	199	6344	19401,19411,19016,22259	Rara,Rarg,Pparg,Nr1h3
PR00047	STROIDFINGER	0.0587819826954646	-2.83391988777656	47	4	0.0201005025125628	199	6344	19401,19411,19016,22259	Rara,Rarg,Pparg,Nr1h3
PR00427	INTRLEUKIN8R	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	12765	Cxcr2
PR00800	YHDCRBOXLASE	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	15186	Hdc
PR00364	DISEASERSIST	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	434341	Nlrc5
PR01787	PARAOXONASE2	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	269823	Pon3
PR01896	TAP1PROTEIN	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	21354	Tap1
PR00088	HAEMOXYGNASE	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	15368	Hmox1
PR01432	RABAPTIN	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	70314	Rabep2
PR00115	F16BPHPHTASE	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	14121	Fbp1
PR00443	GPROTEINAS	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	14683	Gnas
PR01873	CYTCOXIDASE4	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	84682	Cox4i2
PR00077	GPDHDRGNASE	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	14555	Gpd1
PR01588	THIKCHANNEL	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	210741	Kcnk12
PR00753	ACCSYNTHASE	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	329470	Accs
PR00645	CXCCHMKINER4	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	12767	Cxcr4
PR00892	RABGDI	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	14567	Gdi1
PR01473	ICAM	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	15894	Icam1
PR01607	APYRASEFAMLY	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	23959	Nt5e
PR01275	NGELATINASE	0.0617572687386225	-2.78454359803525	2	1	0.0050251256281407	199	6344	16819	Lcn2
PR01705	TSP1REPEAT	0.0880968986873449	-2.42931794884639	16	2	0.0100502512562814	199	6344	21826,18636	Thbs2,Cfp
PR01251	AMPHIPHYSIN	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	30948	Bin1
PR01797	SAPOSIN	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	19156	Psap
PR01574	TUBBYPROTEIN	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	22158	Tulp3
PR01785	PARAOXONASE	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	269823	Pon3
PR00724	CRBOXYPTASEC	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	74617	Scpep1
PR01288	PROXISOMEPAR	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	19016	Pparg
PR01423	TGFBETA	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	21803	Tgfb1
PR02034	LIVERXRECPTR	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	22259	Nr1h3
PR00488	5LPOXGNASEAP	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	211666	Mgst2
PR00006	COFILIN	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	56431	Dstn
PR00803	AFETOPROTEIN	0.0911975562697558	-2.39472717754862	3	1	0.0050251256281407	199	6344	11576	Afp
PR01407	BUTYPHLNCDUF	0.0930177358030532	-2.37496509645154	55	4	0.0201005025125628	199	6344	667823,20128,71956,319236	Trim5,Trim30a,Rnf135,Trim12c
PR01161	TUBULIN	0.118192441719228	-2.13544112090048	19	2	0.0100502512562814	199	6344	22145,67951	Tuba4a,Tubb6
PR00041	LEUZIPPRCREB	0.119718560261121	-2.12261162195434	4	1	0.0050251256281407	199	6344	26427	Creb3l1
PR01850	GROUCHOFAMLY	0.119718560261121	-2.12261162195434	4	1	0.0050251256281407	199	6344	21885	Tle1
