TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-168256	Immune System	1.11904755779952e-31	-71.2676599541211	1692	145	0.493197278911565	294	8672	15442,18035,17079,230979,15439,14590,13035,18636,15170,18010,16154,19395,14964,231507,56615,16188,81018,16819,20202,12765,14026,19156,50762,17084,100038882,16189,16149,16192,11676,14960,54123,75345,93719,56644,12048,69537,225326,212032,20846,58203,16190,14969,21946,50723,16186,22177,50701,15894,14728,14999,21897,13058,16153,217303,26415,54445,68724,16362,14972,12229,216233,18792,72042,20343,12010,54153,16168,15511,17105,12268,19152,13040,53856,27007,20195,70495,14998,71693,19171,53381,14991,18439,18413,16019,15024,19698,18037,29857,19094,12703,64138,16161,15980,16913,211323,57916,74482,19074,23900,17874,15018,12362,22323,66141,20568,75744,106052,232413,15926,239849,14667,17002,24110,21354,140497,83433,15001,14134,18611,74603,14824,13385,20201,238393,17474,18436,16912,215449,71326,637515,12508,50909,11605,15985,14130,15039,12700,15040,14961,12490,15015,12323,18412,110557,27261	Hpse,Nfkbia,Cd180,Tnfrsf14,Hp,Ggh,Ctsg,Cfp,Ptpn6,Neu1,Il10ra,Rasgrp2,H2-D1,Plac8,Mgst1,Il3ra,Rnf114,Lcn2,S100a9,Cxcr2,Evl,Psap,Fbxo6,Ly86,Isg15,Il4,Cd74,Il5ra,Aldoc,H2-Aa,Irf7,Slamf7,Ear6,Clec7a,Bcl2l1,Dnase1l1,Pik3c3,Hk3,Stat1,Zbp1,Il4ra,H2-Eb1,Pglyrp1,Icosl,Il2rg,Tyrobp,Elane,Icam1,Lilrb4a,H2-DMb1,Tlr1,Cybb,Il10,Cd300a,Mapk13,Unc93b1,Arl8a,Irf1,H2-K1,Btk,Socs2,Plau,Cotl1,Sell,B2m,Rasa4,Il15,Hspa1b,Lyz2,C4b,Prtn3,Ctss,Prg3,Klrk1,S100a11,Atp6ap2,H2-DMa,Colec11,Psmb10,Prdx4,H2-M3,P2rx7,Osm,Ighm,H2-T10,Relb,Nfkbie,Mapk12,Mapk11,Socs1,Ctsz,Il12rb1,Ifngr2,Psmb8,Nrg1,Tnfrsf13b,Ifitm7,Prg2,Hcst,Myd88,H2-Q7,Casp1,Vasp,Ifitm3,Slpi,Svip,Fbxo4,Clec12a,Idh1,Cd200r4,Gm2a,Ltf,Usp18,Tap1,Cd300c2,Trem2,H2-Oa,Fcnb,Pea15a,Cd200r3,Grn,Dlg4,S100a8,Serpina3f,Clec4d,P2rx1,Psmb9,Rap1b,Treml1,Nlrp1b,Cd53,C1ra,Gla,Cd79b,Fcgr2b,H2-T22,Cish,H2-T23,H2-Ab1,Cd34,H2-Q4,Camk2b,Sqstm1,H2-Q6,Dok3
R-MMU-168249	Innate Immune System	2.74770911063505e-20	-45.0409343460601	1181	101	0.343537414965986	294	8672	16192,54123,11676,12048,56644,93719,21946,212032,225326,58203,69537,13035,14590,15439,18035,17079,15442,231507,14964,15170,18010,18636,12765,16819,20202,16188,56615,17084,19156,18792,12229,14972,15511,54153,12010,20343,72042,20195,70495,27007,53856,19152,13040,12268,17105,71693,50701,22177,16186,13058,21897,14728,68724,54445,26415,217303,16362,12362,17874,15018,19074,75744,20568,14667,232413,15926,18439,14991,53381,19171,19094,29857,19698,15024,64138,16913,211323,215449,18436,16912,15039,14130,11605,50909,637515,12508,12323,15015,15040,27261,110557,17002,83433,14134,140497,20201,13385,14824,18611,17474,238393	Il5ra,Irf7,Aldoc,Bcl2l1,Clec7a,Ear6,Pglyrp1,Hk3,Pik3c3,Zbp1,Dnase1l1,Ctsg,Ggh,Hp,Nfkbia,Cd180,Hpse,Plac8,H2-D1,Ptpn6,Neu1,Cfp,Cxcr2,Lcn2,S100a9,Il3ra,Mgst1,Ly86,Psap,Plau,Btk,H2-K1,Hspa1b,Rasa4,B2m,Sell,Cotl1,S100a11,Atp6ap2,Klrk1,Prg3,Prtn3,Ctss,C4b,Lyz2,Colec11,Elane,Tyrobp,Il2rg,Cybb,Tlr1,Lilrb4a,Arl8a,Unc93b1,Mapk13,Cd300a,Irf1,Casp1,Myd88,H2-Q7,Prg2,Svip,Slpi,Gm2a,Clec12a,Idh1,P2rx7,H2-M3,Prdx4,Psmb10,Mapk11,Mapk12,Relb,H2-T10,Ctsz,Psmb8,Nrg1,Rap1b,P2rx1,Psmb9,H2-T22,Fcgr2b,Gla,C1ra,Nlrp1b,Cd53,Camk2b,H2-Q4,H2-T23,Dok3,H2-Q6,Ltf,Trem2,Fcnb,Cd300c2,S100a8,Dlg4,Grn,Pea15a,Clec4d,Serpina3f
R-MMU-6798695	Neutrophil degranulation	2.3579592507872e-19	-42.8913202461817	559	65	0.22108843537415	294	8672	19074,11676,15018,20568,93719,75744,69537,232413,15926,212032,14667,21946,15442,14590,53381,15439,13035,14991,18636,15024,15170,18010,14964,231507,56615,64138,20202,16819,12765,19156,18436,14972,215449,18792,12508,20343,72042,11605,12010,15039,15511,14130,15040,17105,19152,13040,53856,15015,20195,70495,110557,27261,17002,50701,22177,14728,140497,13058,14134,217303,14824,20201,68724,17474,238393	Prg2,Aldoc,H2-Q7,Slpi,Ear6,Svip,Dnase1l1,Clec12a,Idh1,Hk3,Gm2a,Pglyrp1,Hpse,Ggh,Prdx4,Hp,Ctsg,H2-M3,Cfp,H2-T10,Ptpn6,Neu1,H2-D1,Plac8,Mgst1,Ctsz,S100a9,Lcn2,Cxcr2,Psap,P2rx1,H2-K1,Rap1b,Plau,Cd53,Sell,Cotl1,Gla,B2m,H2-T22,Hspa1b,Fcgr2b,H2-T23,Lyz2,Prtn3,Ctss,Prg3,H2-Q4,S100a11,Atp6ap2,H2-Q6,Dok3,Ltf,Elane,Tyrobp,Lilrb4a,Cd300c2,Cybb,Fcnb,Cd300a,Grn,S100a8,Arl8a,Clec4d,Serpina3f
R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	3.01420342085404e-13	-28.830270619007	113	24	0.0816326530612245	294	8672	27007,15015,12490,66141,15040,75345,239849,110557,74482,14972,71326,15039,23900,15018,12010,20343,74603,217303,15894,14991,83433,14964,140497,15024	Klrk1,H2-Q4,Cd34,Ifitm3,H2-T23,Slamf7,Cd200r4,H2-Q6,Ifitm7,H2-K1,Treml1,H2-T22,Hcst,H2-Q7,B2m,Sell,Cd200r3,Cd300a,Icam1,H2-M3,Trem2,H2-D1,Cd300c2,H2-T10
R-MMU-1280218	Adaptive Immune System	7.78418976418131e-11	-23.2763412995991	604	53	0.180272108843537	294	8672	15170,18037,15024,16019,19395,14964,19171,18035,230979,14991,50762,14026,16913,211323,81018,22323,23900,14960,15018,16149,74482,106052,14969,239849,66141,75345,21354,140497,14999,83433,15001,13058,50723,15894,74603,217303,12010,20343,15039,15985,215449,14972,71326,16912,12229,14998,110557,14961,13040,12490,15040,27007,15015	Ptpn6,Nfkbie,H2-T10,Ighm,Rasgrp2,H2-D1,Psmb10,Nfkbia,Tnfrsf14,H2-M3,Fbxo6,Evl,Psmb8,Nrg1,Rnf114,Vasp,Hcst,H2-Aa,H2-Q7,Cd74,Ifitm7,Fbxo4,H2-Eb1,Cd200r4,Ifitm3,Slamf7,Tap1,Cd300c2,H2-DMb1,Trem2,H2-Oa,Cybb,Icosl,Icam1,Cd200r3,Cd300a,B2m,Sell,H2-T22,Cd79b,Rap1b,H2-K1,Treml1,Psmb9,Btk,H2-DMa,H2-Q6,H2-Ab1,Ctss,Cd34,H2-T23,Klrk1,H2-Q4
R-MMU-1236977	Endosomal/Vacuolar pathway	5.73259909443396e-08	-16.6745117219264	32	10	0.0340136054421769	294	8672	15015,14991,15040,14972,14964,15018,110557,15039,15024,12010	H2-Q4,H2-M3,H2-T23,H2-K1,H2-D1,H2-Q7,H2-Q6,H2-T22,H2-T10,B2m
R-MMU-1236974	ER-Phagosome pathway	7.19671504683407e-08	-16.4470560655364	41	11	0.0374149659863946	294	8672	15039,14964,15018,21354,12010,15024,14991,14972,110557,15015,15040	H2-T22,H2-D1,H2-Q7,Tap1,B2m,H2-T10,H2-M3,H2-K1,H2-Q6,H2-Q4,H2-T23
R-MMU-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	3.30815268310695e-07	-14.9217057191465	47	11	0.0374149659863946	294	8672	15039,110557,14964,15018,12010,21354,15024,15015,14991,14972,15040	H2-T22,H2-Q6,H2-D1,H2-Q7,B2m,Tap1,H2-T10,H2-Q4,H2-M3,H2-K1,H2-T23
R-MMU-1236975	Antigen processing-Cross presentation	7.92883237399159e-07	-14.0475898677679	97	15	0.0510204081632653	294	8672	15024,12010,21354,15018,14964,13058,15039,16912,14972,19171,14991,110557,16913,15040,15015	H2-T10,B2m,Tap1,H2-Q7,H2-D1,Cybb,H2-T22,Psmb9,H2-K1,Psmb10,H2-M3,H2-Q6,Psmb8,H2-T23,H2-Q4
R-MMU-6799990	Metal sequestration by antimicrobial proteins	1.29513260041105e-06	-13.5568974739149	4	4	0.0136054421768707	294	8672	17002,16819,20202,20201	Ltf,Lcn2,S100a9,S100a8
