TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0006412	translation	1.26889719050648e-26	-59.6290642485443	421	49	0.100204498977505	489	29090	53356,71941,107734,19934,20068,66448,19944,66077,65111,13685,66845,27370,66407,108067,67945,66230,28028,69684,66656,56280,16898,353242,67941,114641,66223,107733,67204,60441,102060,225215,216767,66235,94061,64657,67212,17724,67270,54127,20042,17725,54709,56282,66419,73158,56284,64660,68611,68172,66143	Eif3g,Cars2,Mrpl30,Rpl22,Rps17,Mrpl20,Rpl29,Aurkaip1,Dap3,Eif4ebp1,Mrpl33,Rps26,Mrps15,Eif2b3,Rpl41,Mrps28,Mrpl50,Aarsd1,Eef1d,Mrpl37,Rps2,Mrpl21,Rps27l,Rpl31,Mrpl35,Mrpl41,Eif2s2,Mrpl38,Gadd45gip1,Rsl24d1,Mrpl22,Eif1ax,Mrpl1,Mrps10,Mrpl55,mt-Rnr1,Mrpl42,Rps28,Rps12,mt-Rnr2,Eif3i,Mrpl12,Mrpl11,Larp1,Mrpl19,Mrps24,Mrpl28,Rpl39l,Eef1e1
GO:0022613	ribonucleoprotein complex biogenesis	1.46830906202455e-25	-57.1805158841034	424	48	0.098159509202454	489	29090	225215,20641,67684,107686,67239,245474,17724,68147,69878,207704,50783,66181,17089,68011,69639,72554,67204,76130,12261,66942,54364,14113,18148,54127,20042,66282,17725,107071,20630,67223,14791,75273,20068,18813,67973,19384,52530,67941,67242,69902,78651,20174,234384,97112,57750,20826,18150,69072	Rsl24d1,Snrpd1,Luc7l3,Snrpd2,Rpf2,Dkc1,mt-Rnr1,Gar1,Snrpf,Gtpbp10,Lsm4,Nop10,Lyar,Snrpg,Exosc8,Utp14a,Eif2s2,Las1l,C1qbp,Ddx18,Rpp30,Fbl,Npm1,Rps28,Rps12,Tma16,mt-Rnr2,Wdr74,Snrpc,Rrp15,Emg1,Pelp1,Rps17,Pa2g4,Mphosph10,Ran,Nhp2,Rps27l,Gemin6,Mrto4,Lsm6,Ruvbl2,Mpv17l2,Nmd3,Wdr12,Snu13,Npm3,Ebna1bp2
GO:0042254	ribosome biogenesis	1.15092175490303e-21	-48.2137238055476	310	38	0.0777096114519427	489	29090	17724,68147,66181,207704,225215,107071,67239,245474,75273,20068,76130,17089,69639,67223,14791,72554,67973,19384,14113,52530,67941,18148,12261,66942,18813,54364,17725,97112,57750,20826,18150,69072,69902,54127,20042,66282,78651,234384	mt-Rnr1,Gar1,Nop10,Gtpbp10,Rsl24d1,Wdr74,Rpf2,Dkc1,Pelp1,Rps17,Las1l,Lyar,Exosc8,Rrp15,Emg1,Utp14a,Mphosph10,Ran,Fbl,Nhp2,Rps27l,Npm1,C1qbp,Ddx18,Pa2g4,Rpp30,mt-Rnr2,Nmd3,Wdr12,Snu13,Npm3,Ebna1bp2,Mrto4,Rps28,Rps12,Tma16,Lsm6,Mpv17l2
GO:0032543	mitochondrial translation	2.5867408844658602e-20	-45.1013031223174	108	24	0.049079754601227	489	29090	66419,56282,28028,66230,353242,68611,64660,56284,56280,65111,102060,66077,66448,60441,107734,107733,66223,66407,67270,67212,64657,94061,66845,216767	Mrpl11,Mrpl12,Mrpl50,Mrps28,Mrpl21,Mrpl28,Mrps24,Mrpl19,Mrpl37,Dap3,Gadd45gip1,Aurkaip1,Mrpl20,Mrpl38,Mrpl30,Mrpl41,Mrpl35,Mrps15,Mrpl42,Mrpl55,Mrps10,Mrpl1,Mrpl33,Mrpl22
GO:0140053	mitochondrial gene expression	2.0141062018013498e-18	-40.7463561492085	143	25	0.0511247443762781	489	29090	66230,66419,56282,28028,64660,56284,56280,70556,353242,68611,107733,66223,66077,65111,102060,66448,60441,107734,67212,64657,94061,66845,216767,66407,67270	Mrps28,Mrpl11,Mrpl12,Mrpl50,Mrps24,Mrpl19,Mrpl37,Slc25a33,Mrpl21,Mrpl28,Mrpl41,Mrpl35,Aurkaip1,Dap3,Gadd45gip1,Mrpl20,Mrpl38,Mrpl30,Mrpl55,Mrps10,Mrpl1,Mrpl33,Mrpl22,Mrps15,Mrpl42
GO:0006364	rRNA processing	2.2231287143745e-16	-36.0424459533958	208	27	0.0552147239263804	489	29090	107071,67239,245474,68147,66181,17089,69639,67223,72554,14791,75273,20068,76130,66942,18813,54364,67973,14113,52530,18148,54127,69902,78651,57750,20826,18150,69072	Wdr74,Rpf2,Dkc1,Gar1,Nop10,Lyar,Exosc8,Rrp15,Utp14a,Emg1,Pelp1,Rps17,Las1l,Ddx18,Pa2g4,Rpp30,Mphosph10,Fbl,Nhp2,Npm1,Rps28,Mrto4,Lsm6,Wdr12,Snu13,Npm3,Ebna1bp2
GO:0006119	oxidative phosphorylation	5.892424791494321e-15	-32.765108802593	115	20	0.0408997955010225	489	29090	12866,66142,67264,66916,66592,66148,595136,72900,13063,12850,14297,12858,66414,68202,12861,66594,22272,12859,70316,68342	Cox7a2,Cox7b,Ndufb8,Ndufb7,Stoml2,Dnajc15,Ndufs5,Ndufv2,Cycs,Coq7,Fxn,Cox5a,Ndufa12,Ndufa5,Cox6a1,Uqcr11,Uqcrq,Cox5b,Ndufab1,Ndufb10
GO:0016072	rRNA metabolic process	9.139420574244281e-15	-32.326179405957	241	27	0.0552147239263804	489	29090	14113,67973,52530,18148,66942,18813,54364,57750,20826,18150,69072,54127,69902,78651,68147,66181,107071,245474,67239,75273,76130,20068,17089,72554,14791,67223,69639	Fbl,Mphosph10,Nhp2,Npm1,Ddx18,Pa2g4,Rpp30,Wdr12,Snu13,Npm3,Ebna1bp2,Rps28,Mrto4,Lsm6,Gar1,Nop10,Wdr74,Dkc1,Rpf2,Pelp1,Las1l,Rps17,Lyar,Utp14a,Emg1,Rrp15,Exosc8
GO:0009060	aerobic respiration	3.08305056263756e-13	-28.8076866596868	158	21	0.0429447852760736	489	29090	13063,12850,66128,66142,12866,66148,595136,72900,66592,66916,67264,66594,12861,22272,68342,70316,12859,14297,68202,12858,66414	Cycs,Coq7,Mrps36,Cox7b,Cox7a2,Dnajc15,Ndufs5,Ndufv2,Stoml2,Ndufb7,Ndufb8,Uqcr11,Cox6a1,Uqcrq,Ndufb10,Ndufab1,Cox5b,Fxn,Ndufa5,Cox5a,Ndufa12
GO:0045333	cellular respiration	1.89718158730158e-11	-24.6880666131566	195	21	0.0429447852760736	489	29090	22272,12861,66594,68342,12859,70316,14297,68202,12858,66414,13063,12850,66128,66142,12866,66592,595136,72900,66148,66916,67264	Uqcrq,Cox6a1,Uqcr11,Ndufb10,Cox5b,Ndufab1,Fxn,Ndufa5,Cox5a,Ndufa12,Cycs,Coq7,Mrps36,Cox7b,Cox7a2,Stoml2,Ndufs5,Ndufv2,Dnajc15,Ndufb7,Ndufb8
