gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	Leukemia_CreKI_rep1	Leukemia_CreKI_rep2	Leukemia_CreKI_rep3
Il4	-0.7588366334030021	-0.7266620768741162	-0.8500310961175822	-0.6546945783005208	-0.6281232863207852	-0.5834310767098362	-0.6600692792147517	-0.6634832429179148	-0.5145929671147289	-0.7178399070949	-0.44609355254750055	-0.8289993803110872	0.8282533278907956	0.9888628686112804	0.6755364104867215	1.5685611927278769	1.975392513078304	1.9962507641317468
Ccl3	-1.1800914602386967	-0.688008103338783	-0.04053683136341568	0.49598358756890015	0.03808303888803804	-0.3252238499769701	-0.6089357072869296	-0.4473655212495936	-0.7884601301588636	-0.7172547249959127	0.7796438203799966	1.5397864214897323	2.5288702259726845	-0.7881954610791699	-1.1800914602386967	1.069746679383446	1.0195113282933688	-0.7074618520491348
Il16	-0.6030430317613085	-0.2986855003544527	-0.18317311148891566	0.2143819367106838	-0.1618493923692304	-0.18969944696555624	0.7573634433124957	0.9385476551368869	0.5430948395865314	0.42783123764577285	0.9305488810146384	0.68741754073645	1.0328553848275284	1.190570446868023	-0.5732635587014379	-1.5065484066775694	-0.20467489222128085	-3.001674025299262
Il7r	-0.41048094943144	-0.20896232363617423	-0.1409490871760222	-0.2960803389971832	-0.24064977846833482	-0.3807543634344435	-0.5207347727222752	-0.4300430680219692	-0.6853317461557822	-0.4473130502658827	-0.6355636255308021	-0.5188791902803421	3.622734002237075	-0.21004702796099425	0.1928772280507928	1.2641373728894392	0.6839857425188864	-0.6379450236145497
Ccl24	-0.6907769403536225	-1.0315255262384406	-1.0420401254971743	-0.8881959700166608	-0.8507633071243563	-1.092443366354884	0.30735774602148325	0.5237661101969998	-0.014118329717534659	0.6385664164882403	1.0436916177800293	0.811606969556822	0.8744822784289549	-0.6079248001111982	-1.137118862022463	0.2755581932201471	2.7612897560550245	0.11858813968863223
Csf1	-0.9131208011752552	-0.5266896211437623	-0.40432750750901875	-0.2828048329612363	-0.47376509357401	-0.804822004626336	0.3046891192793909	0.8171338463777768	0.45644182200599276	0.703402332216365	1.4731519294524142	1.0197205325438288	0.4061047408735938	0.7890788814443024	1.9008432155047428	-1.676247964846274	-1.4054387920796847	-1.3833498017828232
Il10	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.3832567930276211	-0.2931967093157619	-0.3832567930276211	0.44492202521255125	0.644000886652206	3.9354217197327372	0.07965280589677619	-0.21171921184705633	-0.3832567930276211
Ccl4	-0.6963013302367854	-0.45566346929678914	-0.30216793375889833	0.18701032989618777	-0.8697641835039747	0.012030116818939627	0.08324662981710433	-0.506964176170173	-0.8697641835039747	-0.714219500152376	-0.2901135318982999	-0.7379298174104412	3.4260609874638486	0.5440856701586883	0.7281736960016248	1.1942540801888049	-0.30649328537462556	-0.425480099038861
Il13	-0.4727268123809345	-0.4051873604119833	-0.4727268123809345	-0.4727268123809345	-0.4727268123809345	-0.3811273922554289	-0.4727268123809345	-0.4727268123809345	-0.4727268123809345	-0.4727268123809345	-0.4727268123809345	-0.4727268123809345	-0.3923866756319818	-0.3933702888628175	-0.4043480084862086	2.2841317053265433	2.2008893090952055	2.2186668350360175
Tnf	-0.6448123149804277	-0.37952053381406275	-0.6226042389740151	-0.4991240422306188	-0.36679939081087287	-0.6614623662147961	-0.339104390152595	-0.6119908481416224	-0.335509120892278	-0.6589174882591989	-0.3888283790813666	-0.5858884024585503	2.3321775552298987	-0.3865275521042748	2.5752190601941862	-0.015955645478176298	1.5747843599254512	0.014863738243321866
Il6	-0.34036183196082453	-0.5907953892962082	-0.6664199571995435	-0.31437288232132665	-0.41439516603247023	-0.4463388690246202	-0.7982284166912774	-0.7982284166912774	-0.7982284166912774	-0.7982284166912774	-0.728771172076701	-0.7982284166912774	1.4800491729473622	0.4148286925518836	0.5183536161330402	0.663457371076367	2.0046587888287313	2.411249709830696
Il1b	-0.562932156864723	0.019614373036263472	-0.18962624358214325	-0.6378927404206391	-0.22137204968617272	-0.16898400544202713	-0.6378927404206391	-0.5830786544531048	-0.6378927404206391	-0.5074857180303127	-0.6378927404206391	-0.472465724066206	2.3634782600275988	-0.581914743089592	-0.6378927404206391	2.1478516896894493	2.04131975819254	-0.09494108362837336
Il12a	-0.6281110257839968	0.11539341059105403	0.16025931406530938	0.026006113769503694	-0.006625998460200758	0.09966153044412215	0.48046679439176715	0.5446120084131049	0.5228351029505393	-0.1398018696311865	0.7157544248872547	0.6423821385463	0.37240234571292624	1.6792650341419877	1.236563708176373	-1.8136591574346983	-1.9600699545934839	-2.0473339201866776
Il15	-0.06813236592461874	-0.15015688771421093	-0.11085803196258825	-0.4932113984260607	-0.35559497517036787	-0.08902690758542418	0.2284774234515149	0.08434827386692581	-0.12610252315504972	0.0067764631480943	0.16646631072229523	-0.22291093910646137	2.556004530962523	2.1908352600411214	0.5042012895733476	-1.0257841216972812	-1.5350734193078182	-1.5602579817159437
Cx3cl1	-0.5350287092463188	-0.24677508241806093	-0.3988754568133803	0.41287923935922216	-0.26356231844161027	-0.1007223988321785	-0.6906022499377821	-0.4695925391947159	-0.6895587942652024	-0.15524956970938986	-0.44286507329589436	-0.4145867511193428	2.6350396345064544	1.8408732336074483	1.8712201304977538	-0.7841977648990014	-0.7841977648990014	-0.7841977648990014
Ccl17	-0.33546072354360684	-0.5661145551049677	-0.5587283055263155	-0.8296562395219217	-0.6453800028931005	-0.3429492981145431	-0.5428796485130153	-0.9749844574729899	-0.736523842262537	-0.19466255679040348	-0.49344436540191594	-0.8401173592409594	0.8742925102696255	1.1882745616710477	0.3160903110842146	0.15088921438622208	2.853781625079287	1.6775731318958798
Cxcl10	-0.35563206498653566	-0.7025435834997856	-0.6478104482388469	-0.5039228550496548	-0.5626796114253596	-0.7614553112783778	-0.45870466338321547	0.49294931562484645	-0.11892957961829406	1.2326149359668401	2.2802735372194873	1.5017915717572878	-0.024439851455715454	-0.5922889645531442	-0.9443416964329658	1.9005604024778853	-0.8092891121709707	-0.9261520209534824
Ccl5	0.11382190375739855	-0.48228435296428807	-0.2547816618411294	-0.21239655638940677	-0.12177638717776818	0.12796294731815497	-0.5557547534985811	-0.9209328080150977	-0.8794389454554532	-0.583667420436508	-0.43335686186454286	-0.6966036540878494	3.6325246157772426	0.9066116454474411	0.4126358890857163	0.3682968577016769	0.14835103188019014	-0.5692114892371996
Ccl7	-0.4620564805018357	-0.4620564805018357	-0.42088431965841605	-0.4620564805018357	-0.4620564805018357	-0.4620564805018357	-0.4620564805018357	-0.41212199169016955	-0.4620564805018357	-0.4015533150585712	-0.4620564805018357	-0.4620564805018357	1.9648006065150074	2.0853797431974317	2.610729581934515	-0.4620564805018357	-0.3437290197196065	-0.4620564805018357
Ccl2	-0.5651636644940103	-0.5651636644940103	-0.5274629693623069	-0.5176481345734543	-0.5651636644940103	-0.511185999471141	-0.5186615402830639	-0.47575898379395976	-0.4738625339505716	-0.407645253146142	-0.4018480661756921	-0.47310905306666223	2.4381440951498377	1.886238719244314	2.2870139968900713	-0.002239359569563616	-0.15142159615903297	-0.4550623282506012
Il18	0.3586582102185792	-0.8301559534585015	-0.5103826451137798	-0.4370840961271486	-0.31792685939032145	0.8421435722769084	-0.22722647227087084	-0.9291949506854178	-0.9850338769537027	0.8427650197765145	0.644227287718442	0.5201280669988435	1.1253789551958369	-0.9644349277128522	-1.7152160218770598	1.5816670527998486	2.000395276377251	-0.998707637772571
Cxcl12	-0.417684174273731	-0.44778348032069554	-0.45439773090152297	-0.44265383353174026	-0.4621343262691128	-0.3817382146224884	-0.44544428076623405	-0.4204410846970919	-0.4523790405954845	-0.4119933226569319	-0.4621343262691128	-0.4399408935994739	-0.45228409731153063	-0.42170126953170195	-0.4621343262691128	2.610709955298325	2.449868897278578	1.5142655490390626
Ccl27a	1.1951600113940861	0.3600280661284939	0.3127195528432512	-0.09678955700920155	0.5989307244799156	0.5041713481993829	0.2172357867749509	1.2776240484064971	1.015793987108667	0.7177215368977278	1.1130814143425038	0.4206158160468153	-1.2665425124806726	-1.7980972251598413	-1.8519129237612593	-1.1779558180263525	-0.42696959591161787	-1.1148146602733455
