sample id	i7 index	i5 index	Library type	Species	Sample information	fastqs
EMseq-R12-Preleukemia-Control-rep1			EM-seq	mouse	EMseq-R12-Preleukemia-Control-rep1	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R12-Preleukemia-Control-rep1_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R12-Preleukemia-Control-rep1_R2.fastq.gz
EMseq-R14-Preleukemia-Control-rep2			EM-seq	mouse	EMseq-R14-Preleukemia-Control-rep2	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R14-Preleukemia-Control-rep2_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R14-Preleukemia-Control-rep2_R2.fastq.gz
EMseq-R16-Preleukemia-Control-rep3			EM-seq	mouse	EMseq-R16-Preleukemia-Control-rep3	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R16-Preleukemia-Control-rep3_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R16-Preleukemia-Control-rep3_R2.fastq.gz
EMseq-R4-Preleukemia-Rx1-rep1			EM-seq	mouse	EMseq-R4-Preleukemia-Rx1-rep1	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R4-Preleukemia-Rx1-rep1_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R4-Preleukemia-Rx1-rep1_R2.fastq.gz
EMseq-R5-Preleukemia-Rx1-rep2			EM-seq	mouse	EMseq-R5-Preleukemia-Rx1-rep2	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R5-Preleukemia-Rx1-rep2_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R5-Preleukemia-Rx1-rep2_R2.fastq.gz
EMseq-R6-Preleukemia-Rx1-rep3			EM-seq	mouse	EMseq-R6-Preleukemia-Rx1-rep3	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R6-Preleukemia-Rx1-rep3_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R6-Preleukemia-Rx1-rep3_R2.fastq.gz
EMseq-R18-Preleukemia-Tet2-rep1			EM-seq	mouse	EMseq-R18-Preleukemia-Tet2-rep1	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R18-Preleukemia-Tet2-rep1_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R18-Preleukemia-Tet2-rep1_R2.fastq.gz
EMseq-R19-Preleukemia-Tet2-rep2			EM-seq	mouse	EMseq-R19-Preleukemia-Tet2-rep2	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R19-Preleukemia-Tet2-rep2_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R19-Preleukemia-Tet2-rep2_R2.fastq.gz
EMseq-R20-Preleukemia-Tet2-rep3			EM-seq	mouse	EMseq-R20-Preleukemia-Tet2-rep3	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R20-Preleukemia-Tet2-rep3_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R20-Preleukemia-Tet2-rep3_R2.fastq.gz
EMseq-R11-Preleukemia-Rx1Tet2-rep1			EM-seq	mouse	EMseq-R11-Preleukemia-Rx1Tet2-rep1	/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R11-Preleukemia-Rx1Tet2-rep1_R1.fastq.gz,/export/lab-zhao/Users/caoy7/astroBoy/upload/users/zhent/2025-09-10_PL_TZ005_mouse_EM-seq_mergedReID/EMseq-R11-Preleukemia-Rx1Tet2-rep1_R2.fastq.gz
