samples	1_SampleInformation	2_TotalReads	3_MappingRatio	4_MappedReads	5_UnqiueReads	6_Redundancy
EMseq-R12-Preleukemia-Control-rep1	EMseq-R12-Preleukemia-Control-rep1	1028520154.0	0.9952239846920881	1023607926.0	765555728.0	0.2521006250981296
EMseq-R14-Preleukemia-Control-rep2	EMseq-R14-Preleukemia-Control-rep2	890651397.0	0.994006691037616	885313448.0	655117395.0	0.2600164422217158
EMseq-R16-Preleukemia-Control-rep3	EMseq-R16-Preleukemia-Control-rep3	1007452706.0	0.9932020064473379	1000604049.0	745156664.0	0.25529317541268515
EMseq-R4-Preleukemia-Rx1-rep1	EMseq-R4-Preleukemia-Rx1-rep1	1187627254.0	0.9970200035507101	1184088129.0	909713056.0	0.2317184559832708
EMseq-R5-Preleukemia-Rx1-rep2	EMseq-R5-Preleukemia-Rx1-rep2	1237241001.0	0.9942914775744649	1230178183.0	876915908.0	0.2871635019071055
EMseq-R6-Preleukemia-Rx1-rep3	EMseq-R6-Preleukemia-Rx1-rep3	1153552598.0	0.9948682140630054	1147632813.0	815549661.0	0.28936359107048293
EMseq-R18-Preleukemia-Tet2-rep1	EMseq-R18-Preleukemia-Tet2-rep1	854492341.0	0.9934943325606707	848933298.0	599861933.0	0.2933933273518504
EMseq-R19-Preleukemia-Tet2-rep2	EMseq-R19-Preleukemia-Tet2-rep2	1137426620.0	0.9940781305083224	1130690928.0	813945590.0	0.2801343233205812
EMseq-R20-Preleukemia-Tet2-rep3	EMseq-R20-Preleukemia-Tet2-rep3	1061558975.0	0.9960555126011722	1057371669.0	807888587.0	0.23594644089144778
EMseq-R11-Preleukemia-Rx1Tet2-rep1	EMseq-R11-Preleukemia-Rx1Tet2-rep1	1372116317.0	0.9966398810779539	1367505843.0	1062203563.0	0.22325482670716457
EMseq-R15-Preleukemia-Rx1Tet2-rep2	EMseq-R15-Preleukemia-Rx1Tet2-rep2	1482768906.0	0.997390032267105	1478898927.0	1184604128.0	0.1989958837802308
EMseq-R17-Preleukemia-Rx1Tet2-rep3	EMseq-R17-Preleukemia-Rx1Tet2-rep3	1219225881.0	0.9974595150510916	1216128456.0	1000507167.0	0.17730140918600457
EMseq-D10-Leukemia-CreKI-rep1	EMseq-D10-Leukemia-CreKI-rep1	1111012012.0	0.9974797617219642	1108211997.0	868678425.0	0.2161441787748486
EMseq-D16-Leukemia-CreKI-rep2	EMseq-D16-Leukemia-CreKI-rep2	1094683025.0	0.9977961876224398	1092270549.0	870912480.0	0.20265864460289496
EMseq-D18-Leukemia-CreKI-rep3	EMseq-D18-Leukemia-CreKI-rep3	1349478960.0	0.9979217690063134	1346674431.0	1082782402.0	0.19595829765925066
EMseq-G13-Leukemia-Rx1Tet2-rep1	EMseq-G13-Leukemia-Rx1Tet2-rep1	926699581.0	0.9948655582698488	921941496.0	677251777.0	0.2654069917252103
EMseq-L35-Leukemia-Rx1Tet2-rep2	EMseq-L35-Leukemia-Rx1Tet2-rep2	1212988039.0	0.9973808134145995	1209810997.0	939368752.0	0.2235409048773922
EMseq-L40-Leukemia-Rx1Tet2-rep3	EMseq-L40-Leukemia-Rx1Tet2-rep3	1180656971.0	0.998015826732454	1178314343.0	956912592.0	0.18789701773154088
EMseq-G18-Leukemia-Rx1Tet2-rep4	EMseq-G18-Leukemia-Rx1Tet2-rep4	1153518243.0	0.9959753163609047	1148875697.0	887243220.0	0.2277291422241653
EMseq-G34-Leukemia-Rx1Tet2-rep5	EMseq-G34-Leukemia-Rx1Tet2-rep5	1178799951.0	0.9966845366792859	1174891683.0	915872253.0	0.22046239134029177
