TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	1.2253424176763902e-19	-43.5458964373161	195	49	0.0306825297432686	1597	29090	21813,225256,23965,211924,13511,13507,12563,23836,58998,19876,227485,320865,239447,16769,319387,215654,13131,270120,244682,76965,13512,71436,23964,11658,13505,13837,219257,268902,241568,13506,12552,19274,73173,11477,238205,14804,241201,11994,19266,12554,13510,80883,192167,12558,53870,12737,211323,239857,23966	Tgfbr2,Dsg1b,Tenm3,Dsg1c,Dsg2,Dsc3,Cdh6,Cdh20,Nectin3,Robo1,Cdh19,Cdh18,Colec10,Dsg4,Adgrl3,Cdh12,Dab1,Fat3,Cntn5,Slitrk1,Dsg3,Flrt3,Tenm2,Alcam,Dsc1,Epha3,Pcdh20,Robo2,Lrrc4c,Dsc2,Cdh11,Ptprm,Pcdh18,Acvr1,Lrfn5,Grid2,Cdh7,Pcdh15,Ptprd,Cdh13,Dsg1a,Ntng1,Nlgn1,Cdh2,Cntn6,Cldn1,Nrg1,Cadm2,Tenm4
GO:0050808	synapse organization	1.49282503716196e-13	-29.5329358860056	390	61	0.0381966186599875	1597	29090	13839,81907,12064,23966,80883,12558,192167,243548,14406,53870,223666,211323,14799,14811,14804,238205,50791,545156,74342,19266,268902,14399,11441,241568,224997,14062,329942,217692,11735,12386,21960,21923,13837,18163,210933,16001,14395,110886,14401,319387,11820,228942,244682,12296,71436,116837,76965,215449,14405,108071,116838,18191,234267,14402,23965,12405,14394,23859,319613,12563,14397	Epha5,Tmem108,Bdnf,Tenm4,Ntng1,Cdh2,Nlgn1,Prickle2,Gabrg2,Cntn6,Arhgap39,Nrg1,Gria1,Grin2a,Grid2,Lrfn5,Magi2,Kalrn,Lrrtm1,Ptprd,Robo2,Gabra6,Chrna7,Lrrc4c,Dlgap1,F2r,Csmd2,Sipa1l1,Ank3,Ctnna2,Tnr,Tnc,Epha3,Ctnnd2,Adgrb3,Igf1r,Gabra2,Gabra5,Gabrb2,Adgrl3,App,Cbln4,Cntn5,Cacnb2,Flrt3,Rims1,Slitrk1,Rap1b,Gabrg1,Grm5,Rims2,Nrxn3,Gpm6a,Gabrb3,Tenm3,Cbln2,Gabra1,Dlg2,Sybu,Cdh6,Gabra4
GO:0098609	cell-cell adhesion	3.78154390376022e-13	-28.6034738425319	473	68	0.0425798371947401	1597	29090	268902,13506,241568,12552,14107,19274,73173,14804,238205,11477,67451,241201,11994,110789,12628,19266,13510,12554,80883,192167,12558,12737,53870,211323,16785,239857,12160,23966,12805,21813,225256,242274,23965,57810,211924,13507,13511,23859,12563,23836,22361,227485,223272,58998,19876,239447,320865,13176,16769,319387,13131,215654,270120,328795,244682,13512,76965,71436,23964,12386,11658,21960,381457,13505,13837,56079,18163,219257	Robo2,Dsc2,Lrrc4c,Cdh11,Fat1,Ptprm,Pcdh18,Grid2,Lrfn5,Acvr1,Pkp2,Cdh7,Pcdh15,Adgrv1,Cfh,Ptprd,Dsg1a,Cdh13,Ntng1,Nlgn1,Cdh2,Cldn1,Cntn6,Nrg1,Rpsa,Cadm2,Bmp5,Tenm4,Cntn1,Tgfbr2,Dsg1b,Lrrc7,Tenm3,Cdon,Dsg1c,Dsc3,Dsg2,Dlg2,Cdh6,Cdh20,Vnn1,Cdh19,Itgbl1,Nectin3,Robo1,Colec10,Cdh18,Dcc,Dsg4,Adgrl3,Dab1,Cdh12,Fat3,Ubash3a,Cntn5,Dsg3,Slitrk1,Flrt3,Tenm2,Ctnna2,Alcam,Tnr,Crnn,Dsc1,Epha3,Astn2,Ctnnd2,Pcdh20
GO:0099537	trans-synaptic signaling	1.2485807621641299e-12	-27.4090135999269	409	61	0.0381966186599875	1597	29090	11441,14399,14169,208898,380702,14062,14400,224997,242443,14804,14811,27062,77531,19266,192167,14805,320405,14799,14406,18472,12064,16531,14802,20614,54526,18168,14402,108043,23859,14397,225192,12405,14167,109905,14394,328699,20979,110304,14405,63993,18191,108071,116838,108030,110637,228942,14401,110886,108069,11440,116837,60510,75409,12296,21960,17295,12671,23964,14395,14800,11784	Chrna7,Gabra6,Fgf14,Unc13c,Shisa6,F2r,Gabrb1,Dlgap1,Grin3a,Grid2,Grin2a,Cadps,Anks1b,Ptprd,Nlgn1,Grik1,Cadps2,Gria1,Gabrg2,Pafah1b1,Bdnf,Kcnma1,Gria4,Snap25,Syt10,Npy5r,Gabrb3,Chrnb3,Dlg2,Gabra4,Hrh4,Cbln2,Fgf12,Rap1a,Gabra1,Gabrr3,Syt1,Glra3,Gabrg1,Slc5a7,Nrxn3,Grm5,Rims2,Lin7a,Grik4,Cbln4,Gabrb2,Gabra5,Grm3,Chrna6,Rims1,Syt9,Slitrk5,Cacnb2,Tnr,Met,Chrm3,Tenm2,Gabra2,Gria2,Apba2
GO:0099536	synaptic signaling	3.34429753748338e-12	-26.4237644481441	462	65	0.0407013149655604	1597	29090	20614,18168,54526,16531,12064,18472,14802,211323,14799,22288,14406,192167,13527,320405,14805,19266,77531,14804,27062,14811,14062,208898,380702,242443,224997,14400,11441,14399,14169,14800,14395,11784,18166,21960,23964,12671,17295,75409,116837,60510,11440,108069,12296,228942,110637,14401,110886,18191,108030,116838,108071,110304,14405,20979,328699,63993,14397,225192,23859,14394,109905,14167,12405,108043,14402	Snap25,Npy5r,Syt10,Kcnma1,Bdnf,Pafah1b1,Gria4,Nrg1,Gria1,Utrn,Gabrg2,Nlgn1,Dtna,Cadps2,Grik1,Ptprd,Anks1b,Grid2,Cadps,Grin2a,F2r,Unc13c,Shisa6,Grin3a,Dlgap1,Gabrb1,Chrna7,Gabra6,Fgf14,Gria2,Gabra2,Apba2,Npy1r,Tnr,Tenm2,Chrm3,Met,Slitrk5,Rims1,Syt9,Chrna6,Grm3,Cacnb2,Cbln4,Grik4,Gabrb2,Gabra5,Nrxn3,Lin7a,Rims2,Grm5,Glra3,Gabrg1,Syt1,Gabrr3,Slc5a7,Gabra4,Hrh4,Dlg2,Gabra1,Rap1a,Fgf12,Cbln2,Chrnb3,Gabrb3
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	3.43697830076823e-12	-26.3964284315029	108	28	0.0175328741390106	1597	29090	270120,53870,244682,13512,12554,13510,215654,12558,13505,219257,239857,211924,13511,13507,12563,268902,225256,13506,12552,23965,11994,16769,19274,23836,73173,19876,58998,241201	Fat3,Cntn6,Cntn5,Dsg3,Cdh13,Dsg1a,Cdh12,Cdh2,Dsc1,Pcdh20,Cadm2,Dsg1c,Dsg2,Dsc3,Cdh6,Robo2,Dsg1b,Dsc2,Cdh11,Tenm3,Pcdh15,Dsg4,Ptprm,Cdh20,Pcdh18,Robo1,Nectin3,Cdh7
GO:0098916	anterograde trans-synaptic signaling	6.6869697244934395e-12	-25.730860300384	382	57	0.0356919223544145	1597	29090	14799,14406,192167,14805,320405,20614,18168,54526,18472,16531,12064,14802,380702,208898,14400,224997,242443,11441,14399,14169,77531,14804,27062,14811,108069,11440,60510,116837,75409,12296,110637,110886,14401,14395,14800,11784,21960,17295,12671,23859,225192,14397,12405,14167,109905,14394,14402,108043,18191,108071,116838,108030,328699,20979,110304,14405,63993	Gria1,Gabrg2,Nlgn1,Grik1,Cadps2,Snap25,Npy5r,Syt10,Pafah1b1,Kcnma1,Bdnf,Gria4,Shisa6,Unc13c,Gabrb1,Dlgap1,Grin3a,Chrna7,Gabra6,Fgf14,Anks1b,Grid2,Cadps,Grin2a,Grm3,Chrna6,Syt9,Rims1,Slitrk5,Cacnb2,Grik4,Gabra5,Gabrb2,Gabra2,Gria2,Apba2,Tnr,Met,Chrm3,Dlg2,Hrh4,Gabra4,Cbln2,Fgf12,Rap1a,Gabra1,Gabrb3,Chrnb3,Nrxn3,Grm5,Rims2,Lin7a,Gabrr3,Syt1,Glra3,Gabrg1,Slc5a7
GO:0007268	chemical synaptic transmission	6.6869697244934395e-12	-25.730860300384	382	57	0.0356919223544145	1597	29090	14397,225192,23859,14394,109905,14167,12405,108043,14402,18191,108030,116838,108071,14405,20979,110304,328699,63993,75409,60510,116837,11440,108069,12296,110637,14401,110886,14800,14395,11784,21960,12671,17295,380702,208898,242443,224997,14400,14399,11441,14169,77531,14804,27062,14811,14799,14406,192167,320405,14805,20614,54526,18168,16531,12064,18472,14802	Gabra4,Hrh4,Dlg2,Gabra1,Rap1a,Fgf12,Cbln2,Chrnb3,Gabrb3,Nrxn3,Lin7a,Rims2,Grm5,Gabrg1,Syt1,Glra3,Gabrr3,Slc5a7,Slitrk5,Syt9,Rims1,Chrna6,Grm3,Cacnb2,Grik4,Gabrb2,Gabra5,Gria2,Gabra2,Apba2,Tnr,Chrm3,Met,Shisa6,Unc13c,Grin3a,Dlgap1,Gabrb1,Gabra6,Chrna7,Fgf14,Anks1b,Grid2,Cadps,Grin2a,Gria1,Gabrg2,Nlgn1,Cadps2,Grik1,Snap25,Syt10,Npy5r,Kcnma1,Bdnf,Pafah1b1,Gria4
GO:0060078	regulation of postsynaptic membrane potential	5.6293988688652496e-11	-23.6004333593316	97	25	0.0156543519098309	1597	29090	12064,13483,14802,17295,14395,15165,192167,110886,14805,14799,24012,14406,14804,110304,14405,14811,108071,14399,16508,14402,14169,110784,14397,14394,242443	Bdnf,Dpp6,Gria4,Met,Gabra2,Hcn1,Nlgn1,Gabra5,Grik1,Gria1,Rgs7,Gabrg2,Grid2,Glra3,Gabrg1,Grin2a,Grm5,Gabra6,Kcnd2,Gabrb3,Fgf14,Nr3c2,Gabra4,Gabra1,Grin3a
GO:0007416	synapse assembly	9.95081326853698e-11	-23.0307817395728	115	27	0.0169067000626174	1597	29090	14405,14804,50791,19266,18191,234267,14402,14399,12405,14394,329942,14397,12064,14395,319387,110886,14401,11820,12558,192167,228942,14406,244682,71436,76965,211323,14799	Gabrg1,Grid2,Magi2,Ptprd,Nrxn3,Gpm6a,Gabrb3,Gabra6,Cbln2,Gabra1,Csmd2,Gabra4,Bdnf,Gabra2,Adgrl3,Gabra5,Gabrb2,App,Cdh2,Nlgn1,Cbln4,Gabrg2,Cntn5,Flrt3,Slitrk1,Nrg1,Gria1
