TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.40.50.2300	-	7.46632749087265e-17	-37.1335433370672	147	39	0.0444697833523375	877	15921	22311,100042921,224582,621430,434113,269902,14804,620928,624845,637896,14799,14802,231589,620697,233437,628422,110637,22312,330581,108069,624512,625605,14800,625580,14805,108071,627569,627814,546981,211223,434117,620672,665255,14811,628444,242443,319217,100009609,384534	Vmn2r32,Vmn2r51,Vmn2r110,Vmn2r79,Vmn2r44,Vmn2r57,Grid2,Vmn2r73,Vmn2r82,Vmn2r78,Gria1,Gria4,Vmn2r13,Vmn2r68,Vmn2r66,Vmn2r58,Grik4,Vmn2r107,Vmn2r69,Grm3,Vmn2r33,Vmn2r49,Gria2,Vmn2r48,Grik1,Grm5,Vmn2r12,Vmn2r109,Vmn2r75,Vmn2r15,Vmn2r50,Vmn2r67,Vmn2r28,Grin2a,Vmn2r59,Grin3a,Vmn2r7,Vmn2r65,Vmn2r52
2.10.50.30	GPCR, family 3, nine cysteines domain	1.85704489794626e-14	-31.6172048421613	110	31	0.0353477765108324	877	15921	625605,108069,624512,108071,627569,625580,620672,665255,627814,211223,546981,434117,384534,100009609,628444,319217,224582,621430,22311,100042921,620928,624845,434113,269902,628422,231589,637896,620697,233437,330581,22312	Vmn2r49,Grm3,Vmn2r33,Grm5,Vmn2r12,Vmn2r48,Vmn2r67,Vmn2r28,Vmn2r109,Vmn2r15,Vmn2r75,Vmn2r50,Vmn2r52,Vmn2r65,Vmn2r59,Vmn2r7,Vmn2r110,Vmn2r79,Vmn2r32,Vmn2r51,Vmn2r73,Vmn2r82,Vmn2r44,Vmn2r57,Vmn2r58,Vmn2r13,Vmn2r78,Vmn2r68,Vmn2r66,Vmn2r69,Vmn2r107
4.10.900.10	TCF3-CBD (Catenin binding domain)	4.35002118307712e-14	-30.766010587155	31	17	0.0193842645381984	877	15921	13506,16769,12563,13511,12552,211924,13510,215654,241201,23836,13507,12558,320865,13505,225256,13512,227485	Dsc2,Dsg4,Cdh6,Dsg2,Cdh11,Dsg1c,Dsg1a,Cdh12,Cdh7,Cdh20,Dsc3,Cdh2,Cdh18,Dsc1,Dsg1b,Dsg3,Cdh19
2.70.170.10	Neurotransmitter-gated ion-channel ligand-binding domain	2.81912152841817e-09	-19.6868405152725	42	15	0.0171037628278221	877	15921	14399,328699,110304,14394,14395,14400,14405,14401,108043,14406,14402,11441,14397,110886,11440	Gabra6,Gabrr3,Glra3,Gabra1,Gabra2,Gabrb1,Gabrg1,Gabrb2,Chrnb3,Gabrg2,Gabrb3,Chrna7,Gabra4,Gabra5,Chrna6
1.20.58.390	Neurotransmitter-gated ion-channel transmembrane domain	2.81912152841817e-09	-19.6868405152725	42	15	0.0171037628278221	877	15921	14400,14394,14395,110304,14399,328699,108043,14401,14405,110886,14402,14397,11441,14406,11440	Gabrb1,Gabra1,Gabra2,Glra3,Gabra6,Gabrr3,Chrnb3,Gabrb2,Gabrg1,Gabra5,Gabrb3,Gabra4,Chrna7,Gabrg2,Chrna6
3.40.390.10	Collagenase (Catalytic Domain)	2.91667529946999e-09	-19.6528214654311	99	23	0.0262257696693273	877	15921	83996,17380,21892,244486,17389,13525,23793,17384,58860,17381,30800,13526,384814,17386,382007,239337,11500,546055,18491,83995,11504,17392,208936	Mmp1b,Mme,Tll1,Adam29,Mmp16,Adam26a,Adam25,Mmp10,Adamdec1,Mmp12,Mmp20,Adam24,Gm5347,Mmp13,Adam26b,Adamts12,Adam7,Adam39,Pappa,Mmp1a,Adamts1,Mmp3,Adamts18
2.60.40.60	Cadherins	4.64269756132167e-09	-19.1879702686644	118	25	0.0285062713797035	877	15921	211712,23836,13507,241201,215654,219257,12552,13511,227485,12554,13512,225256,13505,73173,320865,12558,54216,13510,211924,270120,12563,16769,13506,14107,11994	Pcdh9,Cdh20,Dsc3,Cdh7,Cdh12,Pcdh20,Cdh11,Dsg2,Cdh19,Cdh13,Dsg3,Dsg1b,Dsc1,Pcdh18,Cdh18,Cdh2,Pcdh7,Dsg1a,Dsg1c,Fat3,Cdh6,Dsg4,Dsc2,Fat1,Pcdh15
1.10.287.70	-	4.96912058109161e-07	-14.5148527719609	148	25	0.0285062713797035	877	15921	238271,20192,14804,30952,110876,14802,14799,16531,338370,20191,15165,268345,67498,20265,20269,16508,14800,14805,98741,20272,20274,170738,16519,16492,140492	Kcnh5,Ryr3,Grid2,Cngb3,Scn2a,Gria4,Gria1,Kcnma1,Nalcn,Ryr2,Hcn1,Kcnc2,Kcnv1,Scn1a,Scn3a,Kcnd2,Gria2,Grik1,Kcnb2,Scn7a,Scn9a,Kcnh7,Kcnj3,Kcna4,Kcnn2
2.60.40.10	Immunoglobulins	6.43941007817274e-06	-11.953073624812	741	70	0.0798175598631699	877	15921	18033,242627,73250,230622,545428,238205,208154,100038947,13176,68797,17082,16979,19266,239857,19270,13593,78911,21923,16981,13839,235106,66673,70911,12506,58178,211323,244682,19664,19876,108097,19283,19274,330908,237523,171283,69675,13840,385658,12805,242384,630146,66996,244853,266815,230613,237313,276891,545156,268902,320712,17968,11658,17295,19272,268890,19116,58998,17930,16001,53870,22138,241035,22253,241568,13837,320398,57810,20348,269784,21960	Nfkb1,Skint5,Ceacam5,Skint6,Ccdc141,Lrfn5,Btla,Sirpb1c,Dcc,Pdgfrl,Il1rl1,Lrrn1,Ptprd,Cadm2,Ptprg,Ebf3,Trim42,Tnc,Lrrn3,Epha5,Ntm,Sorcs3,Phyhipl,Cd48,Sorcs1,Nrg1,Cntn5,Rbpj,Robo1,Prkab2,Ptprz1,Ptprm,Opcml,Ptprq,Havcr1,Pxdn,Epha6,Nxpe3,Cntn1,Lingo2,Cd101,Ceacam11,Nxpe4,Mill1,Skint10,Il20ra,Timd4,Kalrn,Robo2,Abi3bp,Ncam2,Alcam,Met,Ptprk,Lsamp,Prlr,Nectin3,Myom2,Igf1r,Cntn6,Ttn,Pkhd1,Unc5c,Lrrc4c,Epha3,Lrig3,Cdon,Sema3c,Cntn4,Tnr
2.110.10.10	Hemopexin-like domain	2.7384706330396e-05	-10.5055258635255	24	8	0.00912200684150513	877	15921	83996,30800,17386,17392,17389,83995,17381,17384	Mmp1b,Mmp20,Mmp13,Mmp3,Mmp16,Mmp1a,Mmp12,Mmp10
3.40.190.10	Periplasmic binding protein-like II	2.7384706330396e-05	-10.5055258635255	24	8	0.00912200684150513	877	15921	14802,14799,14800,14811,110637,242443,14805,14804	Gria4,Gria1,Gria2,Grin2a,Grik4,Grin3a,Grik1,Grid2
1.10.630.10	Cytochrome P450	3.00217805588265e-05	-10.4135874210986	100	17	0.0193842645381984	877	15921	100043108,13098,433247,53973,13099,233005,337924,13095,13114,13112,13096,100041449,13123,13097,100066,545288,243881	Cyp2c69,Cyp2c39,Cyp2c68,Cyp3a41a,Cyp2c40,Cyp2a22,Cyp3a44,Cyp2c29,Cyp3a16,Cyp3a11,Cyp2c37,Cyp3a59,Cyp7b1,Cyp2c38,Cyp2j11,Cyp2c67,Cyp2b23
2.60.120.260	Galactose-binding domain-like	3.42773457582623e-05	-10.2810258955212	101	17	0.0193842645381984	877	15921	16772,13612,18552,13837,244757,238680,23965,16773,13839,232585,73379,80883,241175,18548,13840,18214,382064	Lama1,Edil3,Pcsk5,Epha3,Glb1l2,Cntnap3,Tenm3,Lama2,Epha5,Vwde,Dcbld2,Ntng1,Cntnap5b,Pcsk1,Epha6,Ddr2,Gm1110
1.20.120.350	Voltage-gated potassium channels. Chain C	0.000103397411885103	-9.17693062632793	61	12	0.0136830102622577	877	15921	20265,20274,20269,16508,208169,338370,16492,20272,98741,110876,268345,67498	Scn1a,Scn9a,Scn3a,Kcnd2,Slc9c1,Nalcn,Kcna4,Scn7a,Kcnb2,Scn2a,Kcnc2,Kcnv1
4.10.70.10	Disintegrin domain	0.000137813217340063	-8.88961128714799	37	9	0.0102622576966933	877	15921	23793,13525,546055,58860,13526,384814,244486,382007,11500	Adam25,Adam26a,Adam39,Adamdec1,Adam24,Gm5347,Adam29,Adam26b,Adam7
3.40.50.2000	Glycogen Phosphorylase B	0.000137813217340063	-8.88961128714799	37	9	0.0102622576966933	877	15921	22239,94215,72094,231396,100727,112417,100559,22238,552899	Ugt8a,Ugt2a1,Ugt2a3,Ugt2b36,Ugt2b34,Ugt2b37,Ugt2b38,Ugt2b5,Ugt2a2
2.20.100.10	Thrombospondin type-1 (TSP1) repeat	0.000167446757841828	-8.69484512085938	64	12	0.0136830102622577	877	15921	110382,208936,20356,11504,207596,330267,319909,12274,22253,239337,210933,230558	C8b,Adamts18,Sema5a,Adamts1,Thsd4,Thsd7a,Ism1,C6,Unc5c,Adamts12,Adgrb3,C8a
2.60.120.200	-	0.000275890175094257	-8.19550768776199	119	17	0.0193842645381984	877	15921	12839,18491,12814,16772,12317,19274,238680,69700,270120,110789,19272,19146,16773,14107,11682,241175,18191	Col9a1,Pappa,Col11a1,Lama1,Calr,Ptprm,Cntnap3,Col22a1,Fat3,Adgrv1,Ptprk,Tmprss15,Lama2,Fat1,Alk,Cntnap5b,Nrxn3
1.20.5.1190	iswi atpase	0.000445097312630306	-7.71721761963693	13	5	0.00570125427594071	877	15921	20269,20265,20274,110876,20272	Scn3a,Scn1a,Scn9a,Scn2a,Scn7a
2.10.25.10	Laminin	0.0004771966300273	-7.64758192973674	220	25	0.0285062713797035	877	15921	21892,18191,241175,16773,23965,21802,21923,216616,223272,211323,16449,94217,14107,628870,23964,80883,22018,238680,23966,270120,21960,56079,16772,13612,210622	Tll1,Nrxn3,Cntnap5b,Lama2,Tenm3,Tgfa,Tnc,Efemp1,Itgbl1,Nrg1,Jag1,Lrp1b,Fat1,Otogl,Tenm2,Ntng1,Tpo,Cntnap3,Tenm4,Fat3,Tnr,Astn2,Lama1,Edil3,Pamr1
1.20.1250.10	-	0.000577248952640403	-7.45723692412646	83	13	0.0148232611174458	877	15921	16187,19112,215029,50929,13529,66392,18812,107849,18775,19114,18814,67000,27372	Il3,Prl8a6,Prl3d3,Il22,Prl8a2,Prl2b1,Prl2c3,Prl2c5,Prl3d1,Prl7a2,Prl7d1,Prl3a1,Prl3c1
2.180.10.10	RHS repeat-associated core	0.00063896891671035	-7.35565474841565	4	3	0.00342075256556442	877	15921	23964,23966,23965	Tenm2,Tenm4,Tenm3
2.60.120.1000	-	0.0023534706319457	-6.05186417566038	18	5	0.00570125427594071	877	15921	12814,241175,12825,238680,12832	Col11a1,Cntnap5b,Col3a1,Cntnap3,Col5a2
4.10.320.30	-	0.00293820455966507	-5.82995657817255	6	3	0.00342075256556442	877	15921	17933,320858,240690	Myt1l,L3mbtl4,St18
