TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0004930	G protein-coupled receptor activity	2.75520340410854e-15	-33.5252851241388	751	98	0.062143310082435	1577	28418	387347,244114,171228,231589,14064,637896,387348,384219,171240,620672,384220,434113,23796,171256,667069,675969,19220,171253,64450,14062,210933,624845,171275,17202,620928,225998,171206,546980,108069,171251,637004,22045,22311,18387,624512,625580,387342,433070,113848,11548,18169,627814,210463,17201,21338,434117,171198,546981,226304,211223,330581,12671,621430,665255,620697,110789,65086,14400,171272,239283,171257,22312,171246,239336,625605,233445,628422,57254,628444,224582,384534,15446,319387,216749,171252,18166,18168,209776,229357,100009609,213527,627569,225192,667060,171237,319217,171229,233437,171265,387349,269902,17773,670940,637053,100042921,108071,81006,14763	Tas2r118,Vmn2r72,Vmn1r225,Vmn2r13,F2rl2,Vmn2r78,Tas2r120,Vmn2r11,Vmn1r74,Vmn2r67,Vmn2r16,Vmn2r44,Aplnr,Vmn1r218,Vmn2r6,Vmn2r76,Ptgfr,Vmn1r215,Gpr85,F2r,Adgrb3,Vmn2r82,Vmn1r212,Mc4r,Vmn2r73,Rorb,Vmn1r27,Vmn2r74,Grm3,Vmn1r205,Vmn2r3,Trhr,Vmn2r32,Oprk1,Vmn2r33,Vmn2r48,Tas2r107,Vmn2r96,Vmn1r42,Adra1b,Npy6r,Vmn2r109,Slc22a22,Mc3r,Tacr3,Vmn2r50,Vmn1r28,Vmn2r75,Npbwr1,Vmn2r15,Vmn2r69,Chrm3,Vmn2r79,Vmn2r28,Vmn2r68,Adgrv1,Lpar3,Gabrb1,Vmn1r219,Oxgr1,Vmn1r195,Vmn2r107,Vmn1r200,Rxfp3,Vmn2r49,Vmn2r71,Vmn2r58,Tas2r119,Vmn2r59,Vmn2r110,Vmn2r52,Hpgd,Adgrl3,Nmur2,Vmn1r208,Npy1r,Npy5r,Gpr139,Gpr149,Vmn2r65,Pth2r,Vmn2r12,Hrh4,Vmn2r5,Vmn1r73,Vmn2r7,Vmn1r227,Vmn2r66,Vmn1r185,Tas2r121,Vmn2r57,Mtnr1a,Vmn2r70,Vmn2r4,Vmn2r51,Grm5,Gpr63,Gpr37
GO:0022824	transmitter-gated monoatomic ion channel activity	1.09368305954679e-13	-29.8440552548059	57	22	0.0139505389980977	1577	28418	14800,110886,14399,110637,14394,11440,14395,11441,14802,14811,14405,14406,108043,242443,14805,14401,110304,14402,14400,14397,14799,14804	Gria2,Gabra5,Gabra6,Grik4,Gabra1,Chrna6,Gabra2,Chrna7,Gria4,Grin2a,Gabrg1,Gabrg2,Chrnb3,Grin3a,Grik1,Gabrb2,Glra3,Gabrb3,Gabrb1,Gabra4,Gria1,Grid2
GO:0022835	transmitter-gated channel activity	1.09368305954679e-13	-29.8440552548059	57	22	0.0139505389980977	1577	28418	14804,14799,14406,242443,14805,14395,14405,14399,110886,110637,14394,14400,14397,108043,14401,14402,110304,11441,14811,14802,14800,11440	Grid2,Gria1,Gabrg2,Grin3a,Grik1,Gabra2,Gabrg1,Gabra6,Gabra5,Grik4,Gabra1,Gabrb1,Gabra4,Chrnb3,Gabrb2,Gabrb3,Glra3,Chrna7,Grin2a,Gria4,Gria2,Chrna6
GO:0015276	ligand-gated monoatomic ion channel activity	9.62637678924358e-13	-27.6690992959401	181	38	0.0240963855421687	1577	28418	72413,170738,14800,20191,11440,58869,228432,20192,30952,11441,14811,14802,108043,14401,110304,14402,14400,14397,16519,16531,14399,110886,110637,14394,11826,277328,14395,14405,171382,14406,242443,12722,14805,216749,14799,15165,14804,140492	Kcnmb2,Kcnh7,Gria2,Ryr2,Chrna6,Pex5l,Ano3,Ryr3,Cngb3,Chrna7,Grin2a,Gria4,Chrnb3,Gabrb2,Glra3,Gabrb3,Gabrb1,Gabra4,Kcnj3,Kcnma1,Gabra6,Gabra5,Grik4,Gabra1,Aqp1,Trpa1,Gabra2,Gabrg1,Trpm8,Gabrg2,Grin3a,Clca3a1,Grik1,Nmur2,Gria1,Hcn1,Grid2,Kcnn2
GO:0005216	monoatomic ion channel activity	1.73807892585103e-12	-27.0782406782344	440	64	0.0405833861762841	1577	28418	277328,11826,14394,208169,14399,12294,98741,14405,14395,67498,216749,14805,12722,140492,15165,14804,14799,20192,58869,20928,20269,226025,14802,14811,16508,16492,30952,20265,14402,110304,108043,20614,16519,208890,238271,80334,338370,110637,110886,268345,20274,328699,71898,242443,171382,14406,12296,11440,228432,20191,14800,170738,16497,72413,110876,329178,11441,234267,239931,14401,20272,16531,14397,14400	Trpa1,Aqp1,Gabra1,Slc9c1,Gabra6,Cacna2d3,Kcnb2,Gabrg1,Gabra2,Kcnv1,Nmur2,Grik1,Clca3a1,Kcnn2,Hcn1,Grid2,Gria1,Ryr3,Pex5l,Abcc9,Scn3a,Trpm3,Gria4,Grin2a,Kcnd2,Kcna4,Cngb3,Scn1a,Gabrb3,Glra3,Chrnb3,Snap25,Kcnj3,Slc26a7,Kcnh5,Kcnip4,Nalcn,Grik4,Gabra5,Kcnc2,Scn9a,Gabrr3,Apol9b,Grin3a,Trpm8,Gabrg2,Cacnb2,Chrna6,Ano3,Ryr2,Gria2,Kcnh7,Kcnab1,Kcnmb2,Scn2a,Unc80,Chrna7,Gpm6a,Cldn17,Gabrb2,Scn7a,Kcnma1,Gabra4,Gabrb1
GO:0022834	ligand-gated channel activity	1.96079086635782e-12	-26.9576732208279	185	38	0.0240963855421687	1577	28418	14804,15165,14799,140492,12722,14805,216749,171382,14406,242443,14405,14395,110637,14394,277328,11826,14399,110886,16519,16531,14400,14397,14401,110304,14402,108043,14811,14802,30952,11441,20191,228432,58869,11440,20192,72413,170738,14800	Grid2,Hcn1,Gria1,Kcnn2,Clca3a1,Grik1,Nmur2,Trpm8,Gabrg2,Grin3a,Gabrg1,Gabra2,Grik4,Gabra1,Trpa1,Aqp1,Gabra6,Gabra5,Kcnj3,Kcnma1,Gabrb1,Gabra4,Gabrb2,Glra3,Gabrb3,Chrnb3,Grin2a,Gria4,Cngb3,Chrna7,Ryr2,Ano3,Pex5l,Chrna6,Ryr3,Kcnmb2,Kcnh7,Gria2
GO:0098960	postsynaptic neurotransmitter receptor activity	2.25646984802218e-12	-26.8172195380098	71	23	0.0145846544071021	1577	28418	14397,225192,14400,14402,14401,108043,14811,14802,11441,11440,108071,14800,14799,14804,14805,242443,14406,12671,14395,14394,110637,14399,110886	Gabra4,Hrh4,Gabrb1,Gabrb3,Gabrb2,Chrnb3,Grin2a,Gria4,Chrna7,Chrna6,Grm5,Gria2,Gria1,Grid2,Grik1,Grin3a,Gabrg2,Chrm3,Gabra2,Gabra1,Grik4,Gabra6,Gabra5
GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	2.3652353129429e-12	-26.7701436008612	53	20	0.0126823081800888	1577	28418	14402,14401,14805,242443,108043,14406,14799,14804,14397,14400,11440,14394,110637,14399,14800,110886,14811,14802,11441,14395	Gabrb3,Gabrb2,Grik1,Grin3a,Chrnb3,Gabrg2,Gria1,Grid2,Gabra4,Gabrb1,Chrna6,Gabra1,Grik4,Gabra6,Gria2,Gabra5,Grin2a,Gria4,Chrna7,Gabra2
GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	7.82249730113253e-12	-25.5740172643811	56	20	0.0126823081800888	1577	28418	242443,108043,14406,14402,14401,14805,14804,14799,14397,14400,14399,14800,110886,14394,11440,110637,11441,14395,14811,14802	Grin3a,Chrnb3,Gabrg2,Gabrb3,Gabrb2,Grik1,Grid2,Gria1,Gabra4,Gabrb1,Gabra6,Gria2,Gabra5,Gabra1,Chrna6,Grik4,Chrna7,Gabra2,Grin2a,Gria4
GO:0030594	neurotransmitter receptor activity	8.66150576435025e-12	-25.4721325326778	96	26	0.0164870006341154	1577	28418	14395,328699,12671,14405,14399,110886,110637,14394,14799,14804,14406,242443,14805,11441,14811,14802,14800,108071,11440,225192,14400,14397,108043,14401,110304,14402	Gabra2,Gabrr3,Chrm3,Gabrg1,Gabra6,Gabra5,Grik4,Gabra1,Gria1,Grid2,Gabrg2,Grin3a,Grik1,Chrna7,Grin2a,Gria4,Gria2,Grm5,Chrna6,Hrh4,Gabrb1,Gabra4,Chrnb3,Gabrb2,Glra3,Gabrb3
