TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50259	G_PROTEIN_RECEP_F3_4	3.82403269259902e-13	-28.5923006644502	117	31	0.0398970398970399	777	13465	233437,628444,665255,627569,211223,100009609,620928,269902,330581,108069,625580,546981,627814,434117,625605,231589,22311,620697,637896,624512,621430,620672,384534,22312,319217,100042921,624845,108071,434113,628422,224582	Vmn2r66,Vmn2r59,Vmn2r28,Vmn2r12,Vmn2r15,Vmn2r65,Vmn2r73,Vmn2r57,Vmn2r69,Grm3,Vmn2r48,Vmn2r75,Vmn2r109,Vmn2r50,Vmn2r49,Vmn2r13,Vmn2r32,Vmn2r68,Vmn2r78,Vmn2r33,Vmn2r79,Vmn2r67,Vmn2r52,Vmn2r107,Vmn2r7,Vmn2r51,Vmn2r82,Grm5,Vmn2r44,Vmn2r58,Vmn2r110
PS00236	NEUROTR_ION_CHANNEL	3.54721757989424e-09	-19.4571023210869	41	15	0.0193050193050193	777	13465	14405,14399,328699,14400,14402,14394,108043,11440,110886,110304,11441,14397,14406,14401,14395	Gabrg1,Gabra6,Gabrr3,Gabrb1,Gabrb3,Gabra1,Chrnb3,Chrna6,Gabra5,Glra3,Chrna7,Gabra4,Gabrg2,Gabrb2,Gabra2
PS00232	CADHERIN_1	4.45599247723662e-09	-19.2290160225552	113	25	0.0321750321750322	777	13465	12563,225256,13512,241201,13510,12554,13505,16769,23836,219257,12552,13506,73173,215654,14107,227485,211712,13507,12558,320865,211924,13511,54216,270120,11994	Cdh6,Dsg1b,Dsg3,Cdh7,Dsg1a,Cdh13,Dsc1,Dsg4,Cdh20,Pcdh20,Cdh11,Dsc2,Pcdh18,Cdh12,Fat1,Cdh19,Pcdh9,Dsc3,Cdh2,Cdh18,Dsg1c,Dsg2,Pcdh7,Fat3,Pcdh15
PS50268	CADHERIN_2	1.13865828260924e-08	-18.2908301197693	118	25	0.0321750321750322	777	13465	270120,11994,211924,54216,13511,13507,211712,12558,320865,227485,215654,73173,14107,12552,23836,219257,13506,241201,12554,13510,16769,13505,13512,225256,12563	Fat3,Pcdh15,Dsg1c,Pcdh7,Dsg2,Dsc3,Pcdh9,Cdh2,Cdh18,Cdh19,Cdh12,Pcdh18,Fat1,Cdh11,Cdh20,Pcdh20,Dsc2,Cdh7,Cdh13,Dsg1a,Dsg4,Dsc1,Dsg3,Dsg1b,Cdh6
PS50853	FN3	3.94223898645642e-08	-17.0489319113729	190	32	0.0411840411840412	777	13465	21923,57810,70911,237313,53870,17968,16001,19266,12805,268902,22138,13837,244682,320712,17930,78911,21960,19283,19116,545156,13840,19274,16979,13176,13839,19876,269784,19270,71436,16981,19272,237523	Tnc,Cdon,Phyhipl,Il20ra,Cntn6,Ncam2,Igf1r,Ptprd,Cntn1,Robo2,Ttn,Epha3,Cntn5,Abi3bp,Myom2,Trim42,Tnr,Ptprz1,Prlr,Kalrn,Epha6,Ptprm,Lrrn1,Dcc,Epha5,Robo1,Cntn4,Ptprg,Flrt3,Lrrn3,Ptprk,Ptprq
PS00546	CYSTEINE_SWITCH	5.31233577812238e-07	-14.448064029539	15	8	0.0102960102960103	777	13465	17381,83995,17392,17389,30800,17386,17384,83996	Mmp12,Mmp1a,Mmp3,Mmp16,Mmp20,Mmp13,Mmp10,Mmp1b
PS00375	UDPGT	8.02525585246934e-06	-11.7329170075288	20	8	0.0102960102960103	777	13465	72094,22238,231396,552899,94215,22239,100727,112417	Ugt2a3,Ugt2b5,Ugt2b36,Ugt2a2,Ugt2a1,Ugt8a,Ugt2b34,Ugt2b37
PS00142	ZINC_PROTEASE	3.29780943311555e-05	-10.3196670250628	78	15	0.0193050193050193	777	13465	17380,11504,18491,13526,83995,30800,17384,239337,58860,23793,17381,13525,17392,17386,17389	Mme,Adamts1,Pappa,Adam24,Mmp1a,Mmp20,Mmp10,Adamts12,Adamdec1,Adam25,Mmp12,Adam26a,Mmp3,Mmp13,Mmp16
PS51465	KAZAL_2	3.72838429315045e-05	-10.1969504905329	53	12	0.0154440154440154	777	13465	28250,433180,72902,28248,70866,28253,58807,240726,433178,74441,20745,72432	Slco1a4,Spink6,Spock3,Slco1a1,Slco6d1,Slco1b2,Slco1c1,Slco5a1,Spink14,Slco6c1,Spock1,Spink5
PS51642	HEMOPEXIN_2	3.8106639353891e-05	-10.1751220297564	24	8	0.0102960102960103	777	13465	83996,17384,30800,17389,17386,17392,83995,17381	Mmp1b,Mmp10,Mmp20,Mmp16,Mmp13,Mmp3,Mmp1a,Mmp12
PS50215	ADAM_MEPRO	5.51257113593567e-05	-9.8058943198024	55	12	0.0154440154440154	777	13465	11504,13526,244486,382007,11500,546055,239337,58860,384814,23793,208936,13525	Adamts1,Adam24,Adam29,Adam26b,Adam7,Adam39,Adamts12,Adamdec1,Gm5347,Adam25,Adamts18,Adam26a
PS00024	HEMOPEXIN	5.6660172022991e-05	-9.77843902750949	19	7	0.00900900900900901	777	13465	17381,17386,17389,83995,17392,17384,83996	Mmp12,Mmp13,Mmp16,Mmp1a,Mmp3,Mmp10,Mmp1b
PS00086	CYTOCHROME_P450	7.54667310326655e-05	-9.49181864739738	93	16	0.0205920205920206	777	13465	243881,545288,100043108,100066,13095,233005,13112,53973,13097,433247,13099,13096,13114,13098,337924,100041449	Cyp2b23,Cyp2c67,Cyp2c69,Cyp2j11,Cyp2c29,Cyp2a22,Cyp3a11,Cyp3a41a,Cyp2c38,Cyp2c68,Cyp2c40,Cyp2c37,Cyp3a16,Cyp2c39,Cyp3a44,Cyp3a59
PS00266	SOMATOTROPIN_1	0.000175906875579413	-8.64555581898346	16	6	0.00772200772200772	777	13465	18812,107849,67000,215029,18775,18814	Prl2c3,Prl2c5,Prl3a1,Prl3d3,Prl3d1,Prl7d1
PS00338	SOMATOTROPIN_2	0.000175906875579413	-8.64555581898346	16	6	0.00772200772200772	777	13465	18814,18775,19114,215029,107849,18812	Prl7d1,Prl3d1,Prl7a2,Prl3d3,Prl2c5,Prl2c3
PS50214	DISINTEGRIN_2	0.000195034884964109	-8.54233211814889	37	9	0.0115830115830116	777	13465	13526,58860,11500,546055,13525,244486,384814,382007,23793	Adam24,Adamdec1,Adam7,Adam39,Adam26a,Adam29,Gm5347,Adam26b,Adam25
PS50092	TSP1	0.000297687398230424	-8.1194666212704	65	12	0.0154440154440154	777	13465	230558,207596,330267,20356,11504,110382,208936,12274,210933,239337,319909,22253	C8a,Thsd4,Thsd7a,Sema5a,Adamts1,C8b,Adamts18,C6,Adgrb3,Adamts12,Ism1,Unc5c
PS50835	IG_LIKE	0.000308838599756314	-8.08269174841454	457	45	0.0579150579150579	777	13465	57810,19266,268902,17968,235106,68797,230613,330908,320398,17930,545428,268890,19274,13176,208154,630146,241568,16979,266815,238205,12506,58998,53870,17082,276891,230622,12805,239857,22138,242627,22253,244682,20348,211323,545156,100038947,242384,19876,69675,11658,16981,269784,171283,73250,19272	Cdon,Ptprd,Robo2,Ncam2,Ntm,Pdgfrl,Skint10,Opcml,Lrig3,Myom2,Ccdc141,Lsamp,Ptprm,Dcc,Btla,Cd101,Lrrc4c,Lrrn1,Mill1,Lrfn5,Cd48,Nectin3,Cntn6,Il1rl1,Timd4,Skint6,Cntn1,Cadm2,Ttn,Skint5,Unc5c,Cntn5,Sema3c,Nrg1,Kalrn,Sirpb1c,Lingo2,Robo1,Pxdn,Alcam,Lrrn3,Cntn4,Havcr1,Ceacam5,Ptprk
PS50026	EGF_3	0.000529112165572489	-7.54431011536353	200	24	0.0308880308880309	777	13465	94217,13612,80883,270120,382007,23964,21923,13526,16449,210622,22018,23965,384814,238680,216616,23793,18191,21892,546055,21802,211323,14107,241175,23966	Lrp1b,Edil3,Ntng1,Fat3,Adam26b,Tenm2,Tnc,Adam24,Jag1,Pamr1,Tpo,Tenm3,Gm5347,Cntnap3,Efemp1,Adam25,Nrxn3,Tll1,Adam39,Tgfa,Nrg1,Fat1,Cntnap5b,Tenm4
