TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-112316	Neuronal System	5.2795993744955e-14	-30.5723410831197	311	53	0.111814345991561	474	8672	15165,14395,14702,12314,192167,108071,16519,18191,14800,13823,72413,14811,16531,224997,23859,74342,140492,14400,108030,14402,19266,268345,170738,16497,14399,268860,20614,14802,328699,63993,11440,14397,67498,108043,238271,12296,14394,98741,11514,110637,11441,16492,14677,14799,14688,244310,20928,110886,20979,16508,14401,14805,14406	Hcn1,Gabra2,Gng2,Calm2,Nlgn1,Grm5,Kcnj3,Nrxn3,Gria2,Epb41l3,Kcnmb2,Grin2a,Kcnma1,Dlgap1,Dlg2,Lrrtm1,Kcnn2,Gabrb1,Lin7a,Gabrb3,Ptprd,Kcnc2,Kcnh7,Kcnab1,Gabra6,Abat,Snap25,Gria4,Gabrr3,Slc5a7,Chrna6,Gabra4,Kcnv1,Chrnb3,Kcnh5,Cacnb2,Gabra1,Kcnb2,Adcy8,Grik4,Chrna7,Kcna4,Gnai1,Gria1,Gnb1,Dlgap2,Abcc9,Gabra5,Syt1,Kcnd2,Gabrb2,Grik1,Gabrg2
R-MMU-977441	GABA A receptor activation	2.37627249634122e-09	-19.8577327550098	13	9	0.0189873417721519	474	8672	14401,14402,14395,14406,110886,14397,14399,14394,14400	Gabrb2,Gabrb3,Gabra2,Gabrg2,Gabra5,Gabra4,Gabra6,Gabra1,Gabrb1
R-MMU-975298	Ligand-gated ion channel transport	4.73133492224582e-09	-19.1690584496842	22	11	0.0232067510548523	474	8672	110304,14400,14406,14397,328699,14401,14399,14394,110886,14402,14395	Glra3,Gabrb1,Gabrg2,Gabra4,Gabrr3,Gabrb2,Gabra6,Gabra1,Gabra5,Gabrb3,Gabra2
R-MMU-211981	Xenobiotics	1.58255973404582e-08	-17.9616371229961	41	14	0.029535864978903	474	8672	53973,13096,100043108,13095,243881,433247,13098,13099,11864,13112,13114,13097,337924,545288	Cyp3a41a,Cyp2c37,Cyp2c69,Cyp2c29,Cyp2b23,Cyp2c68,Cyp2c39,Cyp2c40,Arnt2,Cyp3a11,Cyp3a16,Cyp2c38,Cyp3a44,Cyp2c67
R-MMU-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	2.39959252383824e-08	-17.5453818027471	86	20	0.0421940928270042	474	8672	27207,100503670,268449,19944,14109,16785,66489,20104,19933,270106,54217,16898,20088,22121,67671,19941,20085,20042,68436,433003	Rps11,Rpl5,Rpl23a,Rpl29,Fau,Rpsa,Rpl35,Rps6,Rpl21,Rpl13,Rpl36,Rps2,Rps24,Rpl13a,Rpl38,Rpl26,Rps19,Rps12,Rpl34,Gm5481
R-MMU-1799339	SRP-dependent cotranslational protein targeting to membrane	2.96049194918688e-08	-17.3353252903763	87	20	0.0421940928270042	474	8672	27207,19944,14109,268449,100503670,54217,16898,16785,270106,66489,19933,20104,20042,68436,20085,19941,67671,433003,22121,20088	Rps11,Rpl29,Fau,Rpl23a,Rpl5,Rpl36,Rps2,Rpsa,Rpl13,Rpl35,Rpl21,Rps6,Rps12,Rpl34,Rps19,Rpl26,Rpl38,Gm5481,Rpl13a,Rps24
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	6.78291428429551e-08	-16.506273898911	136	25	0.0527426160337553	474	8672	14399,110886,14799,14402,14688,14805,11440,14406,14397,14802,328699,14401,12314,14394,16519,11514,14800,14395,108043,14702,14400,14677,14811,110637,11441	Gabra6,Gabra5,Gria1,Gabrb3,Gnb1,Grik1,Chrna6,Gabrg2,Gabra4,Gria4,Gabrr3,Gabrb2,Calm2,Gabra1,Kcnj3,Adcy8,Gria2,Gabra2,Chrnb3,Gng2,Gabrb1,Gnai1,Grin2a,Grik4,Chrna7
R-MMU-112315	Transmission across Chemical Synapses	7.91015225422759e-08	-16.352533714036	197	31	0.0654008438818565	474	8672	14811,11441,110637,14400,108030,14677,14395,108043,14702,14394,16519,12296,12314,11514,14800,20614,20979,328699,14401,14802,11440,14805,63993,14397,14406,14688,14402,14799,268860,14399,110886	Grin2a,Chrna7,Grik4,Gabrb1,Lin7a,Gnai1,Gabra2,Chrnb3,Gng2,Gabra1,Kcnj3,Cacnb2,Calm2,Adcy8,Gria2,Snap25,Syt1,Gabrr3,Gabrb2,Gria4,Chrna6,Grik1,Slc5a7,Gabra4,Gabrg2,Gnb1,Gabrb3,Gria1,Abat,Gabra6,Gabra5
R-MMU-72689	Formation of a pool of free 40S subunits	9.75306238248958e-08	-16.143099417747	93	20	0.0421940928270042	474	8672	22121,20088,20085,68436,20042,19941,67671,433003,16785,270106,19933,66489,20104,54217,16898,268449,100503670,19944,14109,27207	Rpl13a,Rps24,Rps19,Rpl34,Rps12,Rpl26,Rpl38,Gm5481,Rpsa,Rpl13,Rpl21,Rpl35,Rps6,Rpl36,Rps2,Rpl23a,Rpl5,Rpl29,Fau,Rps11
R-MMU-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	1.46974091192798e-07	-15.7330095160907	104	21	0.0443037974683544	474	8672	22121,20088,433003,68436,20085,20042,19941,67671,270106,66489,20104,19933,16785,16898,54217,268449,100503670,14109,19944,226982,27207	Rpl13a,Rps24,Gm5481,Rpl34,Rps19,Rps12,Rpl26,Rpl38,Rpl13,Rpl35,Rps6,Rpl21,Rpsa,Rps2,Rpl36,Rpl23a,Rpl5,Fau,Rpl29,Eif5b,Rps11
