TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
51789	Tnk2 (tyrosine kinase, non-receptor, 2)	7.58482504828759e-07	-14.09194610391	75	22	0.0201649862511457	1091	11667	225115,21873,71435,67300,381353,235497,194401,360013,16822,19229,20411,51789,209630,17760,15567,17886,17931,77579,16531,12322,67299,26936	Svil,Tjp2,Arhgap21,Cltc,Ajm1,Leo1,Mical3,Myo18a,Lcp2,Ptk2b,Sorbs1,Tnk2,Frmd4a,Map6,Slc6a4,Myh9,Ppp1r12a,Myh10,Kcnma1,Camk2a,Dock7,Mprip
12402	Cbl (Casitas B-lineage lymphoma)	1.49524821903131e-06	-13.4132183321067	72	21	0.0192483959670028	1091	11667	19229,20411,21934,17886,18708,16443,208650,16428,14360,20662,16590,233335,19303,16818,13196,29875,16416,107746,20963,13860,14784	Ptk2b,Sorbs1,Tnfrsf11a,Myh9,Pik3r1,Itsn1,Cblb,Itk,Fyn,Sos1,Kit,Synm,Pxn,Lck,Asap1,Iqgap1,Itgb3,Rapgef1,Syk,Eps8,Grb2
14083	Ptk2 (PTK2 protein tyrosine kinase 2)	2.10764534012164e-05	-10.7673540931699	54	16	0.0146654445462878	1091	11667	319939,19303,16419,22350,12702,13196,29875,14784,19211,224997,19229,20411,22330,18708,14360,12043	Tns3,Pxn,Itgb5,Ezr,Socs3,Asap1,Iqgap1,Grb2,Pten,Dlgap1,Ptk2b,Sorbs1,Vcl,Pik3r1,Fyn,Bcl2
16452	Jak2 (Janus kinase 2)	7.5214847929563e-05	-9.4951619006265	42	13	0.0119156736938588	1091	11667	15205,13857,20399,56468,16452,12702,18708,72828,20851,15979,19246,16590,16195	Hes1,Epor,Sh2b1,Socs5,Jak2,Socs3,Pik3r1,Ubash3b,Stat5b,Ifngr1,Ptpn1,Kit,Il6st
15170	Ptpn6 (protein tyrosine phosphatase, non-receptor type 6)	0.000133810535791648	-8.91908567053277	28	10	0.00916590284142988	1091	11667	13448,16452,208650,19268,20963,545622,20662,19249,22031,14784	Dok1,Jak2,Cblb,Ptprf,Syk,Ptpn3,Sos1,Ptpn13,Traf3,Grb2
18708	Pik3r1 (phosphoinositide-3-kinase regulatory subunit 1)	0.000163540515607802	-8.7184497964422	63	16	0.0146654445462878	1091	11667	13860,14784,19713,21687,14783,13857,16818,13448,14281,14360,20662,16590,384783,21934,16452,17760	Eps8,Grb2,Ret,Tek,Grb10,Epor,Lck,Dok1,Fos,Fyn,Sos1,Kit,Irs2,Tnfrsf11a,Jak2,Map6
74053	Grip1 (glutamate receptor interacting protein 1)	0.000201236356017115	-8.51103044015212	15	7	0.00641613198900092	1091	11667	268903,13982,16978,18519,15567,14815,19401	Nrip1,Esr1,Lrrfip1,Kat2b,Slc6a4,Nr3c1,Rara
109294	Prex2 (phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2)	0.000201649550039647	-8.50897926804016	11	6	0.00549954170485793	1091	11667	277463,277360,71972,545156,19211,20411	Gpr107,Prex1,Dnmbp,Kalrn,Pten,Sorbs1
270106	Rpl13 (ribosomal protein L13)	0.000408476240621345	-7.80307680784937	109	22	0.0201649862511457	1091	11667	67097,19895,114641,57808,16898,19156,20085,58523,19941,19896,20068,19211,66475,19933,19946,19951,20055,110954,19899,267019,78757,56040	Rps10,Rpia,Rpl31,Rpl35a,Rps2,Psap,Rps19,Elp2,Rpl26,Rpl10a,Rps17,Pten,Rps23,Rpl21,Rpl30,Rpl32,Rps16,Rpl10,Rpl18,Rps15a,Rictor,Rplp1
328572	Ep300 (E1A binding protein p300)	0.000467596123648894	-7.6679056182876	82	18	0.0164986251145738	1091	11667	18128,73389,13982,20375,12393,56312,14281,17977,12394,18708,56484,30946,21385,22059,18519,18124,13723,19401	Notch1,Hbp1,Esr1,Spi1,Runx2,Nupr1,Fos,Ncoa1,Runx1,Pik3r1,Foxo3,Abt1,Tbx2,Trp53,Kat2b,Nr4a3,Emb,Rara
