TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko05202	Transcriptional misregulation in cancer	6.46524866426694e-08	-16.5542392693179	177	37	0.0564024390243902	656	8044	80859,235320,20471,11908,12393,18033,72949,15242,15405,17355,70122,67603,17260,108829,16421,18627,140780,22059,19401,13876,18590,17268,14011,18792,16001,16909,18647,66629,17125,17395,12775,18509,27140,18124,20375,12394,56312	Nfkbiz,Zbtb16,Six1,Atf1,Runx2,Nfkb1,Ccnt2,Hhex,Hoxa9,Aff1,Mllt3,Dusp6,Mef2c,Jmjd1c,Itgb7,Per2,Bmp2k,Trp53,Rara,Erg,Pdgfa,Meis1,Etv6,Plau,Igf1r,Lmo2,Cdk14,Golph3,Smad1,Mmp9,Ccr7,Pax7,Tlx3,Nr4a3,Spi1,Runx1,Nupr1
mmu05202	Transcriptional misregulation in cancer	6.46524866426694e-08	-16.5542392693179	177	37	0.0564024390243902	656	8044	18627,140780,22059,17260,108829,16421,67603,70122,15405,17355,72949,15242,12393,11908,18033,80859,20471,235320,12394,56312,18509,27140,20375,18124,12775,66629,17125,17395,16001,16909,18647,18792,14011,13876,19401,17268,18590	Per2,Bmp2k,Trp53,Mef2c,Jmjd1c,Itgb7,Dusp6,Mllt3,Hoxa9,Aff1,Ccnt2,Hhex,Runx2,Atf1,Nfkb1,Nfkbiz,Six1,Zbtb16,Runx1,Nupr1,Pax7,Tlx3,Spi1,Nr4a3,Ccr7,Golph3,Smad1,Mmp9,Igf1r,Lmo2,Cdk14,Plau,Etv6,Erg,Rara,Meis1,Pdgfa
mmu05200	Pathways in cancer	2.24000374172558e-07	-15.3116181146796	393	62	0.0945121951219512	656	8044	20851,12394,17395,11515,11607,104110,16772,19765,16001,19401,14062,20890,22339,22346,22059,72993,13557,12579,11789,18708,234779,20662,242705,14178,15519,235320,18749,18033,19713,18750,14281,23805,20375,14179,12571,12043,208650,12826,19211,14369,11797,17127,14013,19878,19207,18590,12767,14679,16451,110157,12578,54354,16590,14702,14710,57265,110279,14784,66197,112407,22031,16403	Stat5b,Runx1,Mmp9,Adcy9,Agtr1a,Adcy4,Lama1,Ralbp1,Igf1r,Rara,F2r,Wnt8a,Vegfa,Vhl,Trp53,Appl1,E2f3,Cdkn2b,Apc,Pik3r1,Plcg2,Sos1,E2f2,Fgf7,Hsp90aa1,Zbtb16,Prkacb,Nfkb1,Ret,Prkca,Fos,Apc2,Spi1,Fgf8,Cdk6,Bcl2,Cblb,Col4a1,Pten,Fzd7,Birc2,Smad3,Mecom,Rock2,Ptch2,Pdgfa,Cxcr4,Gnai3,Jak1,Raf1,Cdkn2a,Rassf5,Kit,Gng2,Gngt2,Fzd2,Bcr,Grb2,Cks2,Egln3,Traf3,Itga6
ko04550	Signaling pathways regulating pluripotency of stem cells	4.16851928054013e-06	-12.3879496738119	137	28	0.0426829268292683	656	8044	16878,15110,20674,18999,14784,11479,18708,15901,244349,11789,57265,16452,18119,110157,16195,16451,20890,17268,16001,18423,17127,15209,18014,15379,17125,14369,11906,23805	Lif,Hand1,Sox2,Pou5f1,Grb2,Acvr1b,Pik3r1,Id1,Kat6a,Apc,Fzd2,Jak2,Nodal,Raf1,Il6st,Jak1,Wnt8a,Meis1,Igf1r,Otx1,Smad3,Hesx1,Neurog1,Onecut1,Smad1,Fzd7,Zfhx3,Apc2
mmu04550	Signaling pathways regulating pluripotency of stem cells	4.16851928054013e-06	-12.3879496738119	137	28	0.0426829268292683	656	8044	23805,17125,14369,11906,15209,15379,18014,17127,16001,18423,110157,16451,16195,20890,17268,18119,11789,16452,57265,11479,18708,15901,244349,14784,20674,18999,16878,15110	Apc2,Smad1,Fzd7,Zfhx3,Hesx1,Onecut1,Neurog1,Smad3,Igf1r,Otx1,Raf1,Jak1,Il6st,Wnt8a,Meis1,Nodal,Apc,Jak2,Fzd2,Acvr1b,Pik3r1,Id1,Kat6a,Grb2,Sox2,Pou5f1,Lif,Hand1
ko04670	Leukocyte transendothelial migration	1.88974098760711e-05	-10.8764856888841	117	24	0.0365853658536585	656	8044	19878,22330,12741,621628,14679,67938,12767,56173,58187,12739,18260,17395,12740,16401,18750,19303,16428,22350,67374,17969,19229,54354,18708,234779	Rock2,Vcl,Cldn5,Cldn20,Gnai3,Myl12b,Cxcr4,Cldn14,Cldn10,Cldn3,Ocln,Mmp9,Cldn4,Itga4,Prkca,Pxn,Itk,Ezr,Jam2,Ncf1,Ptk2b,Rassf5,Pik3r1,Plcg2
mmu04670	Leukocyte transendothelial migration	1.88974098760711e-05	-10.8764856888841	117	24	0.0365853658536585	656	8044	12741,16401,22330,12740,19878,16428,14679,67938,12767,621628,19303,18750,54354,19229,12739,58187,17969,67374,22350,56173,17395,234779,18260,18708	Cldn5,Itga4,Vcl,Cldn4,Rock2,Itk,Gnai3,Myl12b,Cxcr4,Cldn20,Pxn,Prkca,Rassf5,Ptk2b,Cldn3,Cldn10,Ncf1,Jam2,Ezr,Cldn14,Mmp9,Plcg2,Ocln,Pik3r1
mmu_M00177	Ribosome, eukaryotes	1.90808996411089e-05	-10.8668227420542	95	21	0.0320121951219512	656	8044	19896,19951,66483,19899,66475,19946,57808,19941,20085,20055,110954,20068,54217,67097,56040,20005,19933,16898,267019,114641,19981	Rpl10a,Rpl32,Rpl36al,Rpl18,Rps23,Rpl30,Rpl35a,Rpl26,Rps19,Rps16,Rpl10,Rps17,Rpl36,Rps10,Rplp1,Rpl9,Rpl21,Rps2,Rps15a,Rpl31,Rpl37a
M00177	Ribosome, eukaryotes	1.90808996411089e-05	-10.8668227420542	95	21	0.0320121951219512	656	8044	19981,267019,114641,16898,20005,19933,56040,67097,54217,20068,110954,20055,20085,19941,57808,19946,66475,19899,66483,19896,19951	Rpl37a,Rps15a,Rpl31,Rps2,Rpl9,Rpl21,Rplp1,Rps10,Rpl36,Rps17,Rpl10,Rps16,Rps19,Rpl26,Rpl35a,Rpl30,Rps23,Rpl18,Rpl36al,Rpl10a,Rpl32
mmu04151	PI3K-Akt signaling pathway	1.99621796950374e-05	-10.821671089885	346	51	0.0777439024390244	656	8044	16402,74747,22371,21687,16419,16416,16001,16772,104099,22339,14062,105787,22059,16421,208647,18708,56484,81877,14178,16401,104709,20662,18033,18750,15519,12043,12571,14179,12826,19211,73699,13685,11601,18590,110157,16451,14710,16189,231991,12125,14702,16590,26931,16452,235542,64930,20963,14784,16184,16403,13857	Itga5,Ddit4,Vwf,Tek,Itgb5,Itgb3,Igf1r,Lama1,Itga9,Vegfa,F2r,Prkaa1,Trp53,Itgb7,Creb3l2,Pik3r1,Foxo3,Tnxb,Fgf7,Itga4,Pik3r6,Sos1,Nfkb1,Prkca,Hsp90aa1,Bcl2,Cdk6,Fgf8,Col4a1,Pten,Ppp2r1b,Eif4ebp1,Angpt2,Pdgfa,Raf1,Jak1,Gngt2,Il4,Creb5,Bcl2l11,Gng2,Kit,Ppp2r5c,Jak2,Ppp2r3a,Tsc1,Syk,Grb2,Il2ra,Itga6,Epor
