TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00024	HOMEOBOX	1.65511978524982e-07	-15.614222266954	91	23	0.0478170478170478	481	6344	231044,14843,12022,13796,15404,209448,15424,244813,54422,15373,15425,15285,27140,12590,15405,14028,15423,13172,12591,104382,15403,17702,15242	Gbx1,Gsx2,Barx1,Emx1,Hoxa7,Hoxc10,Hoxc5,Bsx,Barhl1,Hmx3,Hoxc6,Mnx1,Tlx3,Cdx1,Hoxa9,Evx1,Hoxc4,Dbx1,Cdx2,Barhl2,Hoxa6,Msx2,Hhex
PR00935	BAND41	4.28342668419986e-07	-14.6633423345461	24	11	0.0228690228690229	481	6344	19250,269587,209630,218203,22350,13822,232288,54357,24000,545622,19249	Ptpn14,Epb41,Frmd4a,Mylip,Ezr,Epb41l2,Frmd4b,Epb41l4b,Ptpn21,Ptpn3,Ptpn13
PR00452	SH3DOMAIN	0.000231061691993	-8.3728258181932	87	17	0.0353430353430353	481	6344	21981,16818,20411,54353,259302,16796,17969,16443,21682,329416,23970,13196,14360,207278,20410,52906,14784	Ppp1r13b,Lck,Sorbs1,Skap2,Srgap3,Lasp1,Ncf1,Itsn1,Tec,Nostrin,Pacsin2,Asap1,Fyn,Fchsd2,Sorbs3,Ahi1,Grb2
PR00053	FORKHEAD	0.000402797529396396	-7.81707653071267	45	11	0.0228690228690229	481	6344	14240,56484,71375,64290,14234,15229,17300,14241,14237,17425,108655	Foxb2,Foxo3,Foxn3,Foxb1,Foxc2,Foxd1,Foxc1,Foxl1,Foxd4,Foxk1,Foxp1
PR00249	GPCRSECRETIN	0.000607420218021556	-7.40628971973347	40	10	0.0207900207900208	481	6344	243277,170757,12614,77596,26364,54598,12921,107934,99633,381853	Adgrd1,Adgrl4,Celsr1,Adgrf1,Adgre5,Calcrl,Crhr1,Celsr3,Adgrl2,Gipr
PR00031	HTHREPRESSR	0.000823454495739729	-7.10200226701997	28	8	0.0166320166320166	481	6344	12590,13172,12591,12022,22326,18420,16814,16815	Cdx1,Dbx1,Cdx2,Barx1,Vax1,Otp,Lbx1,Lbx2
PR00025	ANTENNAPEDIA	0.00189272847160868	-6.26973585517912	13	5	0.0103950103950104	481	6344	15403,15424,15423,15425,15404	Hoxa6,Hoxc5,Hoxc4,Hoxc6,Hoxa7
PR00109	TYRKINASE	0.00235435077644571	-6.05149026831177	97	16	0.0332640332640333	481	6344	16452,16428,71751,230661,21687,20963,16818,16001,231876,71461,19229,21682,19713,14360,16451,51789	Jak2,Itk,Map3k13,Tesk2,Tek,Syk,Lck,Igf1r,Lmtk2,Ptk7,Ptk2b,Tec,Ret,Fyn,Jak1,Tnk2
PR00424	ADENOSINER	0.00385823211320918	-5.55754620217952	5	3	0.00623700623700624	481	6344	11540,11539,11542	Adora2a,Adora1,Adora3
PR00402	TECBTKDOMAIN	0.00385823211320918	-5.55754620217952	5	3	0.00623700623700624	481	6344	16428,114713,21682	Itk,Rasa2,Tec
