TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6353	purine nucleotides degradation II (aerobic)	0.00108202132091018	-6.8289243936594	12	6	0.05	120	1039	23959,14544,110532,11486,23917,76952	Nt5e,Gda,Adarb1,Ada,Impdh1,Nt5c2
MOUSE_ARGASEDEG-PWY	arginine degradation I (arginase pathway)	0.00551622083872459	-5.20006228382556	4	3	0.025	120	1039	18242,212647,11847	Oat,Aldh4a1,Arg2
MOUSE_PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	0.00819637890815818	-4.80406281881048	8	4	0.0333333333333333	120	1039	228550,17330,16329,16331	Itpka,Minpp1,Inpp1,Inpp5d
MOUSE_URSIN-PWY	ureide biosynthesis	0.0134490137968363	-4.30884949927789	9	4	0.0333333333333333	120	1039	23959,22262,76952,23917	Nt5e,Uox,Nt5c2,Impdh1
MOUSE_PWY-6405	Rapoport-Luebering glycolytic shunt	0.0367091559565782	-3.30472907393118	3	2	0.0166666666666667	120	1039	18648,12183	Pgam1,Bpgm
MOUSE_GLUTATHIONESYN-PWY	glutathione biosynthesis	0.0367091559565782	-3.30472907393118	3	2	0.0166666666666667	120	1039	14629,14630	Gclc,Gclm
MOUSE_PWY3DJ-11281	sphingomyelin metabolism	0.0371251533216093	-3.2934605519928	7	3	0.025	120	1039	208449,58994,77626	Sgms1,Smpd3,Smpd4
MOUSE_PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	0.0371251533216093	-3.2934605519928	7	3	0.025	120	1039	76952,23917,23959	Nt5c2,Impdh1,Nt5e
MOUSE_PWY3DJ-6	Leucine Catabolism	0.0401130271702375	-3.21605413033928	12	4	0.0333333333333333	120	1039	78038,11992,12039,12035	Mccc2,Auh,Bckdha,Bcat1
MOUSE_PWY-6567	chondroitin sulfate biosynthesis (late stages)	0.0544824179697301	-2.90987723542147	8	3	0.025	120	1039	59031,269941,58250	Chst12,Chsy1,Chst11
MOUSE_LEU-DEG2-PWY	leucine degradation I	0.0544824179697301	-2.90987723542147	8	3	0.025	120	1039	12035,11992,78038	Bcat1,Auh,Mccc2
MOUSE_PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	0.0679020910754706	-2.689688448493	4	2	0.0166666666666667	120	1039	17330,228550	Minpp1,Itpka
MOUSE_PWY-5920	heme biosynthesis II	0.0749991200562972	-2.59027889809736	9	3	0.025	120	1039	11655,17025,12892	Alas1,Alad,Cpox
MOUSE_PWY0-1296	purine ribonucleosides degradation to ribose-1-phosphate	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	11486,110532	Ada,Adarb1
MOUSE_PWY-6566	chondroitin and dermatan biosynthesis	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	234356,269941	Csgalnact1,Chsy1
MOUSE_PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	217837,228550	Itpk1,Itpka
MOUSE_OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	110208,100198	Pgd,H6pd
MOUSE_SALVADEHYPOX-PWY	adenosine nucleotides degradation II	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	110532,11486	Adarb1,Ada
MOUSE_PWY-5189	tetrapyrrole biosynthesis II	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	11655,17025	Alas1,Alad
MOUSE_PWY-3861	mannitol degradation II	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	212032,15277	Hk3,Hk2
MOUSE_PWY-4261	glycerol degradation IV	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	14571,235533	Gpd2,Gk5
MOUSE_PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	0.104750943254065	-2.25616971540835	5	2	0.0166666666666667	120	1039	16329,16331	Inpp1,Inpp5d
MOUSE_MGLDLCTANA-PWY	methylglyoxal degradation VI	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	52815	Ldhd
MOUSE_PWY-6173	histamine biosynthesis	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	15186	Hdc
MOUSE_PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	217837	Itpk1
MOUSE_PWY-6619	adenine and adenosine salvage VI	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	11534	Adk
MOUSE_PWY-901	methylglyoxal degradation II	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	52815	Ldhd
MOUSE_PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	50798	Gne
MOUSE_PWY-6568	dermatan sulfate biosynthesis (late stages)	0.115495668912514	-2.15852224831633	1	1	0.00833333333333333	120	1039	212898	Dse
MOUSE_PWY-6569	chondroitin sulfate biosynthesis	0.122848888365051	-2.09680022877342	17	4	0.0333333333333333	120	1039	58250,234356,269941,59031	Chst11,Csgalnact1,Chsy1,Chst12
MOUSE_PWY-5148	acyl-CoA hydrolysis	0.124285821299609	-2.08517135535785	11	3	0.025	120	1039	171282,217698,26897	Acot4,Acot5,Acot1
MOUSE_ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)	0.145555523277869	-1.92719766187829	6	2	0.0166666666666667	120	1039	11847,18242	Arg2,Oat
MOUSE_PWY3DJ-5523	sucrose degradation	0.145555523277869	-1.92719766187829	6	2	0.0166666666666667	120	1039	15277,212032	Hk2,Hk3
MOUSE_PWY-6609	adenine and adenosine salvage III	0.145555523277869	-1.92719766187829	6	2	0.0166666666666667	120	1039	11486,110532	Ada,Adarb1
MOUSE_PWY-6571	dermatan sulfate biosynthesis	0.182176814731048	-1.70277755400403	13	3	0.025	120	1039	269941,212898,234356	Chsy1,Dse,Csgalnact1
MOUSE_PWY4FS-6	phosphatidylethanolamine biosynthesis II	0.188927671260381	-1.66639102891168	7	2	0.0166666666666667	120	1039	18701,75320	Pigf,Etnk1
MOUSE_AERESPDON-PWY	aerobic respiration -- electron donors reaction list	0.188927671260381	-1.66639102891168	7	2	0.0166666666666667	120	1039	14571,52815	Gpd2,Ldhd
MOUSE_LARABITOLUTIL-PWY	xylitol degradation	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	20322	Sord
MOUSE_PWY-5691	urate degradation to allantoin	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	22262	Uox
MOUSE_PLPSAL-PWY	pyridoxal 5'-phosphate salvage pathway	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	216134	Pdxk
MOUSE_HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	12411	Cbs
MOUSE_PWY-6181	histamine degradation	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	76507	Aoc1
MOUSE_PWY0-1264	biotin-carboxyl carrier protein assembly	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	110948	Hlcs
META_PWY-7277	sphingolipid biosynthesis (mammals)	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	208449	Sgms1
MOUSE_PWY-6608	guanosine nucleotides degradation III	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	14544	Gda
META_PWY3DJ-11281	sphingomyelin metabolism	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	208449	Sgms1
MOUSE_CYSTEINE-SYN2-PWY	cysteine biosynthesis II	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	12411	Cbs
MOUSE_SERDEG-PWY	L-serine degradation	0.217750504872788	-1.52440534466306	2	1	0.00833333333333333	120	1039	257635	Sdsl
MOUSE_CITRULBIO-PWY	citrulline biosynthesis	0.233742755690899	-1.45353410299028	8	2	0.0166666666666667	120	1039	11847,18242	Arg2,Oat
MOUSE_PWY-3981	beta-alanine biosynthesis I	0.233742755690899	-1.45353410299028	8	2	0.0166666666666667	120	1039	76507,11669	Aoc1,Aldh2
MOUSE_PWY3DJ-471	creatine-phosphate energy transfer	0.233742755690899	-1.45353410299028	8	2	0.0166666666666667	120	1039	12709,12716	Ckb,Ckmt1
MOUSE_GLYCOLYSIS	glycolysis I	0.278691126015518	-1.27765118563439	16	3	0.025	120	1039	18648,14121,18746	Pgam1,Fbp1,Pkm
MOUSE_PWY-4081	glutathione redox reactions I	0.279098080158059	-1.27619201715195	9	2	0.0166666666666667	120	1039	67305,75512	Gpx7,Gpx6
MOUSE_MANGDPMET-PWY	GDP-mannose metabolism	0.279098080158059	-1.27619201715195	9	2	0.0166666666666667	120	1039	212032,15277	Hk3,Hk2
MOUSE_PWY-6118	glycerol-3-phosphate shuttle	0.308271179335654	-1.17677543099092	3	1	0.00833333333333333	120	1039	14571	Gpd2
MOUSE_PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation	0.308271179335654	-1.17677543099092	3	1	0.00833333333333333	120	1039	50798	Gne
MOUSE_PWY-5386	methylglyoxal degradation I	0.308271179335654	-1.17677543099092	3	1	0.00833333333333333	120	1039	52815	Ldhd
MOUSE_PROLINE-DEG2-PWY	proline degradation III	0.308271179335654	-1.17677543099092	3	1	0.00833333333333333	120	1039	212647	Aldh4a1
MOUSE_PWY-6260	thyroid hormone metabolism I (via deiodination)	0.308271179335654	-1.17677543099092	3	1	0.00833333333333333	120	1039	107585	Dio3
MOUSE_PWY-6355	phosphate acquisition II	0.312085891227105	-1.16447683666409	17	3	0.025	120	1039	69675,11758,17523	Pxdn,Prdx6,Mpo
MOUSE_P341-PWY	glycolysis V (Pyrococcus)	0.324277267443727	-1.1261563654316	10	2	0.0166666666666667	120	1039	18648,18746	Pgam1,Pkm
MOUSE_MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis	0.324277267443727	-1.1261563654316	10	2	0.0166666666666667	120	1039	432486,67556	Gnptab,Pigm
MOUSE_PWY-4041	gamma-glutamyl cycle	0.324277267443727	-1.1261563654316	10	2	0.0166666666666667	120	1039	14630,14629	Gclm,Gclc
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.351544309835033	-1.04541951640159	58	8	0.0666666666666667	120	1039	11515,73910,76088,105445,11516,104110,109934,114713	Adcy9,Arhgap18,Dock8,Dock9,Adcyap1,Adcy4,Abr,Rasa2
MOUSE_PENTOSE-P-PWY	pentose phosphate pathway	0.368719811030856	-0.997718243070406	11	2	0.0166666666666667	120	1039	110208,100198	Pgd,H6pd
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.378983743896778	-0.970261966912538	19	3	0.025	120	1039	14538,14537,54710	Gcnt2,Gcnt1,Hs3st3b1
MOUSE_PWY-2301	myo-inositol biosynthesis	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	114663	Impa2
MOUSE_PWY-5046	branched-chain alpha-keto acid dehydrogenase complex	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	12039	Bckdha
MOUSE_GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	14417	Gad2
MOUSE_PWY-5084	2-ketoglutarate dehydrogenase complex	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	78920	Dlst
MOUSE_PWY-4321	glutamate degradation IV	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	14417	Gad2
MOUSE_PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	226518	Nmnat2
MOUSE_SERSYN-PWY	serine biosynthesis	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	236539	Phgdh
MOUSE_HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	12892	Cpox
MOUSE_PWY3DJ-35588	creatine biosynthesis	0.388394208757392	-0.94573445318748	4	1	0.00833333333333333	120	1039	12709	Ckb
