TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR017970	Homeobox_CS	8.86436264729871e-44	-99.1317050501942	182	92	0.0457029309488326	2013	20062	13395,16392,244813,13392,15209,15434,50916,14472,15432,18424,15417,16876,15285,18420,15430,15284,14843,12590,18992,11878,16372,15425,18935,18505,15422,13390,54352,13172,13047,18509,16871,11859,18999,110648,20471,15373,17703,54422,14029,15412,16873,18516,12023,18997,17701,18742,231044,140477,15372,17702,16917,22326,16870,18987,13796,104360,18741,15413,16872,22255,16874,13048,20472,12022,15405,21908,15426,15404,16869,209448,27140,104382,11906,20429,13393,13798,16371,18423,12677,216285,15433,15421,18998,18508,14842,16814,18993,18933,11695,11694,12591,15431	Dlx5,Isl1,Bsx,Dlx2,Hesx1,Hoxd3,Irx4,Gbx2,Hoxd12,Otx2,Hoxb9,Lhx9,Mnx1,Otp,Hoxd10,Hlx,Gsx2,Cdx1,Pou3f2,Arx,Irx2,Hoxc6,Phox2b,Pax3,Hoxc13,Dlx1,Irx5,Dbx1,Cux1,Pax7,Lhx3,Phox2a,Pou5f1,Lmx1a,Six1,Hmx3,Msx3,Barhl1,Evx2,Hoxb4,Lhx5,Pbx3,Barx2,Pou4f2,Msx1,Pitx3,Gbx1,Dmbx1,Hmx2,Msx2,Lmx1b,Vax1,Lhx2,Pou2f2,Emx1,Isl2,Pitx2,Hoxb5,Lhx4,Uncx,Lhx6,Cux2,Six2,Barx1,Hoxa9,Tlx1,Hoxc8,Hoxa7,Lhx1,Hoxc10,Tlx3,Barhl2,Zfhx3,Shox2,Dlx3,En1,Irx1,Otx1,Vsx2,Alx1,Hoxd13,Hoxc12,Pou4f3,Pax6,Gsx1,Lbx1,Pou3f3,Prrx1,Alx4,Alx3,Cdx2,Hoxd11
IPR009057	Homeobox-like_sf	6.05923784325983e-38	-85.696649510041	314	116	0.057625434674615	2013	20062	15421,15433,12677,216285,18510,18423,16371,13798,13393,20429,11906,104382,27140,209448,218214,16869,15431,12591,11694,11695,18933,18503,18993,16814,225631,14842,18508,18998,16815,18741,104360,13796,18987,16870,22326,16917,17702,15372,21410,140477,21815,384452,15404,15426,21908,15405,12022,20472,13048,17268,22255,71148,16874,16872,15413,14029,93762,54422,17863,17703,15373,20471,110648,18999,11859,16871,18509,19130,231044,240442,18742,17701,320022,18997,18507,12023,20473,18516,116871,16873,15412,19009,68703,18424,15432,14472,50916,15434,15209,18511,666528,13392,244813,16392,13395,13047,13172,13390,54352,15422,18505,18935,18504,15425,16372,11878,18992,12590,14843,15284,15430,18420,224829,15417,15285,16876	Hoxc12,Hoxd13,Vsx2,Alx1,Pax8,Otx1,Irx1,En1,Dlx3,Shox2,Zfhx3,Barhl2,Tlx3,Hoxc10,Kdm1b,Lhx1,Hoxd11,Cdx2,Alx3,Alx4,Prrx1,Pax1,Pou3f3,Lbx1,Onecut2,Gsx1,Pax6,Pou4f3,Lbx2,Pitx2,Isl2,Emx1,Pou2f2,Lhx2,Vax1,Lmx1b,Msx2,Hmx2,Hnf1b,Dmbx1,Tgif1,Noto,Hoxa7,Hoxc8,Tlx1,Hoxa9,Barx1,Six2,Cux2,Meis1,Uncx,Mier1,Lhx6,Lhx4,Hoxb5,Evx2,Smarca5,Barhl1,Myb,Msx3,Hmx3,Six1,Lmx1a,Pou5f1,Phox2a,Lhx3,Pax7,Prox1,Gbx1,Adnp2,Pitx3,Msx1,Terb1,Pou4f2,Pax5,Barx2,Six3,Pbx3,Mta3,Lhx5,Hoxb4,Pou6f1,Rere,Otx2,Hoxd12,Gbx2,Irx4,Hoxd3,Hesx1,Pax9,Zfp541,Dlx2,Bsx,Isl1,Dlx5,Cux1,Dbx1,Dlx1,Irx5,Hoxc13,Pax3,Phox2b,Pax2,Hoxc6,Irx2,Arx,Pou3f2,Cdx1,Gsx2,Hlx,Hoxd10,Otp,Trerf1,Hoxb9,Mnx1,Lhx9
IPR001356	Homeobox_dom	7.46264860045861e-36	-80.8831529563059	257	101	0.050173869846001	2013	20062	15372,140477,21410,21815,384452,104360,13796,18741,18987,16870,22326,17702,16917,20472,17268,13048,16872,22255,16874,15413,15404,21908,15426,12022,15405,13393,13798,104382,20429,11906,27140,16869,209448,15421,18423,15433,12677,216285,16371,225631,16814,14842,18508,16815,18998,15431,11694,12591,18933,11695,18993,13392,244813,16392,13395,19009,50916,15434,18424,14472,15432,15209,12590,18420,15284,14843,15430,16876,15417,15285,13390,54352,13047,13172,18505,18935,15422,16372,11878,15425,18992,15373,20471,18999,110648,18509,11859,16871,14029,54422,17703,20473,18516,16873,15412,231044,18742,240442,17701,18997,12023	Hmx2,Dmbx1,Hnf1b,Tgif1,Noto,Isl2,Emx1,Pitx2,Pou2f2,Lhx2,Vax1,Msx2,Lmx1b,Six2,Meis1,Cux2,Lhx4,Uncx,Lhx6,Hoxb5,Hoxa7,Tlx1,Hoxc8,Barx1,Hoxa9,Dlx3,En1,Barhl2,Shox2,Zfhx3,Tlx3,Lhx1,Hoxc10,Hoxc12,Otx1,Hoxd13,Vsx2,Alx1,Irx1,Onecut2,Lbx1,Gsx1,Pax6,Lbx2,Pou4f3,Hoxd11,Alx3,Cdx2,Prrx1,Alx4,Pou3f3,Dlx2,Bsx,Isl1,Dlx5,Pou6f1,Irx4,Hoxd3,Otx2,Gbx2,Hoxd12,Hesx1,Cdx1,Otp,Hlx,Gsx2,Hoxd10,Lhx9,Hoxb9,Mnx1,Dlx1,Irx5,Cux1,Dbx1,Pax3,Phox2b,Hoxc13,Irx2,Arx,Hoxc6,Pou3f2,Hmx3,Six1,Pou5f1,Lmx1a,Pax7,Phox2a,Lhx3,Evx2,Barhl1,Msx3,Six3,Pbx3,Lhx5,Hoxb4,Gbx1,Pitx3,Adnp2,Msx1,Pou4f2,Barx2
IPR020479	Homeobox_metazoa	6.74709687817411e-18	-39.5374193536469	91	41	0.020367610531545	2013	20062	15431,13390,15404,13172,231044,21908,15426,12591,15425,17701,12022,12023,15405,12590,15284,14843,14842,15430,15417,15285,15413,15412,13796,15421,14029,15434,54422,14472,15432,17703,17702,13393,13392,15373,13798,15372,104382,244813,27140,13395,209448	Hoxd11,Dlx1,Hoxa7,Dbx1,Gbx1,Tlx1,Hoxc8,Cdx2,Hoxc6,Msx1,Barx1,Barx2,Hoxa9,Cdx1,Hlx,Gsx2,Gsx1,Hoxd10,Hoxb9,Mnx1,Hoxb5,Hoxb4,Emx1,Hoxc12,Evx2,Hoxd3,Barhl1,Gbx2,Hoxd12,Msx3,Msx2,Dlx3,Dlx2,Hmx3,En1,Hmx2,Barhl2,Bsx,Tlx3,Dlx5,Hoxc10
IPR036638	HLH_DNA-bd_sf	1.11517125794656e-12	-27.52201312824	112	39	0.0193740685543964	2013	20062	18143,18142,17927,79362,18072,15205,11921,226439,15206,21426,22160,15207,18014,84653,18012,18013,17869,17859,20464,17977,15214,21413,94222,15902,20465,140489,15110,18071,11924,71093,16918,50914,20289,277353,50913,15901,208104,20788,17342	Npas2,Npas1,Myod1,Bhlhe41,Nhlh2,Hes1,Atoh1,Ascl5,Hes2,Tfec,Twist1,Hes3,Neurog1,Hes7,Neurod1,Neurod2,Myc,Mxi1,Sim1,Ncoa1,Hey2,Tcf4,Olig3,Id2,Sim2,Bhlhe23,Hand1,Nhlh1,Neurog2,Atoh8,Mycl,Olig1,Scx,Tcfl5,Olig2,Id1,Mlxip,Srebf2,Mitf
IPR011598	bHLH_dom	1.53960237090067e-12	-27.1994969335564	113	39	0.0193740685543964	2013	20062	71093,16918,18071,11924,208104,20788,17342,15901,50914,20289,50913,277353,21426,22160,15207,18014,84653,18013,17869,18012,17859,226439,15206,79362,17927,15205,18072,11921,18143,18142,15902,20465,140489,15110,94222,17977,15214,21413,20464	Atoh8,Mycl,Nhlh1,Neurog2,Mlxip,Srebf2,Mitf,Id1,Olig1,Scx,Olig2,Tcfl5,Tfec,Twist1,Hes3,Neurog1,Hes7,Neurod2,Myc,Neurod1,Mxi1,Ascl5,Hes2,Bhlhe41,Myod1,Hes1,Nhlh2,Atoh1,Npas2,Npas1,Id2,Sim2,Bhlhe23,Hand1,Olig3,Ncoa1,Hey2,Tcf4,Sim1
IPR011993	PH-like_dom_sf	7.48369505974994e-12	-25.6182944539708	415	88	0.0437158469945355	2013	20062	105445,219140,20743,19684,20649,232288,76829,21844,26936,277360,114713,20418,71704,106877,215280,327826,19878,20741,224014,217682,106766,71435,217866,545622,71801,20650,26377,52666,13821,98432,224860,232227,69601,224093,78618,54357,23797,268534,19229,17101,27260,16443,19414,319939,140580,381605,71720,109934,71096,50780,13196,13448,80877,13860,14783,271849,232970,213990,19249,24000,67220,11784,17207,234779,208177,70292,18201,57257,67016,14026,209630,114715,66696,380921,223435,140579,227120,319924,76117,54353,100273,64291,218203,19250,228788,100017,19157,13131	Dock9,Spata13,Sptbn2,Rdx,Sntb1,Frmd4b,Dok5,Tiam1,Mprip,Prex1,Rasa2,Shc3,Arhgef3,Afap1l1,Wipf1,Frs2,Rock2,Sptb,Fgd4,Plekhd1,Stap2,Arhgap21,Cdc42bpb,Ptpn3,Plekhf2,Sntb2,Dapp1,Arhgef25,Epb41l1,Phlpp1,Plcl2,Iqsec1,Dab2ip,Fam43a,Acap2,Epb41l4b,Akt3,Sntg2,Ptk2b,Lyst,Plek2,Itsn1,Rasa3,Tns3,Elmo1,Tbc1d2,Osbpl3,Abr,Sntg1,Rgs3,Asap1,Dok1,Lrba,Eps8,Grb10,Shc4,Phldb3,Agap3,Ptpn13,Ptpn21,Plekho1,Apba2,Mcf2l,Plcg2,Phldb2,Afap1,Nsmaf,Vav3,Tbc1d2b,Evl,Frmd4a,Spred1,Snx31,Dgkh,Trio,Elmo2,Plcl1,Apba1,Arhgap15,Skap2,Osbpl9,Osbpl1a,Mylip,Ptpn14,Ccm2l,Ldlrap1,Cyth1,Dab1
IPR008967	p53-like_TF_DNA-bd_sf	2.28051352317589e-11	-24.5040353758654	44	22	0.0109289617486339	2013	20062	18033,21389,18034,21375,21388,20846,21380,12393,20997,12394,18018,18019,76365,21387,20849,20851,21384,21386,19668,73181,21385,19698	Nfkb1,Tbx6,Nfkb2,Tbr1,Tbx5,Stat1,Tbx1,Runx2,T,Runx1,Nfatc1,Nfatc2,Tbx18,Tbx4,Stat4,Stat5b,Tbx15,Tbx3,Rbpjl,Nfatc4,Tbx2,Relb
IPR000047	HTH_motif	7.23277902202895e-11	-23.3498126868919	28	17	0.00844510680576254	2013	20062	22326,12022,12023,17703,13172,13390,15426,12591,16815,13395,16814,13393,13392,12590,15284,20429,18420	Vax1,Barx1,Barx2,Msx3,Dbx1,Dlx1,Hoxc8,Cdx2,Lbx2,Dlx5,Lbx1,Dlx3,Dlx2,Cdx1,Hlx,Shox2,Otp
IPR036388	WH-like_DNA-bd_sf	8.7838493390972e-09	-18.5503511040685	220	51	0.0253353204172876	2013	20062	54139,56508,17425,13876,15227,242705,13875,13713,15223,18505,619289,18504,277360,14237,56307,17300,67773,64290,15376,18511,20375,15221,15375,15900,27049,56484,14011,15229,110805,27260,18508,17301,16363,14241,73158,75617,19725,18503,18507,14234,26386,71137,14247,56458,18509,218214,67711,20085,18510,58203,108655	Irf6,Rapgef4,Foxk1,Erg,Foxf1,E2f2,Erf,Elk3,Foxj1,Pax3,Rfx8,Pax2,Prex1,Foxd4,Metap2,Foxc1,Kat8,Foxb1,Foxa2,Pax9,Spi1,Foxd3,Foxa1,Irf8,Etv3,Foxo3,Etv6,Foxd1,Foxe1,Plek2,Pax6,Foxd2,Irf2,Foxl1,Larp1,Rps25,Rfx2,Pax1,Pax5,Foxc2,Hsf4,Rfx4,Fli1,Foxo1,Pax7,Kdm1b,Nsmce1,Rps19,Pax8,Zbp1,Foxp1
