TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00046	Homeodomain	8.46340781443293e-33	-73.8495561613487	227	91	0.0464522715671261	1959	19276	22255,18423,17703,18993,140477,18933,16871,15372,13047,18424,15432,16392,104360,216285,110648,16876,16874,16814,18508,18741,14472,16873,11694,17701,15430,18998,15405,14843,15285,12591,20472,15426,384452,11878,27140,20429,13393,15413,15421,16869,12022,18987,21908,15417,225631,15433,18742,15373,244813,18505,15209,18992,18999,22326,13395,11906,17702,15434,13390,15404,231044,16917,54422,15284,11859,16872,104382,13048,15431,12590,13798,19009,12677,15425,16815,20473,18420,15422,14029,11695,14842,209448,13796,13172,12023,15412,13392,16870,18935,18997,18509	Uncx,Otx1,Msx3,Pou3f3,Dmbx1,Prrx1,Lhx3,Hmx2,Cux1,Otx2,Hoxd12,Isl1,Isl2,Alx1,Lmx1a,Lhx9,Lhx6,Lbx1,Pax6,Pitx2,Gbx2,Lhx5,Alx3,Msx1,Hoxd10,Pou4f3,Hoxa9,Gsx2,Mnx1,Cdx2,Six2,Hoxc8,Noto,Arx,Tlx3,Shox2,Dlx3,Hoxb5,Hoxc12,Lhx1,Barx1,Pou2f2,Tlx1,Hoxb9,Onecut2,Hoxd13,Pitx3,Hmx3,Bsx,Pax3,Hesx1,Pou3f2,Pou5f1,Vax1,Dlx5,Zfhx3,Msx2,Hoxd3,Dlx1,Hoxa7,Gbx1,Lmx1b,Barhl1,Hlx,Phox2a,Lhx4,Barhl2,Cux2,Hoxd11,Cdx1,En1,Pou6f1,Vsx2,Hoxc6,Lbx2,Six3,Otp,Hoxc13,Evx2,Alx4,Gsx1,Hoxc10,Emx1,Dbx1,Barx2,Hoxb4,Dlx2,Lhx2,Phox2b,Pou4f2,Pax7
PF00010	HLH	5.66348128515883e-13	-28.1995674377351	104	38	0.0193976518631955	1959	19276	18013,15110,15205,17927,15207,94222,18142,50913,18143,20465,140489,71093,21426,18014,50914,208104,11924,15902,277353,18072,18012,15206,226439,16918,15214,17859,17342,20289,17869,79362,20464,11921,84653,20788,21413,18071,22160,15901	Neurod2,Hand1,Hes1,Myod1,Hes3,Olig3,Npas1,Olig2,Npas2,Sim2,Bhlhe23,Atoh8,Tfec,Neurog1,Olig1,Mlxip,Neurog2,Id2,Tcfl5,Nhlh2,Neurod1,Hes2,Ascl5,Mycl,Hey2,Mxi1,Mitf,Scx,Myc,Bhlhe41,Sim1,Atoh1,Hes7,Srebf2,Tcf4,Nhlh1,Twist1,Id1
PF03826	OAR	7.8388383630508e-08	-16.3615900885462	14	10	0.00510464522715671	1959	19276	140477,18933,18420,12677,18741,216285,18742,11878,11695,20429	Dmbx1,Prrx1,Otp,Vsx2,Pitx2,Alx1,Pitx3,Arx,Alx4,Shox2
PF00292	PAX	9.20104462285957e-08	-16.2013637203802	9	8	0.00408371618172537	1959	19276	18504,18507,18505,18503,18511,18509,18510,18508	Pax2,Pax5,Pax3,Pax1,Pax9,Pax7,Pax8,Pax6
PF00505	HMG_box	4.54546142722013e-07	-14.6039664043413	48	18	0.00918836140888208	1959	19276	20679,20672,20671,70508,269389,20680,20674,15353,21416,20682,21415,20667,21414,20666,20678,20665,20669,214105	Sox6,Sox18,Sox17,Bbx,Tox2,Sox7,Sox2,Hmg20b,Tcf7l2,Sox9,Tcf7l1,Sox12,Tcf7,Sox11,Sox5,Sox10,Sox14,Sox30
PF00250	Forkhead	8.37661221558106e-07	-13.9926520884206	45	17	0.00867789688616641	1959	19276	64290,14237,15376,17301,56484,14234,15375,14241,15227,15229,110805,15221,108655,15223,17425,17300,56458	Foxb1,Foxd4,Foxa2,Foxd2,Foxo3,Foxc2,Foxa1,Foxl1,Foxf1,Foxd1,Foxe1,Foxd3,Foxp1,Foxj1,Foxk1,Foxc1,Foxo1
PF00412	LIM	8.75410548327316e-07	-13.9485728625394	70	22	0.0112302194997448	1959	19276	16873,225341,16869,16870,13008,21804,109593,74103,16876,16874,16917,54132,16475,16872,106042,29806,16392,110648,104360,16796,16871,16909	Lhx5,Lims2,Lhx1,Lhx2,Csrp2,Tgfb1i1,Lmo3,Nebl,Lhx9,Lhx6,Lmx1b,Pdlim1,Ajuba,Lhx4,Prickle1,Limd1,Isl1,Lmx1a,Isl2,Lasp1,Lhx3,Lmo2
PF00907	T-box	1.14167118335812e-06	-13.6830174186999	17	10	0.00510464522715671	1959	19276	21385,20997,21386,21375,21387,21384,76365,21380,21388,21389	Tbx2,T,Tbx3,Tbr1,Tbx4,Tbx15,Tbx18,Tbx1,Tbx5,Tbx6
PF15974	Cadherin_tail	1.54927641354304e-05	-11.0751374730103	39	14	0.0071465033180194	1959	19276	93706,93717,93704,192163,353234,93702,116731,93723,93701,12941,93722,12942,93703,192161	Pcdhgc3,Pcdhga9,Pcdhgb7,Pcdha3,Pcdha2,Pcdhgb5,Pcdha1,Pcdhga11,Pcdhgb4,Pcdha5,Pcdhga10,Pcdha11,Pcdhgb6,Pcdha9
PF21549	PRDM2_PR	1.91923395723353e-05	-10.860999339152	14	8	0.00408371618172537	1959	19276	381359,14013,383491,225518,12142,70673,230025,110593	Prdm12,Mecom,Prdm14,Prdm6,Prdm1,Prdm16,Prdm13,Prdm2
PF00787	PX	3.87365457560897e-05	-10.1587270687494	47	15	0.00765696784073507	1959	19276	101113,217463,18705,66696,17969,64652,76742,56440,102141,209131,14218,66895,170625,69150,218699	Snx21,Snx13,Pik3c2g,Snx31,Ncf1,Nisch,Snx27,Snx1,Snx25,Snx30,Sh3pxd2a,Pxdc1,Snx18,Snx4,Pxk
PF09380	FERM_C	8.93389415997672e-05	-9.32307308899018	25	10	0.00510464522715671	1959	19276	19684,232288,13821,19250,545622,24000,54357,209630,218203,19249	Rdx,Frmd4b,Epb41l1,Ptpn14,Ptpn3,Ptpn21,Epb41l4b,Frmd4a,Mylip,Ptpn13
PF00169	PH	0.000100017745777366	-9.21016292994629	185	36	0.0183767228177642	1959	19276	380921,224014,13448,219140,105445,21844,100273,71704,78618,26936,381605,76117,14783,217682,17207,19414,54353,232970,19157,26377,20650,70292,67220,23797,208177,106877,98432,71801,13196,71435,114713,57257,27260,67016,223435,20649	Dgkh,Fgd4,Dok1,Spata13,Dock9,Tiam1,Osbpl9,Arhgef3,Acap2,Mprip,Tbc1d2,Arhgap15,Grb10,Plekhd1,Mcf2l,Rasa3,Skap2,Phldb3,Cyth1,Dapp1,Sntb2,Afap1,Plekho1,Akt3,Phldb2,Afap1l1,Phlpp1,Plekhf2,Asap1,Arhgap21,Rasa2,Vav3,Plek2,Tbc1d2b,Trio,Sntb1
PF08266	Cadherin_2	0.000109216713190717	-9.12217645516757	68	18	0.00918836140888208	1959	19276	12941,93722,18530,93703,12942,192161,219228,93717,192163,93704,93706,73173,93702,93723,116731,93701,18526,353234	Pcdha5,Pcdhga10,Pcdh8,Pcdhgb6,Pcdha11,Pcdha9,Pcdh17,Pcdhga9,Pcdha3,Pcdhgb7,Pcdhgc3,Pcdh18,Pcdhgb5,Pcdhga11,Pcdha1,Pcdhgb4,Pcdh10,Pcdha2
PF09379	FERM_N	0.000132002095758086	-8.93269275854875	26	10	0.00510464522715671	1959	19276	545622,19250,24000,19684,13821,232288,209630,19249,218203,54357	Ptpn3,Ptpn14,Ptpn21,Rdx,Epb41l1,Frmd4b,Frmd4a,Ptpn13,Mylip,Epb41l4b
PF00554	RHD_DNA_bind	0.000159936929260459	-8.74073101256672	10	6	0.00306278713629403	1959	19276	19698,73181,18034,18019,18018,18033	Relb,Nfatc4,Nfkb2,Nfatc2,Nfatc1,Nfkb1
PF16179	RHD_dimer	0.000159936929260459	-8.74073101256672	10	6	0.00306278713629403	1959	19276	18033,73181,18018,18034,18019,19698	Nfkb1,Nfatc4,Nfatc1,Nfkb2,Nfatc2,Relb
PF00019	TGF_beta	0.000192257911550609	-8.55667279801637	37	12	0.00612557427258806	1959	19276	14559,14573,18188,18119,320202,13590,23886,12164,16324,12161,12162,238057	Gdf1,Gdnf,Nrtn,Nodal,Lefty2,Lefty1,Gdf15,Bmp8b,Inhbb,Bmp6,Bmp7,Gdf7
PF00560	LRR_1	0.000232394676004798	-8.36707344200625	43	13	0.00663603879530373	1959	19276	272381,214685,320398,233328,269295,97895,98432,76905,64652,69675,66725,74488,214345	Lrrc4b,Chadl,Lrig3,Lrrk1,Rtn4rl2,Nlrp4f,Phlpp1,Lrg1,Nisch,Pxdn,Lrrk2,Lrrc15,Lrrc1
PF00157	Pou	0.000341065387788956	-7.98343634601623	15	7	0.0035732516590097	1959	19276	18999,18992,18987,18998,18997,18993,19009	Pou5f1,Pou3f2,Pou2f2,Pou4f3,Pou4f2,Pou3f3,Pou6f1
PF05920	Homeobox_KN	0.000460100883201461	-7.68406478121882	20	8	0.00408371618172537	1959	19276	18516,16372,16371,17268,50916,54352,20471,21815	Pbx3,Irx2,Irx1,Meis1,Irx4,Irx5,Six1,Tgif1
PF18366	zf_ZIC	0.000488750314437073	-7.6236588033154	5	4	0.00204185809086269	1959	19276	22772,22774,65100,22771	Zic2,Zic4,Zic5,Zic1
PF03299	TF_AP-2	0.000488750314437073	-7.6236588033154	5	4	0.00204185809086269	1959	19276	21420,226896,332937,21418	Tfap2c,Tfap2d,Tfap2e,Tfap2a
PF00102	Y_phosphatase	0.000558158017060371	-7.49086845097618	41	12	0.00612557427258806	1959	19276	24000,19249,19270,19267,545622,19250,19260,19268,19253,19279,19211,19271	Ptpn21,Ptpn13,Ptprg,Ptpre,Ptpn3,Ptpn14,Ptpn22,Ptprf,Ptpn18,Ptprr,Pten,Ptprj
PF03165	MH1	0.00058777242949754	-7.43917070964307	12	6	0.00306278713629403	1959	19276	17128,17125,17131,18028,17127,18032	Smad4,Smad1,Smad7,Nfib,Smad3,Nfix
PF00017	SH2	0.0008385288817723	-7.08386153272379	99	21	0.0107197549770291	1959	19276	56468,57257,72281,319939,15162,271849,29815,230126,14783,16331,234779,20849,209488,20846,18708,20418,17060,12703,20851,26377,216233	Socs5,Vav3,Sh2d4a,Tns3,Hck,Shc4,Bcar3,Shb,Grb10,Inpp5d,Plcg2,Stat4,Hsh2d,Stat1,Pik3r1,Shc3,Blnk,Socs1,Stat5b,Dapp1,Socs2
PF02709	Glyco_transf_7C	0.000956612377517025	-6.952112287729	9	5	0.00255232261357836	1959	19276	53418,108150,56336,56375,56386	B4galt2,Galnt7,B4galt5,B4galt4,B4galt6
PF00320	GATA	0.00099790380085267	-6.90985367823	13	6	0.00306278713629403	1959	19276	83925,14464,14463,14465,68703,116871	Trps1,Gata5,Gata4,Gata6,Rere,Mta3
PF12067	Sox17_18_mid	0.0010482256679606	-6.86065638424043	3	3	0.00153139356814701	1959	19276	20671,20672,20680	Sox17,Sox18,Sox7
PF21481	DIKK1-2-4_C-subdom1	0.0010482256679606	-6.86065638424043	3	3	0.00153139356814701	1959	19276	56811,234130,13380	Dkk2,Dkk4,Dkk1
