TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00389	HOX	7.4990534341612e-29	-64.7601908930286	252	101	0.0809943865276664	1247	9882	20472,21908,21815,13393,13395,231044,13048,18742,104360,13796,15285,20429,17268,14843,244813,15413,16372,15284,15372,18516,216285,13390,16871,15431,384452,16869,18505,17703,20471,27140,18423,15425,22326,54422,12023,13172,18741,110648,18993,18987,16876,18424,104382,16392,11878,18508,12591,16371,18420,16872,15432,18998,14472,21410,225631,209448,15209,15405,15433,16814,16873,22255,15426,15404,16874,15434,16815,18992,12022,11906,18933,18935,18997,17702,16870,15430,15422,15373,13047,14029,15417,11859,19009,140477,15412,240442,14842,18509,11694,13798,12590,50916,54352,11695,17701,16917,13392,18999,12677,20473,15421	Six2,Tlx1,Tgif1,Dlx3,Dlx5,Gbx1,Cux2,Pitx3,Isl2,Emx1,Mnx1,Shox2,Meis1,Gsx2,Bsx,Hoxb5,Irx2,Hlx,Hmx2,Pbx3,Alx1,Dlx1,Lhx3,Hoxd11,Noto,Lhx1,Pax3,Msx3,Six1,Tlx3,Otx1,Hoxc6,Vax1,Barhl1,Barx2,Dbx1,Pitx2,Lmx1a,Pou3f3,Pou2f2,Lhx9,Otx2,Barhl2,Isl1,Arx,Pax6,Cdx2,Irx1,Otp,Lhx4,Hoxd12,Pou4f3,Gbx2,Hnf1b,Onecut2,Hoxc10,Hesx1,Hoxa9,Hoxd13,Lbx1,Lhx5,Uncx,Hoxc8,Hoxa7,Lhx6,Hoxd3,Lbx2,Pou3f2,Barx1,Zfhx3,Prrx1,Phox2b,Pou4f2,Msx2,Lhx2,Hoxd10,Hoxc13,Hmx3,Cux1,Evx2,Hoxb9,Phox2a,Pou6f1,Dmbx1,Hoxb4,Adnp2,Gsx1,Pax7,Alx3,En1,Cdx1,Irx4,Irx5,Alx4,Msx1,Lmx1b,Dlx2,Pou5f1,Vsx2,Six3,Hoxc12
SM00353	HLH	5.54432167863979e-10	-21.3130766468934	110	39	0.0312750601443464	1247	9882	277353,20788,15110,15214,84653,18143,18014,17977,20465,15902,226439,94222,21426,15901,11921,15207,20289,18013,20464,22160,50913,21413,17859,15206,18012,140489,208104,16918,17869,17342,50914,18072,11924,18142,18071,71093,17927,79362,15205	Tcfl5,Srebf2,Hand1,Hey2,Hes7,Npas2,Neurog1,Ncoa1,Sim2,Id2,Ascl5,Olig3,Tfec,Id1,Atoh1,Hes3,Scx,Neurod2,Sim1,Twist1,Olig2,Tcf4,Mxi1,Hes2,Neurod1,Bhlhe23,Mlxip,Mycl,Myc,Mitf,Olig1,Nhlh2,Neurog2,Npas1,Nhlh1,Atoh8,Myod1,Bhlhe41,Hes1
SM00351	PAX	5.04096280667295e-07	-14.5004985540495	9	8	0.00641539695268645	1247	9882	18508,18510,18507,18503,18505,18511,18509,18504	Pax6,Pax8,Pax5,Pax1,Pax3,Pax9,Pax7,Pax2
SM00425	TBOX	8.29621141854153e-06	-11.6997116029667	17	10	0.00801924619085806	1247	9882	21387,21386,21384,21389,21385,76365,21388,21375,21380,20997	Tbx4,Tbx3,Tbx15,Tbx6,Tbx2,Tbx18,Tbx5,Tbr1,Tbx1,T
SM00339	FH	1.59570982007849e-05	-11.0456067994667	45	17	0.0136327185244587	1247	9882	17301,15221,14234,17300,15376,17425,56484,15227,108655,15229,14241,15223,56458,14237,110805,15375,64290	Foxd2,Foxd3,Foxc2,Foxc1,Foxa2,Foxk1,Foxo3,Foxf1,Foxp1,Foxd1,Foxl1,Foxj1,Foxo1,Foxd4,Foxe1,Foxa1,Foxb1
SM00398	HMG	2.6742671275496e-05	-10.5292500931687	51	18	0.0144346431435445	1247	9882	20672,20671,20674,21415,70508,214105,20666,20680,21416,21414,269389,20679,20669,20678,20665,20667,20682,15353	Sox18,Sox17,Sox2,Tcf7l1,Bbx,Sox30,Sox11,Sox7,Tcf7l2,Tcf7,Tox2,Sox6,Sox14,Sox5,Sox10,Sox12,Sox9,Hmg20b
SM00132	LIM	5.94792504758768e-05	-9.72988303773153	73	22	0.0176423416198877	1247	9882	21804,16870,106042,16917,16871,16475,16872,29806,16392,74103,109593,110648,16909,13008,16874,104360,16876,225341,54132,16869,16873,16796	Tgfb1i1,Lhx2,Prickle1,Lmx1b,Lhx3,Ajuba,Lhx4,Limd1,Isl1,Nebl,Lmo3,Lmx1a,Lmo2,Csrp2,Lhx6,Isl2,Lhx9,Lims2,Pdlim1,Lhx1,Lhx5,Lasp1
SM00233	PH	0.000194405188929814	-8.54556597426837	252	52	0.0417000801924619	1247	9882	78618,19878,232970,17207,234779,20650,26936,76829,217682,20743,71435,71801,76117,19414,13196,224860,20741,227120,106766,54353,277360,109934,57257,67220,223435,64291,71704,105445,381605,71096,23797,14783,208177,26377,213990,21844,13448,20649,27260,19157,71720,106877,67016,100273,16443,70292,69601,380921,217866,224014,114713,219140	Acap2,Rock2,Phldb3,Mcf2l,Plcg2,Sntb2,Mprip,Dok5,Plekhd1,Sptbn2,Arhgap21,Plekhf2,Arhgap15,Rasa3,Asap1,Plcl2,Sptb,Plcl1,Stap2,Skap2,Prex1,Abr,Vav3,Plekho1,Trio,Osbpl1a,Arhgef3,Dock9,Tbc1d2,Sntg1,Akt3,Grb10,Phldb2,Dapp1,Agap3,Tiam1,Dok1,Sntb1,Plek2,Cyth1,Osbpl3,Afap1l1,Tbc1d2b,Osbpl9,Itsn1,Afap1,Dab2ip,Dgkh,Cdc42bpb,Fgd4,Rasa2,Spata13
SM00312	PX	0.000411469788134536	-7.79577495941356	42	14	0.0112269446672013	1247	9882	66696,56440,218699,17969,102141,18705,76742,209131,69150,64652,217463,170625,101113,14218	Snx31,Snx1,Pxk,Ncf1,Snx25,Pik3c2g,Snx27,Snx30,Snx4,Nisch,Snx13,Snx18,Snx21,Sh3pxd2a
SM01196	FERM_C	0.00053613702352698	-7.5311207886555	25	10	0.00801924619085806	1247	9882	19249,209630,24000,19684,232288,218203,54357,13821,545622,19250	Ptpn13,Frmd4a,Ptpn21,Rdx,Frmd4b,Mylip,Epb41l4b,Epb41l1,Ptpn3,Ptpn14
