TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2067	Heart Development	8.77920849271958e-10	-20.8534646752501	44	23	0.0346907993966818	663	4906	15214,14463,14465,14165,17260,17125,15110,14179,18018,16392,22339,50916,17128,73181,22341,18019,14234,18128,18741,21388,17300,15376,21385	Hey2,Gata4,Gata6,Fgf10,Mef2c,Smad1,Hand1,Fgf8,Nfatc1,Isl1,Vegfa,Irx4,Smad4,Nfatc4,Vegfc,Nfatc2,Foxc2,Notch1,Pitx2,Tbx5,Foxc1,Foxa2,Tbx2
WP1498	Dopaminergic Neurogenesis	1.70257465093963e-06	-13.2833689520487	30	15	0.0226244343891403	663	4906	13798,18742,14472,20674,110648,16917,15376,18227,11924,14179,18424,14633,18012,17701,22408	En1,Pitx3,Gbx2,Sox2,Lmx1a,Lmx1b,Foxa2,Nr4a2,Neurog2,Fgf8,Otx2,Gli2,Neurod1,Msx1,Wnt1
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	1.79031658753392e-06	-13.2331180892062	838	157	0.236802413273001	663	4906	76089,12927,78808,241324,14463,18510,64652,53624,68318,16419,19268,17977,16410,12162,20650,23962,56699,72281,225341,15902,16658,21844,11819,12125,14804,21414,12343,112407,246179,26411,80976,12571,14811,18779,215280,21416,22431,17528,50913,17125,68404,15110,13860,208154,19249,237459,18160,12578,22339,12161,18504,19341,218772,12325,18131,75788,17207,16001,14254,54353,14783,13047,14107,21415,83814,17131,14066,18260,13388,22408,16423,23797,20411,50798,75477,54401,23882,13642,327826,11554,11610,50914,18708,13448,16443,18508,16475,170484,17060,16796,19055,16392,18187,17127,238871,56378,235442,268903,20649,71233,72401,13052,73181,18212,14281,55948,18749,13386,12741,70435,208117,12043,19229,19211,21814,26921,72333,77579,234779,13082,22352,18707,12739,15896,11482,18613,13844,16917,17128,268859,56213,18129,23959,19876,26408,16871,12606,50791,18128,14234,18741,228536,104010,16772,243328,18645,50754,66725,71602,16331,93742,27205,15376,319924,29875,12740,56320	Rapgef2,Bcar1,Stxbp5,Crb2,Gata4,Pax8,Nisch,Cldn7,Aph1c,Itgb5,Ptprf,Ncoa1,Itgav,Bmp7,Sntb2,Oasl2,Cdc42ep4,Sh2d4a,Lims2,Id2,Mafb,Tiam1,Nr2f2,Bcl2l11,Grid2,Tcf7,Capza2,Egln3,Fktn,Map4k1,Syt13,Cdk6,Grin2a,Pla2r1,Wipf1,Tcf7l2,Wt1,Mpz,Olig2,Smad1,Nrn1,Hand1,Eps8,Btla,Ptpn13,Cdk17,Npr1,Cdkn2a,Vegfa,Bmp6,Pax2,Rab4a,Rarb,Camk2g,Notch3,Smurf1,Mcf2l,Igf1r,Flt1,Skap2,Grb10,Cux1,Fat1,Tcf7l1,Nedd4l,Smad7,F3,Ocln,Dll1,Wnt1,Cd47,Akt3,Sorbs1,Gne,Pfn3,Ywhab,Gadd45g,Efnb2,Frs2,Adrb1,Agtrap,Olig1,Pik3r1,Dok1,Itsn1,Pax6,Ajuba,Nphs2,Blnk,Lasp1,Ppp3ca,Isl1,Nrp2,Smad3,Pde4d,Arpc3,Rab8b,Nrip1,Sntb1,Enkur,Slc43a1,Cxadr,Nfatc4,Ntrk2,Fos,Sfn,Prkacb,Dlk1,Cldn5,Inf2,Aph1b,Bcl2,Ptk2b,Pten,Tgfbr3,Map4k4,Palld,Myh10,Plcg2,Cyp26a1,Vim,Pik3cd,Cldn3,Icam2,Acvrl1,Pecam1,Ephb2,Lmx1b,Smad4,Rbfox1,Htra1,Notch2,Nt5e,Robo1,Map3k5,Lhx3,Cebpa,Magi2,Notch1,Foxc2,Pitx2,Bahd1,Cdh22,Lama1,Slc29a4,Pfn2,Fbxw7,Lrrk2,Myo1e,Inpp5d,Pard3,Podxl,Foxa2,Apba1,Iqgap1,Cldn4,Dbn1
WP1763	PluriNetWork	2.96360482412564e-06	-12.7291041846128	295	68	0.102564102564103	663	4906	20689,21386,18128,13164,15221,52463,17927,21415,17131,13590,83814,22160,51869,18260,13865,216233,21418,17342,18424,18707,18033,18999,26424,17260,17125,18160,20674,14472,14182,13017,12578,20997,17128,15901,67155,13380,75788,21414,11819,11909,12591,76509,19698,13433,14281,19211,17869,14175,12912,231413,21888,14362,22772,18119,103551,93762,21752,21420,22286,22702,22083,20393,14465,16324,17977,17127,19878,15162	Sall3,Tbx3,Notch1,Dazl,Foxd3,Tet1,Myod1,Tcf7l1,Smad7,Lefty1,Nedd4l,Twist1,Rif1,Ocln,Nr2f1,Socs2,Tfap2a,Mitf,Otx2,Pik3cd,Nfkb1,Pou5f1,Nr5a2,Mef2c,Smad1,Npr1,Sox2,Gbx2,Fgfr1,Ctbp2,Cdkn2a,T,Smad4,Id1,Smarca2,Dkk1,Smurf1,Tcf7,Nr2f2,Atf2,Cdx2,Plet1,Relb,Dnmt1,Fos,Pten,Myc,Fgf4,Creb1,Grsf1,Tle4,Fzd1,Zic2,Nodal,Epop,Smarca5,Tert,Tfap2c,Utf1,Zfp42,Ctr9,Sgk1,Gata6,Inhbb,Ncoa1,Smad3,Rock2,Hck
WP512	Id Signaling Pathway	5.64532294047732e-06	-12.0846831537656	52	20	0.0301659125188537	663	4906	18507,18033,21752,17927,17125,14254,11482,18510,13713,15205,17128,21815,12161,18504,22339,21416,15902,16001,15901,17127	Pax5,Nfkb1,Tert,Myod1,Smad1,Flt1,Acvrl1,Pax8,Elk3,Hes1,Smad4,Tgif1,Bmp6,Pax2,Vegfa,Tcf7l2,Id2,Igf1r,Id1,Smad3
WP3663	BMP Signaling Pathway in Eyelid Development	1.3345271257587e-05	-11.2243484487811	20	11	0.0165912518853695	663	4906	14165,20377,16324,26401,18128,14234,18741,56811,17125,17300,17128	Fgf10,Sfrp1,Inhbb,Map3k1,Notch1,Foxc2,Pitx2,Dkk2,Smad1,Foxc1,Smad4
WP1270	Endochondral Ossification	0.00034247303778984	-7.97931762514221	62	19	0.028657616892911	663	4906	16001,16002,17395,12161,20682,20678,22339,12824,12393,12162,20851,14182,58250,19228,67760,20378,20846,20679,17260	Igf1r,Igf2,Mmp9,Bmp6,Sox9,Sox5,Vegfa,Col2a1,Runx2,Bmp7,Stat5b,Fgfr1,Chst11,Pth1r,Slc38a2,Frzb,Stat1,Sox6,Mef2c
WP2310	PodNet: protein-protein interactions in the podocyte	0.000600131914584995	-7.41836106927162	315	63	0.0950226244343891	663	4906	18749,18779,70435,208117,12043,22431,56378,11819,12343,72401,13052,112407,246179,16410,12162,170484,16796,19055,72281,225341,16658,17127,50798,54401,76089,12927,241324,18708,16419,68318,14066,93742,18260,27205,22408,29875,56320,50791,14234,18128,243328,13047,14107,71602,17131,12578,22339,18129,18504,218772,19341,12325,18131,75788,16001,19876,17528,68404,72333,77579,13082,18707,16917	Prkacb,Pla2r1,Inf2,Aph1b,Bcl2,Wt1,Arpc3,Nr2f2,Capza2,Slc43a1,Cxadr,Egln3,Fktn,Itgav,Bmp7,Nphs2,Lasp1,Ppp3ca,Sh2d4a,Lims2,Mafb,Smad3,Gne,Ywhab,Rapgef2,Bcar1,Crb2,Pik3r1,Itgb5,Aph1c,F3,Pard3,Ocln,Podxl,Wnt1,Iqgap1,Dbn1,Magi2,Foxc2,Notch1,Slc29a4,Cux1,Fat1,Myo1e,Smad7,Cdkn2a,Vegfa,Notch2,Pax2,Rarb,Rab4a,Camk2g,Notch3,Smurf1,Igf1r,Robo1,Mpz,Nrn1,Palld,Myh10,Cyp26a1,Pik3cd,Lmx1b
WP2852	Gene regulatory network modelling somitogenesis	0.00150380757409815	-6.49975500439375	11	6	0.00904977375565611	663	4906	14179,13388,15205,18128,84653,21389	Fgf8,Dll1,Hes1,Notch1,Hes7,Tbx6
WP723	Wnt Signaling Pathway and Pluripotency	0.00191562674908251	-6.2577104257791	97	24	0.0361990950226244	663	4906	14362,18999,20674,73699,13017,22409,14369,19053,21410,26931,15221,22422,21415,21413,93735,14371,18472,22411,22412,14370,57265,17869,18755,22408	Fzd1,Pou5f1,Sox2,Ppp2r1b,Ctbp2,Wnt10a,Fzd7,Ppp2cb,Hnf1b,Ppp2r5c,Foxd3,Wnt7b,Tcf7l1,Tcf4,Wnt16,Fzd9,Pafah1b1,Wnt11,Wnt9b,Fzd8,Fzd2,Myc,Prkch,Wnt1
