TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0045165	cell fate commitment	3.56760424587158e-51	-116.159945451767	283	115	0.048441449031171	2374	29090	14234,14465,20671,20890,13592,13390,20679,15110,17342,22422,22083,21389,231044,18129,15375,18933,13614,16874,14165,18012,18028,103551,22431,13388,21386,20472,17933,18999,50914,14464,15205,22412,12142,21804,238057,21380,11878,15902,18014,15214,11921,17927,27140,209448,18119,12394,16392,242620,15285,18509,240590,14842,20997,12043,16814,22408,18508,24064,18504,11924,22409,20377,12677,14633,21907,20672,20682,15376,104382,18131,69743,14843,14179,21375,21385,21410,19016,21908,17128,104360,18128,18505,21387,13389,76365,14463,225631,16871,50913,11819,21416,21384,20678,12393,13392,217721,18424,19130,15430,58208,20471,140489,17260,20674,93735,21388,17125,94222,18992,54713,18032,383491,21420,22411,13172	Foxc2,Gata6,Sox17,Wnt8a,Ebf2,Dlx1,Sox6,Hand1,Mitf,Wnt7b,Ctr9,Tbx6,Gbx1,Notch2,Foxa1,Prrx1,Edn1,Lhx6,Fgf10,Neurod1,Nfib,Epop,Wt1,Dll1,Tbx3,Six2,Myt1l,Pou5f1,Olig1,Gata5,Hes1,Wnt9b,Prdm1,Tgfb1i1,Gdf7,Tbx1,Arx,Id2,Neurog1,Hey2,Atoh1,Myod1,Tlx3,Hoxc10,Nodal,Runx1,Isl1,Dmrta2,Mnx1,Pax7,Dmrt3,Gsx1,T,Bcl2,Lbx1,Wnt1,Pax6,Spry2,Pax2,Neurog2,Wnt10a,Sfrp1,Vsx2,Gli2,Nr2e1,Sox18,Sox9,Foxa2,Barhl2,Notch3,Casz1,Gsx2,Fgf8,Tbr1,Tbx2,Hnf1b,Pparg,Tlx1,Smad4,Isl2,Notch1,Pax3,Tbx4,Dll3,Tbx18,Gata4,Onecut2,Lhx3,Olig2,Nr2f2,Tcf7l2,Tbx15,Sox5,Runx2,Dlx2,Flvcr2,Otx2,Prox1,Hoxd10,Bcl11b,Six1,Bhlhe23,Mef2c,Sox2,Wnt16,Tbx5,Smad1,Olig3,Pou3f2,Fezf2,Nfix,Prdm14,Tfap2c,Wnt11,Dbx1
GO:0007389	pattern specification process	2.4992576240423303e-47	-107.305505633328	478	147	0.0619208087615838	2374	29090	68897,235542,18510,20472,107586,23967,22255,17268,21380,21415,320202,15205,16658,15434,13796,210510,16371,16392,242620,15285,18509,18014,15214,18423,209448,18119,17702,11695,21815,16814,84653,22408,20465,20997,240590,12591,13390,15432,20671,20890,15426,13082,14234,241324,21389,18503,11482,22422,12162,15227,15110,21418,15245,15413,436022,18129,15375,13614,22771,13388,12151,21386,269941,12590,11694,18012,380614,22431,212937,14472,14165,15207,79362,12022,15412,18128,18505,13865,71137,110350,17701,11819,15206,16871,15229,15433,73191,14463,13389,76365,20471,18424,15430,16869,13392,13590,30841,54713,22411,13172,18741,18187,15404,106042,16372,11480,17260,21388,15422,12627,15425,170765,22772,18530,18508,14633,20460,17127,20377,224143,12227,13798,64290,20473,235320,320145,13380,18504,16870,327826,15417,65973,14179,231413,14843,15223,384452,216285,15376,15431,15405,21410,16917,17128,21375,17300,71233	Disp1,Ppp2r3a,Pax8,Six2,Ovol2,Osr1,Uncx,Meis1,Tbx1,Tcf7l1,Lefty2,Hes1,Mafb,Hoxd3,Emx1,Tdrd6,Irx1,Isl1,Dmrta2,Mnx1,Pax7,Neurog1,Hey2,Otx1,Hoxc10,Nodal,Msx2,Alx4,Tgif1,Lbx1,Hes7,Wnt1,Sim2,T,Dmrt3,Cdx2,Dlx1,Hoxd12,Sox17,Wnt8a,Hoxc8,Cyp26a1,Foxc2,Crb2,Tbx6,Pax1,Acvrl1,Wnt7b,Bmp7,Foxf1,Hand1,Tfap2a,Hhip,Hoxb5,Dnaaf3,Notch2,Foxa1,Edn1,Zic1,Dll1,Bmi1,Tbx3,Chsy1,Cdx1,Alx3,Neurod1,Intu,Wt1,Tifab,Gbx2,Fgf10,Hes3,Bhlhe41,Barx1,Hoxb4,Notch1,Pax3,Nr2f1,Rfx4,Dync2h1,Msx1,Nr2f2,Hes2,Lhx3,Foxd1,Hoxd13,Fezf1,Gata4,Dll3,Tbx18,Six1,Otx2,Hoxd10,Lhx1,Dlx2,Lefty1,Kdm2b,Fezf2,Wnt11,Dbx1,Pitx2,Nrp2,Hoxa7,Prickle1,Irx2,Acvr2a,Mef2c,Tbx5,Hoxc13,Cfc1,Hoxc6,Ripply3,Zic2,Pcdh8,Pax6,Gli2,Stil,Smad3,Sfrp1,Poglut1,Btg2,En1,Foxb1,Six3,Zbtb16,Sp8,Dkk1,Pax2,Lhx2,Frs2,Hoxb9,Asph,Fgf8,Grsf1,Gsx2,Foxj1,Noto,Alx1,Foxa2,Hoxd11,Hoxa9,Hnf1b,Lmx1b,Smad4,Tbr1,Foxc1,Enkur
GO:0003002	regionalization	7.0867224550074e-45	-101.658106228221	434	136	0.0572872788542544	2374	29090	17128,16917,21410,21375,17300,71233,231413,14179,327826,15417,15223,14843,384452,15376,15431,15405,216285,20460,17127,14633,64290,13798,12227,20377,224143,320145,235320,20473,16870,13380,18504,15422,12627,22772,15425,18508,18530,13172,18741,22411,54713,15404,18187,11480,16372,106042,17260,20471,15430,16869,18424,13392,13590,30841,15206,11819,15433,15229,16871,14463,73191,76365,13389,12022,15412,18505,18128,71137,13865,17701,110350,21386,12151,13388,269941,12590,22431,380614,18012,79362,15207,14472,14165,212937,436022,13614,15375,18129,18503,21389,241324,22422,11482,15227,15413,15245,15110,13390,20890,20671,13082,14234,15426,22408,84653,16814,20997,240590,12591,18509,15285,16392,242620,209448,17702,18119,18423,15214,18014,21815,11695,21380,15205,320202,21415,210510,13796,15434,16658,16371,68897,20472,18510,235542,23967,107586	Smad4,Lmx1b,Hnf1b,Tbr1,Foxc1,Enkur,Grsf1,Fgf8,Frs2,Hoxb9,Foxj1,Gsx2,Noto,Foxa2,Hoxd11,Hoxa9,Alx1,Stil,Smad3,Gli2,Foxb1,En1,Btg2,Sfrp1,Poglut1,Sp8,Zbtb16,Six3,Lhx2,Dkk1,Pax2,Hoxc13,Cfc1,Zic2,Hoxc6,Pax6,Pcdh8,Dbx1,Pitx2,Wnt11,Fezf2,Hoxa7,Nrp2,Acvr2a,Irx2,Prickle1,Mef2c,Six1,Hoxd10,Lhx1,Otx2,Dlx2,Lefty1,Kdm2b,Hes2,Nr2f2,Hoxd13,Foxd1,Lhx3,Gata4,Fezf1,Tbx18,Dll3,Barx1,Hoxb4,Pax3,Notch1,Rfx4,Nr2f1,Msx1,Dync2h1,Tbx3,Bmi1,Dll1,Chsy1,Cdx1,Wt1,Intu,Neurod1,Bhlhe41,Hes3,Gbx2,Fgf10,Tifab,Dnaaf3,Edn1,Foxa1,Notch2,Pax1,Tbx6,Crb2,Wnt7b,Acvrl1,Foxf1,Hoxb5,Hhip,Hand1,Dlx1,Wnt8a,Sox17,Cyp26a1,Foxc2,Hoxc8,Wnt1,Hes7,Lbx1,T,Dmrt3,Cdx2,Pax7,Mnx1,Isl1,Dmrta2,Hoxc10,Msx2,Nodal,Otx1,Hey2,Neurog1,Tgif1,Alx4,Tbx1,Hes1,Lefty2,Tcf7l1,Tdrd6,Emx1,Hoxd3,Mafb,Irx1,Disp1,Six2,Pax8,Ppp2r3a,Osr1,Ovol2
GO:0048562	embryonic organ morphogenesis	6.67502942316662e-41	-92.5076152005142	335	113	0.0475989890480202	2374	29090	50769,18508,24064,12627,20473,71461,18504,14633,17127,20460,384452,216285,13383,18507,20682,15405,15431,327826,15417,14179,21410,21385,20378,18998,17701,17389,15412,58250,18128,14463,76365,193385,21416,13844,57265,13392,12393,30841,21384,14051,20471,22160,13395,16869,15430,18424,19130,54352,20429,20674,17260,15373,18741,22411,15209,15404,16206,20671,14234,14182,21414,17387,20666,252973,15227,15413,15110,21418,21389,241324,12162,13614,18129,18933,18208,110805,15372,15284,18012,212937,14472,14165,21386,13388,12151,11694,27419,23967,107586,109934,20472,20776,18510,111970,16658,15434,21380,15205,22412,18423,11921,18119,18014,15902,11695,12824,22601,320398,218772,17869,22408,16814,20997	Atp8a2,Pax6,Spry2,Cfc1,Six3,Ptk7,Pax2,Gli2,Smad3,Stil,Noto,Alx1,Dlg1,Pax5,Sox9,Hoxa9,Hoxd11,Frs2,Hoxb9,Fgf8,Hnf1b,Tbx2,Frzb,Pou4f3,Msx1,Mmp16,Hoxb4,Chst11,Notch1,Gata4,Tbx18,Ripor2,Tcf7l2,Ephb2,Fzd2,Dlx2,Runx2,Kdm2b,Tbx15,Eya4,Six1,Twist1,Dlx5,Lhx1,Hoxd10,Otx2,Prox1,Irx5,Shox2,Sox2,Mef2c,Hmx3,Pitx2,Wnt11,Hesx1,Hoxa7,Lrig1,Sox17,Foxc2,Fgfr1,Tcf7,Mmp14,Sox11,Grhl2,Foxf1,Hoxb5,Hand1,Tfap2a,Tbx6,Crb2,Bmp7,Edn1,Notch2,Prrx1,Ntn1,Foxe1,Hmx2,Hlx,Neurod1,Tifab,Gbx2,Fgf10,Tbx3,Dll1,Bmi1,Alx3,Naglu,Osr1,Ovol2,Abr,Six2,Tmie,Pax8,Dlx1as,Mafb,Hoxd3,Tbx1,Hes1,Wnt9b,Otx1,Atoh1,Nodal,Neurog1,Id2,Alx4,Col2a1,Yap1,Lrig3,Rarb,Myc,Wnt1,Lbx1,T
GO:0009952	anterior/posterior pattern specification	1.93285222069302e-34	-77.6288964152476	235	86	0.0362257792754844	2374	29090	210510,14463,73191,15434,76365,13389,21380,15206,11819,15433,15205,320202,21415,23967,17701,15412,12022,20472,18128,235542,11480,106042,12591,22408,84653,54713,20997,15404,209448,18119,17702,15214,13590,18423,18014,30841,11695,16869,15430,18424,235320,20473,15227,15413,13380,18503,21389,17127,14633,241324,64290,13798,12227,20377,224143,20890,15425,20671,18508,14234,13082,15426,18530,15422,12627,22431,17300,18012,14472,15207,79362,212937,17128,21386,12151,21410,13388,12590,15405,15431,15376,216285,231413,14179,327826,15417	Tdrd6,Gata4,Fezf1,Hoxd3,Tbx18,Dll3,Tbx1,Hes2,Nr2f2,Hoxd13,Hes1,Lefty2,Tcf7l1,Osr1,Msx1,Hoxb4,Barx1,Six2,Notch1,Ppp2r3a,Acvr2a,Prickle1,Cdx2,Wnt1,Hes7,Fezf2,T,Hoxa7,Hoxc10,Nodal,Msx2,Hey2,Lefty1,Otx1,Neurog1,Kdm2b,Alx4,Lhx1,Hoxd10,Otx2,Zbtb16,Six3,Foxf1,Hoxb5,Dkk1,Pax1,Tbx6,Smad3,Gli2,Crb2,Foxb1,En1,Btg2,Sfrp1,Poglut1,Wnt8a,Hoxc6,Sox17,Pax6,Foxc2,Cyp26a1,Hoxc8,Pcdh8,Hoxc13,Cfc1,Wt1,Foxc1,Neurod1,Gbx2,Hes3,Bhlhe41,Tifab,Smad4,Tbx3,Bmi1,Hnf1b,Dll1,Cdx1,Hoxa9,Hoxd11,Foxa2,Alx1,Grsf1,Fgf8,Frs2,Hoxb9
GO:0048663	neuron fate commitment	1.10953193573671e-33	-75.8813698219275	89	52	0.0219039595619208	2374	29090	14633,231044,18508,13390,18028,103551,21375,13388,17128,20682,15376,18131,18933,15375,69743,14843,16874,17933,50914,50913,16871,21380,104360,18128,18505,20674,240590,14842,94222,18992,54713,18032,16814,21420,13172,22408,15902,27140,11921,13392,209448,18424,19130,15430,12394,58208,242620,16392,15285,20471,140489,18509	Gli2,Gbx1,Pax6,Dlx1,Nfib,Epop,Tbr1,Dll1,Smad4,Sox9,Foxa2,Notch3,Prrx1,Foxa1,Casz1,Gsx2,Lhx6,Myt1l,Olig1,Olig2,Lhx3,Tbx1,Isl2,Notch1,Pax3,Sox2,Dmrt3,Gsx1,Olig3,Pou3f2,Fezf2,Nfix,Lbx1,Tfap2c,Dbx1,Wnt1,Id2,Tlx3,Atoh1,Dlx2,Hoxc10,Otx2,Prox1,Hoxd10,Runx1,Bcl11b,Dmrta2,Isl1,Mnx1,Six1,Bhlhe23,Pax7
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2.2609455023612402e-31	-70.5643547931443	294	93	0.0391743892165122	2374	29090	21815,11878,319530,26386,15214,17702,11906,230587,140477,15285,226439,70673,56458,12591,17869,18018,53626,108655,107586,277353,236366,73181,17933,16371,110593,243937,18420,18999,15205,12142,18033,58206,22326,18933,15207,79362,13134,21386,170729,13048,21414,14011,20679,18030,15110,21418,56461,21384,14025,229055,19130,20375,17859,16372,19009,56490,21420,18741,15209,54713,13875,17701,22778,17425,13865,13713,16978,15221,76365,73191,27049,56484,73680,15206,83925,214105,64406,21385,72739,81703,19016,18508,56856,20788,15900,235320,18997,13798,12677,18019,228913,21426,21907	Tgif1,Arx,Zfp750,Hsf4,Hey2,Msx2,Zfhx3,Glis1,Dmbx1,Mnx1,Ascl5,Prdm16,Foxo1,Cdx2,Myc,Nfatc1,Insm1,Foxp1,Ovol2,Tcfl5,5730507C01Rik,Nfatc4,Myt1l,Irx1,Prdm2,Zfp536,Otp,Pou5f1,Hes1,Prdm1,Nfkb1,Zbtb32,Vax1,Prrx1,Hes3,Bhlhe41,Dach1,Tbx3,Scrt1,Cux2,Tcf7,Etv6,Sox6,Nfil3,Hand1,Tfap2a,Kcnip3,Tbx15,Bcl11a,Zbtb10,Prox1,Spi1,Mxi1,Irx2,Pou6f1,Zbtb20,Tfap2c,Pitx2,Hesx1,Fezf2,Erf,Msx1,Ikzf1,Foxk1,Nr2f1,Elk3,Lrrfip1,Foxd3,Tbx18,Fezf1,Etv3,Foxo3,Zbtb8a,Hes2,Trps1,Sox30,Sp5,Tbx2,Zkscan3,Jdp2,Pparg,Pax6,Insm2,Srebf2,Irf8,Zbtb16,Pou4f2,En1,Vsx2,Nfatc2,Zfp217,Tfec,Nr2e1
GO:0030900	forebrain development	1.54704667215145e-30	-68.6412050492276	428	114	0.0480202190395956	2374	29090	20689,13390,18212,14182,22422,19876,21418,16874,68169,18993,22151,18227,22771,21386,77579,18028,18012,230025,14472,269295,14165,76089,320165,22255,19091,238057,244152,210529,15205,17242,71877,18420,13796,65100,242620,16392,50768,18072,18014,11921,18423,11878,15902,12316,22408,225523,14842,110648,218772,14013,12912,18080,13845,18508,20460,21907,14633,12227,64290,239719,20473,13380,16870,11924,14179,327826,228662,14843,18472,18131,18507,16873,19211,21375,232975,20356,668158,18128,71137,12767,22778,13865,110350,13131,17701,21416,11819,246179,50913,16871,13844,73191,26362,13395,19130,73710,18424,58208,16869,67263,13392,30841,18032,54713,15209,67102,18741,21420,18187,18992,66725,20674,15565,69601	Sall3,Dlx1,Ntrk2,Fgfr1,Wnt7b,Robo1,Tfap2a,Lhx6,Ndnf,Pou3f3,Tubb2a,Nr4a2,Zic1,Tbx3,Myh10,Nfib,Neurod1,Prdm13,Gbx2,Rtn4rl2,Fgf10,Rapgef2,Tacc1,Uncx,Prkg1,Gdf7,Tsku,Mettl14,Hes1,Mdk,Efhc1,Otp,Emx1,Zic5,Dmrta2,Isl1,Dlc1,Nhlh2,Neurog1,Atoh1,Otx1,Arx,Id2,Aspm,Wnt1,Cep120,Gsx1,Lmx1a,Rarb,Mecom,Creb1,Nin,Ephb3,Pax6,Stil,Nr2e1,Gli2,Btg2,Foxb1,Mrtfb,Six3,Dkk1,Lhx2,Neurog2,Fgf8,Frs2,Btbd3,Gsx2,Pafah1b1,Notch3,Pax5,Lhx5,Pten,Tbr1,Atp1a3,Sema5a,Ccdc85c,Notch1,Rfx4,Cxcr4,Ikzf1,Nr2f1,Dync2h1,Dab1,Msx1,Tcf7l2,Nr2f2,Fktn,Olig2,Lhx3,Ephb2,Fezf1,Axl,Dlx5,Prox1,Tubb2b,Otx2,Bcl11b,Lhx1,Zswim6,Dlx2,Kdm2b,Nfix,Fezf2,Hesx1,D16Ertd472e,Pitx2,Tfap2c,Nrp2,Pou3f2,Lrrk2,Sox2,Htr6,Dab2ip
GO:0021953	central nervous system neuron differentiation	6.72704596955439e-29	-64.868831584218	208	74	0.0311710193765796	2374	29090	14179,56336,16874,18472,19156,68169,14843,19211,16873,18227,16917,30946,21375,11859,18028,56386,14472,76089,18080,13390,18508,14182,18212,13845,231044,21907,14633,110532,12227,664805,11924,21418,18509,15285,14804,16392,58208,15430,16869,19130,209448,13392,67263,18072,20678,11878,22408,21420,67102,13172,16814,16872,18032,54713,94222,18187,110648,14842,12404,240590,18935,20674,18505,19883,104360,110350,238057,15205,13844,244152,50913,16871,18420,13796	Fgf8,B4galt5,Lhx6,Pafah1b1,Psap,Ndnf,Gsx2,Pten,Lhx5,Nr4a2,Lmx1b,Abt1,Tbr1,Phox2a,Nfib,B4galt6,Gbx2,Rapgef2,Nin,Dlx1,Pax6,Fgfr1,Ntrk2,Ephb3,Gbx1,Nr2e1,Gli2,Adarb1,Btg2,Skor2,Neurog2,Tfap2a,Pax7,Mnx1,Grid2,Isl1,Bcl11b,Hoxd10,Lhx1,Prox1,Hoxc10,Dlx2,Zswim6,Nhlh2,Sox5,Arx,Wnt1,Tfap2c,D16Ertd472e,Dbx1,Lbx1,Lhx4,Nfix,Fezf2,Olig3,Nrp2,Lmx1a,Gsx1,Cbln1,Dmrt3,Phox2b,Sox2,Pax3,Rora,Isl2,Dync2h1,Gdf7,Hes1,Ephb2,Tsku,Olig2,Lhx3,Otp,Emx1
GO:0001708	cell fate specification	4.05470826815929e-28	-63.0725038625878	96	49	0.0206402695871946	2374	29090	18119,209448,27140,11921,21384,15285,242620,16392,20471,18424,217721,15430,240590,20674,21388,18032,383491,13172,18992,20997,94222,104360,18128,20472,18999,76365,21387,17933,21380,16871,50913,15375,20682,20672,15376,14843,18028,13388,21410,17128,21386,21375,21385,20671,18508,20679,18504,14633,21389	Nodal,Hoxc10,Tlx3,Atoh1,Tbx15,Mnx1,Dmrta2,Isl1,Six1,Otx2,Flvcr2,Hoxd10,Dmrt3,Sox2,Tbx5,Nfix,Prdm14,Dbx1,Pou3f2,T,Olig3,Isl2,Notch1,Six2,Pou5f1,Tbx18,Tbx4,Myt1l,Tbx1,Lhx3,Olig2,Foxa1,Sox9,Sox18,Foxa2,Gsx2,Nfib,Dll1,Hnf1b,Smad4,Tbx3,Tbr1,Tbx2,Sox17,Pax6,Sox6,Pax2,Gli2,Tbx6
