TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-1482839	Acyl chain remodelling of PE	0.00346109787653398	-5.66616943488656	24	2	0.0625	32	8672	105501,66857	Abhd4,Plbd1
R-MMU-210991	Basigin interactions	0.00405687335214896	-5.50734271236391	26	2	0.0625	32	8672	50934,20540	Slc7a8,Slc7a7
R-MMU-5632684	Hedgehog 'on' state	0.004313201686437	-5.44607479996204	90	3	0.09375	32	8672	75788,73902,66573	Smurf1,Psmb11,Dzip1
R-MMU-352230	Amino acid transport across the plasma membrane	0.00610667290359898	-5.09837318707307	32	2	0.0625	32	8672	50934,20540	Slc7a8,Slc7a7
R-MMU-5358351	Signaling by Hedgehog	0.0134257774424241	-4.31057873021372	136	3	0.09375	32	8672	66573,75788,73902	Dzip1,Smurf1,Psmb11
R-MMU-194306	Neurophilin interactions with VEGF and VEGFR	0.0146811757502318	-4.22118916702531	4	1	0.03125	32	8672	18187	Nrp2
R-MMU-447038	NrCAM interactions	0.0183187164030632	-3.99983198752582	5	1	0.03125	32	8672	18187	Nrp2
R-MMU-426048	Arachidonate production from DAG	0.0183187164030632	-3.99983198752582	5	1	0.03125	32	8672	231871	Daglb
R-MMU-4608870	Asymmetric localization of PCP proteins	0.0191755812473941	-3.95411761941671	58	2	0.0625	32	8672	73902,75788	Psmb11,Smurf1
R-MMU-194138	Signaling by VEGF	0.0225354931692129	-3.79266373849	296	4	0.125	32	8672	73902,13869,19229,18187	Psmb11,Erbb4,Ptk2b,Nrp2
R-MMU-1253288	Downregulation of ERBB4 signaling	0.0255548106411091	-3.66692969664616	7	1	0.03125	32	8672	13869	Erbb4
R-MMU-1250342	PI3K events in ERBB4 signaling	0.0291534541558768	-3.53518187729228	8	1	0.03125	32	8672	13869	Erbb4
R-MMU-70635	Urea cycle	0.0291534541558768	-3.53518187729228	8	1	0.03125	32	8672	227231	Cps1
R-MMU-1483115	Hydrolysis of LPC	0.0291534541558768	-3.53518187729228	8	1	0.03125	32	8672	66857	Plbd1
R-MMU-351202	Metabolism of polyamines	0.0348663222805639	-3.35623389329868	80	2	0.0625	32	8672	227231,73902	Cps1,Psmb11
R-MMU-4086400	PCP/CE pathway	0.0356679099355103	-3.33350387579091	81	2	0.0625	32	8672	73902,75788	Psmb11,Smurf1
R-MMU-71336	Pentose phosphate pathway (hexose monophosphate shunt)	0.03631215767741	-3.31560267154257	10	1	0.03125	32	8672	66646	Rpe
R-MMU-391160	Signal regulatory protein (SIRP) family interactions	0.0398723067133575	-3.22207326339696	11	1	0.03125	32	8672	19229	Ptk2b
R-MMU-1250347	SHC1 events in ERBB4 signaling	0.0434197130393475	-3.13684172350483	12	1	0.03125	32	8672	13869	Erbb4
R-MMU-3000480	Scavenging by Class A Receptors	0.0434197130393475	-3.13684172350483	12	1	0.03125	32	8672	71145	Scara5
R-MMU-8847993	ERBB2 Activates PTK6 Signaling	0.0434197130393475	-3.13684172350483	12	1	0.03125	32	8672	13869	Erbb4
R-MMU-1963640	GRB2 events in ERBB2 signaling	0.0434197130393475	-3.13684172350483	12	1	0.03125	32	8672	13869	Erbb4
R-MMU-5653656	Vesicle-mediated transport	0.0462072201308717	-3.07461921321588	541	5	0.15625	32	8672	19159,71145,74018,110033,56443	Cyth3,Scara5,Als2,Kif22,Arpc1a
R-MMU-1250196	SHC1 events in ERBB2 signaling	0.0504764739828608	-2.98624791297364	14	1	0.03125	32	8672	13869	Erbb4
R-MMU-5682910	LGI-ADAM interactions	0.0504764739828608	-2.98624791297364	14	1	0.03125	32	8672	23792	Adam23
R-MMU-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	0.0504764739828608	-2.98624791297364	14	1	0.03125	32	8672	75788	Smurf1
R-MMU-6785631	ERBB2 Regulates Cell Motility	0.0504764739828608	-2.98624791297364	14	1	0.03125	32	8672	13869	Erbb4
R-MMU-451927	Interleukin-2 signaling	0.0513963932833562	-2.96818727856753	229	3	0.09375	32	8672	73902,19229,13869	Psmb11,Ptk2b,Erbb4
R-MMU-1963642	PI3K events in ERBB2 signaling	0.053985916445046	-2.91903207300703	15	1	0.03125	32	8672	13869	Erbb4
R-MMU-202733	Cell surface interactions at the vascular wall	0.0540706152763416	-2.91746439639753	102	2	0.0625	32	8672	50934,20540	Slc7a8,Slc7a7
R-MMU-195721	Signaling by Wnt	0.0564634194524429	-2.87416229383127	238	3	0.09375	32	8672	67772,73902,75788	Chd8,Psmb11,Smurf1
R-MMU-1482922	Acyl chain remodelling of PI	0.0574827918824409	-2.85626964757924	16	1	0.03125	32	8672	66857	Plbd1
R-MMU-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	0.0578909161744255	-2.84919479489061	106	2	0.0625	32	8672	20540,50934	Slc7a7,Slc7a8
R-MMU-3858494	Beta-catenin independent WNT signaling	0.0588605537547757	-2.83258412822284	107	2	0.0625	32	8672	73902,75788	Psmb11,Smurf1
R-MMU-6804760	Regulation of TP53 Activity through Methylation	0.0609671438545009	-2.79742018525561	17	1	0.03125	32	8672	27374	Prmt5
R-MMU-1251985	Nuclear signaling by ERBB4	0.0644390157647308	-2.74203599445961	18	1	0.03125	32	8672	13869	Erbb4
R-MMU-983189	Kinesins	0.0713454923198275	-2.64022111407218	20	1	0.03125	32	8672	110033	Kif22
R-MMU-1483206	Glycerophospholipid biosynthesis	0.0719675143726928	-2.63154045105074	120	2	0.0625	32	8672	105501,66857	Abhd4,Plbd1
R-MMU-8868773	rRNA processing in the nucleus and cytosol	0.0740626151967369	-2.60284439225492	122	2	0.0625	32	8672	67755,19982	Ddx47,Rpl36a
R-MMU-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	0.0740626151967369	-2.60284439225492	122	2	0.0625	32	8672	19982,67755	Rpl36a,Ddx47
R-MMU-72312	rRNA processing	0.0740626151967369	-2.60284439225492	122	2	0.0625	32	8672	67755,19982	Ddx47,Rpl36a
R-MMU-422475	Axon guidance	0.0751324241072983	-2.58850306761782	437	4	0.125	32	8672	56443,13869,18187,73902	Arpc1a,Erbb4,Nrp2,Psmb11
R-MMU-201451	Signaling by BMP	0.0816126835943669	-2.50577059288555	23	1	0.03125	32	8672	75788	Smurf1
R-MMU-8863795	Downregulation of ERBB2 signaling	0.0850105786246311	-2.4649795758282	24	1	0.03125	32	8672	13869	Erbb4
R-MMU-4420097	VEGFA-VEGFR2 Pathway	0.0887131217613806	-2.42234746643213	288	3	0.09375	32	8672	13869,19229,73902	Erbb4,Ptk2b,Psmb11
R-MMU-1482788	Acyl chain remodelling of PC	0.0917698702149483	-2.38847124639491	26	1	0.03125	32	8672	66857	Plbd1
R-MMU-114508	Effects of PIP2 hydrolysis	0.0917698702149483	-2.38847124639491	26	1	0.03125	32	8672	231871	Daglb
R-MMU-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	0.0926344388789074	-2.37909429633205	139	2	0.0625	32	8672	110033,19159	Kif22,Cyth3
R-MMU-5633007	Regulation of TP53 Activity	0.106484782329887	-2.2397531929635	151	2	0.0625	32	8672	27374,114741	Prmt5,Supt16
R-MMU-5663213	RHO GTPases Activate WASPs and WAVEs	0.108457153591612	-2.22140008176744	31	1	0.03125	32	8672	56443	Arpc1a
R-MMU-390522	Striated Muscle Contraction	0.108457153591612	-2.22140008176744	31	1	0.03125	32	8672	17901	Myl1
R-MMU-199991	Membrane Trafficking	0.109288249853006	-2.21376639321073	499	4	0.125	32	8672	56443,110033,19159,74018	Arpc1a,Kif22,Cyth3,Als2
R-MMU-111465	Apoptotic cleavage of cellular proteins	0.118326541596445	-2.1343071747816	34	1	0.03125	32	8672	56215	Acin1
R-MMU-109582	Hemostasis	0.12099216221777	-2.11202951054314	518	4	0.125	32	8672	20540,110033,231871,50934	Slc7a7,Kif22,Daglb,Slc7a8
R-MMU-69275	G2/M Transition	0.123307104127879	-2.0930772538627	165	2	0.0625	32	8672	73902,219072	Psmb11,Haus4
R-MMU-453274	Mitotic G2-G2/M phases	0.125762659308466	-2.07335880462416	167	2	0.0625	32	8672	73902,219072	Psmb11,Haus4
R-MMU-3928662	EPHB-mediated forward signaling	0.128090052913364	-2.05502172404398	37	1	0.03125	32	8672	56443	Arpc1a
R-MMU-6811438	Intra-Golgi traffic	0.128090052913364	-2.05502172404398	37	1	0.03125	32	8672	19159	Cyth3
R-MMU-201681	TCF dependent signaling in response to WNT	0.129468723351169	-2.04431594553663	170	2	0.0625	32	8672	73902,67772	Psmb11,Chd8
R-MMU-5689880	Ub-specific processing proteases	0.130709991243509	-2.03477421717642	171	2	0.0625	32	8672	73902,76800	Psmb11,Usp42
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.134540783530719	-2.00588790262641	39	1	0.03125	32	8672	67772	Chd8
R-MMU-1227986	Signaling by ERBB2	0.137748787114353	-1.98232363596535	40	1	0.03125	32	8672	13869	Erbb4
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	0.140741336045709	-1.96083156948248	179	2	0.0625	32	8672	73902,13869	Psmb11,Erbb4
R-MMU-1236394	Signaling by ERBB4	0.140945269829292	-1.95938362119555	41	1	0.03125	32	8672	13869	Erbb4
