TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0030027	lamellipodium	0.00241493040870959	-6.02608480856212	183	3	0.0714285714285714	42	28799	12549,219140,320712	Arhgap31,Spata13,Abi3bp
GO:0062023	collagen-containing extracellular matrix	0.00260904684947971	-5.94877031611651	396	4	0.0952380952380952	42	28799	16333,224224,320712,12394	Ins1,Impg2,Abi3bp,Runx1
GO:0070721	ISGF3 complex	0.00436892585117567	-5.43323810073487	3	1	0.0238095238095238	42	28799	20846	Stat1
GO:0016513	core-binding factor complex	0.00436892585117567	-5.43323810073487	3	1	0.0238095238095238	42	28799	12394	Runx1
GO:0097543	ciliary inversin compartment	0.00582108952424556	-5.14626783128056	4	1	0.0238095238095238	42	28799	74025	Nphp3
GO:0033165	interphotoreceptor matrix	0.00582108952424556	-5.14626783128056	4	1	0.0238095238095238	42	28799	224224	Impg2
GO:0090575	RNA polymerase II transcription regulator complex	0.00597426949972661	-5.12029344809884	253	3	0.0714285714285714	42	28799	20851,12394,20846	Stat5b,Runx1,Stat1
GO:0031012	extracellular matrix	0.00688306067801594	-4.97869185996973	521	4	0.0952380952380952	42	28799	320712,12394,16333,224224	Abi3bp,Runx1,Ins1,Impg2
GO:0030312	external encapsulating structure	0.00697506525857112	-4.96541359525093	523	4	0.0952380952380952	42	28799	16333,224224,320712,12394	Ins1,Impg2,Abi3bp,Runx1
GO:1990712	HFE-transferrin receptor complex	0.00871921671519873	-4.74222587133455	6	1	0.0238095238095238	42	28799	12010	B2m
GO:0043656	host intracellular region	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0033646	host intracellular part	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0020003	symbiont-containing vacuole	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0018995	host cellular component	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0033655	host cell cytoplasm part	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0020005	symbiont-containing vacuole membrane	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0030430	host cell cytoplasm	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0033643	host cell part	0.0101651859740763	-4.58878653653782	7	1	0.0238095238095238	42	28799	55932	Gbp3
GO:0005576	extracellular region	0.0111267848071625	-4.49840003169319	2593	9	0.214285714285714	42	28799	16333,12010,20343,12506,239852,85031,56375,224224,55932	Ins1,B2m,Sell,Cd48,Zpld1,Pla1a,B4galt4,Impg2,Gbp3
GO:0106139	symbiont cell surface	0.0116090961646441	-4.45596633603197	8	1	0.0238095238095238	42	28799	631323	Gm12250
GO:0044217	other organism part	0.0130509501466513	-4.3388943396913	9	1	0.0238095238095238	42	28799	631323	Gm12250
GO:0042995	cell projection	0.0144969613566321	-4.23381621312829	2707	9	0.214285714285714	42	28799	219140,73472,224224,20846,19017,14718,320712,12549,74025	Spata13,Spata18,Impg2,Stat1,Ppargc1a,Got1,Abi3bp,Arhgap31,Nphp3
GO:0110165	cellular anatomical entity	0.0184514789672294	-3.99261075088287	19495	35	0.833333333333333	42	28799	76824,20343,71027,12549,55932,72313,73472,80859,224224,14718,239852,545156,12394,320712,74020,74201,631323,74025,76645,21787,58799,56375,12506,66667,76916,58178,12010,16333,54396,633640,219140,20851,20846,19017,85031	Mtfr1l,Sell,Tmem30c,Arhgap31,Gbp3,Fryl,Spata18,Nfkbiz,Impg2,Got1,Zpld1,Kalrn,Runx1,Abi3bp,Cpne4,Cep97,Gm12250,Nphp3,Pkd1l2,Tfg,Crbn,B4galt4,Cd48,Hspbap1,Timmdc1,Sorcs1,B2m,Ins1,Irgm2,Tmem267,Spata13,Stat5b,Stat1,Ppargc1a,Pla1a
GO:0042613	MHC class II protein complex	0.0187978610558736	-3.97401218924269	13	1	0.0238095238095238	42	28799	12010	B2m
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	0.0202294767647349	-3.90061449246051	14	1	0.0238095238095238	42	28799	58799	Crbn
GO:0048471	perinuclear region of cytoplasm	0.0209301007782716	-3.86656692752045	725	4	0.0952380952380952	42	28799	55932,20846,545156,58799	Gbp3,Stat1,Kalrn,Crbn
GO:0034774	secretory granule lumen	0.0216590533493175	-3.83233174338205	15	1	0.0238095238095238	42	28799	16333	Ins1
GO:0060205	cytoplasmic vesicle lumen	0.0216590533493175	-3.83233174338205	15	1	0.0238095238095238	42	28799	16333	Ins1
GO:0042824	MHC class I peptide loading complex	0.0216590533493175	-3.83233174338205	15	1	0.0238095238095238	42	28799	12010	B2m
GO:0005794	Golgi apparatus	0.0220377192706876	-3.81499978141825	1520	6	0.142857142857143	42	28799	56375,54396,12010,58178,71027,55932	B4galt4,Irgm2,B2m,Sorcs1,Tmem30c,Gbp3
GO:0031252	cell leading edge	0.0232328570305982	-3.762187750929	420	3	0.0714285714285714	42	28799	219140,320712,12549	Spata13,Abi3bp,Arhgap31
